enable,"vt. 使能够
"
management,"n. 经营, 支配, 管理
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
annoy,"vt. 使恼怒, 骚扰"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
chaos,"n. 大混乱, 混沌
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
amaze,vt. 使吃惊
amuse,"vt. 消遣, 娱乐, 使发笑"
confident,"a. 有信心的, 有把握的"
confidence,"n. 信心
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
belief,"n. 信念, 相信, 信仰"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
fame,"n. 名望, 名声, 传说"
status,"n. 状态, 情形, 地位, 要人身份
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
anniversary,n. 周年纪念
ceremony,"n. 典礼, 仪式, 礼节
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
item,"n. 项目, 条款, 一则, 项
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
diagnose,v. 诊断
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
feedback,"n. 反馈, 反应
"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
beneath,"prep. 在...下方
adv. 在...下方"
underneath,"adv. 在下面
prep. 在...的下面"
downward,a. 向下的
inward,"a. 内心的, 向内的, 本来的
"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
inner,"a. 内部的, 内心的
n. 内部"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
afterward,"adv. 然后, 后来"
afterwards,"adv. 然后, 后来"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
backwards,adv. 向后
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
preceding,"a. 在前的, 前面的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
latter,"a. 后者的, 较后的, 近来的"
download,"[计] 卸载, 下栽"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
barrier,"n. 障碍, 栅栏
"
obstacle,"n. 障碍, 妨害物, 阻碍"
divorce,"n. 离婚
vt. 与...离婚"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
mutual,"a. 相互的, 共有的
"
community,"n. 社区, 公众, 共有, 共同体
"
species,"n. 种, 类, 外形
"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
diverse,"a. 不同的, 变化多的"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
category,"n. 种类, 类项
"
bold,"a. 大胆的
n. 粗体
"
dense,"a. 密集的, 浓厚的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
commerce,"n. 商业, 商务, 贸易
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
auction,"n. 拍卖
vt. 拍卖"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
debt,"n. 债务, 罪过
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
revenue,"n. 收入, 岁入, 税收, 税务局
"
cash,"n. 现金
vt. 兑现"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
elderly,"a. 过了中年的, 稍老的"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
destination,"n. 目的地, 目标, 目的
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
attendance,"n. 出席, 出席的人数, 照料
"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
deficiency,"n. 缺乏, 不足
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
dramatic,"a. 戏剧性的, 生动的"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
attractive,"a. 吸引人的, 有魅力的
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
cite,"vt. 引用, 引证, 表彰
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
extraordinary,"a. 非常的, 特别的, 非凡的
"
exception,"n. 例外, 除外, 异议
"
regardless,"a. 不管, 不注意, 不顾"
regarding,prep. 关于
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
infer,"vt. 推论出, 推断
vi. 作推论"
conference,"n. 会议
"
preference,"n. 偏爱, 优先, 喜爱物
"
preferable,"a. 更可取的, 更好的, 更合意的"
convenience,"n. 方便, 便利的事物, 方便的时候"
handy,"a. 便利的, 敏捷的, 容易取得的
"
helpful,"a. 有帮助的, 有益的, 有用的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
expectation,"n. 期待, 指望, 展望
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
percentage,"n. 百分比, 比率, 部分, 可能性
"
fraction,"n. 小部分, 破片, 分数
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
introduction,"n. 介绍, 传入, 采用, 初步"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
dissolve,"v. 溶解, 解散"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
career,"n. 事业, 生涯, 成功
"
employment,"n. 雇用, 职业, 工作
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
argument,"n. 争论, 论证, 论据, 自变量
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
background,"n. 背景, 背景资料
"
sophisticated,"a. 复杂的, 久经世故的
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
simplify,"vt. 单一化, 简单化"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
preparation,"n. 准备, 预备, 预习
"
presentation,"n. 赠与, 描述, 介绍
"
diplomatic,"a. 外交的, 老练的
"
economy,"n. 经济, 理财, 节约
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
basis,"n. 基础, 主要成分
"
element,"n. 元件, 元素, 要素
"
ingredient,"n. 成分, 因素
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
principle,"n. 原则, 原理, 主义
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
mostly,"adv. 大概, 大部分, 主要
"
largely,"adv. 大量地, 很多地, 大半地"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
readily,"adv. 迅速地, 轻易地, 乐意地"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
amid,"prep. 在其间, 在其中
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
data,"pl. 资料, 数据
"
statistic,"n. 统计量
a. 统计的, 统计学的"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
decrease,"n. 减少, 减少量
v. 减少"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
deduct,"vt. 扣除, 减去
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
evacuate,"v. 疏散, 撤出, 排泄"
intensify,"vt. 加强
vi. 强化"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
aggravate,"vt. 使恶化, 使更严重, 加重"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
affirm,"v. 断言, 确认"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
conservation,"n. 保护, 保存
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
consent,"n. 同意, 许可
vi. 同意, 赞同"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
confess,"v. 承认, 坦白, 忏悔, 供认"
correspond,"vi. 符合, 通信, 相当
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gigantic,"a. 巨人般的, 巨大的"
