Argentina,n. 阿根廷
bowling,n. 保龄球戏
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
neighborhood,"n. 附近, 邻近"
rug,"n. 小块地毯, 揭露某人"
Seoul,n. 汉城
sofa,n. 沙发
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
energy,"n. 精力, 精神, 活力, 能量
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
appliance,"n. 器械, 用具, 应用
"
eco-friendly,"adj. 对环境无害的；环保的
"
electronics,"n. 电子学
"
freezer,"n. 冰库, 冰箱, 冷冻库"
heater,"n. 加热器, 灯丝, 加热工
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
solar panel,太阳(能)板(指装有太阳电池的平翼)
unplug,"vt. 拔开...的塞子, 拔去...的插头, 除掉...的障碍物"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
item,"n. 项目, 条款, 一则, 项
"
jewelry,"n. 珠宝, 珠宝类"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
souk,n. （穆斯林国家的）露天剧场
souvenir,n. 纪念品
the Middle East,"n. 中东（包括亚洲西南部和非洲东北部）
"
coupon,"n. 息票, 赠券
"
Facebook,n. 脸谱网
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
Fez,n. 土耳其无边毡帽
Morocco,"n. 摩洛哥, 摩洛哥皮革
"
Moroccan,"a. 摩洛哥的
n. 摩洛哥人"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
vendor,"n. 小贩, 卖主, 自动售货机
"
beach,n. 海滩
Costa Rica,n. 哥斯达黎加
San José,[地名] 圣何塞 ( 阿根、巴拉、巴拿、秘、厄、哥伦、哥斯、古、洪、萨、危、委、乌拉、西 )
tourist,"n. 观光客, 旅行者
a. 旅游的"
lamp,"n. 灯
vt. 照亮
"
liter,"n. 公升
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
heatwave,"n. 热浪[波], 酷暑期"
normally,"adv. 正规地, 合规则, 正常地"
oxygen,"n. 氧
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
ape,"n. 无尾猿
"
Austria,n. 奥地利
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
Himalayas,n. 喜马拉雅山脉
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
Yeti,n. 雪人
announcement,"n. 公告, 发表, 告知
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
New Mexico,n. 美国新墨西哥州
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
asteroid,"n. 小行星, 海盘车
a. 星状的"
awesome,"a. 引起敬畏的, 可怕的"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
Chicxulub,[网络] 希克苏鲁伯；墨西哥希克苏鲁伯；希克苏鲁伯陨石坑
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crater,"n. 火山口, 环行山, 弹坑
"
debris,"n. 碎片, 残骸
"
dinosaur,n. 恐龙
ejecta,"n. 喷出物, 渣, 废物
"
explosion,"n. 爆发, 激增, 爆炸(声)
"
extinction,"n. 消失, 消灭, 废止
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
shockwave,n. 震荡波；爆震波；冲击波
