aha,interj. 啊哈
morally,"adv. 道德上, 德性上, 有道德地"
obsession,"n. 困扰, 困扰人的情绪
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
predictable,a. 可预言的
shortage,"n. 不足, 缺乏
"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
whereabouts,"n. 下落, 所在之处
adv. 在何处"
whodunit,"n. 侦探小说, 惊险刺激读物"
whodunnit,n. 凶杀悬疑小说（或电影、戏剧）
whydunit,[网络] 犯罪动机；为何犯罪；为何而做
whydunnit,[网络] 犯案动机
wrongly,"adv. 错误地, 不恰当地, 不正确地, 不正直地, 不公正地"
end with,以…结束
like clockwork,"顺当地, 有规律地, 毫无故障地, 自动地"
loose end,n. 未了结的部分
loose ends,未扣牢的一端;零碎材料
miscarriage of justice,"审判不公, 误判
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
without doubt,毫无疑问地
under arrest,[法] 被逮捕
announcement,"n. 公告, 发表, 告知
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
arc,"n. 弧, 弧形, 弓形, 弧光
"
auditorium,"n. 听众席, 礼堂
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bowling,n. 保龄球戏
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
crazily,"adv. 发狂地, 疯子似地, 摇摇晃晃地"
elation,"n. 得意洋洋, 兴高采烈
"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hooked,"a. 钩状的, 有钩的, 用钩针编织的"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
mom,n. 妈妈
shorts,"n. 短裤, (美)男人的短衬裤
"
torch,"n. 火把, 启发之物
"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
unicycle,n. 单轮脚踏车
vengeance,"n. 复仇, 报仇
"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
back out,"停止不干, 食言
"
catch on,"变得流行, 理解, 明白"
fill in,"na. 填充；填写；同“fill”
"
get through,"做完, 通过, 度过"
start over, 重新开始
try something out, 考验; 试验; 试用
with a vengeance,"猛烈地, 极度地"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
characterize,"vt. 描绘...的特性, 刻划...的性格"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
complimentary,"a. 问候的, 称赞的, 夸奖的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
deserve,"vt. 该得到, 值得
vi. 应得报答"
drawback,"n. 缺点, 退税
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
freshness,"n. 新, 新鲜, 精神饱满"
insincere,"a. 不诚实的, 无诚意的, 伪善的"
inspiring,a. 鼓舞人心的
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
investment,"n. 投资
"
long-distance,长途电话
mayor,"n. 市长
"
memo,"n. 备忘录
"
mentor,"n. 指导者, 良师益友"
milestone,"n. 里程碑, 里程石, 里程标"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
poetic,"a. 诗的, 诗意的, 诗人的"
practitioner,"n. 从业者, 开业者
"
precise,"a. 精确的, 严谨的, 明确的
"
rag-eared,无
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
reread,"vt. 重读, 再读"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
sentimental,"a. 感伤的, 感情用事的"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
spirit-lifting,adj. 激励的
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
stationery,"n. 文具, 信纸
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
typewriter,n. 打字机
unresponsive,"a. 反应迟钝的, 感受性迟钝的, 不回答的"
upbeat,"n. 弱拍, 上升, 兴旺
a. 上升的, 乐观的"
vague,"a. 含糊的, 不清楚的, 茫然的"
virtually,adv. 事实上
well-wishing,n. 良好的祝愿
a pat on the back,"鼓励,赞许"
attach importance to,重视
be on to something, （非正式）（对重要发现）有头绪
follow up,"v. 把…探究到底；回答
"
lift up,举起
make a habit of,"经常做,坚持…;使…成为一种习惯"
make somebody's day,使某人的日子过得快活
pass along," 沿…向前走; 传送, 传递"
shy away from, （由于羞怯等）躲开[避开]
turn ... round,"转身, 转变, 改变意见, 采取新政策
"
turn ... around,"na. 转身；〈美〉使向好的方向转变
"
walk of life," 行业, …类的人"
album,"n. 粘贴簿, 唱片套
"
billfold,n. 皮夹
blurt,"vt. 冲口说出, 脱口说出"
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
delightful,"a. 令人愉快的, 可爱的"
edgy,"a. 刀口锐利的, 尖利的, 急躁的"
farmhouse,n. 农舍
incessantly,"adv. 不断地, 不停地; 接连不断; 连绵不断; 不已"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
mischievousness, 恶作剧
novice,"n. 新手, 初学者"
permission,"n. 许可, 允许
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
refold,vt. 再折起；将…再打折
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
serviceman,"n. 军人, 维修人员
"
shrug,"n. 耸肩
v. 耸肩"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
act on,"按...行动, 作用于
"
blurt out,"n. 漏嘴说出的话
v. 突然说出
"
get out of hand,失去控制
if only,只要
make ... of,"na. “make certain”的变体
"
move on,继续前进
once too often,又(多了)一次
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
"
to this day,至今
assumption,"n. 假定, 自负, 担任, 假装
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
conditional,"a. 有条件的, 有前提的
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
empirical,"a. 完全跟据经验的, 经验主义的
"
engineering,"n. 工程学, 工程, 操纵
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
evoke,"vt. 唤起, 引起, 召(魂)
"
expressive,"a. 表达的, 富于表情的"
grammatical,"a. 语法的, 合乎语法的
"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
imagery,"n. 肖像, 比喻, 雕刻
"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
imperfectly,"adv. 不完全地, 有缺点地, 不完备地"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
nominalize,"v. 使转变为名词, 使名词化"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
pre-med,"n. 医学预科（课程）；医学预科生
adj. 〈美〉医科大学预科的"
rebellious,"a. 造反的, 反抗的
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
significantly,adv. 值得注目地；意味深长地
sociological,"a. 社会的, 社会学的"
soundness,"n. 完全坚固, 稳固, 公正
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stockbroker,n. 股票经纪人
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
tolerate,"vt. 宽容, 容许, 有耐力"
visual,"a. 视觉的
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
wholeness,"n. 全体, 一切, 完全"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
take someone seriously,take sth seriously认真对待
take something seriously,[网络] 认真看待某事
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
aspiration,"n. 热望, 志向, 渴望
"
assign,"vt. 分配, 指派, 赋值
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biased,"a. 有偏见的
"
sex-biased,[网络] 体性别不均
constitute,"vt. 构成, 组成, 任命
"
culturally,"adv. 从文化角度, 文化意义上；在人文学方面"
feminine,"a. 女性的, 阴性的, 柔弱的
"
gender,"n. 性
vt. 产生"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
indirectly,"adv. 间接, 曲折, 迂回, 不直截了当, 不诚实, 不坦率
"
innumerable,"a. 无数的, 数不清的"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
neatness,"n. 整洁, 干净"
nonsexist,非性歧视的
northeastern,"a. 东北方的, 在东北的, 来自东北的"
noticeably,"adv. 显而易见, 值得注意, 重要, 显著"
nursery,"n. 托儿所, 苗圃, 温床
"
participation,"n. 参与, 分享
"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
preschooler,n. 学龄前儿童
subordination,"n. 下级地位, 隶属, 第二位
"
unintentional,"a. 无心的, 不是故意的
"
unknowingly,"adv. 无意中, 非存心地, 不知不觉地"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
as a matter of fact,事实上
call on,"号召, 呼吁, 约请, 访问"
carry over,"na. 贮存(货物等)供下季供应；将(账目等)结转(次页)
"
fall behind,"落在后面, 拖欠"
put ... away,"v. 把…收起来；储存
"
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
allocate,"vt. 分派, 分配
"
contempt,"n. 轻视, 轻蔑
"
discrimination,"n. 差别, 岐视, 辨别力
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
lecturer,"n. 演讲者, 讲师
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
rightful,"a. 合法的, 正直的, 恰当的
"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
unladylike,a. 不像贵妇人的
at a disadvantage,处于不利地位
be accustomed to something,[网络] 习惯作；主谓式
be accustomed to doing something,无
be in a minority,是少数派(尤指在投票的两部分人中)
be typical of,是...的特点
burn to death,烧死
be burnt to death,无
for ages,"好久,很久,很长时间"
go too far,"走得太远, 做的过火"
make a thing of,"认为…不得了,对…小题大作"
allay,"vt. 使平静, 使缓和"
amniotic,"a. 羊膜的
"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
balanced,"a. 公平的, 平衡的
"
constructional,"a. 建造的, 构造的, 解释的"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
determinant,"n. 决定物, 决定因素
a. 决定性的
"
differ,"vi. 不一致, 不同
"
DIY,[网络] 自己来动手；专业装修商及自己动手；动动手系列
empathise,"vi.,vt. [主英国英语] ＝ empathize"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
hard-wired,硬连接
hi-fi,n. 高保真度，即，high fidelity
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
newsagent,n. 报刊经销商
onwards,"adv. 向前, 在前面"
origin,"n. 起源, 起因, 出身, 开端
"
parenting,n. 父母对子女的养育
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
prenatal,"a. 出生以前的, 孕期的
"
profession,"n. 职业, 表白, 声明
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
ram,"n. 公羊, 撞锤
vi. 猛击, 撞
vt. 猛击, 填塞, 反复灌输
n. 只读内存, 随机存取内存, 随机存取存储器
"
self-centred,adj. 自我本位
socialisation,n. 社会化
systemise,vt. [英国英语] = systemize
testosterone,"n. 睾丸激素
"
toddlerhood,n. 童年
underlying,"a. 在下面的
"
workplace,"n. 工作场所, 工厂, 车间"
a bunch of,"一束,一串,一群"
go beyond,超出
light up,"开始吸烟, 发亮, 露喜色
"
pull together,齐心协力
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
educator,n. 教育家
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
motivation,"n. 动机, 刺激, 推动
"
multiplication,"n. 乘法, 增加, 乘法运算
"
practically,"adv. 几乎, 差不多, 事实上"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
workable,"a. 可经营的, 可使用的
"
be up to ...,"胜任,达到,由…负责"
involve ... in, 使参与[陷入，牵扯到]; 婵媛
sacrifice ... for ...,[网络] 牺牲；为…而牺牲；献出
agenda,"pl. 议程, 日常工作事项
"
appoint,"vt. 任命, 指定, 下令
"
awkwardly,adv. 笨拙地；无技巧地
dexterity,"n. 灵巧, 机敏"
expectantly,"adv. 期待, 期待着, 期望, 预期"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
intrusive,"a. 打扰的, 插入的
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
passer-by,n. 过路人; 经过者
rectangular,"a. 成直角的
"
reorient,"vt. 使适应, 再调整"
shirttail,"n. 衬衣下摆, 社论栏
a. 幼小的, 远房的"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
socialization,"n. 社会化, 社会主义化"
stroller,"n. 散步者, 流浪者"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
vigorously,"adv. 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮, 强有力"
Westerner,"n. 西方人, 西洋人"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
not in the least,"绝对不, 一点也不"
on occasion,有时
time and again,反复地
anecdote,"n. 轶事, 奇闻"
contrasting,"v. （靠近或作比较时）显出明显的差异, 形成对比( contrast的现在分词 ); 对比, 对照"
cultivation,"n. 教化, 培养, 耕作
"
desirable,"a. 令人想望的, 可取的"
discern,"v. 辨别, 看清楚, 了解"
flail,"n. 连枷
v. 用连枷打, 打"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
mimetic,"a. 模仿的, 摹拟的, 好模仿的, 类似的
"
misdeed,"n. 罪行, 犯罪
"
opposed,"a. 反对的, 敌对的, 对抗的, 相对的
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
rooster,"n. 公鸡, 栖息的鸟
"
self-reliance,自力更生；依靠自已
stimulation,"n. 刺激, 激励, 鼓舞
"
subsequent,"a. 后来的, 接下去的
"
sympathetically,"adv. 怜悯地, 同情地"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
unquestioned,"a. 未经审问的, 未经调查的, 无异议的, 不被怀疑的
"
date back to,"始于,可以追溯到…"
feed back," 反作用, 反馈"
in the hope that,"怀着...的希望, 希望能..."
proceed to,进入...
to the point,"中肯, 扼要"
athlete,"n. 运动员, 运动选手
"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
championship,"n. 冠军身份, 冠军称号, 捍卫"
confining,"a. 受限的, 限制的；拘束的；狭窄的, 偏狭的"
dunk,"vt. 浸一浸, 泡一泡"
endorsement,"n. 支持, 认可, 背书
"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
halftime,n. 中场休息
honesty,"n. 诚实, 公正, 正直"
impossibly,"adv. 不可能地, 难以置信地"
life-size,与实物一样大小
life-sized,a. 与原物一样大小的
Olympics,n. 奥林匹克运动会
outweigh,"vt. 比...重, 比...重要, 比...有价值"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
pedestal,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
tightrope,n. 拉紧的绳索
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
drop out,"掉出, 退出, 离队
"
follow one's lead,无
give of," 奉献, 贡献"
give of oneself,[网络] 腾出时间和力量来帮助别人；贡献自己的时间和精力；牺牲自己的时间和精力
give of one's time,[网络] 对某人的时间而言
give of one's money,无
give of etc.,无
have a fit,大发脾气
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
measure up to,"符合, 达到"
put somebody on a pedestal,无
put somebody upon a pedestal,无
place somebody on a pedestal,无
place somebody upon a pedestal,无
take ... too far,无
go too far,"走得太远, 做的过火"
take the place of someone,无
take someone's place,替代(或继承)某人；接替…的位置
you name it,"不论什么,凡是你能想到的一切"
arena,"n. 角斗场, 舞台, 场地
"
artificially,"adv. 人工地, 人为地, 不自然地"
athletics,n. 体育运动
attorney,"n. 代理人, 律师
"
bless,"vt. 祝福, 祈佑, 使神圣化"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
conceited,"a. 自负的, 逞能的, 狂想的"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
deform,"vt. 使残缺, 使变形
vi. 变形"
disadvantaged,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
eligibility,"n. 适任, 合格
"
fame,"n. 名望, 名声, 传说"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
gloriously,"adv. 辉煌地；光荣地；壮观地, 壮丽地"
heavyweight,"n. 重量级拳击运动员, (非正式)有影响的要人
a. 最重量级的"
indomitable,"a. 不屈服的, 不屈不挠的"
inevitably,adv. 不可避免地
invariably,"adv. 不变化地, 恒定地, 始终如一地"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimately,adv. 正当地；合理地
medieval,"a. 中古的, 中世纪的"
misguided,a. 被误导的
needless,"a. 不需要的, 不必要的"
overprotect,"vt. 过分地保护, 溺爱"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
pipefitter,[化] 管工
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
privileged,"a. 有特权的, 有特别恩典的
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
reasoning,"n. 推论, 推理, 论证
"
rightfully,adv. 正当地；正直地
selflessness,n. 忘我；无私
sexual,"a. 性的, 性别的
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
statewide,"a. 全州的, 遍及全州的"
status,"n. 状态, 情形, 地位, 要人身份
"
talented,"a. 天资高的, 有才能的"
thankfully,adv. 感激地；感谢地
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
unheard-of,a. 没发生过的; 令人震惊的；前所未有的
unremarkable,"a. 不显著的, 平凡的, 不值得注意的"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
and the like,"等等
"
look to,"照看, 注意, 指望"
measure somebody against,无
measure something against,无
on the surface,表面上
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
annoying,"a. 恼人的, 讨厌的"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
bedraggled,"a. 全身泥污的, 满身湿透的, 破烂的"
bleachers,n. 漂白剂（bleacher的复数形式）；（美）露天看台
competitor,"n. 竞争者
"
concentrated,"a. 集中的, 浓缩的
"
condo,"n. 共同统治, 共管下的政府, 共管, 多层公寓大楼, 由个人占用的一套公寓房间"
dental,"a. 牙齿的
"
dribble,"vi. 流口水, 滴下
vt. 使滴下, 运球
n. 点滴, 口水, 少量"
exertion,"n. 努力, 发挥, 运用
"
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
expressionless,"a. 无表情的, 呆板的"
femininity,"n. 妇女特质, 温柔, 柔弱性
"
frilly,"a. 有饰边的, 多饰边的"
hairdo,"n. 束发, 发式, 作头发"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
hoop,"n. 箍, 铁环, 呼呼声
vt. 加箍于, 包围
vi. 发呼呼声"
horror,"n. 惊骇, 恐怖, 惨状
"
imply,"vt. 暗示, 意味
"
indication,"n. 指示, 象征, 暗示
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
insulting,"a. 侮辱的, 损害人体的"
lawyerlike,"a. 如律师的, 适合于律师的"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
mascara,"n. 染眉毛油
vt. 在...上涂染眉毛油"
morality,"n. 道德, 教训, 品行
"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
ponytail,n. 马尾辫
prom,"n. (英)音乐会, (美)舞会, 散步道
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
rainy,"a. 下雨的, 多雨的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
soccer,n. 英式足球
softball,"n. 垒球运动, 垒球"
