middle name,"n. 中名, 名和姓之间的名字, 突出的个性"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
reasonable,"a. 合理的, 明理的, 适当的
"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
exhibition,"n. 表现, 展览会, 展览品
"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
messenger,"n. 报信者, 使者
"
How far ...?,"(离...)多远, 到什么程度, 到什么范围"
anyone,pron. 任何人
height,"n. 高度, 海拔, 高地, 顶点
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
have a look, 看一看
later,"adv. 以后, 随后"
centimetre,"n. 厘米, 公分"
building,"n. 建筑物, 建筑
"
mountain,"n. 山, 山脉, 大堆"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
width,"n. 宽度, 宽广, 广博
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
depth,"n. 深度, 深处, 深奥
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
length,"n. 长度, 长, 期间, 一段
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
kilo,"n. 千
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try out on,无
than,"conj. 比, 除...外
prep. 比"
continent,"n. 大陆, 洲
a. 自制的"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
population,"n. 人口, 人口数
"
density,"n. 密度
"
trick question,"n. 棘手的问题
"
square mile,平方英里
obviously,"adv. 显而易见地, 明显地"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
in fact,"事实上
"
competition,"n. 竞争, 竞赛
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
uncle,"n. 叔父, 伯父, 姨丈"
untidy,"a. 不整齐的, 懒散的, 混乱的"
person,"n. 人, 人身, 人称
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
prefer,"vt. 宁可, 较喜欢, 提出
"
on the right, 在右边，在右侧
on the left,在左边
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
microfibre,n. 微细纤维
as ... as,[网络] 砷；用法；和……一样
difference,"n. 不同, 差异
"
go with,"伴随, 与...相配"
the other,是其中的“另一个”
a little,"一些, 一点点, 一点儿, 稍微, 些许"
almost,"adv. 几乎, 差不多"
vase,"n. 花瓶, 瓶"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
excellent,"a. 优良的, 杰出的, 出色的"
geography,"n. 地理学, 地理
"
everything,"pron. 每件事物, 所有事物"
come top,无
come top in,无
come bottom in,无
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
indeed,"adv. 的确, 实在, 真正地, 甚至"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
rather,"adv. 宁可, 稍微, 相当"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
kilometre,"n. 公里, 千米"
pocket money,"零用钱
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
actually,"adv. 事实上, 竟然, 如今, 现在"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
beginning,n. 开始
pay back,"na. 偿还；报答；向…报复；付还
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
exist,"vi. 存在, 生存, 发生"
poster,"n. 海报, 招贴, 驿马"
ceiling,"n. 天花板
"
singer,n. 歌手
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
crazy,"a. 发狂的, 狂热的"
computer game,"[计] 计算机博弈, 计算机游戏, 计算机对策"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
detective,"n. 侦探
a. 侦探的"
martial arts master,无
chess,"n. 国际象棋
"
intelligent,"a. 聪明的, 智能的, 了解的"
hard-working,辛勤工作的
opinion,"n. 意见, 评价, 主张
"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
exciting,"a. 令人兴奋的, 刺激的
"
powerful,"a. 有力的, 有权力的, 强大的
"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
reliable,"a. 可靠的, 可信赖的
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
rival,"n. 对手, 竞争者
a. 竞争的"
high jump, 跳高
long jump, 跳远
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
the other day,不久前某一天
definitely,"adv. 明确无疑地, 清楚地"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
giant squid,n. 巨型鱿鱼; 大王乌贼
scientist,"n. 科学家
"
on show,"陈列着, 展览着"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
sucker,"n. 乳儿, 吸管
"
amazing,a. 令人惊异的
the rest of,"其余的,剩下的"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
postcard,n. 明信片
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
