a bit,一点儿；有一点儿
be accustomed to,习惯于
be addicted to,沉迷于…
become addicted to,无
be admitted to, 加入
be admitted into, 入
be afraid,害怕(尖叫疗法的一种口令)
be angry with,对(某人)生气
be anxious about,"渴望, 担忧"
be ashamed of,"感到羞耻, 惭愧"
be associated with, 和…联系在一起; 与…有关
be aware of,知道
be bad at,不擅长
be bad for,对…有害
be based on,"以…为基础,以…为根据"
be bent on,"专心于,致力于,集中于;一心一意要,决心…"
be blessed with,在…方面有福气;幸运地享有
be bored with,对…感到厌倦
be born into,[网络] 出身于；出生於；出生在…的家庭
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be busy with sth.,忙于
be busy doing sth.,忙于(做)...
be capable of,能够
be caught in,淋雨
be caught up in,"被卷入, 牵涉, 涉及"
be close to,"接近于..., 在...附近, 在...左近"
be concerned about,关心...
be confined to,"限制, 禁闭"
be connected with,与...相连/联系
be considered as,被认为/看作是...
be content with,以...为满足
feel content with,无
be covered with,"被...盖满, 充满着..."
be crazy about,"狂热爱好..., 着迷..."
be crowded with,"充满,满是"
be curious about,对...感到好奇
be curious to,无
be decorated with,"v. 用…装饰
"
be delighted to,[网络] 高兴；高兴去；喜欢
be dependent on,"依靠, 依赖"
be devoted to,致力于…
be different from,"与…不同,和…不一样"
be drafted into,无
be dressed in,穿着…
be dying to,渴望；想得要命；非常想要
be dying for,"渴望,极想得到"
be engaged in,"参加,从事,致力于…"
be engaged to,和…订婚
get engaged to,无
be equal to,"胜任, 相等, 合适"
be equipped with,"配备有,装备有…"
be familiar to,对…熟悉的
be familiar with,熟悉
be famous as,作为…而闻名遐迩
be famous for,"因…而出名,以…着称"
be filled with,充满…
be fit for,适合于
be flooded with,充斥着…
be fond of,"喜爱, 爱好"
be free from,免于…
be free of,免于
be free to do sth.,无
be full of,充满
be furnished with,"配备有…,装配有…"
be going to do, 将要，打算
be good at,擅长
be happy with,[网络] 对……感到满意；对…满意；高兴
be hard on,"对…来说很艰苦,对…很严酷"
be home to,[网络] 是…的所在地；是……的家园；为……的所在地
be honored for,无
be impressed with,"na. 深感；为…所感动
"
be impressed by, 被…所感动; 对…印象深刻
be inferior to,"劣于..., 比...差"
be interested in,对…很感兴趣
be known as,被认为是
be known for,因...而众所周知
be likely to,"有可能…,很可能…"
be located at,[网络] 在一个具体地方
be located in,"坐落于..., 位于..."
be located on, 位于；坐落在
be lost in,沉醉于…
be made from,"用…制造,由…制成"
be made in, 在…地方制造；在…生产或制造
be made of,由...所组成
be made out of,[网络] 由……制成；用……制成；用…改制而成
be made up of,由...所组成
be married to,"和…结婚,嫁给"
be occupied with,忙于…;专注于…
be opposed to,"反对..., 与...相对"
be particular about,"对…很挑剔,过于讲究"
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"对…喜欢,满意于"
be popular with,为...所喜欢
be prepared for,为…作好了准备
be proud about,无
be proud of,"自豪, 高兴"
be proud to,无
be ready for,为…作好准备
be ready to,准备…
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relevant to,与...有关
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
be responsible to,[网络] 对某人负责；向……负责；对…负责
be restricted to,"仅限于..., 限制在..."
be rich in,富有...的
be rude to, 不客气
be satisfied with,对...感到满意
be scared to death,"吓得要死, 吓个半死, 吓得不知所措"
be sensitive to,"敏感, 灵敏"
be sentenced to death, [法]被处死刑
be short for, 是…的简称；是…的缩写
be short of,"缺乏..., ...不足"
be similar, 切近；相像；相似；似
be similar to,与...相似
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be strict with,"对...严格, 对...严历"
be superior to,"优于…,胜过…,比…更优越;不受…影响,不为…所动"
be supposed to,"应该, 被期望"
be sure about,对…有把握
be sure of,"确信..., 肯定..., 对...有把握"
be sure to,"肯定,必定,必然会…"
be tired from, 因…而厌倦; 因…而疲劳
be tired of,厌烦
be tired out, 筋疲力尽
be to blame,该受责备
be true of,符合于
be unique to,[网络] 为…特有；对……来说是独一无二的；为…所独有
be up to,"胜任,达到,由…负责"
be used to do,无
be used to doing,无
get used to doing,无
be willing to do sth., 愿意做某事
be worth sth.,值得(做)的
be worth doing sth.,无
be worthy of,"值得,应得到"
be worthy to,无
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
"
because of,因为
become of," 发生, 结果是"
before long,不久以后
begin with,"以…开始,首先"
believe in,"信仰, 信任"
believe it or not,信不信由你
belong to,属于
benefit from,从…获利
beyond control,"na. 无法控制
"
beyond description,"无法形容,难以名状"
bid for,"要求,争取,投标,出价竞买"
bits and pieces,零碎
black and blue,"青肿的, 淤血的"
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；【戏】使舞台转暗
"
blame sb. for ...,[网络] 因……责备；责怪；因…怪罪
blame sth. on sb.,[网络] 把责任推给；责怪；归罪于
block out,"na. 画略图；拟大纲；同“block in ”
"
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
blow up,"v. 炸掉；爆炸；充气；放大
"
book up," 预订, 预订座位"
both ... and, 两个都; 既…又…
bow down," 压弯（某物）, 使（某物）弯下; 屈服"
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"破门而入, 侵占
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's promise,食言; 不守诺言
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break the record,打破纪录
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring an end to,"结束,使完结"
bring back,"na. 送回；使恢复；使回忆起
"
bring down,na. 降低；击落；削减；使落下
bring forth,使产生
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring on,"na. “bring forward”的变体
"
bring out,"na. 公布；说出；出版；上演
"
bring up,"na. 抚养；教导；教育；在…长大
"
build up,"树立, 增进, 增大, 堵塞
"
burn down,"烧成平地, 火力减弱
"
burn one's bridges,破釜沉舟
burn out,"烧坏, 烧掉, 烧尽
"
burn to death,烧死
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
burst out,"闯出来, 大声喊, 突发"
but for,要不是
by accident,偶然
by air,乘飞机
by all means,"尽一切办法, 一定"
by and by,不久以后
by chance,"偶然, 也许"
by coincidence, 碰巧；巧合
by far,显然
by hand,用手
by means of,依靠
by mistake,由于差错
by name,"名叫..., 用名字, 凭名字"
by nature,天生地
by no means,决不
by oneself,"单独, 独自"
by reason of,"由于, 因为"
by the day,按日
by the end of,"到…结束的时候,到…末"
by the side of,"在...附近, 和...一起比较"
by the time,"到…的时候,截至"
by the way,"在途中, 顺便"
by then,到那时
by turns,"轮流, 交替"
by virtue of,"依靠, 由于
"
by way of,"经由, 作为, 为了
"
call attention to,[网络] 唤起注意；引起对…的注意；关注
call at,"停靠(车站), 拜访(家/办公室)"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
call out,"召唤...行动, 唤起, 大声叫唤"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"平静下来, 镇定下来"
can't but,[网络] 不得不
can't help but,〈美〉不得不; 不能不; 必须; 只好
can't help doing,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
can't wait to,无
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
cast about for,四处寻找，设法找到；设法；筹划
cast aside,"na. 抛弃
"
catch a glimpse of,瞥见
catch fire, 着火着火; 失火; 发火; 走水
catch hold of,抓住
catch on,"变得流行, 理解, 明白"
catch sight of,瞥见
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,赶上
cater for,"供应伙食, 迎合"
cater to,迎合
centre on,集中在...上
centre upon,集中于
change ... for ...,交换
change into,变成
change ... into,变成
change one's mind,"改变主意
"
charge for, 要价，收费
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
check in,"登记, 报到
"
check on,"检查,核对"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
chip in,"插嘴, 捐助, 下赌注"
choke off, 中止做; 使放弃做; 批评; 责备
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击鼠标
close down,"关闭, 歇业, 停止播音"
collect oneself,"心平气和,平心静气,镇定一下"
come about,"发生, 改变方向"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come forward,"站出来, 自告奋勇, 主动响应"
come from,"来自, 出生于"
come in,"进来, 到达, 流行起来, 当选, 到手
"
come into being,"形成, 产生"
come into view,进入视野
come off,"发生, 举行, 表现, 结果"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come over,"过来
"
come straight to the point,"直入本题, 开门见山"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to,"谈到, 被...继承, 苏醒, 停止"
come to terms with,"与…达成协议,慢慢习惯"
come true,"实现, 成为事实"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
come up to,"达到, 等于"
come up with,"赶上, 提出"
compare ... to, 把…比作， 喻为; 与…相比
compare to, 把…比作， 喻为; 与…相比
compare with,"比较…,跟…相比,比得上…"
compensate for,赔偿
complain about,抱怨
complain of,"抱怨, 抗议"
complain to,向…抱怨
concentrate on,"集中, 全神贯注于"
concentrate upon,集中在;专心于
congratulate ... on,"un. 祝贺
"
congratulate ... upon,无
connect with,"连接, 联络"
consider as, 看成
consist in,存在于
consist of,由...组成
consist with,与...一致
contrary to,与…相反
contribute to,捐献
convince ... of ...,"na. 使(人)承认
"
cool down,"变凉, 平静下来
"
cool off,"变凉, 平静下来"
correspond to,"相当于..., 与...相对应"
correspond with,"符合, 一致, 通信"
count on,"依靠, 指望"
count upon,仰赖
cross out,"na. 取消
"
crowd in," （使）拥[挤]入; 在时间表中挤进, 强安排进"
cry out,大声呼喊
cut across,抄近路通过
cut back on,削减
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut into,打断
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut through,"抄近路走过, 刺穿"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
dance to,跟着…摇摆
dare to, 敢于
date from, 始于
date back to,"始于,可以追溯到…"
day after day,日复一日
day and night,日以继夜
day by day,逐日
"day in, day out","日复一日地, 继续不断地"
deal with,"安排, 处理, 涉及, 做生意"
debate on, 关于…进行辩论
debate about,辩论，讨论(问题)；考虑，细想，盘算
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
declare for,v. 表明
declare war on,"宣战, 发动进攻"
declare war against,向(某国)宣战; 宣布将尽力与…作斗争
dedicate ... to,献身
defend ... against,"防御,防卫"
defend ... from,保卫
depend on,"依靠, 依赖"
depend upon," 依赖, 依靠"
deposit ... in,在…处储存
descend from,从…下来;是…的后裔
describe ... as,描述为
deserve to do sth.,[网络] 值得干某事；值得做某事；应该
develop into,"演变成…,发展成为…"
devote ... to,"v. 把…贡献给
"
die away,"熄灭, 平息, 消失"
die down,"枯萎, 凋谢"
die for,为…而献身; 〈口〉急需(某物)
die from,"[法] 由于...而死, 死于"
die of,"死于…,因…而死"
die out,"熄灭, 平息, 消失"
differ from,不同
differ in,在…方面不同
dig into,"钻研, 掘进去"
dig out,na. 挖出；查出(事实)；〈美口〉慌慌忙忙走开
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
distinguish between ... and ...,无
distinguish ... from,"v. 区别,识别"
dive into,"把手伸入, 投入, 钻研"
divide ... into,"把…划分成,分成"
divide up,"划分,分配,瓜分"
do away with,"废除, 弄死"
do a good deed,做好事
do good deeds,无
do good to, 对…有益
do harm to, 损害。。。，伤害。。。; 残害
do one's best,尽全力
try one's best,尽力
do one's homework,做家庭作业; 做必要的准备工作
do research on, 查考
do sb. a favor,[网络] 帮忙；帮一个忙；做好事
do some cleaning, 扫除
do up,"v. 修缮；收拾
"
do with,"与...相处, 忍受, 对付"
do without,没有...也可以
donate ... to,赠送，赠款，捐款，捐赠
don't mention it,[网络] 没关系，别客气；不客气；不必客气
dozens of,"几十个,数十个;许多…"
draw a conclusion,得出结论
draw in,"收缩, 引诱, 接近黄昏, 紧缩开支"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
draw upon,[经] 开出
draw sb.'s attention,无
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dream about,"想见,梦见,考虑"
dream of,"梦见,梦想,向往,渴望"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drop away,"离开, 散去"
drop back,退后
drop behind,"落后, 落伍"
drop by,随便访问
drop over, 顺便拜访
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
drop out of,"退出,辍学,脱离"
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
due to,"由于, 应归于"
each other,彼此
earn a living,"谋生,挣钱,自食其力"
earn one's living,"谋生, 维持生活"
ease off,"放松, 缓和, 减轻"
eat one's words,认错道歉
eat up,"吃光, 耗尽, 吞灭"
either ... or,adv. 不是…就是…，…或…，要么…要么…
empty into,把…中之物全部倒进…; 流入…
end in,以...为结果
end up,"竖着, 结束, 死"
enjoy oneself,过得快乐
enter for,"na. 参加(赛跑)
"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"虽然, 尽管"
even now,"尽管这样, 即使到现在"
even so,虽然如此
ever since,从那时到现在
ever so,非常
every day, 每天; 日; 天天; 逐日
every now and then,"常常, 不时地"
every now and again,"有时, 时时, 偶尔"
every other,"每隔一, 所有其他的"
except for,"除...以外
"
exist in, 存在于…中
expert at,擅长
expert in, 熟练于…
expert on,无
expose ... to,"un. 暴露于
"
face to face,面对面
face up to,勇敢地面对
faced with,面临
fade away,逐渐消失
fade out,"淡出, 渐弱
"
fail in,在…失败;缺乏…
fall apart,"崩溃, 土崩瓦解"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
fall behind,"落在后面, 拖欠"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
fall for," 上当, 听信; 爱上"
fall ill,得病
fall in love with,爱上
fall into a habit of,养成…的习惯；沾染上…的习气
fall into the habit of,沾染...的习惯
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall out,"脱落, 离队, 争吵, 结果是
"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
fall through,"失败, 失约"
far and wide,"到处, 广泛地"
far away, 遥远; 迢迢; 远离; 迥
far from,"远离, 远非"
fasten on,"把...强加于, 纠缠, 集中于"
feed on,"以...为食, 以...为能源"
feed up,养肥
feel like," 摸起来像是…, 有…的感觉; 想要…"
feel one's way,"摸索着走, 谨慎行事"
feel sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
fight against,对抗
fight for, 为…而战斗[竞争]; 争取; 争夺
figure out,"合计为, 计算出, 明白"
fill in,"na. 填充；填写；同“fill”
"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fill up with,"v. 装满
"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,首先
fit for, 给…量尺寸以便做…; 适于， 适合
be fit for,适合于
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit up,"na. 设备
"
fix a date for,无
fix on,"确定, 决定"
fix upon,决定
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus upon,[网络] 专注于；集中于
fold up,"塌下, 垮掉, 放弃, 撒手, 倒闭"
follow sb.'s advice,无
follow up,"v. 把…探究到底；回答
"
for a moment,"一会儿,片刻"
for a start,"作为开始, 首先, 第一点"
for ages,"好久,很久,很长时间"
for an instant,"短时间,瞬时间,剎那间"
for certain,肯定地
for ever,"永远, 老是"
for example,例如
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for free,免费地
for lack of,因缺乏
for nothing,"免费, 徒然
"
for one's part,"对某人来说, 就个人来说"
for one thing ... for another,无
for sale,"待售
"
for short,"简称, 缩写"
for sure,确实
for the benefit of,为…的利益 ; 为惩戒…
for the moment,"暂时, 目前"
for the purpose of, 为了，因…起见; 借以
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
forget to do sth.,忘记(做)...
free of charge,"免费
"
from ... on,无
from the bottom of one's heart,从心底
from ... to ...,[网络] 从到；从什么到什么；起止时间
from time to time,有时
gain access,[网络] 获得访问权限
have access,无
gain access to,可以获得;进入
have access to,可以获得;进入
gather up,"收集起, 蜷曲, 概括"
gaze at,盯住
generally speaking,一般而言
get about,"走动, 旅行, 传开, 积极参加社会活动"
get around,"病后能够走动, (非正式)旅行, 传开来"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get ahead,"领先, 走在前面, 进步, 获得成功"
get along,"生活, 融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"进展, 走开"
get on with, 继续（干某事）; 和…友好相处
get away,"离开, 逃脱, 起跑, 出发"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get close, 接近; 靠近; 靠拢过来
get close to, 接近; 附; 迫临; 际
get down,"na. 开始认真对待；落下；下车；写下
"
get down to,开始认真考虑
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in touch, 取得联系
get in touch with,与...联系
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get involved with,被…缠住了
get married, 结婚; 结亲; 成家立室
get married to,[网络] 与某人结婚；和……结婚；与…结婚
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get out of control, 失去控制
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
get through,"做完, 通过, 度过"
get to,"到达, 接触到, 开始, 对...有影响"
get to one's feet,un. 觉得胆小；站起来
get together,"聚集, 收集, 积累"
get up,"na. 起床；起身；站起来；叫…起床
"
get used to,习惯于...
give an account of,"讲述,叙述,说明"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to,产生
give ... credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
give in,"na. 让步；屈服；投降；上交
"
give life to,无
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give sb. a hand,"un. 制住；帮着干一点
"
give sb. a lift,[网络] 让…搭车；搭便车
give up,"na. 放弃；断绝；投降；自首
"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
glance at,"提到, 影射"
glare at,怒视
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go ahead,前进
go along,"前进, 进行"
go away,走开
go back on,"违约, 背弃"
go bad, 变质; 坏
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go for a walk,散步
go in for,"参加, 追求, 从事, 赞成"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go mad,"生气,发火;发疯,发狂"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go over,"转变, 仔细检查, 润色, 复习"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go up,"上升, 兴建"
go wrong,"走错路, 出毛病, 失败"
graduate from,从...毕业
green with envy,非常嫉妒的
grow up,"成熟, 成年, 发展, 逐渐形成"
had better,最好
hand back,"v. 归还
"
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand on,"把...传下去, 传递下去, 发放"
hand out,"na. 分；拿出来；施舍
"
hand over,交出；移交
hang about,闲荡
hang in," 不泄气, 坚持下去"
hang on,"v. 坚守；守住；坚持；支撑着
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen on,"偶然遇见,碰到"
happen to,"碰巧,偶然;发生于"
hardly ever,几乎从不
hardly ... when,一…就…
have a class,[网络] 上课；学生上课
have classes, 上课
have a cold,患感冒
have a gift for,对...有天赋
have a go," 企图, 尝试; 抱怨"
have a good time,过得快乐
have a great time,n. 玩得愉快
have a hand in,"插手..., 参加, 分担"
have a population of,无
have a say in,在…上有发言权
have a taste of, 领略
have a temperature,发烧
