music,"n. 音乐, 乐曲"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
never,"adv. 从不, 决不, 不曾
"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
happen,"vi. 发生, 发生, 恰巧"
happened,"v. 发生（happen的过去式, 过去分词）"
vase,"n. 花瓶, 瓶"
