app,"[计] 应用, 应用程序; 相联并行处理器"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
death,"n. 死亡
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
damage,"n. 损害, 伤害
v. 损害"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
site,"n. 位置, 场所, 地点
vt. 给...择址"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
battle,"n. 战役
v. 战斗"
duty,"n. 责任, 关税, 职务, 尊敬
"
suffering,"n. 苦难, 受苦"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
protection,"n. 保护, 防卫, 贸易保护制度
"
lamp,"n. 灯
vt. 照亮
"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
breathe in,吸入
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
run out,"na. 耗尽；用光；过有效期；失效
"
explorer,"n. 探险家, 探测者, 勘探器
"
preparation,"n. 准备, 预备, 预习
"
sledge,"n. 雪橇, 大锤
vt. 用雪橇搬运
vi. 坐雪橇"
ski,"n. 滑雪橇
vi. 滑雪"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
anxiously,"adv. 忧虑地, 不安地"
break down,"v. 分解；抛锚；分析；划分
"
ambition,"n. 野心, 志向"
exploration,"n. 探险, 踏勘, 探测
"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
distant,"a. 远的, 疏远的
"
continent,"n. 大陆, 洲
a. 自制的"
honesty,"n. 诚实, 公正, 正直"
sincerity,"n. 诚实, 真实, 诚心诚意"
bravery,n. 勇敢
brochure,"n. 小册子, 小册"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
aftershock,n. 余震
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
varied,"a. 不同的, 杂色的, 各式各样的
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
skiing,"n. 滑雪运动, 滑雪术"
originality,"n. 创意, 新奇, 独创能力, 原始"
disappearance,"n. 看不见, 失踪, 消失"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
remarkable,"a. 不平常的, 值得注意的, 显著的"
career,"n. 事业, 生涯, 成功
"
put out fires,[网络] 灭火；扑灭火；扑灭大火
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
fight for ..., 为…而战斗[竞争]; 争取; 争夺
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
generation,"n. 一代, 一世, 产生
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
mankind,"n. 人类, 男性"
intelligent,"a. 聪明的, 智能的, 了解的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
have ... in mind,"na. 记住；铭记不忘；注意
"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
creatively,adv. 创造性地；有创造力地
mosquito,"n. 蚊子
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apart from ...,除了...之外
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
committee,"n. 委员会
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
academy,"n. 学院, 院校, 学会"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
herb,"n. 药草, 香草
"
literature,"n. 文学, 文艺, 著作
"
recipe,"n. 食谱, 处方, 秘诀
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
eventually,"adv. 最后, 终于"
come across,偶遇
promising,"a. 有希望的, 前途有望的
"
fame,"n. 名望, 名声, 传说"
renowned,"a. 有名的, 有声誉的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
Mahatma,"n. 大圣, 受尊敬的人"
pick out,"na. 挑选；掘出；闻出；领会
"
independence,"n. 独立, 自立, 自主
"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
racial,"a. 人种的, 种族的
"
discrimination,"n. 差别, 岐视, 辨别力
"
inspiring,a. 鼓舞人心的
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
behind bars,"[法] 在狱中, 在押"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
What a shame!,"真糟糕,太遗憾了!"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
self-evident,adj. 不证自明的
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
impressive,"a. 给人深刻印象的, 威严的"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
the other day,不久前某一天
horror,"n. 惊骇, 恐怖, 惨状
"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
be regarded as,[网络] 被认为是；被当做是；视为
novelist,n. 小说家
journalist,"n. 新闻记者, 从事新闻杂志业的人"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
opportunity,"n. 机会, 时机"
reputation,"n. 名誉, 名声, 声望
"
awareness,"n. 意识, 认识
"
organisation,"n. 组织, 团体, 体制, 编制"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
due to,"由于, 应归于"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
biography,n. 传记
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
energetic,"a. 精力充沛的, 积极的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
disability,"n. 无力, 无能, 残疾
"
attitude,"n. 态度, 看法, 姿势
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
daring,a. 大胆的
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
in spite of,不管
