mother tongue,"母语
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
penicillin,"n. 盘尼西林, 青霉素
"
outcome,"n. 结果, 出口"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
wrestle with something,[网络] 努力解决难以处理的事
circuit,"n. 电路, 环(行)道, 巡回
"
microwave,"n. 微波
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
exploration,"n. 探险, 踏勘, 探测
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
ancestor,"n. 祖先, 祖宗"
outwards,adv. 向外地
boundary,"n. 边界, 分界线
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
barrier,"n. 障碍, 栅栏
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
sneeze,"n. 喷嚏
vi. 打喷嚏"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
porridge,"n. 粥, 糊"
ripe,"a. 成熟的, 熟练的, 成年的
"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
ripen,"vt. 使成熟
vi. 成熟"
walnut,"n. 胡桃
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
socket,"n. 窝, 穴, 插座, 眼窝
vt. 插进插座
"
shaver,"n. 修面的人, 电动剃刀, 刨刀, 杀价买进期票的人, 善于讨价还价的人"
Mars,[网络] 马尔斯
Venus,"n. 维纳斯(爱与美的女神), 金星"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
carbon dioxide,"二氧化碳
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
declare,"v. 宣布, 声明, 申报, 断言"
souvenir,n. 纪念品
settler,"n. 移民者, 解决者, 结算员
"
kidney,"n. 肾, 个性
"
liver,"n. 肝脏, 生活者, 居民
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
circulate,"v. (使)流通, (使)循环, (使)传播"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
hearing,"n. 听, 听觉, 听讯
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
track and field,a. 田径运动的
enhance,"vt. 提高, 加强, 增加"
performance-enhancing,"adj. （尤指药物）兴奋性的（以提高在体育竞赛的表现）
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
doping,
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
tolerate,"vt. 宽容, 容许, 有耐力"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
in vain,"徒然
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
at random,"胡乱地, 随便地
"
gene-therapy,n. 基因治疗
threat,"n. 恐吓, 恶兆, 威胁
"
controversial,"a. 争论的, 论争的, 被议论的"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
marathon,"n. 马拉松, 耐力的考验"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
at all costs,不惜任何代价
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
complicated,"a. 复杂的
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
soundtrack,"n. 声迹, 声槽, 声带"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
emotion,"n. 情绪, 激动, 强烈的情感
"
privileged,"a. 有特权的, 有特别恩典的
"
cater,"v. 提供饮食及服务, 投合, 迎合"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
ample,"a. 大量的, 充足的, 丰富的"
herb,"n. 药草, 香草
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
straight away, 立即; 马上
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
cancer,"n. 癌, 恶性肿瘤
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
empire,"n. 帝国, 帝权"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
prohibit,"vt. 禁止, 阻止
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
statistics,"n. 统计学, 统计资料
"
symptom,"n. 症状, 征候, 征兆
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
adaptation,"n. 适应, 改编, 改编本
"
foresee,"vt. 预见, 预知"
mourn,"v. 哀悼, 忧伤, 服丧"
carrier,"n. 运送者, 邮递员, 带菌者
"
prescription,"n. 处方, 命令, 指定
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
thorough,"a. 十分的, 彻底的"
systematic,"a. 有系统的, 分类上的, 体系的
"
teamwork,"n. 协同作业, 协力
"
faith,"n. 信心, 信任, 忠实, 保证
"
stop sth. in its tracks,[网络] 停在路上不走了
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
coma,"n. 昏迷, 麻木, 彗发
"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
rob,"v. 抢夺, 抢掠, 剥夺"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
minimum,"a. 最小的, 最低的
n. 最小值
"
institution,"n. 机构, 惯例, 制度
"
unconditionally,adv. 无条件地
tentatively,"adv. 试验性地, 暂时地; 权; 聊且"
equip,"vt. 装备, 配备
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
at any rate,"无论如何, 至少"
enquiry,"n. 询问
"
deadline,"n. 最后期限, 截止期限
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
appendix,"n. 附录, 附加物, 阑尾
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
aluminium,"n. 铝
a. 铝的"
tin,"n. 锡, 马口铁, 罐头
vt. 在...镀锡于
a. 锡制的
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
sceptical,"a. 怀疑论的, 怀疑的"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
circumstance,"n. 环境, 状况, 事件"
