tedious,"a. 沉闷的, 冗长乏味的"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
literacy,"n. 读写能力, 识字, 精通文学"
depict,"vt. 描述, 描写"
acquisition,"n. 获得, 获得物
"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
successive,"a. 继承的, 连续的
"
confusion,"n. 混乱, 混淆, 无秩序
"
diminish,"v. (使)减少, (使)变小"
concentration,"n. 集中, 专心
"
fluent,"a. 流利的, 流畅的"
fluently,adv. 流利地；通畅地
poverty,"n. 贫穷, 贫困, 缺乏
"
ignorance,"n. 无知, 愚味
"
horizon,"n. 地平线, 眼界, (天)视地平"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
apply to,[计] 应用于
in a bid to do sth.,无
end up,"竖着, 结束, 死"
end with,以…结束
speak of,"谈到..., 论及..."
launch sb. on sth.,"开始, 着手"
get hold of sth.,"抓住, 得到"
appeal to sb. for sth.,[网络] 求助于
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
leave ... behind,"na. 遗留；留下；追过；留在后头
"
accounting,"n. 会计学, 帐单, 清帐
"
calculate,"v. 计算, 预测, 计划, 打算"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
defect,"n. 缺点
"
applied,"a. 应用的
"
bet,"n. 打赌, 赌注
v. 打赌"
persist,"vi. 坚持, 固执, 持续, 坚称
"
accelerate,"v. 加速, 促进"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
logical,"a. 合乎逻辑的, 合理的
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
dominant,"a. 占优势的, 支配的
"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
promote,"vt. 促进, 晋升, 创办, 推销
"
speculate,"vi. 深思, 推测, 投机
"
mystery,"n. 秘密, 神秘, 奥秘"
destruction,"n. 破坏, 毁灭
"
self-destruction,"n. 自毁；自杀
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
architect,"n. 建筑师, 设计者, 缔造者"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
analysis,"n. 分析
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
insight,"n. 察看, 洞察力, 见识
"
thereby,adv. 因此
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
candidate,"n. 候选人, 投考者
"
breakthrough,"n. 突破
"
barrier,"n. 障碍, 栅栏
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
establishment,"n. 确立, 制定, 设施
"
dean,"n. 院长, 主持牧师
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solely,"adv. 仅仅, 单独地"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
major in,"主修, 专攻"
in succession,连续地
stand up for,"支持
"
speculate about,思考关于…
speculate on,"考虑, 推测"
capture one's imagination,无
in the form of,以…形式
a body of sth., 一群，一队。后加单数谓语动词
the body of sth.,[网络] 这个躯体；自由权法
invest ... with sth.,[网络] 授予；授于
in a ... manner,"在某种意义上,有几分,多多少少,可以说"
in favor of,"赞同, 有利于"
prepare ... for ...,[网络] 准备；为…作准备；为…做准备
in the company of,在...陪同下
consensus,"n. 合意, 一致, 同感
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
critic,"n. 批评家, 鉴定家"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
upside,"n. 上侧, 上段, 上部
"
upside down,[网络] 机腹朝上；颠倒；上的姿势
confirm,"vt. 证实, 确定, 批准, 使巩固
"
fate,"n. 命运, 运气
vt. 注定"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
sufficient,"a. 充分的, 足够的
"
presumably,"adv. 推测上, 大概"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
bachelor,"n. 单身汉, 学士
"
bachelor's degree,学士学位
dilemma,"n. 困境, (进退两难的)窘境"
accumulate,"v. 积聚, 堆积"
ratio,"n. 比, 比率
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
likewise,"adv. 同样地, 也"
curriculum,"n. 课程
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
carpenter,n. 木匠
mechanic,"n. 机械工, 技工
a. 手工的"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
install,"vt. 安装, 安置, 使就职
"
installer,n. 安装者
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
breadth,"n. 宽度
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
sake,"n. 目的, 缘故, 理由"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
oriented,"a. 导向的
"
evaluate,"vt. 评估, 评价, 赋值"
equation,"n. 相等, 等式, 平衡
"
proposal,"n. 提议, 计划, 求婚
"
investment,"n. 投资
"
compel sb. to do sth.,无
be stacked against,无
in addition,另外
be available to,可被...利用或得到的
expose sb. to sth.,"un. 暴露于
"
describe ... as,描述为
have sth. to do with ...,"na. 和…有关系
"
for its own sake,[网络] 为自身的原因；为了自己的发展；纯粹为此而已
bother to do sth.,无
not bother to do sth.,无
odyssey,n. 奥德赛(古希腊史诗)
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
adolescence,"n. 青春期
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
acquaint,"vt. 使认识, 介绍"
previous,"a. 早先的, 前面的, 过急的
"
induction,"n. 归纳法, 感应, 就职, 入门
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
so-called,adj. 所谓的
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
agenda,"pl. 议程, 日常工作事项
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
spouse,n. 配偶
stability,"n. 安定, 稳定性, 坚实, 巩固
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
heir,"n. 继承人, 嗣子, 后嗣
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
rebellious,"a. 造反的, 反抗的
"
resent,"vt. 愤恨, 憎恶, 怨恨"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
distract,"vt. 转移, 分心, 使发狂"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
predict,"v. 预知, 预言, 预报"
guideline,"n. 指导路线, 方针, 指标
"
version,"n. 一种描述, 版本, 译文
"
status,"n. 状态, 情形, 地位, 要人身份
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
considering,"prep. 就...而论
conj. 考虑到"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
deceive,"v. 欺骗, 行骗"
outset,"n. 着手, 开头, 最初"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
up-to-date,"最近的, 最新的
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
acquaint oneself with sth.,"认识,知道,通晓"
prior to sth.,"在前, 居先
"
base upon,使建立在…基础上
base on,"v. 根据
"
saddle sb. with sth.,[网络] 拖累；强迫承担
keep a distance from,无
run away from,逃避
get away from,"离开,摆脱,脱离"
distract sb. from sth.,"v. 分散,使分心"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
apart from,除了...之外
have an effect on,(对…)有影响〔产生效果〕
deceive sb. into doing sth.,无
back off,后退
wonder at,对...感到惊讶/诧异
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
feasible,"a. 能实行的, 可行的, 适宜的
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
miserable,a. 悲惨的；痛苦的；卑鄙的
volcano,n. 火山
erupt,"vi. 爆发
vt. 喷出"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
banquet,n. 宴会
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
affirm,"v. 断言, 确认"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refined,"a. 精炼的, 优雅的, 精细的
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
porch,"n. 门廊, 走廊"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
deputy,n. 副手，代理人
somehow,adv. 不知何故
integrity,"n. 正直, 廉正, 完整
"
cargo,"n. 货物
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
trailer,"n. 追踪者, 拖车
"
air-conditioning,"用空调设备调节空气, 空调设备
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
refreshed,v. 使清凉；使重新提起精神；得到补充给养（refresh的过去分词）
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
fairy,"n. 仙女, 精灵
a. 仙女的"
fairy tale,"神话故事, 童话, 谎言"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
statue,"vt. 以雕像装饰
n. 雕像"
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
be tired of,厌烦
be strict with sb.,"对...严格, 对...严历"
not amount to much,"没有什么了不起,没有多大道理"
not amount to anything,一事无成
not amount to a great deal,无
bond with sb.,无
drift off, （人）渐渐离开
can't bear to do sth.,无
surrender oneself to sth.,听从…摆布，屈服于(习惯、影响、感情等)
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
cute,"a. 可爱的, 聪明的, 伶俐的
"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
cautious,"a. 谨慎的, 小心的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
tempting,"a. 诱惑人的, 吸引人的"
reputation,"n. 名誉, 名声, 声望
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
semester,n. 学期
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
sexual,"a. 性的, 性别的
"
superb,"a. 极度的, 华丽的, 极好的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
consequently,adv. 所以
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
behalf,"n. 利益, 方面"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
liberty,"n. 自由, 特权, 许可, 冒失
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
disapprove,v. 不赞成
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
kneel,vi. 跪下
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
confess,"v. 承认, 坦白, 忏悔, 供认"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
commence,"v. (使)开始, 得学位"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
head for,"出发, 动身, 前往"
gaze at,盯住
stare at,"凝视, 盯住"
by accident,偶然
pretend to do sth.,[网络] 假装做某事；假装干；假装去做某事
come over sb.,"过来
"
immune to, 对…免疫; 不受…感染; 不受影响的
go along with ...,"陪...一起去, 赞同, 附和"
expel sb. from sth.,"驱逐出, 开除"
proceed to sth.,进入...
take the liberty of doing sth.,"na. 冒昧行事
"
take sb. by surprise,"v. 突然惊吓
"
propose marriage, 求婚
be filled with,充满…
tie the knot,[法] 结婚
be pessimistic about, 对于…感到悲观
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
inclined,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的"
daring,a. 大胆的
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
approval,"n. 赞成, 批准
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
bonus,"n. 奖金, 红利
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
bunch,"n. 串, 束
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
circulate,"v. (使)流通, (使)循环, (使)传播"
undergo,"vt. 遭受, 经历, 忍受
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
plural,"n. 复数
a. 复数的, 两个以上的"
plurality,"n. 复数, 较大的数, 多数状态, 兼职
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
definite,"a. 明确的, 一定的
"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hastily,"adv. 匆忙地, 急速地, 急躁地"
