Jenny,"n. 纺纱机, 移动吊车, 母驴"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
upon,"prep. 在...之上, 迫近, 紧接着"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
oh,interj. (表示惊讶、恐怖、赞叹)哦
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
donut,"[医] 电子回旋加速器环状真空室, 同步加速器环状真空室"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
Jim,n. 吉姆（人名）
stomachache,"n. 胃痛, 肚子痛"
better,"a. 较好的
adv. 比较好"
Dr.,"abbr. （书写形式）医生；（用于街道名）路
n. 【摄】动态范围
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
headache,"n. 头痛, 令人头痛之事
"
aachoo,无
medicine,"n. 药, 医学, 内科
vt. 给...用药"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
different,"a. 不同的
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
twelve,"num. 十二, 十二个"
blond,"a. 金发的
n. 白肤碧眼金发的人"
thirteen,"num. 十三, 十三个"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
almost,"adv. 几乎, 差不多"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
restaurant,"n. 餐馆, 饭店"
fifteen,"num. 十五, 十五个"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
would,"aux. 将, 愿意"
salad,n. 色拉
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
delicious,a. 美味的
Mary,M 阶
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
cookie,"n. 饼干, 小甜点
"
chocolate,"n. 巧克力
a. 巧克力制的"
everything,"pron. 每件事物, 所有事物"
meat,"n. 肉, 餐, 食物
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
grape,"n. 葡萄, 葡萄树
"
carrot,"n. 胡萝卜
"
cabbage,"n. 卷心菜
"
watermelon,n. 西瓜
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
pear,"n. 梨子, 梨树, 梨木
"
waitress,"n. 女侍者, 女服务员"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
fourteen,"num. 十四, 十四个"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
eleven,"num. 十一, 十一个"
dumpling,"n. 面团布丁, 团子"
something,"pron. 某事, 某物"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
menu,"n. 菜单, (功能)选择单
"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
fridge,n. 电冰箱
twenty,"num. 二十, 二十个"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
away,adv. 离去
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
takeout,"n. 取出的东西
a. 向搭档示意而非为惩罚对方的, 供顾客带出外吃的"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
P.S.,"n. 附言
"
member,"n. 成员, 会员
"
son,"n. 儿子, 女婿, 子孙
"
daughter,"n. 女儿
a. 女儿的"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
policeman,"n. 警察
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
businessman,"n. 商人, 实业家, 工商业家"
weekend,"n. 周末, 周末休假"
together,"adv. 一起, 共同, 彼此"
others,pron. 其他人
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
bedroom,n. 卧室
dictionary,"n. 字典, 词典
"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
thirty,"num. 三十, 三十个"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
basket,"n. 篮, 篮子
vt. 装入篮"
Rover,"n. 漂泊者, 流浪者, 海盗
"
tablecloth,n. 台布
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
poem,"n. 诗, 诗般美的事物"
rose,"n. 玫瑰, 蔷薇, 玫瑰色
a. 玫瑰色的, 玫瑰花的
vt. 使成玫瑰色
rise的过去式"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
woof,"n. 纬线, 织物, 基本成分, 低吠声, 低鸣声"
Jane,n. 简（女子名）
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
Fred,n. 佛瑞德（男子名）
Heidi,n. 海蒂（Adalheid的昵称）
teacup,"n. 茶杯, 满茶杯"
bookstore,n. 书店
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
lady,"n. 淑女, 夫人, 女士, 贵妇"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
forty,"num. 四十, 四十个"
fifty,"num. 五十, 五十个"
sixty,"num. 六十, 六十个"
seventy,"num. 七十, 七十个"
eighty,"num. 八十, 八十个"
ninety,"num. 九十, 九十个"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
forest,"n. 森林, 林区
vt. 植树于"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
countryside,"n. 乡下地方, 乡下居民"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
quickly,adv. 很快地
moo,"vi. 发哞声
n. 牛叫声"
museum,n. 博物馆
hall,"n. 门厅, 走廊, 会堂"
famous,"a. 出名的, 极好的"
painting,"n. 画, 绘画, 油漆
"
boring,"a. 烦人的, 无聊的, 无趣的
"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
learn,vt. 学习；认识到；得知
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
area,"n. 区域, 面积, 范围, 空地
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
movie,n. 电影
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
kung fu,n. 中国功夫
price,"n. 价格, 代价, 价值
vt. 定...的价格"
hero,"n. 英雄, 超越常人者, 男主角"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
airport,"n. 飞机场
"
hotel,"n. 旅馆, 客栈"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
Monday,n. 星期一
rainy,"a. 下雨的, 多雨的"
swimming,"n. 游泳, 眩晕"
Tuesday,n. 星期二
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
Wednesday,n. 星期三
Thursday,n. 星期四
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
Nick,"n. 刻痕, 缺口, 划痕
vt. 刻痕于, 弄缺, 擦伤
vi. 狙击"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
December,n. 十二月
best,"a. 最好的
adv. 最好地
n. 最好的人"
Tony,[网络] 乖乖
Friday,n. 星期五
Christmas,[网络] 圣诞；基督的弥撒
eve,"n. 前夕, 前夜"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
January,n. 一月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
June,n. 六月
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
February,n. 二月
third,"num. 第三, 三分之一
"
fourth,"num. 第四, 四分之一"
fifth,"num. 第五, 五分之一"
May,"n. 五月
aux. 愿能, 可以, 愿意"
sixth,"num. 第六, 六分之一"
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
November,n. 十一月
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
seventh,"num. 第七, 七分之一"
July,n. 七月
eighth,"num. 第八, 八分之一"
ninth,"num. 第九, 九分之一"
tenth,"num. 第十, 十分之一"
October,n. 十月
eleventh,"num. 第十一, 十一分之一"
twelfth,"num. 第十二, 十二分之一"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
international,"a. 国际的
n. 国别设定
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
usually,"adv. 通常, 大抵"
during,prep. 在...的时候
mountain,"n. 山, 山脉, 大堆"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
beach,n. 海滩
Anne,n. 安妮（女子名）
Australia,"n. 澳洲, 澳大利亚"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
yours,"pron. 你的(东西), 你们的(东西)"
direction,"n. 方向, 指导, 趋势
"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
New Zealand,新西兰
grandparent,n. 祖父母
southeast,"n. 东南, 东南地区
a. 东南的, 向东南的, 来自东南的
adv. 往东南, 来自东南"
U.S.,[网络] -我们
United States,"美国, 合众国"
soon,"adv. 不久, 早, 快, 宁可"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
everyone,"pron. 每个人, 人人
"
hey,interj. 嗨
Sydney,n. 悉尼（澳大利亚港市）
John,n. 厕所
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
U.K.,"n. 英国；联合王国
abbr. United Kingdom 联合王国
"
United Kingdom,"n. 联合王国
"
Mike,[网络] 我不是方维维；九十九里海岸；横须贺
Washington,[网络] 华盛顿
Greg,"n. 格雷格（男子名, 等于Gregory）"
Vancouver,n. 温哥华（加拿大主要港市）
language,"n. 语言, 文字, 措辞
"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
palace,"n. 宫, 宫殿, 华丽大厦"
the Palace Museum, 故宫; 故宫博物院
lovely,"a. 可爱的, 有趣的"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
Ottawa,n. 渥太华
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
beaver,"n. 海狸(毛皮)
"
Niagara,"n. 尼亚加拉, 尼亚加拉河, 急流, 泛滥的洪水"
waterfall,n. 瀑布
stripe,"n. 斑纹, 条纹
"
eagle,"n. 鹰, 鹰状标饰"
statue,"vt. 以雕像装饰
n. 雕像"
liberty,"n. 自由, 特权, 许可, 冒失
"
Statue of Liberty,自由女神像
New York,纽约
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
Canberra,n. 堪培拉
kangaroo,"n. 袋鼠
"
opera,n. 歌剧
Sydney Opera House,"n. 【地,旅】悉尼歌剧院
"
Singapore,n. 新加坡
Africa,n. 非洲
South Africa,南非
be from ...,来自于
What's your name?,[网络] 你叫什么名字；你叫什麽名字；你的名字是什么
My name is ...,[网络] 我叫；我的名字是；我的名字叫
I'm ...,"na. 'im = him
"
How are you?,你好吗?
I'm fine. And you?,无
"Nice to meet you, too.",无
Good morning.,早上好
over there,在那边
homeroom teacher,班导师
visiting student,无
show ... around,"v. 带…参观
"
have lessons, 上课
play sports, 参加体育运动或比赛
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
guessing game, 猜谜
Excuse me. May I have ...?,无
Here you are.,"你已经到了,你要的东西在这儿!"
You're welcome!,[网络] 不客气；别客气；不用谢
See you later.,再见
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
shopping list,n. 购物清单
light blue,[医] 淡蓝
Good afternoon.,下午好
How about ...?," …怎么样, …怎么办"
look at ...,"看, 考虑, 着眼于"
How many colours do you see?,无
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
in the sky,空中
just right," 恰好, 正好; 不失毫厘; 不差毫发; 初写黄庭"
catch a cold,感冒
ready for ..., 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
be ready for ...,为…作好准备
go back,"回去, 追溯"
put on,"na. 假话
"
go well with,在…进展顺利
take ... all out of,无
look so pretty,无
in black and white,用白纸黑字地写下来
go shopping,去买东西
at the shopping centre,无
a pair of,"一对..., 一付..."
