comedy,"n. 喜剧, 有趣的事情"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
psychological,"a. 心理学的, 精神上的, 心灵的
"
mood,"n. 心情, 气氛, 生气, 基调
"
far-reaching,adj. 影响深远的; 有广泛影响的
energise,vt. 供给…能量；使精力充沛（等于energize）
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
cell,"n. 单元, 细胞, 电池
"
infection,"n. 传染, 影响, 传染病
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
embarrassment,"n. 困难, 阻碍, 困窘
"
accidentally,"adv. 偶然地, 意外地"
expense,"n. 费用, 代价, 开支, 损失
"
at sb.'s expense,无
comedian,n. 喜剧演员
nationality,"n. 国籍, 国家, 民族性
"
reputation,"n. 名誉, 名声, 声望
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
amuse,"vt. 消遣, 娱乐, 使发笑"
rely,"vi. 信赖, 依赖, 信任"
rely on,"依赖, 依靠"
purely,"adv. 纯粹地, 清白地, 贞洁地"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
astonished,a. 吃惊的
steak,"n. 牛排, 鱼排, 肉排"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
vase,"n. 花瓶, 瓶"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
screenwriter,"n. 电影剧本作家, 编剧家"
mostly,"adv. 大概, 大部分, 主要
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
amusing,"a. 有趣的, 引人发笑的"
creation,"n. 创造, 创作物, 发明
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
scholarship,"n. 学问, 学术成就, 奖学金"
boarding school,寄宿学校
attain,"vt. 达到, 获得
vi. 达到"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
electrical engineering,电机工程学
stutter,"n. 口吃, 结结巴巴
v. 结结巴巴地说"
talent,"n. 天才, 才能, 有才干的人, 天资"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
producer,"n. 生产者, 制作者, 制作人
"
rarely,"adv. 很少地, 罕有地"
genius,"n. 天才, 天赋, 精神, 神魔
"
convinced,"a. 确信的, 深信的"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
loosely,"adv. 松弛地, 宽松地, 不紧"
criticise,"v. 批评, 吹毛求疵, 非难"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
politician,"n. 政客, 政治家, 从事党派政治的人
"
bath,"n. 沐浴, 浴室
"
significance,"n. 重要性, 意义, 意味
"
promote,"vt. 促进, 晋升, 创办, 推销
"
facilitate,"vt. 使容易, 促进, 帮助
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
cultivate,"vt. 培养, 耕作"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
fellow man,同胞
analyse,"vt. 分析, 细察, 分解
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
educator,n. 教育家
insist,"v. 坚持, 坚决主张, 强调"
evaluate,"vt. 评估, 评价, 赋值"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
exceptionally,adv. 特殊地；异常地；例外地
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
restriction,"n. 限制, 限定, 约束
"
unbearable,"a. 无法忍受的, 承受不住的"
troublesome,"a. 麻烦的, 令人讨厌的"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
tendency,"n. 趋向, 倾向
"
superb,"a. 极度的, 华丽的, 极好的"
eyesight,"n. 视力, 目力"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
technique,"n. 技巧, 技术, 方法
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
doll,"n. 洋娃娃, 无头脑的美丽女人"
initially,"adv. 最初, 开头"
excitement,"n. 刺激, 兴奋
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
vocabulary,"n. 词汇(量), 词汇表
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
disappointed,a. 失望的
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
concept,"n. 观念, 概念
"
breakthrough,"n. 突破
"
necklace,n. 项链
forehead,"n. 额, 前额, 前部
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
well-rounded, [体]技术全面的
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
cognition,"n. 认识, 认识力, 认识的结果
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
insight,"n. 察看, 洞察力, 见识
"
civil,"a. 市民的, 公民的, 有礼貌的
"
integrity,"n. 正直, 廉正, 完整
"
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
educate,"vt. 教育, 培养, 训练"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
acquisition,"n. 获得, 获得物
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
economics,"n. 经济学
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
surrounding,"n. 环境
a. 周围的"
uncritically,"adv. 不加批评地, 不加鉴别地"
judgement,"n. 审判, 判决, 判断
"
regardless,"a. 不管, 不注意, 不顾"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
circumstance,"n. 环境, 状况, 事件"
citizen,"n. 市民, 公民
"
conclusion,"n. 结论, 结尾, 推论
"
in conclusion,最后
definition,"n. 定义, 精确度, 清晰度
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
priority,"n. 优先权, 优先
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
autonomous,"a. 自治的
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
assess,"vt. 估定, 对...征税, 评定
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
analysis,"n. 分析
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
inefficient,"a. 无效率的, 无能的
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
universe,"n. 宇宙, 星系, (思想等)范围"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
BCE,[网络] 请问补充维他命
before Common Era,[网络] 公元前；普通公元前；普通时代前
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
assumption,"n. 假定, 自负, 担任, 假装
"
respected,a. 受尊敬的
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
conventional,"a. 传统的, 习惯的, 约定的
"
kingdom,"n. 王国, 领域
"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
beneficial,"a. 有益的, 受益的
"
mankind,"n. 人类, 男性"
apron,"n. 围裙
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
imply,"vt. 暗示, 意味
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
timetable,n. 时间表
preoccupied,"a. 被先占的, 入神的, 一心一意的"
facility,"n. 容易, 灵巧, 设备
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
restrict,"vt. 限制, 限定, 约束
"
arrange,"v. 安排, 排列, 达成协议
"
microblogging, 微博
hence,"adv. 因此, 从此"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
via,"prep. 经由, 经过, 通过
"
economic,"a. 经济上的, 实用的, 节省的
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
diverse,"a. 不同的, 变化多的"
election,"n. 选举, 当选, 选择权
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
candidate,"n. 候选人, 投考者
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
available,"a. 可利用的, 可获得的, 有效的
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
up-to-date,"最近的, 最新的
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
mixture,"n. 混合, 混淆, 混合物
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
complicated,"a. 复杂的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
expectation,"n. 期待, 指望, 展望
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
non-fiction,"n. 纪实文学
"
biography,n. 传记
autobiography,n. 自传
ghost writer,n. 为人代写的作者
adaptation,"n. 适应, 改编, 改编本
"
critic,"n. 批评家, 鉴定家"
rating,"n. 等级, 额定功率, 责骂
"
appropriate,"a. 适当的
"
liberty,"n. 自由, 特权, 许可, 冒失
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
definite,"a. 明确的, 一定的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
generate,"vt. 产生, 发生, 导致
"
version,"n. 一种描述, 版本, 译文
"
category,"n. 种类, 类项
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
recording,"a. 记录的, 记录用的
n. 录音"
high-definition,[电] 高精度
upload,"[计] 上装, 加载, 储入"
corporation,"n. 公司, 合作, 法人团体
"
interactive,"a. 相互作用的, 相互影响的
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
advertising,"n. 广告业, 广告
a. 广告的
"
advertisement,"n. 广告, 启事, 广告宣传
"
freedom,"n. 自由, 坦率, 特权
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
agency,"n. 代理机构, 经销商, 中介
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
technological,"a. 技术的
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
locate,"vt. 找出, 设于, 位于
vi. 定居"
suitable,"a. 适当的, 相配的
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
consist of,由...组成
advertiser,"n. 做广告者, 广告客户
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
visual,"a. 视觉的
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
competitive,"a. 竞争的
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
genuinely,adv. 真诚地；诚实地
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
beauty,"n. 美, 美人"
beast,"n. 畜生, 动物, 野兽, 兽性"
fairy,"n. 仙女, 精灵
a. 仙女的"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
fairy tale,"神话故事, 童话, 谎言"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
creature,"n. 人, 动物, 创造物, 生物"
prisoner,"n. 囚犯, 犯人, 战俘
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
theme,"n. 主题, 话题, 题目"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
frightening,a. 令人恐惧的；引起突然惊恐的
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
convey,"vt. 传达, 运输, 转让
"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
