man-made,人造的
wounded,"a. 受伤的
"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
dying,"a. 垂死的
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
take care of,"照顾
"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
invention,"n. 发明, 创作能力, 虚构的故事
"
at that time,在那时
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
useful,"a. 有用的, 有益的
"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
himself,"pron. 他自己, 他亲自"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
die of,"死于…,因…而死"
Canada,n. 加拿大
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
meeting,"n. 会议, 会面
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
anybody,"pron. 任何人
n. 重要人物"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
passenger,"n. 乘客, 旅客
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
text message, 正文消息
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
a couple of,"一对..., 三两个..."
actually,"adv. 事实上, 竟然, 如今, 现在"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
turn off,"v. 关掉
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
be worried about,为…着急
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
on business,因公
sofa,n. 沙发
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
hand in,"na. 交进
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
unable,"a. 不能的, 不会的
"
all day long,整天
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
exhibition,"n. 表现, 展览会, 展览品
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
against the rules,[网络] 违反规定；犯规；违反规则
in trouble,"处于不幸中, 在监禁中"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
No entry,"[法] 不准入内, 不准驶入"
no good,"没用,毫无用处,不顶用"
no wonder,不足为奇的
missing,"a. 不见的, 缺少的
"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
communications,"n. 交通设施, 通讯系统"
physics,"n. 物理学, 物理过程, 物理现象
"
chemistry,"n. 化学, 化学过程
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
coal,"n. 煤, 木炭
v. 加煤"
energy,"n. 精力, 精神, 活力, 能量
"
X-ray,"X射线, X光, X光照片"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
compare ... with ...,"比较…,跟…相比,比得上…"
of all ages,古往今来的(事情);老老少少的(人)
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
exam,"n. 考试, 测验"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
guitar,n. 吉他
instrument,"n. 工具, 手段, 仪器
"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
get into the habit of ...,养成...的习惯
schoolwork,"n. 学校作业, 家庭作业"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
necessary,a. 必要的；必然的；必需的
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
instead,"adv. 作为替代, 反而"
instead of,代替
community,"n. 社区, 公众, 共有, 共同体
"
knowledge,"n. 知识, 学问, 认识, 知道"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
consider,"v. 考虑, 思考, 认为"
last word,"最后一句话, 定论, 最新形式, 最后决定权, 最新品种
"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
angry,"a. 生气的, 愤怒的"
no longer,不再
be angry with sb.,对(某人)生气
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
truth,"n. 事实, 实情
"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
at least,"至少
"
honest,"a. 诚实的, 坦直的, 可靠的"
apologise,vi. 道歉（等于apologize）
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
pocket money,"零用钱
"
discuss,"vt. 讨论, 论述
"
thinker,"n. 思想者, 思想家"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
make sense,有意义
by the way,"在途中, 顺便"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
well-known, 众所周知的; 出名的
adventure,"n. 冒险, 冒险经历
v. 冒险"
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
"
run away,"潜逃
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
for a time,"暂时, 一度"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
funeral,"n. 葬礼, 出殡"
surprised,a. 感到惊讶的
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
pay for,付...款
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
everyday,"a. 每天的, 日常的, 平常的"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
decision,"n. 决定, 决心, 决断
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
noon,"n. 正午, 中午, 全盛期"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
no way,"无论如何也不,决不"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
sportsman,"n. 运动员, 冒险家"
high jump, 跳高
ability,"n. 能力, 才干
"
hurdling,n. 跳栏赛跑
sportswoman,n. 女运动员
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
method,"n. 方法, 办法, 条理, 秩序
"
hurdles,n. 障碍( hurdle的名词复数 ); 跳栏; （供人或马跳跃的）栏架; 跨栏赛
Japan,"n. 日本
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
sportsperson,n. 运动员
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffer from,"忍受, 遭受
"
first place, [体]第一名; [计][WIN]冠军
stop sb. doing sth.,[网络] 停止做某事；停止正在做的事；停止正在做的事情
stop sb. from doing sth.,"un. 妨碍；阻止:
"
courage,"n. 勇气, 胆量"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
take pride in,以...为傲
borrow,"vt. 借, 借入, 借用
vi. 借
"
put up,"adj. 预先商定的
"
website,n. 网站（全球资讯网的主机站）
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
textbook,n. 教科书
mainly,"adv. 主要地, 大抵"
thousands of,"成千上万,数千,许许多多"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
electronic,"a. 电子的
"
technology,"n. 技术, 工业技术, 术语
"
powerful,"a. 有力的, 有权力的, 强大的
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
instructions,n. 指令；说明（instruction的复数形式）
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
properly,"adv. 适当地, 相当地"
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
printing,"n. 印刷, 印刷术, 印花
"
at a time,"每次, 在某时"
by hand,用手
development,"n. 发展
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
in a way,"在某种程度上, 稍稍"
compare ... to, 把…比作， 喻为; 与…相比
introduction,"n. 介绍, 传入, 采用, 初步"
amount,"n. 总数, 总额
vi. 总计, 等同"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
varied,"a. 不同的, 杂色的, 各式各样的
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
connection,"n. 连接, 关系, 前后关系
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
direction,"n. 方向, 指导, 趋势
"
replace,"vt. 代替, 替换, 放回, 归还
"
wait and see,等着瞧
here we go,[网络] 我们开始吧；又来了；我们一起开始吧
central,"a. 中央的, 重要的
"
according to,"根据, 按照；取决于；据…所说"
magical,"a. 魔术的, 有魔力的, 不可思议的"
height,"n. 高度, 海拔, 高地, 顶点
"
sailing boat,帆船
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
sheep,"n. 羊, 胆小者"
hat,"n. 帽子
vt. 给...戴帽子"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
keep sb. away,防范
keep sth. away,防范
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
scissors,"pl. 剪刀
"
cut sth. off sth.,"na. 削除；截止；截断(退路等)；割下来
"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
diary,"n. 日记
"
keep a diary,v. 写日记
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
ant,n. 蚂蚁
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
brush sth. off sth.,"na. 刷去；打发走；摒弃；逃掉
"
at the time,"当时,那时"
be surprised at,对…惊讶
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
relationship,"n. 关系, 关联
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
salad,n. 色拉
grape,"n. 葡萄, 葡萄树
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
kangaroo,"n. 袋鼠
"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bet,"n. 打赌, 赌注
v. 打赌"
you bet,"你可确信, 的确, 当然"
the thing is,问题是
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
difficulty,"n. 困难, 难点"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
recently,adv. 最近
menu,"n. 菜单, (功能)选择单
"
be in with a chance,[网络] 有机会
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
read out,"na. 大声读；【自动化】读出
"
winner,"n. 胜利者, 优胜者
"
compared with,与…相比
even though,"虽然, 尽管"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
blouse,n. 宽松的上衣
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
protect sth. against sth., 保护，保卫
singer,n. 歌手
congratulations,"n. 祝贺词, 祝贺语"
headmaster,"n. (中小学)校长, 监工"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
factory,"n. 工厂, 产生地, 代理店
"
pollute,"vt. 污染, 弄脏, 玷污
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
hopeless,"a. 无希望的, 绝望的, 不可救药的"
china,"n. 中国, 瓷器
a. 中国的"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
policy,"n. 政策, 方针, 策略, 保险单
"
reuse,"vt. 再使用
n. 重新使用"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
cloth,"n. 布料, 织品, 布
"
ton,"n. 吨
"
tons of,adj. 大量的，很多的，
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
recycling,[电] 再循环
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
grandson,"n. 孙子, 外孙"
granddaughter,"n. 孙女, 外孙女"
