disastrous,"a. 损失惨重的, 悲伤的"
casualty,"n. 意外事故, 伤亡, 受害者
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
unanimous,"a. 意见一致的, 无异议的"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
cavity,"n. 洞, 空穴, 腔
"
ministerial,"a. 部长的, 内阁的, 执政的
"
adherence,"n. 依附, 固执, 坚持
"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
retrieval,"n. 取回, 恢复, 检索
"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
elicit,"vt. 引出, 推导出, 引起"
infinity,"n. 无限大, 无限
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
oppress,"vt. 压迫, 压抑, 使烦恼"
broker,"n. 掮客, 经纪人
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
deter,"vt. 制止, 吓住, 威慑"
dressing,"n. 调味品, 穿衣, 化妆
"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
fireworks,"n. 烟火, 激烈争论
"
fireplace,n. 壁炉
nude,"a. 裸的, 肉色的, 无装饰的
n. 裸体画, 裸体"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
tornado,"n. 旋风, 龙卷风, 大雷雨"
atrocity,"n. 残暴, 凶恶, 暴行
"
pesticide,"n. 杀虫剂
"
limelight,"n. 石灰光, 石灰光灯, 以石灰光灯照射的舞台
vt. 使受到注目, 使显露头角"
apron,"n. 围裙
"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
beverage,"n. 饮料
"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
dove,"n. 鸽子
dive的过去式"
clothe,"vt. 给...穿衣, 盖上, 赋予"
advent,"n. 来到, 来临"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
conceit,"n. 自负, 空想, 狂妄"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
compassion,"n. 同情, 怜悯"
proofread,"vt. 校正, 校对"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
enable,"vt. 使能够
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
salvation,"n. 拯救, 救助, 救世"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
currency,"n. 货币, 通货, 流通, 通用
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
cope,"vi. 竞争, 应付
n. 长袍"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
organise,"vt. 组织, 有机化, 给予生机"
universe,"n. 宇宙, 星系, (思想等)范围"
apologize,"vi. 道歉, 辩解"
pollution,"n. 污染, 玷污
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
salad,n. 色拉
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
fortunate,"a. 幸运的, 幸福的"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
response,"n. 反应, 回答, 响应
"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
remain,"vi. 保持, 逗留, 剩余
"
abundant,"a. 丰富的, 充分的, 大量的"
reunion,"n. 团圆, 重聚
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
literature,"n. 文学, 文艺, 著作
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
interference,"n. 冲突, 干涉
"
prestige,"n. 声望, 威望, 威信
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
massive,"a. 大而重的, 宽大的, 宏伟的
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
myth,"n. 神话, 虚构的事, 虚构的人"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
complain,"v. 抱怨, 抗议, 控诉"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
blend,"vt. 混合
n. 混合"
stylish,"a. 现代风格的, 流行的, 潇洒的"
fraction,"n. 小部分, 破片, 分数
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
offending,a. 不愉快的；厌恶的
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
sceptical,"a. 怀疑论的, 怀疑的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
up-to-date,"最近的, 最新的
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
consultancy,"n. 商量, 协商, 磋商, 会诊, 与...商量, 咨询, 请教, 找(医生)看病, 查阅, 考虑
"
confer,"vt. 授予, 带来
vi. 协商"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
patriot,"n. 爱国者, 爱国主义者"
reassure,"vt. 使...安心, 向...再保证
"
consecutive,"a. 连续的, 联贯的
"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
punctuality,"n. 严守时间, 正确"
radius,"n. 半径, 范围, 辐射光线
"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
squad,"n. 班, 小队, 小集团
vt. 编成班"
velvet,"n. 天鹅绒
a. 天鹅绒的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
rescuer,n. 救助者
refinery,"n. 精炼厂
"
hibernate,"vi. 过冬, 冬眠, 避寒"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
elevate,"vt. 举起, 提拔, 鼓舞"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
despise,vt. 轻视
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
crunch,"v. 嘎吱嘎吱的咬嚼, 压碎, 嘎吱嘎吱地踏过
n. 咬碎, 咬碎声"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
calf,"n. 小牛, 小牛皮, 腓肠
"
blackmail,"n. 勒索
vt. 勒索"
outskirts,"n. 近郊, 市郊"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
delude,"vt. 迷惑, 蛊惑"
opt,vi. 选择
benign,"a. 善良的, 良性的
"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
glacier,n. 冰川
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
turmoil,"n. 骚动, 混乱"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
fiscal,"a. 财政的, 国库的
"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
hyphen,"n. 连字符
vt. 用连字符连接"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
logistics,"n. 后勤学, 后勤
"
paddy,"n. 稻, 谷, 爱尔兰人, 警察
"
disintegrate,"vt. (使)分解, (使)碎裂
"
uprising,"n. 起义, 升起
"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
stagnate,"v. (使)淤塞, (使)停滞, (使)变萧条"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
nowhere,"adv. 无处, 到处都无"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
abolish,"vt. 废止, 革除, 消灭
"
reluctant,"a. 不情愿的, 勉强的
"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
tradition,"n. 传说, 传统, 交付
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
injury,"n. 伤害, 侮辱
"
clinic,"n. 诊所, 临床教学
"
calculate,"v. 计算, 预测, 计划, 打算"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
activity,"n. 活动, 行动, 活跃, 活力
"
appreciation,"n. 感激, 赏识, 鉴别
"
transparent,"a. 透明的, 显然的, 清晰的
"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
delicious,a. 美味的
accustomed,"a. 惯常的, 习惯了的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
stabilise,"vt.vi. (使)稳定, (使)安定, (使)坚固
vt. 装稳定器"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
continual,"a. 持续不断的, 继续的
"
ambiguous,"a. 不明确的, 模棱两可的
"
interaction,"n. 交互作用, 交感
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
strive,"vi. 努力, 奋斗, 斗争"
expense,"n. 费用, 代价, 开支, 损失
"
era,"n. 时代, 纪元, 时期"
cater,"v. 提供饮食及服务, 投合, 迎合"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
option,"n. 选择权, 挑选, 选项
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
starve,"v. (使)饿死, (使)挨饿"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
efficient,"a. 有效率的, 能干的"
authorise,vt. 授权；批准；允许；委任（等于authorize）
commentary,"n. 注释, 评论, 说明
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
occurrence,"n. 发生, 事件, 出现
"
amount,"n. 总数, 总额
vi. 总计, 等同"
arson,"n. 纵火, 纵火罪
"
litre,"n. 升, 公升
"
racial,"a. 人种的, 种族的
"
applicable,"a. 合适的, 可应用的
"
vengeance,"n. 复仇, 报仇
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
surpass,"vt. 超越, 凌驾, 胜过"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
validity,"n. 有效性, 正确性
"
discreet,"a. 小心的, 慎重的"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
descent,"n. 降落, 家系, 侵袭, 血统
"
grope,"v. 摸索
n. 摸索"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
entrust,"vt. 信托, 交托, 委托
"
accusation,"n. 控告, 指控, 指责
"
linear,"a. 线的, 直线的, 线状的
"
casino,"n. 卡西诺赌场, 卡西诺牌戏"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
epoch,"n. 新纪元, 时代, 时期"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
glossary,"n. 专业词典, 术语集, 词表
"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
moderator,"n. 主席, 会议主持人, 仲裁人
"
propel,"vt. 推进, 驱使
"
inflict,"vt. 施以, 加害, 使承受
"
spaghetti,n. 意大利面条
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
backyard,"n. 后院, 后庭"
uranium,"n. 铀
"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
ace,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
"
almighty,"a. 万能的, 全能的"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
crate,"n. 板条箱, 装货箱
"
hypocrisy,"n. 伪善
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
tranquil,a. 安静的
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
deregulate,[法] 解除管制
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
loot,"n. 赃物, 洗劫, 抢夺
v. 洗劫, 抢夺"
syndicate,"n. 企业联合, 辛迪加, 财团
v. 联合成辛迪加"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
ratify,"vt. 批准, 认可
"
dynasty,"n. 朝代, 王朝"
contagious,"a. 触染性的, 会蔓延的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
bandage,"n. 绷带
"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
emphasise,"vt. 强调, 重读, 加强...的语气, 着重"
sulphur,"n. 硫, 硫磺
"
largely,"adv. 大量地, 很多地, 大半地"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
diagnose,v. 诊断
laptop,[计] 膝上型的
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
anniversary,n. 周年纪念
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
bakery,n. 面包店
