breakfast,n. 早餐
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
zoo,n. 动物园
yeah,"adv. (非正式)是, 是的"
tiger,"n. 老虎, 虎, 凶暴的人"
these,pron. 这些
panda,"n. 大熊猫, 小熊猫"
they,"pron. 他们, 它们"
they're,abbr. they are 他们是
they are,无
those,pron. 那些
elephant,n. 象
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
big,"a. 大的, 重要的
adv. 大量地"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
twenty,"num. 二十, 二十个"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
beautiful,a. 美丽的
we,pron. 我们
living room,"客厅, 起居室"
dining room,饭厅
bedroom,n. 卧室
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
watch TV, 看电视
where,"adv. 在哪里
pron. 哪里
n. 地点"
know,"v. 知道, 了解, 认识, 确信"
kitchen,"n. 厨房, 全套炊具
"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
behind,"adv. 在后地
prep. 在...背后"
door,n. 门
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
office,"n. 办公室, 部, 公职, 职责
"
lab,"n. 实验室, 研究室
"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
third,"num. 第三, 三分之一
"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
music,"n. 音乐, 乐曲"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
here,"adv. 在这里, 此时, 这里
n. 这里"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
library,"n. 图书馆, 藏书, 库
"
get up,"na. 起床；起身；站起来；叫…起床
"
o'clock,"n. ...点钟, 钟头"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
day,"n. 天, 日子, 白天, 工作日
"
thirty,"num. 三十, 三十个"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
go home,回家
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
at,"prep. 在, 向, 对
"
go to school,上学
go to bed,"上床, 睡觉"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
