able,"a. 能干的, 能够的"
childlike,"a. 孩子似的, 天真烂漫的"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
baby,"n. 婴孩
"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
danger,"n. 危险, 威胁
"
dangerous,"a. 危险的
"
endanger,"vt. 危及
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advertising,"n. 广告业, 广告
a. 广告的
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
suggestion,"n. 提议, 意见
"
advisory,"a. 顾问的, 咨询的, 劝告的
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
worrisome,"a. 令人烦恼的, 麻烦的, 劳碌命的"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
terror,"n. 恐怖, 可怕的人
"
terrorist,"n. 恐怖分子
"
terrorism,"n. 恐怖主义, 恐怖统治, 恐怖状态
"
afternoon,"n. 午后, 下午"
noon,"n. 正午, 中午, 全盛期"
morning,"n. 早晨, 早上, 初期"
evening,"n. 傍晚, 晚间, 末期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
nightfall,"n. 傍晚, 黄昏, 日暮"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
eve,"n. 前夕, 前夜"
yesterday,"n. 昨天
adv. 昨天"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
momentarily,"adv. 暂时地, 立刻, 随时地"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
day,"n. 天, 日子, 白天, 工作日
"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
week,"n. 星期, 周"
Monday,n. 星期一
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
weekend,"n. 周末, 周末休假"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
month,"n. 月
"
January,n. 一月
February,n. 二月
April,n. 四月
June,n. 六月
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
October,n. 十月
November,n. 十一月
December,n. 十二月
monthly,"n. 月刊
a. 每月的, 每月一次的"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
year,"n. 年, 年度, 年龄
"
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
decade,"n. 十年, 十"
century,"n. 世纪, 百年"
again,"adv. 再一次, 又, 到原处"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
repeatedly,"adv. 重复地, 再三地"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
appointment,"n. 约会, 委任的职位, 委派
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agreement,"n. 同意, 合约, 协议
"
disagree,"vi. 不一致, 不适宜
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
farmer,"n. 农夫, 农场主
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
factory,"n. 工厂, 产生地, 代理店
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
aimlessness,"n. 无目的, 盲目性"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
gas,"n. 气体, 汽油, 瓦斯
"
petrol,"n. 汽油
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
airplane,"n. 飞机
"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
aircraft,"n. 航空器, 飞机
"
airline,"n. 航线, 航线的设备, 航空公司"
airport,"n. 飞机场
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
airproof,"a. 不透气的, 气密的
vt. 使不透气, 使气密"
rainproof,"a. 防雨的
n. 雨衣, 雨披"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
alcohol,"n. 酒精, 酒
"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
beer,"n. 啤酒
"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
altogether,"adv. 完全地, 总而言之"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
partly,"adv. 部分地, 在一定程度上"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
permission,"n. 许可, 允许
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
loneliness,"n. 寂寞, 孤独, 清静"
lonesome,a. 寂寞的
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
aloud,"adv. 出声地, 大声地"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
noisiness,n. 吵闹
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
silence,"n. 沉默, 无声, 静寂, 湮没, 无声息
vt. 使缄默
interj. 安静"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
alphabet,"n. 字母
"
alphabetism,n. (作符号的)字母使用(如使用一组字母作为笔名或署名)
already,"adv. 已经, 早已"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
also,"adv. 也, 并且, 同样地"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
nor,"conj. 也不, 也没有
"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
not,"adv. 不, 非, 未
"
both,"a. 两者的
adv. 两者都
pron. 两者"
although,"conj. 虽然, 尽管"
whereas,"conj. 然而, 鉴于
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
ambulance,"n. 救护车
"
hospital,"n. 医院
"
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
dentist,"n. 牙科医生
"
dental,"a. 牙齿的
"
clinic,"n. 诊所, 临床教学
"
clinical,"a. 临床的, 门诊部的
"
operate,"v. 操作, 运转, 动手术, 活动"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
operable,"a. 可操作的, 可实施的, 可手术治疗的
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
incurably,"adv. 治不好地, 不能矫正地"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
American,"n. 美国人
a. 美国的, 美洲的"
English,[网络] 英语
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
foreigner,"n. 外国人, 外地人
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
glob,"n. 一滴,一小滴水珠, (可塑性物质的)一团"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
homeless,"a. 无家的, 无养主的"
angry,"a. 生气的, 愤怒的"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
animal,"n. 动物
"
zoo,n. 动物园
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
enquire,v. 询问
inquire,"v. 询问, 问明, 查究"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
questionable,"a. 可疑的
"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
antibody,"n. 抗体
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
amuse,"vt. 消遣, 娱乐, 使发笑"
entertainment,"n. 娱乐, 款待, 娱乐表演"
amusing,"a. 有趣的, 引人发笑的"
amused,"a. 愉快的, 被逗乐的"
excite,"vt. 刺激, 使兴奋, 激励"
exciting,"a. 令人兴奋的, 刺激的
"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
interesting,a. 有趣的
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
glad,"a. 高兴的, 喜欢的, 情愿的"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
joyful,"a. 欢喜的, 高兴的, 令人高兴的"
sad,"a. 忧愁的, 悲哀的"
complaint,"n. 诉苦, 抱怨, 控诉
"
sadness,"n. 悲哀, 悲伤"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
additional,"a. 附加的, 另外的, 额外的
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
troublesome,"a. 麻烦的, 令人讨厌的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
tireless,"a. 不疲倦的, 不厌倦的, 不屈不挠的"
tiredness,"n. 疲劳, 疲倦
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
anybody,"pron. 任何人
n. 重要人物"
anyone,pron. 任何人
anything,pron. 任何事
anywhere,adv. 无论何处
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
somehow,adv. 不知何故
someone,"pron. 有人, 某人"
something,"pron. 某事, 某物"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
sometimes,"adv. 有时, 时常, 往往"
somewhere,"adv. 到某处, 在某处"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
every,"a. 每一, 所有的"
everybody,"pron. 每个人, 人人"
everyday,"a. 每天的, 日常的, 平常的"
everyone,"pron. 每个人, 人人
"
everything,"pron. 每件事物, 所有事物"
everywhere,"adv. 各处, 到处"
apologize,"vi. 道歉, 辩解"
apologise,vi. 道歉（等于apologize）
apology,"n. 道歉, 辩护
"
sorry,"a. 难过的, 悲哀的, 遗憾的"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
regrettably,"adv. 抱歉地, 遗憾地,可悲地"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
forgive,"vt. 原谅, 宽恕, 免除
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
appear,"vi. 出现, 显得, 来到
"
seem,"vi. 象是, 似乎"
apple,"n. 苹果, 家伙
"
banana,n. 香蕉
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
grape,"n. 葡萄, 葡萄树
"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
pear,"n. 梨子, 梨树, 梨木
"
fruit,"n. 水果, 果类, 结果
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
potato,n. 马铃薯
tomato,"n. 番茄, 西红柿"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
vitamin,"n. 维生素
"
area,"n. 区域, 面积, 范围, 空地
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
district,"n. 区域, 地方
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
army,"n. 军队, 陆军"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
gun,"n. 枪
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
protect,"vt. 防卫, 保护, 警戒
"
protection,"n. 保护, 防卫, 贸易保护制度
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
arrive,"vi. 到达, 抵达"
arrival,"n. 到达, 抵达, 到达者
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
artwork,"n. 插图, 艺术作品
"
music,"n. 音乐, 乐曲"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
painter,"n. 画家, 油漆匠
"
painting,"n. 画, 绘画, 油漆
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
drawer,"n. 抽屉, 开票人
"
drawing,"n. 图画, 制图, 拉
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
thesis,"n. 论题, 论文"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
theme,"n. 主题, 话题, 题目"
author,"n. 作家, 作家的著作, 创始人
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
writer,"n. 作家, 撰稿者, 抄写员
"
writing,"n. 书写, 著作, 笔迹, 作品
"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
editorship,"n. 编辑的职位, 编辑工作"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
sleepy,"a. 困乏的, 欲睡的"
