abolish,"vt. 废止, 革除, 消灭
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
astronomy,n. 天文学
astronomic,a. 天文学的；星学的
disastrous,"a. 损失惨重的, 悲伤的"
auction,"n. 拍卖
vt. 拍卖"
inaugurate,"vt. 开始, 举行...就职典礼"
auditory,"a. 听觉的, 听觉器官的
"
audition,"n. 听, 听力, 试听
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
authoritatively,"adv. 命令式地, 官方地, 可信地"
authorize,"vt. 授权, 批准, 委托
"
aviation,"n. 航空, 航空学, 飞行术
"
aviator,n. 飞行员
aviatress,n. 女飞行家
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
banish,"vt. 驱逐, 消除
"
banishment,"n. 放逐, 驱逐
"
bandage,"n. 绷带
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
baron,"n. 男爵
"
baroness,"n. 男爵夫人, 女性男爵"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
barrier,"n. 障碍, 栅栏
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassing,"a. 令人为难的, 麻烦的"
embarrassment,"n. 困难, 阻碍, 困窘
"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
battered,a. 磨损的；弄垮的；破旧的；受到虐待的
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
rebellion,"n. 谋反, 叛乱, 反抗
"
beneficial,"a. 有益的, 受益的
"
beverage,"n. 饮料
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
combination,"n. 组合, 合并, 联合
"
biochemistry,"n. 生物化学
"
embody,"vt. 具体表达, 使具体化
"
bonus,"n. 奖金, 红利
"
botany,"n. 植物学
"
botanist,n. 植物学家
botanical,"a. 植物学的
n. 植物性药材"
bourgeois,"n. 中产阶级分子, 商人, 资产阶级
a. 中产阶级的, 平庸的
n. 九点活字"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bracing,"a. 新鲜的, 凉爽的, 爽快的, 振奋精神的
n. 联条, 支撑物, 支柱, 背带"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
casualty,"n. 意外事故, 伤亡, 受害者
"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incidentally,"adv. 伴随地, 偶然, 顺便"
calcium,"n. 钙
"
calculate,"v. 计算, 预测, 计划, 打算"
calculus,n. 结石；微积分学
calorie,n. 卡路里（热量单位）
candidate,"n. 候选人, 投考者
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
conceit,"n. 自负, 空想, 狂妄"
conceited,"a. 自负的, 逞能的, 狂想的"
conceitedness,n. 自负
conceive,"vt. 构思, 认为
vi. 怀孕"
conception,"n. 观念, 概念
"
conceptual,"a. 概念的
"
deceit,"n. 欺骗, 谎言
"
deceive,"v. 欺骗, 行骗"
exceptional,"a. 例外的, 异常的, 特别的"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
interception,"n. 拦截, 截断, 截住, 截取, 截击, 窃听, 侦听, 雷达侦察
"
interceptor,"n. 阻止的人, 妨碍者, 拦截战斗机
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupancy,"n. 占有, 居住, 占用
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
principally,"adv. 主要地, 大部分"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
susceptibility,"n. 敏感性, 感情
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
cordiality,"n. 热诚, 真挚"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
cavity,"n. 洞, 空穴, 腔
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
concede,"vt. 承认, 退让
vi. 让步"
concession,"n. 特许, 让步, 认可
"
concessive,"a. 让步的, 让与的, 表示让步的"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessively,"adv. 过多, 极度, 过度, 过分"
microprocessor,"n. 微处理器
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
predecessor,"n. 前任, 先辈, 前身
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
recession,"n. 后退, 凹处, 衰退, 归还
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
successor,"n. 继承者, 接任者
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
cemetery,"n. 墓地, 公墓
"
censor,"n. 检查员
vt. 检查, 审查, 删改"
censorship,"n. 检查制度
"
census,"n. 户口普查
vt. 实施统计调查"
incentive,"n. 动机
a. 激励的"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
ascertain,"vt. 确定, 查明
"
ascertainable,"a. 可查明的, 可弄清的"
ascertainment,"n. 弄清, 发现, 确定, 查明
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerted,"a. 商定的, 协定的, 一致的
"
certainty,"n. 确定, 确实的事情
"
certify,"v. 证明, 保证"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
discern,"v. 辨别, 看清楚, 了解"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
discreet,"a. 小心的, 慎重的"
discrete,"a. 不连续的, 离散的
"
discreteness,不连续性; 离散性
excerpt,"n. 摘录
v. 引用, 摘录"
excerption,"n. 摘, 选录, 抄录"
enchant,"vt. 施魔法, 使入迷"
enchanting,"a. 迷人的, 妩媚的, 迷惑人的"
cherish,"vt. 珍爱, 怀有, 爱护"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
parachute,"n. 降落伞
vi. 跳伞"
parachutist,"n. 伞兵, 跳伞运动员"
concise,"a. 简洁的, 简明的"
conciseness,
concisely,adv. 简明地
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
decidedly,"adv. 决定了, 坚决, 明显, 显而易见, 显然, 明确, 果断, 毫无疑问"
decisive,"a. 决定性的, 坚定的, 果断的"
pesticide,"n. 杀虫剂
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
reconciliation,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从
"
circular,"a. 圆形的, 循环的, 间接的
"
circulative,"a. 循环性的, 促进循环的, 具有流通性的"
circulation,"n. 流通, 循环, 发行量
"
circus,"n. 马戏团, 马戏, 竞技场"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
cite,"vt. 引用, 引证, 表彰
"
citation,"n. 引用, 引证, 引用文
"
incite,"vt. 刺激, 激励, 引诱
"
incitement,"[法] 煽动, 刺激, 怂恿犯罪"
recite,"v. 背诵, 朗读, 叙述"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
proclamation,"n. 宣言, 公布, 布告, 公告
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reclaimable,"a. 可收回的, 可教化的
"
reclamation,"n. 开垦, 教化
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clarity,"n. 清楚, 明晰
"
clearance,"n. 清除, 间隙
"
declaration,"n. 宣告, 说明, 宣布
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
declination,"n. 下倾, 倾斜, 衰微
"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
disclose,"vt. 揭露, 透露
"
enclosure,"n. 附件, 围墙, 围绕
"
exclusive,"a. 排外的, 独占的, 唯一的
"
inclusive,"a. 包含的, 包括的"
inclusion,"n. 包含, 内含物
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
cognitive,"a. 认知的, 认识的"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
colonial,"a. 殖民的, 殖民地的
"
colonist,"n. 殖民地居民, 移民"
colonialism,n. 殖民主义
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
corporate,"a. 社团的, 合伙的, 公司的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
incorporation,"n. 包含, 结合, 编入, 团体组织
"
incorporator,"n. 合并者, 公司创办人
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
cosmism,n. 宇宙论
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
currency,"n. 货币, 通货, 流通, 通用
"
currently,"adv. 现在, 当前, 一般, 普通
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
excursion,"n. 远足, 游览圆, 短程旅行
"
incur,"vt. 招致, 蒙受, 遭遇
"
intercourse,"n. 交往, 交流
"
occurrence,"n. 发生, 事件, 出现
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
recurrence,"n. 再现, 再发生, 反复, 循环
"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
"
coward,"n. 懦弱的人, 胆小的人"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
bureaucracy,"n. 官僚, 官吏
"
bureaucratic,"a. 官僚的
"
bureaucratism,"n. 官僚主义, 官僚作风"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
creation,"n. 创造, 创作物, 发明
"
creative,"a. 有创造力的, 创作的, 产生的"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
credible,"a. 可信的, 可靠的
"
credibility,"n. 可信用, 确实性, 可靠
"
incredible,a. 难以置信的
discrepancy,"n. 不符合, 差异, 不相符之处
"
discriminate,"v. 区别, 差别待遇"
discrimination,"n. 差别, 岐视, 辨别力
"
criterion,"n. 标准, 准则, 规范
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticize,"v. 批评, 吹毛求疵, 非难"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
cruiser,"n. 巡洋舰, 巡航飞机, 警察巡逻车"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
culmination,"n. 顶点, 高潮, 最高点"
accumulate,"v. 积聚, 堆积"
cumulative,"a. 累积的
"
inaccurate,"a. 错误的, 不准确的
"
inaccuracy,"n. 错误
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
customary,"a. 习惯的, 惯常的
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
cylindrical,"a. 圆柱体的, 圆筒形的
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
defiance,"n. 蔑视, 挑战
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
decimalization,n. 采用十进制
decorative,a. 装饰性的
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
condemn,"vt. 判刑, 责备, 谴责
"
condemnation,"n. 非难, 宣告有罪, 非难的理由"
dentist,"n. 牙科医生
"
dentistry,"n. 牙科
"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
contradiction,"n. 反驳, 矛盾
"
dedicate,"vt. 献出, 贡献"
dictator,"n. 命令者, 独裁者"
dictatorial,"a. 独裁者的, 独裁的, 独断的"
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
predictable,a. 可预言的
predictive,"a. 预言性的, 成为前兆的"
dignity,"n. 尊严, 高贵
"
dignify,"vt. 增威严, 使高贵, 故作显贵"
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
documentary,"n. 记录片
a. 文件的"
doctrine,"n. 教条, 学说
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
domical,"a. 圆屋顶的, 穹窿式的"
domestic,"a. 家庭的, 国内的, 驯养的
"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
duplication,"n. 副本, 复制
"
dual,"a. 双重的, 双的
n. 双数"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
dubious,"a. 可疑的, 不确定的"
orthodox,"a. 正统的, 传统的, 惯常的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
drastic,"a. 激烈的
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
by-product, 副产品，副产物
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
deduce,"vt. 推论, 演绎出
"
deductive,"a. 推论的, 演绎的
"
deduct,"vt. 扣除, 减去
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
induction,"n. 归纳法, 感应, 就职, 入门
"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
subduable,可征服[抑制]的
endurance,"n. 忍耐, 忍耐力, 耐性
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
endurable,"a. 可忍受的, 能忍耐的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynamo,"n. 发电机
"
ecology,"n. 生态学, 社会生态学
"
ecological,"a. 生态学的, 主张生态保护的
"
ecologist,n. 生态学者
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
economics,"n. 经济学
"
edible,"n. 食品, 食物
a. 可食用的"
ego,"n. 自我
"
egoism,"n. 自我主义, 利己主义"
egoist,"n. 自我主义者, 利己主义者"
electrician,"n. 电学家, 电气技师, 电工
"
electrify,"vt. 通电, 上电, 使带电, 使电气化
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electronics,"n. 电子学
"
electronic,"a. 电子的
"
photoelectric,"a. 光电的, 灯光摄影装置的
"
exemplify,"vt. 例证, 例示
"
exemplification,"n. 例证, 范例
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
entity,"n. 实体, 实存物, 存在
"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
equation,"n. 相等, 等式, 平衡
"
equate,"vt. 使相等, 视为平等
vi. 等同"
equator,"n. 赤道
"
equatorial,"a. 近赤道的, 赤道的
"
equilibrium,"n. 平衡, 平静, 均衡
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
equivalence,"n. 同等, 等价, 等值
"
energetic,"a. 精力充沛的, 积极的"
energize,"vt. 使活跃, 激励, 供给...能量
"
exert,"vt. 发挥, 运用, 施以影响
"
inertia,"n. 惯性, 惰性, 迟钝
"
errand,"n. 任务, 差使, 使命"
erroneous,"a. 错误的, 不正确的
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
aesthetic,"a. 美学的, 审美的, 有美感的"
aesthetics,n. 美学
esthetic,"a. 审美的
"
esthetical,"a. 美的, 美术的"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
underestimate,"n. 低估
vt. 低估, 看轻"
medieval,"a. 中古的, 中世纪的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
exoticism,"n. 异国风味, 异族事物, 洋派"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
fabricate,"vt. 制造, 建造, 装配, 伪造"
fabrication,"n. 制造, 建造, 虚构的谎言
"
fabricator,"n. 制作者, 假造者, 杜撰者
"
coefficient,"n. 系数
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
configure,"vt. 装配, 使成形"
deficiency,"n. 缺乏, 不足
"
deficit,"n. 赤字, 不足额
"
facilitate,"vt. 使容易, 促进, 帮助
"
facilitation,"[医] 容易化, 助长, 接通[作用]"
faction,"n. 小派系, 内讧
"
factious,"a. 好搞派系的, 好结党营私的"
feasible,"a. 能实行的, 可行的, 适宜的
"
feasibility,"n. 可行性, 可能性
"
infection,"n. 传染, 影响, 传染病
"
infectious,"a. 有传染性的, 易传染的
"
infect,"vt. 传染, 感染
"
perfection,"n. 完美, 完成, 极端
"
perfectionist,"n. 至善论者, 过分挑剔者, 追求尽善尽美者, 圆满论者"
proficiency,"n. 精通, 熟练, 精练"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
profitability,"n. 收益性, 利益率
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
suffice,"vi. 足够, 有能力
vt. 满足"
sufficient,"a. 充分的, 足够的
"
facet,"n. (多面体的)面, 方面, 琢面
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
federation,"n. 联邦, 联合, 联盟
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
feminist,n. 男女平等主义者
feminism,"n. 女权主义, 男女平等主义
"
defendant,"n. 被告
"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
confer,"vt. 授予, 带来
vi. 协商"
differentiate,"v. 区别, 区分"
ferry,"n. 渡船, 渡口
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
fertility,"n. 肥沃, 丰饶, 生产力
"
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
professed,"a. 明言的, 专职的, 宣誓后入教的"
professedly,adv. 明言地
confidence,"n. 信心
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
filth,"n. 污秽, 不洁, 猥亵
"
filthy,"a. 污秽的, 丑恶的"
filament,"n. 细丝, 细线, 灯丝, 单纤维
"
filamentary,"a. 细丝的, 单纤维的, 似丝的"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
define,"vt. 定义, 规定, 使明确
"
definitive,"n. 限定词
a. 限定的, 决定性的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
finiteness,"[计] 有限性, 有穷性"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
infinitely,"adv. 无限地, 无数地, 庞大地"
infiniteness,n. 无限；无限性
infinity,"n. 无限大, 无限
"
indefinite,"a. 模糊的, 不确定的, 无限的
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refinery,"n. 精炼厂
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
financial,"a. 财政的, 金融的
"
affirm,"v. 断言, 确认"
confirmation,"n. 证实, 证明, 批准, 确认
"
firmness,"n. 坚固, 坚牢, 坚定"
fixture,"n. 固定(状态), 固定物, 设备
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flattery,"n. 谄媚, 阿谀, 巴结"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
deflection,"n. 歪斜, 偏, 偏向
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibility,"n. 弹性, 适应性
"
afflict,"vt. 使苦恼, 折磨"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
inflict,"vt. 施以, 加害, 使承受
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
influential,"a. 有影响的, 有势力的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluctuation,"n. 变动, 波动, 动摇
"
beforehand,adv. 预先
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
foresee,"vt. 预见, 预知"
forthcoming,"a. 即将来临的
n. 来临"
henceforth,"adv. 自此以后, 今后"
fortress,"n. 城堡, 要塞
vt. 筑要塞, 以要塞防守"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
deform,"vt. 使残缺, 使变形
vi. 变形"
deformation,"n. 损形, 变丑, 畸形
"
deformed,"a. 畸形的, 残废的, 丑陋的"
