precise,"a. 精确的, 严谨的, 明确的
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
forehead,"n. 额, 前额, 前部
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
error,"n. 错误, 过失, 失误, 误差
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
useless,"a. 无用的, 无效的, 无益的
"
mankind,"n. 人类, 男性"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
niece,"n. 侄女, 甥女"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
allocate,"vt. 分派, 分配
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
saying,"n. 叙述, 话, 说, 言论"
tentative,"n. 试验
a. 试验性的, 暂时的"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
tradition,"n. 传说, 传统, 交付
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
dynasty,"n. 朝代, 王朝"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
separation,"n. 分离, 分居, 缺口, 退职
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
playmate,"n. 玩伴, 游伴"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
weakness,"n. 虚弱, 薄弱, 弱点
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
against,"prep. 反对, 对着, 倚靠"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
quantity,"n. 量, 数量, 总量
"
astonish,vt. 使惊讶
literary,"a. 文学的, 文艺的, 精通文学的
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
woollen,"n. 毛织品
a. 羊毛制的"
addition,"n. 加法, 增加的人(或物)
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
expense,"n. 费用, 代价, 开支, 损失
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
scholarship,"n. 学问, 学术成就, 奖学金"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
province,"n. 省, 地方, 职权, 领域
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
aggression,"n. 侵犯, 侵略
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
librarian,"n. 图书馆员, 图书管理员
"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
hibernate,"vi. 过冬, 冬眠, 避寒"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
agency,"n. 代理机构, 经销商, 中介
"
destination,"n. 目的地, 目标, 目的
"
science,"n. 科学, 学科, 学问, 自然科学
"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
workforce,"n. 劳动力；工人总数, 职工总数"
airspace,"n. 空域, 空间
"
correspond,"vi. 符合, 通信, 相当
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
meeting,"n. 会议, 会面
"
dining-room,饭厅
website,n. 网站（全球资讯网的主机站）
undivided,"a. 未分开的, 专一的, (组织等)未分裂的
"
debt,"n. 债务, 罪过
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
unfortunately,"adv. 恐怕, 不幸的是"
consider,"v. 考虑, 思考, 认为"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
multiply,"v. 繁殖, 乘, 增加
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
saucer,"n. 茶碟, 茶托
"
mud,"n. 泥, 诽谤
vt. 弄脏"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
nervous,"a. 神经紧张的, 不安的, 神经的
"
suspension,"n. 悬挂, 暂停, 中止
"
funeral,"n. 葬礼, 出殡"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
kind-hearted,"adj. 仁慈的
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
envelope,"n. 信封, 封套, 封袋
"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
atmosphere,"n. 大气, 空气, 气氛
"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
cautious,"a. 谨慎的, 小心的"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
printing,"n. 印刷, 印刷术, 印花
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
physician,"n. 医师, 内科医师, 解除痛苦者
"
publicly,"adv. 公然地, 以公众名义"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
accountant,"n. 会计人员, 会计师
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
available,"a. 可利用的, 可获得的, 有效的
"
advertisement,"n. 广告, 启事, 广告宣传
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
director,"n. 主管, 导演, 董事
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
mouthful,"n. 一口, 满口"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
competition,"n. 竞争, 竞赛
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
teamwork,"n. 协同作业, 协力
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
bravery,n. 勇敢
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
skillfully,adv. 巧妙地；精巧地
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
biography,n. 传记
tourist,"n. 观光客, 旅行者
a. 旅游的"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
appetite,"n. 食欲, 欲望, 爱好
"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
stupid,"a. 愚蠢的, 麻木的"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
untrue,"a. 不真实的, 不正确的, 不忠实的
"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
poster,"n. 海报, 招贴, 驿马"
irrigation,"n. 灌溉, 冲洗
"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
left-wing,"左翼,激进派;左边锋"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
distance,"n. 距离, 远方, 遥远
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
examine,"v. 检查, 调查, 考试"
unwilling,"a. 不愿意的, 勉强的
"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
reliable,"a. 可靠的, 可信赖的
"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
greengrocer,"n. 蔬菜水果商, 菜贩"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
surgeon,"n. 外科医生, 军医, 船医
"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
erupt,"vi. 爆发
vt. 喷出"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
compete,"vi. 竞争, 对抗"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
barrier,"n. 障碍, 栅栏
"
eyewitness,"n. 目击者, 见证人"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
gradually,adv. 逐渐地
percent,"n. 百分比, 百分数, 部分
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
photographer,"n. 摄影师, 摄影者"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
awesome,"a. 引起敬畏的, 可怕的"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
unimportant,a. 不重要的
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
convenience,"n. 方便, 便利的事物, 方便的时候"
scientist,"n. 科学家
"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
breakthrough,"n. 突破
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
starve,"v. (使)饿死, (使)挨饿"
harmful,"a. 有害的, 伤害的"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
triangle,"n. 三角形, 三个一组, 三角关系
"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
cash,"n. 现金
vt. 兑现"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
ceremony,"n. 典礼, 仪式, 礼节
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
significance,"n. 重要性, 意义, 意味
"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
playroom,"n. 游戏室, 娱乐室"
continent,"n. 大陆, 洲
a. 自制的"
necktie,n. 领带
agenda,"pl. 议程, 日常工作事项
"
bonus,"n. 奖金, 红利
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
freeway,n. 高速公路
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
injury,"n. 伤害, 侮辱
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
amount,"n. 总数, 总额
vi. 总计, 等同"
baggage,"n. 行李
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
airline,"n. 航线, 航线的设备, 航空公司"
candidate,"n. 候选人, 投考者
"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
authentic,"a. 可靠的, 可信的, 真正的
"
satellite,"n. 人造卫星
"
