abandon oneself to,沉溺于
keep ... to oneself,"un. 强调；紧贴；秘而不宣；独自承受
"
at large,"未被捕, 详尽, 普遍
"
lay off,"na. 辞退；停止；暂停
"
at least,"至少
"
in the least,丝毫
not in the least,"绝对不, 一点也不"
leave alone, 置于不顾
at leisure,"na. 在闲暇中；从容不迫地；失业
"
lend itself to,有助于
lend themselves to,无
at length,"最后, 详细地"
let sb. down,"na. 使失望；放下；丢面子
"
let sth. down,"na. 使失望；放下；丢面子
"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
lie in,"在于..., 分娩, 睡懒觉"
in the light of,"由于, 当作
"
throw light on,"照亮,阐明,使理解,启迪"
in line with,符合
live off sth.,"以...为食料, 靠...生活"
live up to,"实践, 做到"
log in,[计] 注册
before long,不久以后
in the long run,"长远, 最后"
look down on sb.,"轻视, 看不起"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into sth.,"窥视, 浏览, 观察
"
at a loss,"困惑, 亏本地"
major in,"主修, 专攻"
make believe,"假装
"
make it,"及时抵达, 做成"
make up for,"补偿,弥补"
make out,"na. 理解；发现；起草；证明
"
manage to, 达成，设法
many a,[地名] 马尼亚河 ( 俄 )
as a matter of fact,事实上
by all means,"尽一切办法, 一定"
in memory of,纪念...
not to mention,不必提及
at the mercy of,受...支配
in a mess,"肮脏,混乱,紊乱,一塌煳涂,一团糟"
bear ... in mind,"na. 记住；铭记不忘；注意
"
keep ... in mind,"na. 记在心里；记住；注意
"
make up one's mind,"下决心, 接受, 承认"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
no more ... than,na. 某乙也不
move on,继续前进
much as," 虽然, 尽管"
a multitude of,"大批的,大量的,许许多多的…"
name after, 以…的名字起名
native to,[网络] 所产的；土生土长的；土生土长在
by nature,天生地
none other than,"不是别人而正是..., 不是他物而正是..."
nothing but,只
get nowhere,无进展
by occasion of,"因为,由于"
it occurs to sb. that ...,无
against all odds,尽管很困难
against all the odds,尽管形势不利
at odds with sb., 与…不和，与…争吵
off and on,断断续续地
more often than not,"多半, 通常"
only too,"非常, 实在, 完全"
in order that,"为了,以便"
other than,"不同于, 除了"
from the outset,从一开始
once upon a time,从前
be opposed to ...,"反对..., 与...相对"
be opposite to,与...相对/反
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
take pains,"尽力, 耐心"
for one's part,"对某人来说, 就个人来说"
play a part,"扮演角色, 参与, 有影响, 装腔骗人"
play a part in,"在…中扮演角色,在…中起作用"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
participate in,"参加, 参与, 分享"
particular about,对…特别讲究
be particular about,"对…很挑剔,过于讲究"
in particular,特别
pass away,"去世, 停止, 离去, 消逝"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
peculiar to ..., 是…特有的
in person,"亲自, 外貌上
"
phase in,"na. 逐步采用
"
pick up,"v. 拾起；探出；重新开始
"
pin down,na. 强迫(人)承认
take place,"na. 发生；举行
"
take the place of,"代替
"
plug in,"v. 插入；插插头；插上
"
take the plunge,冒险尝试
come to the point,"变尖锐, 到紧要关头, 说到要点, 扼要地说"
get to the point,[网络] 言归正传；有话直说；有话直说，别吞吞吐吐
there is no point in doing sth.,无
to the point,"中肯, 扼要"
point out,"na. 指出
"
Poke one's nose into,探听
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
prefer sth. to sth.,"un. 较喜欢；宁愿:
"
prefer doing sth. to sth.,无
prefer doing sth. to doing sth.,无
without prejudice,"[法] 无偏见, 无损, 无偏袒的裁决"
without prejudice to sth.,"不使...受损害
"
in the presence of,在面前
at present,"现在, 目前"
preside over,"负责, 主持"
prevail over,胜过
fall prey to sb.,[网络] 成为……的牺牲品；深受…之害；受害
fall prey to sth.,[网络] 成为……的牺牲品；深受…之害；受害
take pride in,以...为傲
pride oneself on,使得意
pride oneself upon,以…自豪，以…自傲，以…自鸣得意，对…感到满意
in principle,"原则上, 大体上"
prior to,"在前, 居先
"
prohibit ... from,"禁止, 阻止"
in proportion to,与...成比例
protect ... from,保护
provide for,"v. 为…作准备
"
in public,当众
on purpose,"故意
"
in pursuit of, 追求，寻求
put down to,[网络] 归因于；说…因而起；归因为
put sth. into practice,"na. 实行
"
put on weight,体重增加
put up with sth.,"忍受, 容忍
"
put up with sb.,"忍受, 容忍
"
be out of the question,不可能
in question,"正被讨论, 可怀疑
"
without question,毫无疑问
be caught in the rain,被雨淋着了
rake in,"un. 赚大钱
"
at random,"胡乱地, 随便地
"
at any rate,"无论如何, 至少"
at this rate,这样的话
within reason, 在合理范围内; 不过分
react to,作出反应
for real,"真的, 实在的, 可能的, 很, 非常"
by reason of,"由于, 因为"
reckon with,"和...算帐, 认真对付"
refer to ... as,"v. 提交；归类；称谓
"
with reference to,"关于
"
in reference to,"关于..., 根据...
"
regardless of,"不注意, 不关心"
to one's regret,无
relevant to, [医]adj.有关的
to one's relief,无
relieve ... of,"v. 解除
"
rely on,"依赖, 依靠"
remind sb. of,"v. 提醒
"
resort to,"诉诸于, 采取
"
in response to,"回答..., 响应..., 对...有反应
"
rest with,取决于
restrict ... to,"把…限制〔控制, 保持〕在…"
as a result,结果
result in,"导致
"
in retrospect,回顾
in return,作为报答
get rid of,"摆脱, 除去"
in the right,站在正义的一边
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
give rise to,"引起, 使发生"
at risk,"un. 担风险
"
at the risk of,"冒...的危险, 有...的危险/可能"
take root,"生根, 扎根"
in a row,"成一长行, 连续, 一连串"
in ruins,成为一片废墟
rule out,"na. 排除
"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
in safety,平安地
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for sale,"待售
"
on sale,"廉售的, 拍卖的"
be satisfied with,对...感到满意
save for,存钱作…之用
to say the least,退一步说
on a large scale,大规模地
scarcely ... when,刚…就…
on schedule,"按时
"
ahead of schedule,提前
be scheduled for,"订于…,定于…"
scrape through,勉强通过
scrape through in,无
from scratch," <非正>从头做起, 从零开始"
seal off,"na. =seal up.；熨开；脱焊
"
in season,"当令, 及时, 及早"
seeing,"n. 视觉, 视力, 观看
conj. 鉴于"
seeing that,"conj. 鉴于, 既然"
senior to,"adj. 年长于
"
in a sense,在某种意义上
make sense,有意义
in sequence,"挨次,按顺序,一个接一个"
serve sb. right,"na. 给(某人)该得的待遇
"
it serves sb. right,[网络] 活该
set out,"n. 开始；出发；动身；准备
"
set out to do sth.,[网络] 着手做；着手做某事；开始做
share in,"分享, 分担"
for short,"简称, 缩写"
be short of,"缺乏..., ...不足"
shoulder to shoulder,"肩并肩地, 齐心协力地"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
"
shrug sth. off,na. (耸肩)表示轻蔑
shut up,"关闭, 监禁, 住口, 保藏"
be shy of,"畏缩, 迟疑"
catch sight of,瞥见
at the sight of,在看到…时
in sight,被看到
lose sight of,"不再看见, 忽略, 忘记"
sink in,"完全被弄懂, 渗入, 透入"
slow down,(使)慢下来
on the sly,诡秘地
smooth over,"na. “smooth away”的变体
"
not so much ... as,"conj. 甚至不
"
sooner or later,迟早
would sooner do sth.,无
would sooner do sth. than do sth.,无
sort out,"na. 清理
"
speak ill of,说坏话
specialize in,专门研究...
at stake,"危如累卵, 在危险中"
take a stand against,"反对,对…持不赞成的立场"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand out,"突出, 坚持抵抗"
stare at,"凝视, 盯住"
in step,步调一致
stick sth. on,"保持在...之上, 贴上"
stick to,粘住
stir up,"v. 转播；重播；搅拌；煽动
"
in stock,"现有, 在贮存中
"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
at a stretch,一口气地
at full stretch,非常紧张
be strict with,"对...严格, 对...严历"
be on strike,在罢工
stumble across,偶然发现
stumble on,"无意中发现,偶然找到"
stumble upon,偶然发现
subject ... to,"v. 处于…中；使服从
"
submit ... to,"un. 使某人忍受某事:
"
substitute ... for,"代替…,替换…,取代…"
suffer from,"忍受, 遭受
"
in sum,总言之
sum up,"na. 〈口〉概括；总结
"
in summary,总之
be surprised at,对…惊讶
take ... by surprise,"v. 突然惊吓
"
to one's surprise,使某人惊奇的是
suspect sb. of,[网络] 怀疑；对……猜疑；猪八戒怀疑
switch on,"v. 打开；接通；参见
"
be in sympathy with,无
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take over,"na. 接管；继承
"
talk sb. into,"na. 说服(某人)做…
"
taste of,"有...味道, 体验, 吃一点..."
in good taste,"得体, 大方"
to one's taste,合味口
tear down,"na. 拆毁；扯下；猛冲
"
lose one's temper,发脾气
be on good terms with,与…有交情
in terms of,"用...的话, 根据, 按照, 在...方面
"
thanks to,由于
in that,"既然, 因为"
now that,"既然..., 由于..."
at the thought of,一想起
be through with,"完成, 弃绝"
at no time,决不
at one time,"同时, 曾经"
for the time being,暂时
on time,"准时
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in no time,立刻
at times,"有时, 不时"
by the same token,出于同样原因
in total,"总共, 总计
"
in touch with,与…保持联络
keep track of,了解
in trouble,"处于不幸中, 在监禁中"
come true,"实现, 成为事实"
in turn,"na. 挨次
"
take turns,"轮流, 依次"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn out,"v. 证明；原来；到场
"
be typical of,是...的特点
be up to sb.,"胜任,达到,由…负责"
be in use,[网络] 在使用中；使用之中；投入使用
be used to,习惯于
used to,"过去经常(做)..., 过去有规律地发生"
do one's utmost,竭力
in vain,"徒然
"
a variety of,"各种各样的..., 种种..."
be on the verge of, 濒临；濒临灭绝；快要
in the vicinity, 左近
in the vicinity of,"在邻近
"
by virtue of,"依靠, 由于
"
be vulnerable to,易受...的伤害
in the wake of,"尾随, 紧跟, 仿效"
ward off,"v. 挡开；架开
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
watch out,"密切注意, 当心, 戒备, 提防"
watch out for,"戒备, 提防, 密切注意"
by the way,"在途中, 顺便"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
in a way,"在某种程度上, 稍稍"
in one way,"在某点上, 在某种程度上, 有几分, 稍微"
in the way,挡道
in no way,决不
under way,"进行中, 在行进"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
under the weather," 身体不舒服, 心情不好"
as well,也
as well as,"也, 又"
may just as well,倒不如；(满)可以；不妨…；还是…的好；最好…，还是…的好；倒不如；同样；其实可以…，原该(带有责备意味)
once in a while,偶尔
at will,"随意, 任意"
no wonder,不足为奇的
keep one's word,守信
in other words,换句话说
out of work,"失业, 机器有毛病
"
what is worse, 更糟的是
be worthy of,"值得,应得到"
go wrong,"走错路, 出毛病, 失败"
yield to,"让步于,屈服于,向…投降"
as yet,至今仍
and yet,可是
