finale,"n. 结局, 最后乐章, 终曲"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
warhead,n. 弹头
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
kinda,adv. 有几分；有一点
wooded,a. 树木繁茂的
flop,"n. 砰然落下, 拍击声, 失败
vi. 笨重地摔, 猛落
vt. 笨拙地抛下
adv. 噗通"
typewriter,n. 打字机
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
amidst,prep. 在...当中
annoy,"vt. 使恼怒, 骚扰"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
molest,"vt. 妨碍, 干扰, 调戏
"
ambivalence,"n. 矛盾情绪
"
nighttime,n. 夜间
para,[经] 帕拉
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
torn,tear的过去分词
blizzard,"n. 大风雪, 暴风雪"
condemnation,"n. 非难, 宣告有罪, 非难的理由"
warm-up,"na. 加热；变暖；热中起来；【运】作准备动作
"
indicative,"a. 指示的, 象征的, 表示...的
"
umpire,"n. 裁判员, 仲裁人
vt. 对...进行仲裁, 当...的裁判
vi. 当裁判"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
managerial,"a. 管理的
"
imprisonment,"n. 监禁, 下狱, 坐牢
"
gothic,"n. 哥特风格
a. 哥特式的, 野蛮的"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
hard-core,中坚力量；碎砖垫层
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
blackness,"n. 黑, 黑色, 邪恶
"
impaired,a. 受损的
vista,"n. 远景, 展望, 回想"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
lagoon,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
unavailable,"a. 得不到的, 不能利用的, 无用的
"
dysfunctional,a. 功能失调的
forgotten,forget的过去分词
buyout,n. 全部买下; 买下（公司或产业）
scorer,"n. 记录员, 刻痕者"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
divisive,"a. 区分的, 制造分裂的, 造成不和的"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
sensational,"a. 使人感动的, 非常好的"
soundtrack,"n. 声迹, 声槽, 声带"
beware,"v. 小心, 谨防"
condominium,"n. 共同统治
"
pertinent,"a. 相关的, 中肯的, 切题的
"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
shimmering,"v. 闪闪发光, 发微光( shimmer的现在分词 )"
decor,"n. 装饰, 布置"
wiring,"n. 线路, 接线
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
insofar,adv. 在...的范围
presumption,"n. 专横, 放肆, 假定, 推测
"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
usefulness,"n. 有用, 有益
"
videotape,"n. 录相磁带
vt. 把电视节目录在录像磁带上"
unanswered,"a. 未答复的, 无反应的"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
bullshit,n. 胡说
pulpit,n. 讲道坛
downplay,vt. 不予重视
vineyard,n. 葡萄园
worldview,n. 看; 视力; 观点; 目的
connected,"a. 连接的, 连贯的, 有联系的, 关联的, 连结的, 有关系的
"
obedience,"n. 服从, 顺从, 忠实
"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
endow,"vt. 捐赠, 捐助, 赋予
"
equitable,"a. 公平的, 公正的
"
self-efficacy,自我效能
logistics,"n. 后勤学, 后勤
"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
photon,"n. 光子, 光量子, 光度
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
utilization,"n. 利用
"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
acknowledgment,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意
"
witty,"a. 富于机智的, 诙谐的"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
rounded,"a. 圆形的, 滚圆的, 完整的, 圆润的"
favored,"a. 有利的, 受惠的, 幸运的"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
waterfront,"n. 水边, 滨水区, 滩, 海滨, 江边"
anyhow,"adv. 无论如何, 至少"
injunction,"n. 命令, 禁令, 劝告
"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
downward,a. 向下的
rapist,"n. 强奸犯
"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
abandonment,"n. 放弃, 抛弃, 放纵
"
marking,"n. 印记, 印, 分
"
observed,a. 观测的；观察的
suspended,"a. 悬浮的；暂停的, 缓期的（宣判）"
flatter,"vt. 奉承, 阿谀, 使高兴
"
altered,a. 
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
finishing,"a. 最后的, 终点的
"
showing,"n. 显示, 陈列, 展览, 成绩, 表现, 表演, 夸耀, 陈述, 叙述, 外表, 迹象"
serum,"n. 浆液, 血清, 乳清
"
fetal,"a. 胎儿的, 胎的
"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
errand,"n. 任务, 差使, 使命"
ballistic,"a. 弹道的
"
levee,"n. 早朝, 大堤
vt. 为...筑堤"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
sucker,"n. 乳儿, 吸管
"
frying,"v. 油炸, 油煎( fry的现在分词 ); 皮肤晒黑; 煎炸; 油发"
short-lived,短暂的
kitten,"n. 小猫, 淘气姑娘
vt. 产仔, 卖弄风情"
traitor,"n. 叛逆者, 叛国者
"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
envoy,"n. 外交使节, 特使
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
chromosome,"n. 染色体
"
driven,"a. 有紧迫感的
drive的过去分词"
realist,"n. 现实主义者, 写实主义者, 实在论者"
psychiatry,"n. 精神病学, 精神病治疗
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
chopper,"n. 切物之人, 斧头, 切肉大刀
"
rehab,n. 修复（等于rehabilitation）
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
analog,[计] 模拟
espouse,"vt. 支持, 赞成, 嫁, 娶
"
showdown,"n. 摊牌, 暴露, 紧要关头"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
scientifically,"adv. 合乎科学地, 学问上, 系统地"
re-establish,"v. 重建；使复元；使复职
"
graveyard,n. 墓地
midtown,n. 商业区与住宅区之间的地区
journalistic,"a. 新闻业的, 新闻工作者的, 报刊特有的, 新闻工作的"
improvisation,"n. 即兴而作, 即席演奏, 即席作品"
iceberg,"n. 冰山, 冷冰冰的人"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
markedly,"adv. 显著地, 醒目地, 明显地"
mike,"vi. 偷懒, 游手好闲
n. 休息, 游手好闲, 扩音器, 话筒"
yeast,"n. 酵母
"
powdered,"a. 弄成粉末的, 粉状的
"
thy,pron. 你的
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
thump,"n. 重打, 重击声
v. 重打, 撞击, 痛打"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
divinity,"n. 神, 神性"
traction,"n. 曳, 牵引, 牵引力
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
enrichment,"n. 丰富, 肥沃
"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
adherence,"n. 依附, 固执, 坚持
"
strew,"vt. 散播, 撒满"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
flowing,"a. 流动的, 如流的, 平滑的"
termination,"n. 终止, 结束, 结果, 词尾
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
unfairly,adv. 不正当地；不公平地
twenty-three, 二十三
acquit,"vt. 无罪释放, 表现, 使履行
"
promised,"vt.& vi. (promise的过去式或过去分词形式); 承诺; 允诺; 答应
v. 允诺( promise的过去式和过去分词 ); 答应; 有…希望; 预示"
forceful,"a. 有力的, 强烈的, 有说服力的"
bland,"a. 温和的, 乏味的, 冷漠的
"
pediatric,"a. 小儿科的
"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
emblem,"n. 象征, 徽章, 符号
vt. 用象征表示"
convergence,"n. 集中, 收敛
"
homage,"n. 尊崇, 尊敬, 效忠"
gateway,"n. 门, 通路
"
deserted,"a. 被遗弃的, 废弃的
"
template,"n. 样板, 模板, 垫木
"
congratulations,"n. 祝贺词, 祝贺语"
botanical,"a. 植物学的
n. 植物性药材"
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
password,"n. 密码, 口令, 通行手段
"
sailing,"n. 航行, 航海术, 启航
a. 航行的"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
fed,"feed的过去式和过去分词
"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
unification,"n. 统一, 联合, 一致
"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
adjustable,"a. 可调节的
"
displaced,a. 位移的；无家可归的；被取代的
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
stakeholder,"n. 赌金保管者
"
willow,"n. 柳树, 柳木制品
a. 柳树的, 柳木制的"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
clipping,"n. 剪断, 剪裁, 剪下物, 剪报
a. 第一流的, 头等的, 极好的, 快速的
"
mashed,a. 捣烂的；被捣成糊状的；捣碎的
clinician,"[医] 临床医师, 临证医师"
styling,"n. 款式, 式样"
mantra,"颂歌, 咒语(尤指四吠陀经典内作为咒文或祷告唱念的)"
pickle,"n. 盐卤, 腌汁, 泡菜, 困境, 讨厌鬼
vt. 腌制, 酸洗, 葬送(机会等), 泡"
immensely,"adv. 无限地, 广大地, 庞大地"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
watchdog,"n. 看门狗, 监察人
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
imagined,v. 想( imagine的过去式和过去分词 ); 想像; 料想; 误认为
palpable,"a. 可感知的, 明显的, 触摸得到的
"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
periphery,"n. 外围, 边缘地区, 圆周
"
cosmetics,n. 装饰品；化妆品（cosmetic的复数）
continual,"a. 持续不断的, 继续的
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
pitching,"n. 护坡(石), 铺地石, 俯仰, (船的)上下颠簸"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
rectangle,"n. 长方形, 矩形
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
engaging,"a. 动人的, 迷人的, 有魅力的"
mobilization,"n. 动员, 调动, 活动法
"
statesman,n. 政治家
Marxist,"a. 马克思主义的
n. 马克思主义者"
DJ,"abbr. 〈美(=Dow Jones & Co)道琼斯公司
n. （电台、电视台、夜总会）唱片节目主持人（全写为 disc jockey）
v. 做音乐节目主持人（尤指在夜总会）
"
denim,"n. 斜纹粗棉布, 牛仔布, 劳动布, (非正式)工作服, 工装裤"
comparatively,"adv. 比较地, 相对地"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
villa,n. 别墅
proactive,a. 〈心理〉前摄的
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
ulcer,"n. 溃疡, 腐烂物
"
two-hour,[网络] 两小时的；两小时票
stimulating,"a. 刺激的, 有刺激性的"
hoof,"n. 蹄, (人的)脚
vt. 以蹄踢, 行走, 步行
vi. 走, 踢, 踏"
invaluable,"a. 无价的, 价值无法衡量的"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
spotted,"a. 有斑点的, 斑纹的, 弄污了的"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
ringing,"a. 响亮的, 明白的, 清脆的, 干脆的
"
bikini,"n. 大爆炸, 比基尼泳装"
infusion,"n. 注入, 泡制, 注入物
"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
appointee,"n. 被任命者
"
halve,"vt. 二等分, 对半分享, 把...减半"
hospitalize,"vt. 送...进医院治疗
"
translucent,"a. 半透明的, 透明的"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
psychosocial,社会心理的(指社会环境影响下的个人心理变化)
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
startled,v. 震惊（startle的过去分词）
coordinated,vt. 调节；调整；整理；使调和（coordinate的过去分词）
brutally,"adv. 残忍地, 蛮横地"
approved,a. 被认可的；经过检验的
contaminated,a. 受污染的；弄脏的
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
grassy,"a. 草绿色的, 象草的, 长满草的"
winding,"n. 绕, 卷, 弯曲, 线圈
a. 蜿蜒的, 卷绕的, 弯曲的"
triumphant,"a. 得胜的, 得意洋洋的"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
self-defense, [体]自卫
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
in-house, 内部的; 室内的
chandelier,n. 枝形吊灯
enthusiastically,"adv. 热心地, 狂热地"
precarious,"a. 不稳定的, 不安的, 危险的"
self-interest,"私心
利己
自我利益"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
concentrated,"a. 集中的, 浓缩的
"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
biker,n. 骑自行车/摩托车的人
squadron,"n. 骑兵营, 分遣队, 小舰队"
rosy,"a. 蔷薇色的, 玫瑰红色的"
repetitive,"a. 重复的, 反复性的"
coupon,"n. 息票, 赠券
"
robotic,"a. 自动的；机器人的, 像机器人的"
unpaid,"a. 未付款的, 不支薪水的
"
shredded,shred的过去式和过去分词
passionately,"adv. 热情地, 激昂地"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
baker,"n. 面包师
"
footnote,"n. 脚注
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
downstream,"adv. 下游地
a. 下游的"
breathtaking,"a. 惊人的, 惊险的"
festive,"a. 庆祝的, 喜庆的, 欢乐的"
grope,"v. 摸索
n. 摸索"
folding,"a. 可折叠的
"
fluffy,"a. 毛绒绒的, 蓬松的, 空洞的, 无内容的, 不明确的
"
vector,"n. 矢量, 传病媒介
vt. (用无线电)导引, 给...导航
"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
microbe,"n. 微生物, 细菌
"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
notation,"n. 记号, 符号表示法, 注释
"
engaged,"a. 忙碌的, 使用中的"
venerable,"a. 庄严的, 值得尊敬的"
gust,"n. 突然一阵, 趣味, 爱好"
neutron,"n. 中子
"
purchasing,[计] 采购的
seventeenth,"num. 第十七, 十七分之一"
pathology,"n. 病理学, 病理, 病状, 病变
"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
Hungarian,"a. 匈牙利的, 匈牙利人的, 匈牙利语的
n. 匈牙利人, 匈牙利语"
minced,"v. 切碎( mince的过去式和过去分词 ); 剁碎; 绞碎; 用绞肉机绞（食物, 尤指肉）"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
suffering,"n. 苦难, 受苦"
fir,"n. 枞树, 杉木
"
hearty,"a. 诚恳的, 健壮的, 热烈的, 丰盛的"
suppression,"n. 抑压, 镇压, 抑制
"
cider,"n. 苹果汁, 苹果酒
"
holler,"vi. 叫喊, 发牢骚, 抱怨
vt. 大声叫喊
n. 叫喊"
blurt,"vt. 冲口说出, 脱口说出"
retarded,a. 智力上迟钝的
vigil,"n. 警戒, 监视, 守夜
"
taking,"n. 取得, 捕获, 进款
a. 迷人的, 可爱的, 会传染的"
re-elect,"v. 重选
"
broke,"a. 一文不名的
break的过去式"
modernism,"n. 现代作风, 现代主义, 现代思想"
stairway,"n. 楼梯, 阶梯"
intrude,"vi. 闯入, 侵入
vt. 强加于"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
orthodoxy,"n. 正统说法, 正教, 信奉正教"
cerebral,"a. 脑的, 大脑的
"
dope,"n. 吸毒者, 笨蛋, 麻醉药物, 粘稠物
vt. 麻痹, 上涂料, 预测出
vi. 吸毒"
excavate,"v. 挖空, 挖出, 凿通"
crocodile,n. 鳄鱼
hip-hop,n. 希普霍普
parishioner,n. 教民
metric,"a. 公尺的, 公制的, 计量的
"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
cornerback,n. (美式橄榄球)侧卫
osteoporosis,"n. 骨质疏松症
"
cost-effective,
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
dearly,"adv. 深深地, 昂贵地"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
mapping,
euro,n. 欧元（欧盟的统一货币单位）
favorably,"adv. 顺利地, 亲切地, 好意地"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
three-day,[网络] 三日的；三日；三天
gait,"n. 步法, 步态
vt. 训练...的步法"
symmetry,"n. 对称, 匀称
"
Colombian,"n. 哥伦比亚人
a. 哥伦比亚的"
zeal,"n. 热心, 热衷, 热诚"
rejoin,"vt. 使再结合, 再加入, 回答
vi. 重新聚合, 回答, 第二次答辩"
locked,a. 上锁的；不灵活的；下定决心的
resurrection,"n. 复活, 复兴, 恢复, 掘墓盗尸
"
acoustic,"a. 听觉的, 声学的, 音响的
"
earthly,"a. 地球的, 俗世的, 可能的"
decipher,"vt. 译解, 解释
n. 密电译文"
stressor,[医] 紧张性刺激; 应激物
caravan,"n. 旅行队, 有篷顶的大车
"
innate,"a. 先天的, 天生的
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
finalist,"n. 决赛选手, 决赛队"
obsessive,a. 着迷的
sincerely,adv. 真诚地
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
handmade,"a. 手工的, 手制的"
electronically,adv. 电子地
subsistence,"n. 生存, 生活
"
fragmented,a. 成碎片的；片断的
babe,"n. 小孩, 天真幼稚的人"
legion,"n. 军团, 军队, 众多的人"
proficiency,"n. 精通, 熟练, 精练"
deplete,"vt. 耗尽, 使衰竭
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
coronary,"a. 冠的, 花冠的, 冠状的
"
shattered,a. 极度疲劳的；破碎的
evangelical,"a. 福音派教会的
n. 福音派信徒"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
martini,"n. 马提尼（一种鸡尾酒, 等于Martini）"
unresolved,"a. 无决断力的, 不果断的, 无决心的, 未解决的, 未澄清的, 未议决的, 未分解的
"
sect,"n. 宗派, 教派"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
gambler,"n. 赌博者, 赌徒
"
