background,"n. 背景, 背景资料
"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
shredded,shred的过去式和过去分词
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
skewer,"n. 串肉棒, 烤肉叉子, 针状物
vt. 刺穿, 串住, 讽刺"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
tablespoon,"n. 大汤匙
"
tempting,"a. 诱惑人的, 吸引人的"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
toasted,"v. 向…祝酒, 为…干杯( toast的过去式和过去分词 ); 烤火, 取暖, 使暖和"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
uncooked,a. 未煮过的
video game,[计] 电视游戏
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
antique shopping,无
ATM card,金融卡
avoid,"vt. 避免, 防止, 撤消
"
bring back,"na. 送回；使恢复；使回忆起
"
by myself, 我独自地
camper,n. 露营者
camping,"n. 野营, 露营"
candlelit,"a. （房间、饭桌）点蜡烛的, 用烛光照明的"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
a couple,一对夫妇；夫妻俩
a couple of,"一对..., 三两个..."
credit card,
cross-country,越野赛，横越全国的
discover,"vt. 发现, 找到, 暴露
vi. 发现"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
eating out,外出就餐
equipment,"n. 装备, 设备, 才能
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
fireplace,n. 壁炉
first-aid kit,"un. 急救包；急救药箱
"
fishing,"n. 钓鱼, 鱼业
a. 钓鱼的"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
art gallery,"美术馆,画廊"
guidebook,"n. 指南, 手册, 要览"
had better,最好
hiking boots,远足靴
horse-drawn,"adj. 马拉的
n. 马拉的
"
identification,"n. 识别, 身份证明, 认同
"
in advance,"预先
"
include,"vt. 包括, 把...算入, 包住
"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
Jacuzzi,n. 极可意水流按摩浴缸
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
medication,"n. 药物治疗, 药物处理, 医药
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
national park,n. 国家公园
necessary,a. 必要的；必然的；必需的
nightlife,n. 夜生活
option,"n. 选择权, 挑选, 选项
"
ought to,应该
overnight bag,n. 小旅行袋
plane ticket,n. 飞机票
reading,"n. 阅读, 知识, 读物
a. 阅读的"
required,a. 必需的
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
round-trip, 往返旅行
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
should,"aux. 应该, 将要"
sledding,n. 乘雪撬
sleigh,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
suitcase,n. 手提箱
surfboard,"n. 冲浪板, 用冲浪板滑水"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
vaccination,"n. 接种疫苗, 种痘
"
visa,"n. 签证
vt. 签发"
windbreaker,"n. 防风林, 防风茄克衫, 风衣"
wonderland,"n. 奇境, 仙境, 非常奇妙的地方"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
apologize,"vi. 道歉, 辩解"
as soon as,一...就
association,"n. 协会
"
badly,"adv. 严重地, 恶劣地, 极度地"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
criticize,"v. 批评, 吹毛求疵, 非难"
effort,"n. 努力, 成就"
enjoyment,"n. 享乐, 快乐, 享受
"
feel free,"感到自由, 无拘束; 〈非正〉随自己之意(做某事)"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
groceries,"n. 食品, 杂货"
guest,"n. 客人, 来宾, 旅客
"
guideline,"n. 指导路线, 方针, 指标
"
hallway,n. 门厅；玄关；走廊
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
household chore,n. 家务活
keep clean,[网络] 保持清洁；保持干净；保持整洁
laptop,[计] 膝上型的
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
let out,[网络] 阿尔都塞思想的全部整体
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
loudly,"adv. 高声地, 大声地, 吵闹地"
make sure,确定
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
pick up,"v. 拾起；探出；重新开始
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
put away,"v. 把…收起来；储存
"
quietly,"adv. 安静地, 沉着地, 秘密地"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
stranger,"n. 陌生人, 门外汉
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
throw out,"na. 投出；拒绝；否决(议案)；派出
"
toothbrush,n. 牙刷
towel,"n. 手巾, 毛巾
v. 擦干身子"
trash,"n. 垃圾, 废物
vt. 丢弃"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
answering machine,"答录机, 录音电话"
area code,分区电话号码
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
battery,"n. 电池, 殴打
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
burglar,"n. 窃贼
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
calculator,"n. 计算者, 计算器
"
caller,"n. 访客, 召集员, 传唤员
a. 新鲜的
"
camcorder,n. 摄录像机；便携式摄像机
CD-ROM,光盘只读存储器；只读型光盘
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
cut and paste,"剪贴
"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
disk drive,"磁盘驱动器
"
double-click,"双击
"
double-click on,无
download,"[计] 卸载, 下栽"
drag and drop,"拖放
"
dropout,"n. 退学学生, 中途退学
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
evader,"n. 逃避者,逃避物"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
fingerprinting,[医] 指纹法
DNA fingerprinting,DNA指纹图谱；DNA指纹分析
geek,n. 做低级滑稽表演的人
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
hardware,"n. 硬件, 五金器具, 零件
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
house-sit,"v. （屋主外出时）代为照看房子
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
instruction,"n. 指令, 教导, 命令
"
invention,"n. 发明, 创作能力, 虚构的故事
"
keyboard,"n. 键盘
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
protect,"vt. 防卫, 保护, 警戒
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
recording,"a. 记录的, 记录用的
n. 录音"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
robotics,"[计] 机器人学, 自动机工程学"
satellite,"n. 人造卫星
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
technology,"n. 技术, 工业技术, 术语
"
technophile,n. 技术爱好者
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
transmission,"n. 传输, 传送, 变速器
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
voice mail,"[计] 语音邮件, 声音邮递"
Walkman,n. 随身听（商标名称）
watercraft,"n. 水性, 船舶, 驾船技术"
Web site,网页；网址
whiz,"n. 飕飕声, 精明的人, 专家
v. (使)飕飕作声"
World Wide Web,"[计] 全球信息网, WWW浏览器"
April Fools' Day,n. 愚人节(4月1日)
at least,"至少
"
be like,[网络] 像；像……一样；长得像
boyfriend,n. 男朋友
bride,n. 新娘
Carnaval,n. （法）嘉年华会；狂欢节
cemetery,"n. 墓地, 公墓
"
ceremony,"n. 典礼, 仪式, 礼节
"
Children's Day,"n. 儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)"
Chinese New Year,n. 春节
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtship,"n. 求爱, 求婚, 求爱时期"
cranberry sauce, 酸果曼沙司
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
dancing,"n. 舞蹈
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
Day of the Dead,丧尸出笼；活死人之日（电影名）
diamond ring,"n. 钻戒
"
firecracker,"n. 爆竹, 鞭炮
"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
fruit punch, 果汁喷趣酒
get engaged,n. 订婚
get married, 结婚; 结亲; 成家立室
get together,"聚集, 收集, 积累"
get-together,"聚集, 收集, 积累"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
home movie, （只供在家里放映的）自制影片
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
