anyone,pron. 任何人
ever,"adv. 曾经, 究竟, 永远"
hardly ever,几乎从不
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
twice,"adv. 两次, 两倍"
Internet,[网络] 互联网；因特网；网际网路
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
swing dance,[网络] 摇摆舞；摇摆舞蹈；於摇摆舞
maybe,"adv. 也许, 大概
n. 可能性"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
at least,"至少
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
junk food,"n. 垃圾食品, 无营养食品"
coffee,"n. 咖啡, 咖啡色
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
percent,"n. 百分比, 百分数, 部分
"
per cent,"n. 每百中, 百分之..., (英)利息...厘的证券, (非正式)百分率
"
online,[计] 联机
television,"n. 电视
"
although,"conj. 虽然, 尽管"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
such,"a. 如此的, 这样的"
such as,"例如..., 像这种的"
together,"adv. 一起, 共同, 彼此"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
writer,"n. 作家, 撰稿者, 抄写员
"
dentist,"n. 牙科医生
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
than,"conj. 比, 除...外
prep. 比"
more than,"比...多, 超出预料, 很, 绰绰"
almost,"adv. 几乎, 差不多"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
less than," 小于, 决不; 以内; 没有; 不足"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
Claire,n. 克莱儿（女子名）
Sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
American Teenager,无
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
better,"a. 较好的
adv. 比较好"
loudly,"adv. 高声地, 大声地, 吵闹地"
quietly,"adv. 安静地, 沉着地, 秘密地"
hard-working,辛勤工作的
competition,"n. 竞争, 竞赛
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
which,"pron. 哪一个, 那一个"
clearly,adv. 清楚地
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
talented,"a. 天资高的, 有才能的"
truly,"adv. 真实地, 不假"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
care about,担心
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
as long as,只要...
necessary,a. 必要的；必然的；必需的
be different from,"与…不同,和…不一样"
both,"a. 两者的
adv. 两者都
pron. 两者"
bring out,"na. 公布；说出；出版；上演
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
should,"aux. 应该, 将要"
the same as,"与...相同, 与...一致"
saying,"n. 叙述, 话, 说, 言论"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
in fact,"事实上
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
similar,"a. 相似的, 类似的
n. 相似的东西"
be similar to,与...相似
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primary school,"n. 小学, 初等学校; 参见：elementary school"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
Tara,[网络] 助教或者助研
Sam,n. 山姆（男子名）
Nelly,"n. 内丽（女子名, 等于Eleanor, Ellen, Helen）"
Larry,n. 拉里（男子名）
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
cheaply,adv. 便宜地
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
DJ,"abbr. 〈美(=Dow Jones & Co)道琼斯公司
n. （电台、电视台、夜总会）唱片节目主持人（全写为 disc jockey）
v. 做音乐节目主持人（尤指在夜总会）
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
carefully,"adv. 小心地, 谨慎地"
reporter,"n. 记者, 报告者
"
so far,迄今为止
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
comfortably,"adv. 安乐地, 舒服地, 宽裕地"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
menu,"n. 菜单, (功能)选择单
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
creative,"a. 有创造力的, 创作的, 产生的"
performer,"n. 表演者, 执行者, 完成者
"
talent,"n. 天才, 才能, 有才干的人, 天资"
have ... in common,"un. 没有共同之处；有某些共同之处
"
magician,"n. 魔术家, 幻术家, 术士"
all kinds of,各种各样的
beautifully,"adv. 美好地, 漂亮地"
be up to,"胜任,达到,由…负责"
role,"n. 角色, 职责, 任务
"
play a role, 起作用
winner,"n. 胜利者, 优胜者
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
everybody,"pron. 每个人, 人人"
make up,"na. 弥补；起草；定；签订
"
example,"n. 例子, 样本, 实例
"
for example,例如
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
seriously,"adv. 严肃地, 认真地, 严重地"
take ... seriously,"na. 重视；认真(想)；当真
"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
crowded,"a. 拥挤的, 塞满的"
Greg,"n. 格雷格（男子名, 等于Gregory）"
Depp,n. 德普（姓氏）
Danny,"n. 丹尼（男子名, 等于Daniel）"
Eliza,"n. 伊莱扎（女子名, Elizabeth的昵称）"
Vera,abbr. 通用实验性反应堆装置（Versatile Experimental Reactor Assembly ）
Dennis,n. 丹尼斯（男子名）
American Idol,美国偶像（美国真人秀电视节目）
America's Got Talent,无
China's Got Talent,无
sitcom,abbr. 情景喜剧（situation comedy）
news,"n. 新闻, 消息, 报导
"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
educational,"a. 教育的, 教育性的"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
find out,"na. 查出；发现；看清…的面目；识破
"
discussion,n. 讨论
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
happen,"vi. 发生, 发生, 恰巧"
may,"n. 五月
aux. 愿能, 可以, 愿意"
expect,"vt. 预期, 盼望, 期待"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
comedy,"n. 喜剧, 有趣的事情"
meaningless,a. 无意义的
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
action movie, 动作片
cartoon,"n. 卡通画, 漫画
v. 画漫画"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
famous,"a. 出名的, 极好的"
appear,"vi. 出现, 显得, 来到
"
become,"vi. 变成, 变得
vt. 适合"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
might,"n. 力量, 权力
aux. 可能, 也许"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
unlucky,"a. 不吉利的, 不祥的, 不幸的"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
girlfriend,n. 女朋友
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
be ready to,准备…
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
take sb.'s place,[网络] 解构发生；就位
army,"n. 军队, 陆军"
do a good job,"一件好事, 干得更好"
Sarah,n. 萨拉(<<圣经>>故事人物)
Walt Disney,沃特·迪斯尼
Minnie,n. 迫击炮
Mickey Mouse,米老鼠
Steamboat Willie,无
Hollywood,[网络] 好莱坞
the Hollywood Walk of Fame,无
grow up,"成熟, 成年, 发展, 逐渐形成"
computer programmer,
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
violinist,"n. 小提琴演奏者, 小提琴家"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
pianist,"n. 钢琴家, 钢琴演奏者"
scientist,"n. 科学家
"
be sure about,对…有把握
make sure,确定
college,"n. 学院, 大学, 学会"
education,"n. 教育, 训练, 教育学
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
university,n. 大学
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
able,"a. 能干的, 能够的"
be able to,"能, 会"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
discuss,"vt. 讨论, 论述
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
beginning,n. 开始
at the beginning of,在…刚开始的时候
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
themselves,"pron. 他们自己, 她们自己, 它们自己"
have to do with,"na. 和…有关系
"
self-improvement,自我完善；自我改进
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
hobby,"n. 嗜好, 癖好, 爱好"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
schoolwork,"n. 学校作业, 家庭作业"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agree with,"同意…,与…意见一致;适应…"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
relationship,"n. 关系, 关联
"
Andy,"n. 安迪（男子名, 等于Andrew）"
Ken,"n. 视野范围, 知识范围, 见地"
Hemingway,"海明威(①姓氏 ②Ernest, 1899-1961, 美国小说家, 曾获1954年诺贝尔文学奖)"
Kelly,n. 凯利（男子名）；[古]战士
The Old Man and the Sea, [电影]老人与海
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
pollution,"n. 污染, 玷污
"
prediction,"n. 预言, 预报
"
future,"n. 未来, 将来
a. 将来的, 未来的"
pollute,"vt. 污染, 弄脏, 玷污
"
environment,"n. 环境, 外界, 围绕
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
play a part,"扮演角色, 参与, 有影响, 装腔骗人"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
sea,"n. 海, 海洋, 海浪, 大量
"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
astronaut,"n. 太空旅行者, 宇航员
"
apartment,"n. 房间, 公寓"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
space station,[计] 空间站
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
dangerous,"a. 危险的
"
already,"adv. 已经, 早已"
factory,"n. 工厂, 产生地, 代理店
"
over and over again,反复地; 再三地
believe,v. 相信
disagree,"vi. 不一致, 不适宜
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
hundreds of,"几百..., 许许多多..."
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
look for,"寻找, 期待"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
probably,"adv. 大概, 或许"
during,prep. 在...的时候
holiday,"n. 假日, 假期, 节日
vi. 度假"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
Nick,"n. 刻痕, 缺口, 划痕
vt. 刻痕于, 弄缺, 擦伤
vi. 狙击"
James,"n. 詹姆斯（姓氏, 男子名）；[圣]《雅各书》"
White,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
milk shake,奶昔
blender,"n. 混合者, 混合器, 搅拌器
"
turn on,"na. 转向；对…进行突击
"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
yogurt,"n. 酸乳酪
"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
watermelon,n. 西瓜
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
finally,"adv. 最后, 终于"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
cheese,"n. 乳酪
"
popcorn,n. 爆米花
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
lettuce,"n. 莴苣, 生菜, 纸币
"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
Thanksgiving,n. 感谢
traditional,"a. 传统的, 惯例的
"
autumn,"n. 秋天, 成熟期"
traveler,"n. 旅行者, 游客, 旅客, 旅行推销员, 活动起重架, 行车, 临时记帐单"
England,[网络] 英国
celebrate,"v. 庆祝, 祝贺, 举行"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
oven,"n. 烤箱, 灶, 子宫
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
gravy,"n. 肉汁, 外快"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
temperature,"n. 温度, 发烧, 热度
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
prepare for,[网络] 准备；为…作准备；为…做准备
exam,"n. 考试, 测验"
flu,"n. 流感, 流行性感冒"
available,"a. 可利用的, 可获得的, 有效的
"
another time,下次
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
hang out,挂出
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
the day before yesterday,前天
the day after tomorrow,后天
weekday,"n. 周日, 平日
"
look after,"目送, 照顾, 关心"
invitation,"n. 邀请, 请柬, 引诱
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
delete,"vt. 删除
"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
sad,"a. 忧愁的, 悲哀的"
goodbye,interj. 再见
take a trip,作旅行
glad,"a. 高兴的, 喜欢的, 情愿的"
preparation,"n. 准备, 预备, 预习
"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
surprised,a. 感到惊讶的
look forward to," 期望, 盼望; 瞩望; 属望; 企"
hear from,"接到...的信, 受...批评"
housewarming,n. 乔迁庆宴
