economy,"n. 经济, 理财, 节约
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
dubious,"a. 可疑的, 不确定的"
distinction,n. 区别
paid family leave,无
establishment,"n. 确立, 制定, 设施
"
strategy,"n. 战略, 策略
"
strategic,"a. 战略的, 战略上的
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
direction,"n. 方向, 指导, 趋势
"
director,"n. 主管, 导演, 董事
"
directory,"n. 目录, 工商名录, 指南
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
correction,"n. 订正, 改正, 改正的地方
"
corrective,"a. 纠正的, 改正的, 矫正的
n. 改善法, 矫正物"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erection,"n. 直立, 竖起, 建筑物
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
rectification,"n. 改正, 矫正, 整流
"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
likelihood,"n. 可能, 可能性"
likeness,"n. 相象, 相似物, 样子"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
likewise,"adv. 同样地, 也"
dreamlike,"a. 梦一般的, 梦幻的"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
mostly,"adv. 大概, 大部分, 主要
"
almost,"adv. 几乎, 差不多"
outermost,"a. 最外面的, 最远离中心的"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
child,"n. 孩子, 产物, 追随者
"
childish,"a. 天真的, 孩子气的"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
mildly,"adv. 柔和地, 和善地, 适度地"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
socialism,"n. 社会主义, 社会主义运动"
socialist,"n. 社会主义者, 社会党党员
"
society,n. 社会；社交界；交往；社团
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
associated with,与…有关系；与…相联系
be associated with, 和…联系在一起; 与…有关
association,"n. 协会
"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
wording,"n. 用词, 措词"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
double-edged sword,[网络] 双刃剑；一把双刃剑
chord,"n. 弦, 和音
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
cordiality,"n. 热诚, 真挚"
cordially,"adv. 诚恳地, 诚挚地, 诚实地"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
momentary,"a. 瞬间的, 刹那间的"
momentarily,"adv. 暂时地, 立刻, 随时地"
momentous,"a. 重大的, 重要的"
momentum,"n. 动力, 动量
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
challenging,"a. 挑战的, 引起争论的"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
by design,"故意地, 蓄意地"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
sturdy,"a. 强健的, 健全的
"
stupid,"a. 愚蠢的, 麻木的"
stupidity,"n. 愚蠢, 糊涂事
"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
follower,"n. 从者, 属下, 追补者
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
self-absorbed, 专顾自己的
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
needless,"a. 不需要的, 不必要的"
indeed,"adv. 的确, 实在, 真正地, 甚至"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
speedy,"a. 快的, 迅速的
"
speeding,n. 超速行驶
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
seedling,"n. 秧苗, 树苗
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
greed,"n. 贪欲, 贪婪"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
bloody,"a. 血腥的, 嗜杀的, 有血的"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
length,"n. 长度, 长, 期间, 一段
"
lengthy,"a. 冗长的, 漫长的"
longevity,"n. 长命, 长寿, 寿命
"
belong,"vi. 属于, 合适"
belongings,"n. 财产, 所有物, 相关事物
"
prolong,"vt. 延长, 拖延, 拖长
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
careful,"a. 小心的, 谨慎的"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barely,adv. 几乎不
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarely,"adv. 很少地, 罕有地"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
preparation,"n. 准备, 预备, 预习
"
preparatory,"a. 预备性的, 准备性的
n. 预科"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
researcher,n. 研究人员
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
take-off,"v. (飞机)起飞；出去；拿掉；移送
"
intake,"n. 入口, 吸入, 吸入量
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
undertaking,"n. 事业, 企业, 保证
"
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
educational,"a. 教育的, 教育性的"
educator,n. 教育家
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
eradication,"n. 连根拔除, 歼灭, 消灭, 根除, 使断根
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certify,"v. 证明, 保证"
certification,"n. 证明
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
companionship,"n. 交往, 友谊, 一群同伴"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
compatible,"a. 能共处的, 可并立的, 适合的
"
compatibility,"n. 兼容性
"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparison,"n. 比较, 对照, 比喻
"
comparative,"a. 比较的, 相对的
n. 对手"
comparable,"a. 可比较的, 比得上的"
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
central,"a. 中央的, 重要的
"
centralize,"vt. 集聚, 集中, 施行中央集权
vi. 集中"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
science,"n. 科学, 学科, 学问, 自然科学
"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
scientist,"n. 科学家
"
conscience,"n. 良心
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciousness,"n. 意识, 知觉, 自觉
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
consensus,"n. 合意, 一致, 同感
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
invitation,"n. 邀请, 请柬, 引诱
"
inviting,"a. 引人动心的, 有魅力的
"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
thoughtful,"a. 深思的, 体贴的"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
linkage,"n. 联合, 连锁, 结合, 联动
"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
brink,"n. 边缘, 陡岸"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
decide,"v. 决定, 判决"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
decision,"n. 决定, 决心, 决断
"
decisive,"a. 决定性的, 坚定的, 果断的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
suicidal,"a. 自杀的, 自杀性的, 自我毁灭的
"
pesticide,"n. 杀虫剂
"
parent,"n. 父母, 父母亲, 根源
"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
parenting,n. 父母对子女的养育
apparent,"a. 清晰可见的, 显然的, 表面上的
"
apparently,"adv. 表面上, 清楚地, 显然地"
transparent,"a. 透明的, 显然的, 清晰的
"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
peasant,"n. 农夫, 乡下人"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
learn,vt. 学习；认识到；得知
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
earn,"vt. 赚得, 获得, 博得
"
earnings,"n. 所赚的钱, 工资, 收入
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
warning,"n. 警告, 预告, 预兆, 通知
"
yearn,"vi. 渴望, 想念, 怀念, 同情"
yearning,"n. 渴望, 热望, 怀念
a. 热望的, 渴望的, 怀念的, 向往的"
barn,"n. 谷仓
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
development,"n. 发展
"
developmental,"a. 发展的, 进化的, 启发的
"
developer,"n. 开发者
"
developed,a. 发达的（国家或地区）；成熟的
developing,"a. 发展中的
"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
envelope,"n. 信封, 封套, 封袋
"
different,"a. 不同的
"
differ,"vi. 不一致, 不同
"
difference,"n. 不同, 差异
"
differentiate,"v. 区别, 区分"
differentiation,"n. 区别, 分化, 变异
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
difficult,a. 困难的
difficulty,"n. 困难, 难点"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
finding,"n. 发现, 发现物, 决定, 裁决
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
argument,"n. 争论, 论证, 论据, 自变量
"
funding,[经] 债务转期
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
pose a threat to,成为...的威胁
funeral,"n. 葬礼, 出殡"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
authorize,"vt. 授权, 批准, 委托
"
authorization,"n. 授权, 许可
"
authentic,"a. 可靠的, 可信的, 真正的
"
authenticity,"n. 可靠性, 真实性
"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humanity,"n. 人性, 人类, 博爱"
humane,"a. 有人情的, 人道的, 仁慈的"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
humanism,"n. 人本主义, 人文主义, 人道主义
"
humanist,"n. 人道主义者, 人文学者"
humanistic,"a. 人本主义的, 人道主义的
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humiliation,"n. 耻辱, 丢脸, 谦卑"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
humbly,"adv. 谦逊地, 卑贱地, 低声下气地"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealistic,"a. 理想主义的, 唯心论的, 唯心主义的, 唯心主义者的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealer,"n. 经销商, 商人
"
dealing,"n. 经营行为, 行为, 交易
"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
informative,"a. 提供消息的, 见闻广博的"
informant,"n. 提供消息者, 密告者, 被调查者
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
formation,"n. 形成, 构造, 编队
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formula,"n. 客套语, 公式, 准则
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conformity,"n. 遵照, 适合, 一致, 相似
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
formality,"n. 礼节, 拘谨, 正式手续
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
reformation,"n. 改革, 改正, 重新形成, 重新组成"
reformist,"n. 改良主义者, 改革者"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
baby boomer,"n. A person born during a baby boom, esp. one born in the U.S. between 1946 and 1965。; 婴儿潮时期出生的人"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
uniformity,"n. 无差异, 同样, 划一, 一致
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
livelihood,"n. 生计, 营生, 生活"
lively,"a. 活泼的, 鲜明的, 生动的"
relive,"vi. 再生, 复活
vt. 再体验"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
living-room,"客厅, 起居室"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
liver,"n. 肝脏, 生活者, 居民
"
livestock,"n. 家畜
"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
well-off,"富裕的, 处境好的"
dwell,"vi. 居住, 居住(于), 存在(于)"
dweller,n. 居民
dwelling,"n. 住处
"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
jewelry,"n. 珠宝, 珠宝类"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
meaningful,a. 意味深长的
means,"n. 方法, 手段, 工具, 财产, 收入
"
meantime,"n. 间隔时间, 其时
adv. 其间"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
cleanse,"vt. 使清洁, 净化, 使纯净
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
dean,"n. 院长, 主持牧师
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
radioactive,"a. 放射性的, 有放射能的
"
radioactivity,"n. 放射性
"
actual,"a. 真实的, 实际的, 现行的
"
counteract,"vt. 抵消, 阻碍, 中和
"
counteraction,"n. 抵消, 反作用, 中和
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
interactive,"a. 相互作用的, 相互影响的
"
react,"vi. 起反应, 起作用, 反攻
"
would do well to do ...,无
take a deep breath,"na. 行深呼吸
"
reaction,"n. 反应, 反作用, 反动
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
transaction,"n. 交易, 办理, 学报, 和解协议
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exacting,"a. 苛求的, 吃力的"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
enact,"vt. 制定法律, 扮演, 颁布
"
enactment,"n. 制定, 条例, 法规, 法令, 颁布, 规定
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
leadership,"n. 领导能力, 领导阶层"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
dreadful,a. 可怕的
dreaded,"a. 令人畏惧的, 可怕的"
instead,"adv. 作为替代, 反而"
government,"n. 政府, 内阁
"
govern,"v. 统治, 支配, 管理"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
environment,"n. 环境, 外界, 围绕
"
environmental,"a. 周围的, 环境的
"
environmentalist,n. 环保人士
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
evenly,"adv. 平衡地, 平坦地, 平等地"
uneven,"a. 不平坦的, 不均等的, 奇数的"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
eventful,"a. 变故多的, 多事的, 重要的"
eventually,"adv. 最后, 终于"
eventual,"a. 最后的, 终于的"
eventuality,"n. 可能发生的事, 可能性"
eve,"n. 前夕, 前夜"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
growth,"n. 生长, 栽培, 增长
"
grown,"a. 长大的, 成年的, 长满某物的
grow的过去分词"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
arrow,"n. 箭, 箭状物, 箭头记号"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
narrowly,"adv. 狭窄地, 严密地, 仔细地, 几乎不, 勉强地, 仅仅"
