Asia,n. 亚洲
boarding card,"n. 乘车证, 乘客证"
name tag, [计][WIN]名签; 名牌
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
checklist,"n. 清单, (美)选举人名单, 名册, 目录册"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
something,"pron. 某事, 某物"
celebrate,"v. 庆祝, 祝贺, 举行"
born,"a. 天生的
bear的过去分词"
be born, 出生于…; 落地; 诞; 下生
ago,adv. 以前
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
very much, 非常; 良; 无可不可
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
later,"adv. 以后, 随后"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
battle,"n. 战役
v. 战斗"
danger,"n. 危险, 威胁
"
in danger,在危险中
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
moon cake,月饼(中国食品)
pudding,n. 布丁
would rather,"倒愿意…,宁愿…"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
indoor,"a. 户内的, 室内的"
outdoor,"a. 户外的, 屋外的, 露天的"
really,"adv. 实际上, 真实地, 实在"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
piano,n. 钢琴
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
headache,"n. 头痛, 令人头痛之事
"
stomach ache,n. 胃痛；肚子痛
toothache,"n. 牙痛
"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
fever,"n. 发烧, 发热, 热病
"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
housework,"n. 家事, 家务"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
future,"n. 未来, 将来
a. 将来的, 未来的"
in front of,在...前面
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
look for,"寻找, 期待"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
centimetre,"n. 厘米, 公分"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
kilogram,"n. 千克, 公斤
"
astronaut,"n. 太空旅行者, 宇航员
"
good-looking,"貌美的,漂亮的"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
reporter,"n. 记者, 报告者
"
baker,"n. 面包师
"
singer,n. 歌手
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
good at, 擅长…
be good at,擅长
possibly,"adv. 可能, 也许"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
bakery,n. 面包店
a lot,"大量, 很, 非常"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
poor at,无
be poor at,[网络] 不擅长；在……比较差；不擅长于
spacecraft,n. 航天飞船
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
seasonal,"a. 季节的, 依照季节的, 周期性的
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
shorts,"n. 短裤, (美)男人的短衬裤
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
belt,"n. 带子, 地带
"
blouse,n. 宽松的上衣
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
air-conditioned,装有空气调节器的
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
snowman,n. 雪人
double-decker, [医]双层床，双层公共汽车
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
transportation,"n. 运输, 输送, 交通车辆
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
instead,"adv. 作为替代, 反而"
single-decker,"n. 单层公共汽车
"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
perhaps,"adv. 也许, 大概"
few,"a. 很少的, 不多的, 少数的
n. 少数"
traffic jam,"塞车, 交通阻塞"
motorcycle,"n. 摩托车
"
flyover,"n. 立交桥, 天桥, 立交马路"
railway,"n. 铁路, 轨道
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
footbridge,n. 人行桥
poster,"n. 海报, 招贴, 驿马"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
gentle,"a. 温和的, 文雅的"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
raincoat,n. 雨衣
tightly,"adv. 紧紧地, 坚固地"
slightly,"adv. 些微地, 苗条地"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
quickly,adv. 很快地
windsurf,vi. 帆板；风帆冲浪
typhoon,n. 台风
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
cleaner,"n. 清洁工人, 清洁剂, 干洗商
"
happily,"adv. 幸福地, 快乐地, 幸好"
at first,起先
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
slowly,"adv. 慢慢地, 迟缓地"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
immediately,"adv. 直接地, 立刻, 立即"
fiercely,"adv. 猛烈地, 厉害地"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
carefully,"adv. 小心地, 谨慎地"
slide show,"放映幻灯片
"
think about,"考虑, 回想"
happen,"vi. 发生, 发生, 恰巧"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
starfish,n. 海星
sea horse,海马
competition,"n. 竞争, 竞赛
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
dolphin,n. 海豚
shark,"n. 鲨鱼, 骗子
v. 诈骗"
intelligent,"a. 聪明的, 智能的, 了解的"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
Internet,[网络] 互联网；因特网；网际网路
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
farmer,"n. 农夫, 农场主
"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
dripping,"n. 滴, 滴下物, 水滴"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
running,"n. 赛跑, 流出, 运转
a. 流动的, 跑着的, 连续的"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
turn off,"v. 关掉
"
instead of,代替
forest,"n. 森林, 林区
vt. 植树于"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
area,"n. 区域, 面积, 范围, 空地
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
insect,"n. 昆虫, 卑鄙的人
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
build,"v. 建立, 建筑
n. 构造, 体格"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
furniture,"n. 家具, 帆具"
clay,"n. 泥土, 肉体, 黏土
"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
chopstick,n. 筷子
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
made of,把...培养成
be made of,由...所组成
wooden,"a. 木制的, 呆笨的, 木然的"
woollen,"n. 毛织品
a. 羊毛制的"
