boring,"a. 烦人的, 无聊的, 无趣的
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
invitation,"n. 邀请, 请柬, 引诱
"
karate,n. 空手道
learn,vt. 学习；认识到；得知
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
ski,"n. 滑雪橇
vi. 滑雪"
sometimes,"adv. 有时, 时常, 往往"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
work out,"v. 作出；拟定；制定；计划一下
"
baseball,"n. 棒球
"
belt,"n. 带子, 地带
"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
glove,"n. 手套
vt. 给...戴手套"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
in the end,"最后, 终于"
latest,a. 最近的
mall,n. 林荫路
pair,"n. 一双, 一对, 一副
v. (使)成对"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
popcorn,n. 爆米花
prefer,"vt. 宁可, 较喜欢, 提出
"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
sweatpants,n. 运动裤
video game,[计] 电视游戏
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
angry,"a. 生气的, 愤怒的"
bored,a. 无聊的；烦人的；无趣的
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
dentist,"n. 牙科医生
"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
explain,"v. 解释, 说明"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
glad,"a. 高兴的, 喜欢的, 情愿的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
tired,"a. 疲累的, 疲乏的, 厌倦的"
toothache,"n. 牙痛
"
turn on,"na. 转向；对…进行突击
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
weekend,"n. 周末, 周末休假"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
city,"n. 城市, 市
"
Internet,[网络] 互联网；因特网；网际网路
Italy,n. 意大利
Japan,"n. 日本
"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
lesson,"n. 课, 课业, 教训"
Mexico,n. 墨西哥
mountain,"n. 山, 山脉, 大堆"
pollution,"n. 污染, 玷污
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
