excessive,"a. 过度的, 过多的, 极端的
"
implication,"n. 牵连, 含义, 暗示
"
opt,vi. 选择
murky,"a. 黝暗的, 阴沉的, 朦胧的"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
totemic,a. 图腾的
biblical,a. 圣经的
acquire,"vt. 获得, 学到
"
typify,"vt. 代表, 象征, 为...之典型"
conquest,"n. 战胜, 征服, 战利品
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
squalor,"n. 肮脏, 贫穷, 不干净"
headscarf,n. 女人的头巾
astoundingly,adv. 令人惊奇地
fragmentation,"n. 分裂, 破碎
"
thatcher,n. 盖屋顶者
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
intrusion,"n. 闯入, 侵扰
"
hypothesis,"n. 假设
"
arthritis,"n. 关节炎
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
sequel,"n. 继续, 续集, 后果
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
indolence,"n. 怠惰, 无痛
"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
banquet,n. 宴会
briefcase,n. 公事包
bureau,"n. 局, 办公处
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
candidate,"n. 候选人, 投考者
"
awesome,"a. 引起敬畏的, 可怕的"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
rapport,"n. 关系, 融洽, 一致
"
invigilator,"n. 监考人
"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
quirky,"a. 诡诈的, 突兀的, 古怪的, 离奇的
"
cranial,"a. 头盖的, 颅侧的
"
authentic,"a. 可靠的, 可信的, 真正的
"
inhabit,"vt. 居住于, 占据, 栖息"
pandemic,"a. 大流行的, 普遍的, 全世界的
"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
snow-stricken,无
limousine,n. 轿车
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
righteousness,"n. 正义, 公正, 正直"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
administration,"n. 行政, 管理, 政府机关
"
indulgent,"a. 纵容的, 任性的, 宽容的"
paralyze,"vt. 使瘫痪, 使麻痹
"
remain,"vi. 保持, 逗留, 剩余
"
effort,"n. 努力, 成就"
offspring,"n. 子孙, 后代, 产物
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
comprehend,"vt. 理解, 包括"
erupt,"vi. 爆发
vt. 喷出"
solution,"n. 解决, 解答, 溶液
"
rangefinder,测距仪
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
adulation,"n. 谄媚, 过分的称赞"
antibiotic,"n. 抗生素
a. 抗生的"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
lop,"vt. 剪, 砍伐, 斩
vi. 下垂, 闲荡
a. 垂下的
n. 砍伐, 剪下的树枝"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
contagious,"a. 触染性的, 会蔓延的
"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
critically,"adv. 批评性地, 审慎地, 精密地"
Mediterranean,"n. 地中海
adj. 地中海的"
mockery,"n. 嘲弄, 笑柄, 歪曲"
tattered,"a. 破烂的, 褴褛的"
blister,"n. 水疱
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
pagoda,n. 宝塔
reservation,"n. 保留, 预定, 保留品, 保留地
"
rating,"n. 等级, 额定功率, 责骂
"
circulation,"n. 流通, 循环, 发行量
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
mingle,v. (使)混合
expanse,"n. 宽阔区域, 宽阔, 天空"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
assess,"vt. 估定, 对...征税, 评定
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
deformity,"n. 残缺, 畸形, 残缺者
"
warranty,"n. 正当理由, 授权, 担保, 保证, 根据
"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
indelibly,"adv. 去不掉, 擦不掉, 洗不掉, 持久"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
traumatic,"a. 外伤的, 创伤的
"
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
allege,"vt. 宣称, 主张, 提出, 断言
"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
gash,"n. 深长的伤口, 很深的裂缝
v. (使)负深伤, 划开, 砍入很深"
respiratory,"a. 呼吸的
"
languish,"vi. 憔悴, 凋萎, 苦思"
sneer,"n. 冷笑, 嘲笑
vi. 嘲笑, 冷笑
vt. 嘲笑着说, 嘲笑得使"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
consolation,"n. 安慰, 令人安慰的事物
"
attorney,"n. 代理人, 律师
"
custody,"n. 监护, 拘留, 监禁
"
detain,"vt. 扣留, 扣押, 耽搁
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
humiliation,"n. 耻辱, 丢脸, 谦卑"
freak,"n. 畸形人, 畸形物, 不正常的事物, 反复无常
a. 奇异的, 反常的"
hibernation,"n. 过冬, 冬眠, 避寒
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
squeak,"n. 吱吱声, 侥幸
vi. 吱吱叫, 告密, 侥幸成功
vt. 以短促尖声发出"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
thorny,"a. 多刺的, 令人苦恼的"
pillage,"n. 掠夺, 抢劫, 掠夺物, 战利品
v. 掠夺, 抢劫"
calibre,"n. 口径, 才干, 水准"
caliber,"n. 口径, 才干, 水准
"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
vessel,"n. 船, 容器, 脉管
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
mandatory,"a. 命令的, 托管的
"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
ambiguous,"a. 不明确的, 模棱两可的
"
psychiatric,"a. 精神病学的, 医精神病的
"
resemble,"vt. 相似, 类似"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
atrophy,"n. 萎缩, 萎缩症
"
aviation,"n. 航空, 航空学, 飞行术
"
showery,a. 阵雨的
abundance,"n. 丰富, 充足, 大量
"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
clack,"v. 噼啪响
n. 噼啪响"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
afterwards,"adv. 然后, 后来"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
taxation,"n. 课税, 征税, 抽税, 税款, 估定的税额
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
domestic,"a. 家庭的, 国内的, 驯养的
"
bulletin,"n. 公告, 布告, 公报
"
crisis,"n. 危机, 危险期, 紧要关头
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
disabled,"a. 残废的, 有缺陷的, 失效的
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
curriculum,"n. 课程
"
premises,"n. 房屋, 上述各点, 上述房屋
"
predecessor,"n. 前任, 先辈, 前身
"
retrieval,"n. 取回, 恢复, 检索
"
baseline,"n. 基线, 基准
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
