commend,"vt. 嘉奖, 委托给, 推荐"
treble,"n. 最高声部, 三倍
a. 三倍的, 最高声部的
vt. 使增为三倍
vi. 成为三倍"
bass,"n. 低沉的声音, 男低音, 椴树
a. 低音的"
C major,[网络] C大调；卡农；乐器
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
chord,"n. 弦, 和音
"
trill,"n. 颤声, 颤音, 啭鸣
vt. 用颤声说, 用颤音唱
vi. 发出颤音"
arpeggio,n. 琶音
staccato,"a. 断奏的, 断续的, 不连贯的
adv. 断奏地, 断续地, 不连贯地
n. 不连贯的东西"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
discordant,"a. 不调和的, 不和的"
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
spinet,"n. 小型拨弦古钢琴, 小型立式钢琴"
tutu,n. (芭蕾舞女演员用)短裙
nonchalantly,"adv. 漠不关心地, 无动于衷地"
throes,"n. 阵痛, 临死的苦痛, 垂死的挣扎, 剧痛, 痛苦, 苦闷, 苦难, 艰苦的奋斗"
tectonic,"a. 构造的, 建筑的
"
assortment,"n. 分类, 各种各样
"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
clime,"n. 地方, 气候区"
caravan,"n. 旅行队, 有篷顶的大车
"
afield,"adv. 离开着, 偏离着, 在战场上"
wrought,"a. 制成的, 精细的
work的过去式和过去分词"
anthropologist,n. 人类学家
crease,"n. 皱痕, 折痕
v. (使)起皱痕"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
globalism,"n. 全球主义,全球政策"
bedfellow,"n. 同床者, 伙伴"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
salubrious,"a. 有益健康的, 健康的
"
resilient,"a. 弹回的, 有弹力的
"
ostensible,"a. 表面的, 假装的, 看得出的
"
fountainhead,"n. 水源, 源, 本源"
orthodox,"a. 正统的, 传统的, 惯常的"
rap music, 饶舌音乐
brocade,n. 织锦
diner,n. 用餐者
seedy,"a. 多种子的, 结籽的, 破烂的, 肮脏的"
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
thrift shop, <美>旧货店
blending,"n. 混合, 混合物, 混成
"
punk,"n. 废物, 小阿飞
a. 无用的, 腐朽的"
morph,"[计] 形态, 词态"
geek,n. 做低级滑稽表演的人
chunky plastic tiles,无
Vegas,n. 维加斯
night owl,"n. 猫头鹰, 熬夜的人, 深夜不睡的人"
neckline,"n. 领口, 领圈"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
boutique,n. 专卖流行衣服的小商店
polka dots,"na. (衣料上的)圆点花纹
"
dislocation,"n. 脱臼, 转位, 混乱
"
Sputnik,n. 人造卫星
trisection,"n. 三分, 三等分"
aspire to, 渴望， 希求
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
Day of Atonement,赎罪日（等于Yom Kippur ）
High Holy Days,[网络] 圣洁日；崇圣日
liturgy,"n. 礼拜仪式, 祷告文, 圣餐仪式"
intone,v. 吟咏
penitence,"n. 后悔, 忏悔, 改过
"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
constituted,v. 建立( constitute的过去式和过去分词 ); 指定; （合法或正式地）成立; 构成
wiles,"n. 诡计, 骗人的把戏, 圈套, 奸计, 欺骗, 欺诈"
conciliate,"vt. 安抚, 说服, 博得...的支持, 调和
"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
fictitious,"a. 假想的, 编造的, 虚伪的
"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
cranny,"n. 裂缝, 裂隙"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
impede,"vt. 妨碍, 阻碍, 阻止"
hitherto,"adv. 迄今, 至今"
unfetter,"vt. 给...解开脚链, 释放, 使自由
"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
acme,"n. 顶点, 极度, 最高点
"
appendicitis,"n. 阑尾炎
"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
raccoon,"n. 浣熊, 浣熊毛皮"
covet,"v. 妄想, 垂涎"
cerebral,"a. 脑的, 大脑的
"
pot roast,n. 炖熟的肉
sauerkraut,n. <美>德国泡菜的一种
canny,"a. 精明的, 谨慎的, 节约的"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
waif,"n. 无家可归者, 无主物, 飘流物, 流浪者, 信号旗"
tryst,"n. 约会, 幽会
v. 约会"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
desist,"vi. 停止, 控制, 断念"
contrite,"a. 悔悟了的, 后悔的, 痛悔的"
ember,"n. 灰烬, 余烬"
smolder,"vi. 闷烧, 郁积
n. 闷烧"
pitchblende,n. 沥青铀矿
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
exultant,"a. 非常高兴的, 欢欣的"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
cretin,"n. 呆小病患者
"
chink,"n. 裂口, 裂缝, 弱点, 叮当声
vt. 使叮当响
vi. 堵裂缝, 叮当响"
hulk,"n. 船体, 笨重的船, 废然大物"
darn,"n. 织补
v. 织补"
perspiration,"n. 汗, 流汗, 努力
"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
turf,"n. 草皮, 泥炭, 跑马场
vt. 覆草皮于"
jitterbug,"n. 爵士乐迷, 神经质的人
v. 跳吉特巴舞"
blizzard,"n. 大风雪, 暴风雪"
hickory,"n. 山核桃树, 山核桃木
"
pecan,n. 美洲山核桃(树)
witch hazel, 北美金缕梅
canyon,"n. 峡谷, 海底悬崖"
corral,"n. 畜栏
vt. 把...关进畜栏"
cleavage,"n. 劈开, 裂片, 分裂
"
elk,n. 麋鹿
badger,"n. 獾, 獾皮毛
vt. 纠缠"
flax,"n. 亚麻, 麻布, 亚麻织品
"
buckwheat,"n. 荞麦, 荞麦片, 荞麦粉
"
stonecrop,n. 景天
larkspur,"n. 翠雀属植物
"
sweet clover, 草木樨（属）; 草木犀
lee,"n. 背风处, 避风处, 下风处, 保护, 庇护
a. 避风的, 背风的, 下风的, 保护的"
solstice,"n. 至, 至日, 至点, 极限, 决定性时刻"
caldron,n. 大锅
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
impale,"vt. 刺穿, 使绝望, 钉住"
deicide,n. 杀神
skillet,"n. 煮锅, 长柄浅锅"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
purl,"n. 金银线, 边饰, 反针, 潺潺声, 苦艾啤酒
vt. 用金银丝绣, 用反针编织
vi. 潺潺流水, 用反针编织"
scissortail,n. [鸟]叉尾霸鹟
demeanor,"行为, 品行, 举止"
trappings,"n. 马饰, 服饰, 礼服, 装饰品, 外部标志"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
homage,"n. 尊崇, 尊敬, 效忠"
ticky-tacky,"adj. (房屋等)用劣质材料制成的；(一排排简陋房屋)看上去单调的
"
implacable,"a. 不能安抚的, 难和解的, 不变的"
orthodoxy,"n. 正统说法, 正教, 信奉正教"
pastorale,"n. 田园曲, 牧歌式歌剧"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
starkly,"adv. 完全, 分明地, 赤裸裸地"
sagely,"adv. 贤能地, 贤明地"
technetronic,a. (以)电子通讯技术(为特征)的
dodder,"vi. 摇摆, 蹒跚
n. 菟丝子"
gloaming,"n. 夕幕, 黄昏, 薄明"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
stratification,"n. 层化, 阶层的形成, 成层
"
anachronistic,a. 时代错误的
prow,"n. 船首, 船首状物
a. 勇敢的"
polymorphous-perverse,[医] 多形性倒错性欲的
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
honorarium,"n. 酬金, 谢礼
"
feel obligated to,[网络] 使负义务；感觉应该
come to mind,[网络] 想到；出现在脑海中；想起
anecdote,"n. 轶事, 奇闻"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
nervous breakdown,n. 神经失常
recollection,"n. 记忆, 回想, 回忆"
posthumous,"a. 遗腹的, 死后的
"
enigma,"n. 谜, 费解的事物"
in the course of things,无
go over well,受到热烈欢迎
pit against,使竞争
lucrative,"a. 有利益的, 获利的, 合算的"
gutsy,"a. 有勇气的, 有力量的"
in the same boat,处境相同
lucidity,"n. 明朗, 清澈, 透明
"
obsession,"n. 困扰, 困扰人的情绪
"
homosexual,"a. 同性恋的
n. 同性恋者"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
insulate,"vt. 使绝缘, 隔离
"
perennial,"a. 常年的, 长期的, 反复的
"
journal entry,
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
grime,"n. 尘垢, 煤尘, 污点
vt. 使污秽, 使...弄脏"
elongate,"v. 延长, (使)伸延
a. 伸长的"
eggshell,n. 蛋壳
fragility,"n. 脆弱, 虚弱
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
sunwrinkled,无
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
luminescence,"n. 无热光, 冷光, 发冷光
"
Siamese cat,暹罗猫
disembodied,"a. 脱离肉体的
"
contextual relevance,无
clearance,"n. 清除, 间隙
"
collaborator,"n. 合干者, 合作者, 通敌者
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
clipped,"a. 省略一部分的, 发音清楚的"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
thigh-length,大腿长
cobble,"n. 圆石, 鹅卵石
vt. 铺鹅卵石, 修, 粗粗地修补"
turnoff,"n. 岔开, 岔道, 关闭"
blue-bells,n. 圆叶风铃草( bluebell的复数形式 )
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
avatar,"n. 天神下凡化作人形, 化身"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
be under somebody's shadow,无
the works,"机械(如钟、表等)的可动部件；[美国口语]全部,囊括[亦作 the whole works]"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
russet,"a. 枯叶色的, 红褐色的, 简朴的
n. 红褐色, 冬季粗皮苹果"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
clad,"vt. 在金属外包上另一种金属
a. 包层金属的
clothe的过去式和过去分词"
yon,"a. 那边的, 远处的
adv. 在那边, 在远处
n. 那边, 那边/远处的东西, 远处"
compulsive,"a. 强制的, 强迫的
"
jog somebody's memory,无
unsmudged,[网络] 不客气
jagged,"a. 锯齿状的
"
prong,"n. 叉状物, 耙子
vt. 刺, 贯穿, 翻掘"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
crotchety persona,无
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
lady-in-waiting,"n. 女王或公主的侍女,宫女"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
cumulative,"a. 累积的
"
North Polar icecap,无
out of kilter,"不正常,有毛病"
glacier,n. 冰川
equation,"n. 相等, 等式, 平衡
"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
Providence,"n. 深谋远虑, 天意, 天命"
pandemic,"a. 大流行的, 普遍的, 全世界的
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
moratorium,"n. 延期偿付, 暂停
"
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
hollyhock,n. 蜀葵
scythe,"n. 长柄大镰刀, 大钐镰
vt. 用大镰刀割"
rooster comb,无
bleeding heart,"n. 软心肠的, 对社会问题太感伤的人, 假装同情者"
fretful,"a. 烦燥的, 焦噪的, 起波纹的"
soprano,"n. 女高音, 最高音部, 女高音歌手
a. 女高音的"
starch,"n. 淀粉, 浆糊, 刻板
vt. 浆硬"
enunciation,"n. 说明, 发音, 宣布"
juniper,"n. 杜松属
"
jamb,"n. 门窗侧壁, 侧柱"
grits,n. 粗磨粉；粗燕麦粉；（美）粗玉米粉
dollop,"n. 块, 团"
doily,n. 小型装饰桌巾
preen,"vt. 用嘴整理, 打扮, 使得意
vi. 打扮漂亮, 感到得意"
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
surfeit,"n. 过食, 过度, 恶心
vt. 使厌腻, 使沉溺于
vi. 饮食过度"
soufflé,无
coo,"vi. 咕咕地叫
vi.vt. 谈情话, 轻轻地说, 温柔可爱地说, 温柔爱恋地说
n. 鸽子的叫声, 鸽子叫似的轻声"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
bloomers,n. 灯笼裤
slither,"vi. 不稳地滑动
vt. 使滑动"
singe,"v. 烧焦, 烤焦"
unabashed,"a. 不脸红的, 不害羞的, 脸皮厚的"
girdle,"n. 腰带, 围绕物
vt. 用腰带束缚, 围绕"
off-limits,"[经] 限度外, 范围外"
brouhaha,"n. 吵闹, 骚动"
laconic,"a. 简洁的, 简明的"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
swindle,"n. 骗取, 欺诈, 骗局
v. 骗取, 诈取"
allegation,"n. 断言, 主张, 申辩
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
allegedly,adv. 依其申述
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
fictional,"a. 虚构的, 编造的, 小说式的
"
unpalatable,"a. 不可口的, 味道差的, 不好吃的"
unorthodox,"a. 非正统的, 异教的"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
legions of,[网络] 大批的；众多的；大量
newsy,"a. 多新闻的, 有报道价值的, 爱闲话的
n. 报童"
advent,"n. 来到, 来临"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
proliferation,"n. 增殖, 激增
"
languishing,"a. (疾病)长期拖延的, 焦思的, 苦苦渴望的, 含情脉脉的"
persona,"n. 人, 人物, 角色, 外表印象, 人格面具
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
head-on,迎面地
sidelong,"adv. 横向地, 向侧面, 斜着, 间接地
a. 横的, 斜的, 间接的"
two-dimensional, 二维的
collusion,"n. 共谋, 勾结
"
potent,"a. 有力的, 有说服力的, 有效的
"
self-perpetuating,a. 能使自身永久存在的
pantheon,"n. 众神庙, 万神殿, 罗马万神殿"
immortality,"n. 不朽, 不灭的声望"
celebrity,"n. 名声, 名人"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
chalice,"n. 酒杯, 圣餐杯"
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
mutate,"vi. 变化, 产生变异, 变化元音
vt. 使变异"
a case of the biter bit,无
intrusion,"n. 闯入, 侵扰
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
curtail,"vt. 缩减, 剥夺, 简略
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
impart,"vt. 给予, 传授, 告知"
censorious,"a. 爱批判的, 挑剔的"
cohort,n. 一群；步兵大队；支持者；共同特点的一群人
resurgent,"a. 复生的, 复活的
n. 复活者"
ketchup,n. 蕃茄酱
stridency,n. 刺耳；尖锐
unequivocal,"a. 不含糊的, 不模棱两可的, 明确的
"
dissent,"n. 异议
vi. 持异议, 不同意"
antiquated,"a. 陈旧的, 过时的, 年老的"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
perversion,"n. 走入邪路, 败坏, 堕落, 违反常情, 变态, 反常, 误用, 滥用, 歪曲, 颠倒
"
succumb,"vi. 屈从, 屈服, 死"
pussyfoot,"vi. 蹑行, 抱骑墙态度
n. 抱骑墙态度者, 禁酒"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
untrammeled,"a. 不受限制的, 自由自在的, 不受妨碍的"
indissolubly,"adv. 不能溶解地, 不可分解地"
magnanimous,"a. 宽宏大量的, 有雅量的
"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
totalitarian,"a. 极权主义的
n. 极权主义者"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
ail,"vt. 使苦恼
vi. 生病, 处境困难
"
henchman,"n. 忠实追随者, 党羽, 跟踪者
"
intuition,"n. 直觉, 直觉的知识"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
despotism,"n. 独裁, 专制, 专制政治
"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
irreparable,"a. 不能修补的, 不能挽回的
"
despot,"n. 专制君主, 暴君
"
declaim,"v. 慷慨陈词, 演讲, 朗读"
hypothesis,"n. 假设
"
reputable,"a. 受好评的, 有声望的, 规范的
"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
censorship,"n. 检查制度
"
purvey,"v. 供给, 供应"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
