flashcard,n. 教学用的抽认卡
in the way,挡道
achieve,"vt. 完成, 达到
vi. 如愿以偿"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
taught,teach的过去式和过去分词
importance,"n. 重要, 重要性, 重要地位, 自大
"
care about,担心
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
Kathy,"n. 凯西（女子名, 等于Katherine）"
million,"n. 百万, 无数
num. 百万"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
what if,如果…那又怎么样?即使…那又有什么关系?
pimple,"n. 丘疹, 小脓疱
"
energetic,"a. 精力充沛的, 积极的"
confident,"a. 有信心的, 有把握的"
permission,"n. 许可, 允许
"
herself,"pron. 她自己, 她亲自"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
not ... in the slightest,一点不
annoy,"vt. 使恼怒, 骚扰"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
plenty of,许多的
get along with,"进展, 走开"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
listener,"n. 收听者, 听众"
knowledgeable,"a. 聪明的, 有知识的"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
let ... down,"na. 使失望；放下；丢面子
"
come up with,"赶上, 提出"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
first-aid,"急救
"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
shelf,"n. 架子, 搁板
"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
helpful,"a. 有帮助的, 有益的, 有用的"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
Spotty,"a. 有斑点的, 有污点的, 质量不一的, 发疹的"
belong,"vi. 属于, 合适"
belong to,属于
author,"n. 作家, 作家的著作, 创始人
"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
hair band,n. 发带
possibly,"adv. 可能, 也许"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
symphony,"n. 交响乐, 交响曲"
optometrist,"n. 验光师, 配镜师
"
appointment,"n. 约会, 委任的职位, 委派
"
crucial,"a. 决定性的, 重要的, 严厉的
"
make up,"na. 弥补；起草；定；签订
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
anxious,"a. 忧虑的, 发愁的, 渴望的"
worried,"a. 担心的, 闷闷不乐的"
owner,"n. 拥有者, 物主, 所有人
"
Oxford University,英国牛津大学
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
creature,"n. 人, 动物, 创造物, 生物"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
extremely,"adv. 极端地, 非常地"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
footstep,"n. 脚步, 脚步声, 足迹"
garbage,"n. 垃圾, 废物
"
mystery,"n. 秘密, 神秘, 奥秘"
director,"n. 主管, 导演, 董事
"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
ant,n. 蚂蚁
ocean,"n. 海洋, 广阔, 许多, 一大片
"
dishonest,"a. 不诚实的
"
pretend,"v. 假装, 伪称, 自命, 自称"
use up,"na. 用完；耗尽
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
Hemingway,"海明威(①姓氏 ②Ernest, 1899-1961, 美国小说家, 曾获1954年诺贝尔文学奖)"
Mark Twain,马克·吐温
Fred,n. 佛瑞德（男子名）
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
turn off,"v. 关掉
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
Vietnam,"n. 越南
 "
prefer,"vt. 宁可, 较喜欢, 提出
"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
gentle,"a. 温和的, 文雅的"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
remind,"vt. 提醒, 使想起"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
Yellow River,黄河
fisherman,"n. 渔夫, 钓鱼者, 渔船"
latest,a. 最近的
entertainment,"n. 娱乐, 款待, 娱乐表演"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
photography,"n. 摄影, 摄影术
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
photographer,"n. 摄影师, 摄影者"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
on display,"陈列着,在展览"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
whatever,pron. 无论什么
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
energy,"n. 精力, 精神, 活力, 能量
"
okay,"a. 好, 可以, 行, 对, 好吗, 很好
adv. 好, 可以, 行, 对, 好吗, 很好
n. 同意, 签认, 批准, 认可
vt. 同意, 签认, 批准, 认可"
pro,"adv. 正面地
"
con,"vt. 精读, 仔细研究, 默记
adv. 反面地, 从反面
a. 欺诈的
n. 反对者, 反对票, 肺结核
"
honest,"a. 诚实的, 坦直的, 可靠的"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
suit sb.,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
suit sb. fine,无
expect,"vt. 预期, 盼望, 期待"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
to be honest,"老实说,说实在的"
be bad for,对…有害
actually,"adv. 事实上, 竟然, 如今, 现在"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
mainly,"adv. 主要地, 大抵"
stay away from,不在，外出；走开；不接近，不打扰；避开
be in agreement,[网络] 意见一致；意见一致的；同意
itself,"pron. 它本身, 它自己"
laboratory,"n. 实验室, 研究室, 化工厂
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
cancer,"n. 癌, 恶性肿瘤
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
biscuit,"n. 饼干
"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
contraction,"n. 收缩, 缩写式, 害病
"
tasty,"a. 好吃的, 可口的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
Carmen,n. 卡门（女子名）
Dan Dervish,无
tiring,"a. 引起疲劳的, 累人的
"
educational,"a. 教育的, 教育性的"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
take it easy,"从容, 不紧张"
Florida,n. 佛罗里达州
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
Amazon,"n. 亚马孙河
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
Niagara Falls,n. 尼亚加拉大瀑布; [地名] [加拿大·美国] 尼亚加拉瀑布; [地名] [加拿大、美国] 尼亚加拉瀑布城; [电影]尼亚拉加瀑布
touristy,"a. 游览者的, 游览者喜欢的"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
consider,"v. 考虑, 思考, 认为"
lively,"a. 活泼的, 鲜明的, 生动的"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
including,"prep. 包含, 包括
"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
Eiffel Tower,艾菲尔铁塔
cathedral,n. 大教堂
Notre Dame Cathedral,n. 巴黎圣母院
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
convenient,"a. 方便的, 合宜的
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
in general,大多数
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
Ace Travel,无
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
Confucius,n. 孔子
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
Pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
finding,"n. 发现, 发现物, 决定, 裁决
"
thousands of,"成千上万,数千,许许多多"
as soon as possible,尽快
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
programming,"n. 节目的计划, 编制程序
"
translator,"n. 翻译者
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
willing,"a. 乐意的, 自愿的, 甘愿的"
be willing to,愿意(做)...
quite a few,相当多的
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
dream of,"梦见,梦想,向往,渴望"
sportspeople,[网络] 运动员；爱好运动的人；爱运动的人
conclusion,"n. 结论, 结尾, 推论
"
hold on to,坚持
attitude,"n. 态度, 看法, 姿势
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
homeless,"a. 无家的, 无养主的"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
clean-up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
advertisement,"n. 广告, 启事, 广告宣传
"
put off,"na. 延期；辩解
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
set up,"na. 建立；创立；发起；开办
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
think up,"na. 想出；〔口语〕发明
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
elementary,"a. 初步的, 基本的
"
veterinarian,"n. 兽医
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
take after,"像, 学样
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
similar,"a. 相似的, 类似的
n. 相似的东西"
put up,"adj. 预先商定的
"
ask for,"na. 要(价)；来找
"
hand out,"na. 分；拿出来；施舍
"
call-in,"na. 招；叫进；引入；调入
"
strategy,"n. 战略, 策略
"
work out,"v. 作出；拟定；制定；计划一下
"
website,n. 网站（全球资讯网的主机站）
disabled,"a. 残废的, 有缺陷的, 失效的
"
organization,"n. 组织, 结构, 团体, 体制
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
deaf,"a. 聋的
"
unable,"a. 不能的, 不会的
"
cannot,"aux. 无法, 不能"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
help out,"v. 帮助…摆脱困境；救出；协助
"
help sb. out,"v. 帮助…摆脱困境；救出；协助
"
specially,"adv. 特别地, 专门地"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
at once,立刻
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
donation,"n. 捐赠物, 捐款, 捐赠
"
part of speech,n. 词性，词类
pronoun,n. 代词
adverb,n. 副词
preposition,"n. 前置词, 介词"
conjunction,"n. 连接词, 联合, 结合
"
donate,v. 捐赠
Jimmy,[网络] 孙益民；熟男名叫
Sally,"n. 突击, 出击, 远足
vi. 突击, 出击, 出发"
invent,"vt. 发明, 创作, 虚构
"
