abdomen,"n. 腹部
"
artificial,"a. 人造的, 假的, 非原地产的
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascertain,"vt. 确定, 查明
"
aspire,"vi. 渴望, 立志于"
assassinate,"vt. 暗杀, 行刺
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assert,"vt. 主张, 坚称, 断言
"
asset,"n. 资产, 有益的东西"
assign,"vt. 分配, 指派, 赋值
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attorney,"n. 代理人, 律师
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
auction,"n. 拍卖
vt. 拍卖"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditorium,"n. 听众席, 礼堂
"
augment,"v. 增加, 增长
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
authentic,"a. 可靠的, 可信的, 真正的
"
automation,"n. 自动化, 自动操作
"
autonomy,"n. 自治, 自治权
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
available,"a. 可利用的, 可获得的, 有效的
"
avert,"vt. 转开, 避免, 防止"
aviation,"n. 航空, 航空学, 飞行术
"
badge,"n. 徽章, 标记
"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
banquet,n. 宴会
barren,"a. 不育的, 贫瘠的
n. 荒地"
barrier,"n. 障碍, 栅栏
"
beloved,"a. 心爱的
n. 心爱的人"
beneficial,"a. 有益的, 受益的
"
benign,"a. 善良的, 良性的
"
beverage,"n. 饮料
"
bewilder,"vt. 使迷惑, 使不知所措"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bibliography,"n. 参考书目
"
biography,n. 传记
bizarre,a. 奇异的
blackmail,"n. 勒索
vt. 勒索"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
blend,"vt. 混合
n. 混合"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
blunt,"a. 钝的, 坦率的, 麻痹的"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
breakdown,"n. 崩溃, 故障
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bureau,"n. 局, 办公处
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
carbohydrate,"n. 碳水化合物, 糖类
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cargo,"n. 货物
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
casualty,"n. 意外事故, 伤亡, 受害者
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catastrophe,"n. 大灾难, 大祸
"
cease,"n. 停止
v. 停止, 终了"
celebrity,"n. 名声, 名人"
cemetery,"n. 墓地, 公墓
"
census,"n. 户口普查
vt. 实施统计调查"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certify,"v. 证明, 保证"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
characterize,"vt. 描绘...的特性, 刻划...的性格"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
chart,"n. 图表, 海图
vt. 制成图表
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
cherish,"vt. 珍爱, 怀有, 爱护"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
circuit,"n. 电路, 环(行)道, 巡回
"
circular,"a. 圆形的, 循环的, 间接的
"
circumference,"n. 圆周, 周缘, 胸围
"
cite,"vt. 引用, 引证, 表彰
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
classification,"n. 分类, 分级
"
client,"n. 客户, 顾客, 委托人
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
coalition,"n. 结合体, 结合, 联合
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
cognitive,"a. 认知的, 认识的"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
cohesive,"a. 黏合在一起的
"
coincide,"vi. 一致, 符合
"
collaborate,"vi. 合作, 勾结
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collective,"a. 集体的, 聚集的, 共同的
"
collide,"vi. 碰撞, 互撞, 抵触"
colony,"n. 殖民地, 移民队
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
combination,"n. 组合, 合并, 联合
"
commemorate,vt. 纪念
commence,"v. (使)开始, 得学位"
commend,"vt. 嘉奖, 委托给, 推荐"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commodity,"n. 农产品, 商品, 有用的物品
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
commonwealth,n. 共和国；联邦；国民整体
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
compassion,"n. 同情, 怜悯"
compatible,"a. 能共处的, 可并立的, 适合的
"
compel,"vt. 强迫, 迫使"
compensate,"v. 偿还, 补偿, 付报酬"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comply,"vi. 顺从, 依从
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprehend,"vt. 理解, 包括"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
comprise,"vt. 包含, 构成"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
compulsory,"a. 被强制的, 强迫的, 义务的
"
compute,"v. 计算, 估算
n. 计算, 估算"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concede,"vt. 承认, 退让
vi. 让步"
conceive,"vt. 构思, 认为
vi. 怀孕"
concise,"a. 简洁的, 简明的"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condemn,"vt. 判刑, 责备, 谴责
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
confer,"vt. 授予, 带来
vi. 协商"
confess,"v. 承认, 坦白, 忏悔, 供认"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
congress,"n. 国会, 会议, 讨论会
"
conjunction,"n. 连接词, 联合, 结合
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conscience,"n. 良心
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consecutive,"a. 连续的, 联贯的
"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
conservation,"n. 保护, 保存
"
considerable,"a. 相当的, 可观的, 重要的"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
console,"vt. 安慰, 藉慰
n. 控制台
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
conspicuous,"a. 显著的, 显眼的, 出众的"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
constitute,"vt. 构成, 组成, 任命
"
constrain,"vt. 强迫, 限制, 关押"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
contempt,"n. 轻视, 轻蔑
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contrive,"v. 发明, 设计, 图谋"
controversial,"a. 争论的, 论争的, 被议论的"
controversy,"n. 论争, 辩论, 论战, 争论
"
convenience,"n. 方便, 便利的事物, 方便的时候"
convention,"n. 大会, 协定, 惯例, 约定
"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convey,"vt. 传达, 运输, 转让
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
cooperate,"vi. 合作, 协力, 配合
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
correspond,"vi. 符合, 通信, 相当
"
corridor,"n. 走廊, 回廊, 人口密集地带"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
council,"n. 会议, 委员会
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
courtesy,"n. 礼貌, 谦恭, 好意
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
credential,"n. 国书, 凭据, 证明书
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
criterion,"n. 标准, 准则, 规范
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
crucial,"a. 决定性的, 重要的, 严厉的
"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
cultivate,"vt. 培养, 耕作"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
deceive,"v. 欺骗, 行骗"
decent,"a. 有分寸的, 得体的, 大方的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
declaration,"n. 宣告, 说明, 宣布
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
dedicate,"vt. 献出, 贡献"
deduce,"vt. 推论, 演绎出
"
deduct,"vt. 扣除, 减去
"
deem,"v. 认为, 相信"
defect,"n. 缺点
"
deficiency,"n. 缺乏, 不足
"
deficit,"n. 赤字, 不足额
"
define,"vt. 定义, 规定, 使明确
"
definite,"a. 明确的, 一定的
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
delegate,"n. 代表
vt. 委派...为代表"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
democracy,"n. 民主政治, 民主主义
"
demonstrate,"vt. 示范, 证明
vi. 示威"
denote,"vt. 指示, 表示"
denounce,"vt. 告发, 抨击, 谴责
"
dense,"a. 密集的, 浓厚的"
deny,"v. 否认, 拒绝"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
depict,"vt. 描述, 描写"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
deprive,"vt. 剥夺, 使丧失
"
deputy,n. 副手，代理人
derive,"vt. 得自
vi. 起源"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
description,"n. 描述, 说明, 种类
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
desirable,"a. 令人想望的, 可取的"
desolate,a. 荒凉的
despair,"n. 绝望, 失望
vi. 绝望"
despatch,"v. 派遣
n. 派遣"
despise,vt. 轻视
destiny,"n. 命运, 定数"
destruction,"n. 破坏, 毁灭
"
detach,"vt. 使分离, 分遣
"
detain,"vt. 扣留, 扣押, 耽搁
"
detect,"vt. 发现, 察觉, 探测
"
deteriorate,v. (使)恶化
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
diagnose,v. 诊断
dialect,"n. 方言, 同源语"
diameter,"n. 直径
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
differentiate,"v. 区别, 区分"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
diminish,"v. (使)减少, (使)变小"
diplomatic,"a. 外交的, 老练的
"
director,"n. 主管, 导演, 董事
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discern,"v. 辨别, 看清楚, 了解"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
disclose,"vt. 揭露, 透露
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
discreet,"a. 小心的, 慎重的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
discriminate,"v. 区别, 差别待遇"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
displace,"vt. 移置, 替换, 转移"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
dispute,"n. 争论
v. 争论"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
dissolve,"v. 溶解, 解散"
distill,"vt. 蒸馏
vi. 滴下"
distinction,n. 区别
distinguish,"v. 区别, 辨别"
distort,"vt. 扭曲, 歪曲
"
distract,"vt. 转移, 分心, 使发狂"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distribute,"vt. 分配, 散布, 分发
"
diverse,"a. 不同的, 变化多的"
divert,"vt. 转移, 使欢娱
vi. 转移"
dividend,"n. 被除数, 股利
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
domain,"n. 领域, 领土, 产业, 范围
"
domestic,"a. 家庭的, 国内的, 驯养的
"
dominate,"v. 支配, 占优势"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
drastic,"a. 激烈的
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dubious,"a. 可疑的, 不确定的"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
dwell,"vi. 居住, 居住(于), 存在(于)"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
edible,"n. 食品, 食物
a. 可食用的"
efficient,"a. 有效率的, 能干的"
eject,"vt. 逐放, 放逐, 喷射
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
elegant,"a. 优雅的, 端庄的, 高雅的"
elevate,"vt. 举起, 提拔, 鼓舞"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elite,"n. 精华, 精锐, 中坚分子"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embody,"vt. 具体表达, 使具体化
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emigrate,"v. (使)移居, (使)移民"
eminent,"a. 显赫的, 杰出的, 有名的"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emphasize,"vt. 强调, 加强语气, 着重"
empirical,"a. 完全跟据经验的, 经验主义的
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
encyclopedia,n. 百科全书
endow,"vt. 捐赠, 捐助, 赋予
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enforce,"vt. 强迫, 执行, 坚持
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
