elementary,"a. 初步的, 基本的
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
trash,"n. 垃圾, 废物
vt. 丢弃"
unhealthy,a. 不健康的
wasteful,"a. 浪费的, 不经济的"
Africa,n. 非洲
African,"n. 非洲人
a. 非洲的, 非洲人的"
Arabia,n. 阿拉伯半岛
Brazil,n. 巴西
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
nope,"adv. 不, 不是"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
amazing,a. 令人惊异的
certain,"a. 确定的, 某一个的, 必然的
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
Ganges,"n. 恒河（位于亚洲, 发源于喜马拉雅山, 流经印度和孟加拉）"
protect,"vt. 防卫, 保护, 警戒
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
T-shirt,"短袖运动衫,短袖汗衫"
urgent,"a. 紧急的, 急迫的, 催逼的
"
ceviche,n. 酸橘汁腌鱼
chili,"n. 干辣椒, 辣椒粉"
crunchy,a. 发嘎吱嘎吱声的
grasshopper,"n. 蚱蜢, 蝗虫"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
Latin America,"拉丁美洲, 南美洲
"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
Moroccan,"a. 摩洛哥的
n. 摩洛哥人"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
tangy,"a. 有强烈盐味的, 气味刺鼻的, 有刺激性的"
tasty,"a. 好吃的, 可口的"
Vietnam,"n. 越南
 "
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
cafeteria,"n. 自助餐厅
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
vending machine,n. 自动贩卖机
atmosphere,"n. 大气, 空气, 气氛
"
ingredient,"n. 成分, 因素
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
Macao,n. 澳门
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
Singapore,n. 新加坡
blogger,n. 写博客的人；博客使用者
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
Mud Festival,无
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
swimsuit,n. 游泳衣
beep,"n. 短而尖的声音, 嘟
v. 嘟嘟响"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
North Beach Festival,无
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
candle,"n. 蜡烛
vt. 对着光检查"
decorate,v. 装饰
Diwali,n. 排灯节（印度的宗教节日）
Hindu,"a. 印度教教徒的
n. 印度教教徒"
jasmine,"n. 茉莉, 淡黄色
"
lotus,"n. 莲, 莲花, 荷花, 荷
"
rangoli,[网络] 蓝果丽；印度传统地画；然古丽
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
sunrise,"n. 日出, 黎明, 拂晓"
Ankara,n. 安卡拉(土耳其首都)
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
continent,"n. 大陆, 洲
a. 自制的"
delicious,a. 美味的
Harajuku,[网络] 原宿；原宿娃娃；原宿区
Istanbul,n. 伊斯坦布尔
Spice Bazaar,无
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
Turkey,"n. 火鸡, 无用的家伙, 土耳其"
Whirling Dervish,[网络] 回旋舞；旋转托僧仪式；旋转舞
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
electric,"a. 电的, 导电的, 电动的
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
adventurer,"n. 冒险家, 投机者
"
author,"n. 作家, 作家的著作, 创始人
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
community,"n. 社区, 公众, 共有, 共同体
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
geography,"n. 地理学, 地理
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
Mumbai,n. 孟买（印度城市）
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
aeronautical,"a. 航空的, 航空学的
"
aviation,"n. 航空, 航空学, 飞行术
"
cockpit,"n. 驾驶员座舱, 战场"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
customer,"n. 消费者
"
entrepreneur,"n. 企业家, 主办人
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
Miami,n. 迈阿密
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
professional,"n. 专业人才
a. 专业的, 职业的"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
bet,"n. 打赌, 赌注
v. 打赌"
someday,adv. 有一天
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
Botswana,n. 博茨瓦纳（非洲中南部国家）
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
endanger,"vt. 危及
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
lioness,n. 雌狮
predator,"n. 食肉动物, 掠夺者
"
wildlife,n. 野生动植物
zebra,n. 斑马
container,"n. 容器, 集装箱
"
didgeridoo,n. 迪吉里杜管（澳洲土著人的乐器）
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
hip-hop,n. 希普霍普
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
Mongolia,n. 蒙古
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
Trinidad and Tobago,n. 特立尼达和多巴哥(拉丁美洲岛国)
horsehead violin,无
wooden,"a. 木制的, 呆笨的, 木然的"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
guitar,n. 吉他
Hawaii,[网络] 夏威夷；夏威夷州；夏威夷旅游局
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
songwriter,n. 流行歌曲的作者
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
ukulele,n. 尤克里里琴
album,"n. 粘贴簿, 唱片套
"
Bagamoyo, [地名] [坦桑尼亚] 巴加莫约
cattle,"n. 牛, 家畜
"
herder,"n. 牧人, (美)(非正式)监狱看守
"
nephew,"n. 侄子, 外甥"
producer,"n. 生产者, 制作者, 制作人
"
promote,"vt. 促进, 晋升, 创办, 推销
"
Tanzania,n. 坦桑尼亚
tradition,"n. 传说, 传统, 交付
"
WOMAD,abbr. World Music Arts & Dance 世界音乐艺术和舞蹈
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
Australia,"n. 澳洲, 澳大利亚"
benefit,"n. 利益
vt. 有益于
vi. 受益"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
hostel,"n. 青年招待所, 宿舍, 旅店"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
networking,"[计] 连网, 建网"
privacy,"n. 隐私, 隐居, 秘密
"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
site,"n. 位置, 场所, 地点
vt. 给...择址"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
Couch Surfing,[网络] 沙发冲浪；沙发客；沙发漫游
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
split second,瞬间
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
Bhutan,n. 不丹
celebrate,"v. 庆祝, 祝贺, 举行"
challenging,"a. 挑战的, 引起争论的"
Himalaya Mountains,喜马拉雅山
motivation,"n. 动机, 刺激, 推动
"
mound,"n. 土墩, 堤, 小山
vt. 筑堤, 用土堆防卫
vi. 积成堆"
Mount Qomolangma,珠穆朗玛峰
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
woolly,"a. 羊毛制的, 模糊的, 似羊毛的, 蓬乱的"
yak,"n. 牦牛, 饶舌, 连篇废话
vi. 饶舌, 喋喋不休, 放声大笑"
