technology,"n. 技术, 工业技术, 术语
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
category,"n. 种类, 类项
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
craftsmanship,"n. 技术, 技艺"
ecosystem,"n. 生态系统
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
fibre,"n. 纤维, 构造, 纤维制品
"
frequently,"adv. 频繁, 经常地"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
potentially,"adv. 可能地, 潜在地"
skyscraper,"n. 摩天楼, 三角形天帆"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
bulb,"n. 球茎, 电灯泡
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
curriculum,"n. 课程
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
provider,"n. 供应者, 供养人, 伙食承办人
"
sociologist,"n. 社会学家
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
appropriate,"a. 适当的
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
drought,"n. 干旱, 缺乏"
equality,"n. 平等, 均匀, 相等
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
monarch,"n. 帝王, 统治者, 元首
"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
quota,"n. 配额, 限额
"
retailer,"n. 零售商人, 传播的人
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
beneficial,"a. 有益的, 受益的
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
capable,"a. 有能力的, 能的, 能干的"
closely,adv. 接近地
congress,"n. 国会, 会议, 讨论会
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
currency,"n. 货币, 通货, 流通, 通用
"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
deficit,"n. 赤字, 不足额
"
destroy,"vt. 破坏, 毁坏, 消灭"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
enormous,"a. 巨大的, 庞大的"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
gene,"n. 基因
"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
participation,"n. 参与, 分享
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
retirement,"n. 退休, 隐居, 撤退
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
assess,"vt. 估定, 对...征税, 评定
"
element,"n. 元件, 元素, 要素
"
evaluation,"n. 评估, 估价, 求值
"
expression,"n. 表达, 表现, 词语, 措辞
"
historical,"a. 历史的, 史实的, 历史上的
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
mall,n. 林荫路
migration,"n. 移民, 移往, 移动
"
pollute,"vt. 污染, 弄脏, 玷污
"
proposal,"n. 提议, 计划, 求婚
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
stimulus,"n. 刺激, 激励, 刺激品
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
urgent,"a. 紧急的, 急迫的, 催逼的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
advertisement,"n. 广告, 启事, 广告宣传
"
affair,"n. 事件, 事务, 恋爱事件"
affordable,[计] 普及型
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
announcement,"n. 公告, 发表, 告知
"
apparently,"adv. 表面上, 清楚地, 显然地"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
battle,"n. 战役
v. 战斗"
capitalism,"n. 资本主义
"
conference,"n. 会议
"
cooperation,"n. 合作, 协力, 配合
"
diminish,"v. (使)减少, (使)变小"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
investor,"n. 投资者
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
outsourcing,[计] 外部资源利用
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
reluctant,"a. 不情愿的, 勉强的
"
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
strategic,"a. 战略的, 战略上的
"
structural,"a. 结构的, 建筑的
"
subsidy,"n. 补助金, 津贴
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
antibiotic,"n. 抗生素
a. 抗生的"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
aspirin,"n. 阿斯匹林
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
calculate,"v. 计算, 预测, 计划, 打算"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
cigarette,"n. 香烟, 纸烟"
consist,"vi. 组成, 存在于, 一致"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
dominate,"v. 支配, 占优势"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
election,"n. 选举, 当选, 选择权
"
endanger,"vt. 危及
"
equally,"adv. 相等地, 同样地, 平等地"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
laptop,[计] 膝上型的
leadership,"n. 领导能力, 领导阶层"
literacy,"n. 读写能力, 识字, 精通文学"
meaningful,a. 意味深长的
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
numerous,"a. 很多的, 数目众多的, 多数的
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
printer,"n. 印刷工, 打印机
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
rubbish,"n. 废物, 垃圾, 胡说"
successfully,"adv. 成功, 结果良好, 有成就"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
tropical,"a. 热带的, 热情的
"
absence,"n. 缺席, 缺乏, 没有
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
assistance,"n. 协助, 援助
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
automation,"n. 自动化, 自动操作
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
compel,"vt. 强迫, 迫使"
deadline,"n. 最后期限, 截止期限
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
exert,"vt. 发挥, 运用, 施以影响
"
extinction,"n. 消失, 消灭, 废止
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fashionable,"a. 时髦的, 上流社会的, 流行的"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
guidance,"n. 指导, 领导
"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
indicator,"n. 指示器, 指示剂, 指标
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
inflation,"n. 胀大, 夸张, 通货膨胀
"
infrastructure,"n. 基础结构, 基础设施
"
intelligent,"a. 聪明的, 智能的, 了解的"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
invisible,"a. 看不见的, 无形的
"
legislation,"n. 立法, 法律
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
mankind,"n. 人类, 男性"
mislead,vt. 误导
opposition,"n. 反对, 敌对, 相反, 在野党
"
outdated,"a. 旧式的, 落伍的, 过时的"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
prohibit,"vt. 禁止, 阻止
"
prospective,"a. 预期的, 将来的
"
readily,"adv. 迅速地, 轻易地, 乐意地"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
requirement,"n. 需求, 必要条件, 要求
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
risky,a. 危险的
sensible,"a. 有感觉的, 敏感的, 明智的
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
significantly,adv. 值得注目地；意味深长地
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
standardise,"vt. 使与标准比较, 用标准校验, 使符合标准, 使统一, 使标准化"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
threshold,"n. 门槛, 入口, 开端, 阈
"
upward,"a. 向上的
adv. 以上"
virus,"n. 病毒, 滤过性病毒, 毒害
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
youngster,"n. 小孩, 年轻人, 少年
"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
adequate,"a. 适当的, 足够的
"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
altogether,"adv. 完全地, 总而言之"
circulation,"n. 流通, 循环, 发行量
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
commerce,"n. 商业, 商务, 贸易
"
comparison,"n. 比较, 对照, 比喻
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confusion,"n. 混乱, 混淆, 无秩序
"
constitute,"vt. 构成, 组成, 任命
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
controversy,"n. 论争, 辩论, 论战, 争论
"
convenience,"n. 方便, 便利的事物, 方便的时候"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
devote,"vt. 投入于, 献身"
disadvantage,"n. 缺点, 不利, 坏处"
dispute,"n. 争论
v. 争论"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
exaggerate,"v. 夸大, 夸张"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
imagination,"n. 想像, 听觉, 想像力
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
infection,"n. 传染, 影响, 传染病
"
influential,"a. 有影响的, 有势力的"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intention,"n. 意图, 目的, 含义
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
irrigation,"n. 灌溉, 冲洗
"
merely,adv. 只
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
non-profit, 非营利的
observation,"n. 观察, 注意, 观测, 观察力
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
parliament,"n. 国会, 议会
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
producer,"n. 生产者, 制作者, 制作人
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
prosperity,"n. 繁荣, 茂盛, 成功
"
publicity,"n. 名声, 宣传, 公开场合
"
qualification,"n. 资格, 条件, 限制
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
underestimate,"n. 低估
vt. 低估, 看轻"
urbanization,"n. 都市化
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
wildlife,n. 野生动植物
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
acre,n. 英亩
addiction,"n. 入迷, 瘾
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
alter,v. 改变
analyst,"n. 分析者, 精神分析学家
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
assumption,"n. 假定, 自负, 担任, 假装
"
badly,"adv. 严重地, 恶劣地, 极度地"
behavioral,a. 行为的
biological,"a. 生物学的
"
candidate,"n. 候选人, 投考者
"
celebrity,"n. 名声, 名人"
chaos,"n. 大混乱, 混沌
"
chapter,"n. 章, 篇, 重要章节
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
considerable,"a. 相当的, 可观的, 重要的"
consideration,"n. 考虑, 原因
"
constantly,"adv. 不变地, 不断地, 时常地"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convey,"vt. 传达, 运输, 转让
"
definitely,"adv. 明确无疑地, 清楚地"
deny,"v. 否认, 拒绝"
depth,"n. 深度, 深处, 深奥
"
developmental,"a. 发展的, 进化的, 启发的
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
diverse,"a. 不同的, 变化多的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
ecological,"a. 生态学的, 主张生态保护的
"
efficiently,"adv. 生效, 能胜任, 有能力, 效率高, 有效"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entrepreneur,"n. 企业家, 主办人
"
essentially,"adv. 本质上, 本来"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceptional,"a. 例外的, 异常的, 特别的"
expansion,"n. 扩充, 开展, 膨胀
"
expertise,"n. 专家意见, 专门技术
"
extracurricular,"a. 课外的, 业余的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
fiscal,"a. 财政的, 国库的
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formerly,"adv. 从前, 以前"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
infect,"vt. 传染, 感染
"
internal,"a. 内在的, 国内的
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
liability,"n. 责任, 债务, 倾向
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
migrate,"vi. 移动, 移往, 随季节而移居
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
prevail,"vi. 获胜, 流行, 盛行
"
prolong,"vt. 延长, 拖延, 拖长
"
