fresher,n. 大学一年级生
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
best-selling,"a. 最畅销的, 畅销作品的"
manufacturer,"n. 制造业者, 厂商
"
concentrated,"a. 集中的, 浓缩的
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
condensed milk,
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
popularity,"n. 名声, 受大众欢迎, 流行"
property,"n. 财产, 所有权, 性质, 属性
"
confess,"v. 承认, 坦白, 忏悔, 供认"
chocaholic,"n. <非正>吃巧克力上瘾的人, 疯狂吃巧克力的人。"
sweet tooth,n. 喜好甜食
inherit,"vt. 继承, 遗传
vi. 接受遗产"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
trait,"n. 特征, 特性, 一笔, 少许"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
hormone,"n. 荷尔蒙
"
endorphin,[化] 内啡肽
well-being,n. 健康; 幸福; 保持良好状态
vitamin,"n. 维生素
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
have an effect on,(对…)有影响〔产生效果〕
have some effect on,无
have little effect on,无
have no effect on, 没有影响
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
vendor,"n. 小贩, 卖主, 自动售货机
"
ingredient,"n. 成分, 因素
"
freshly,"adv. 新, 新近, 精神饱满"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
unreliable,"a. 不可靠的
"
seller,"n. 销售者
"
falafel,n. 沙拉三明治
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
bento,n. （日）盒饭（等于obento）
satay,n. (马来西亚、印度尼西亚的)加香烤肉
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
varied,"a. 不同的, 杂色的, 各式各样的
"
chaat, 南亚香料水果（或煮蔬菜）
characterize,"vt. 描绘...的特性, 刻划...的性格"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
workplace,"n. 工作场所, 工厂, 车间"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
organizational,"a. 组织的
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
dearth,"n. 缺乏, 粮食不足, 饥馑"
revere,"vt. 崇敬, 敬畏, 尊敬"
unmitigated,"a. 未缓和的, 未减轻的, 全然的
"
occasionally,"adv. 有时候, 偶而"
mentor,"n. 指导者, 良师益友"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
algebra,n. 代数学
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
pubescent,"a. 青春期的, 有软毛的
"
aisle,"n. 走廊, 侧廊, 过道
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
agony,"n. 极大的痛苦, 挣扎
"
tactile,"a. 触觉的, 有触觉的
"
prevalent,"a. 普遍的, 流行的"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
affirm,"v. 断言, 确认"
powerfully,"adv. 强有力, 强大, 效力大, 有权威, 权力大, 有影响, 很多, 相当, 非常"
think for yourself,[网络] 独立思考；替你自己想想吧；为自己多考虑一点
on purpose,"故意
"
not think much of,认为...没什么了不起
find out,"na. 查出；发现；看清…的面目；识破
"
for that matter,"就此而言, 至于那个, 说到那一点"
at length,"最后, 详细地"
at great length, 详细地；细致地; 洋洋洒洒
at some length,相当详尽地
start up,"突然站起, 突然出现, 发动, 开动"
be about to do, 即将做某事
at least,"至少
"
uni,abbr. 印度联合新闻社（United News of India）
basically,"adv. 基本上, 主要地"
improvement,"n. 进步, 改善, 利用
"
lecturer,"n. 演讲者, 讲师
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
problem-solving,[计] 问题求解
scaffolding,"n. 脚手架, 台架, (搭脚手架用的)支杆和木板, (喻)(论点等的)支柱
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
online,[计] 联机
encyclopedia,n. 百科全书
journalism,"n. 新闻业, 报章杂志
"
specialized,"a. 专门的, 特别的, 专科的, 特化的, 专化的
"
slightly,"adv. 些微地, 苗条地"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
built-in, 安装在里面的
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
well done, 做得不错
be faced with sth.,"面对,面临着…"
be faced by sth.,无
believe it or not,信不信由你
follow up,"v. 把…探究到底；回答
"
follow up with,无
think over,"v. 仔细考虑
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
build up,"树立, 增进, 增大, 堵塞
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
get the picture, 了解（形式、情况等）
make sure,确定
above all,"尤其是, 首先"
easier said than done,说来容易做起来难
linguistics,n. 语言学
systematically,"adv. 有系统地, 有组织地, 有条理地"
Semitic,"a. 闪米特人的, 犹太人的"
Arabic,"n. 阿拉伯语
a. 阿拉伯语的, 阿拉伯人的, 阿拉伯式的"
Hebrew,"n. 希伯来人, 希伯来语, 犹太人
a. 希伯来人的, 希伯来语的"
backtrack,"vi. 返回, 退走, 撤退, 放弃
"
Oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
Romance language,[网络] 罗曼语；通称为罗曼斯语；罗曼语系
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
Slav,a. 斯拉夫人的；斯拉夫语的
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
criticism,"n. 批评, 评论, 非难
"
simplistic,a. 过分简单化的
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
biased,"a. 有偏见的
"
efficient,"a. 有效率的, 能干的"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
pickle,"n. 盐卤, 腌汁, 泡菜, 困境, 讨厌鬼
vt. 腌制, 酸洗, 葬送(机会等), 泡"
dresser,"n. 化妆台, (剧团)服装师, 碗柜
"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
jingle,"n. 叮当声
v. (使)作叮当声, (使)押韵"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
thud,"n. 砰的一声, 重击
vi. 砰的一声掉下, 嘭的一声"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
copper,"n. 铜, 警察
"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
cardboard,"n. 薄纸板
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
cashier,"n. 出纳员
"
grin,"n. 露齿笑
v. 露齿而笑"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
cone,"n. 圆锥体, 球果
vt. 使成锥形"
ice-cream cone,"un. 蛋卷冰淇淋；冰淇淋锥形杯；〔摄〕乳白色锥形散光灯
"
vanilla,"n. 香草, 香子兰"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
dime,n. 10分硬币(美、加)
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
determination,"n. 决心, 果断
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
eloquently,adv. 善辩地；富于表现力地
flowery,"a. 多花的, 绚丽的, 华丽的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
lowly,"a. 地位低的, 卑下的, 谦卑的
adv. 位置低下的, 低声地, 谦逊地"
define,"vt. 定义, 规定, 使明确
"
doggedly,adv. 顽强地；固执地
catsup,n. 调味蕃茄酱
palatable,"a. 美味的, 好吃的, 可口的
"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
cuddle,"n. 搂抱, 拥抱
vt. 抚抱, 抱着睡, 拥抱
vi. 依偎, 依偎着躺在一起"
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
whimper,"n. 抽泣, 呜咽, 啜泣, 哭诉
vi. 呜咽, 啜泣, 抽噎地哭
vt. 呜咽着说, 啜泣着说"
diaper,"n. 尿布
"
amazement,"n. 惊愕, 惊异"
fistful,"n. 一把, 相当大的数量"
gamut,"n. 音阶, 整个范围, 全部, 音域"
each and every,每个
hold sb. back,"na. 阻止；踌躇；隐瞒；抑制
"
hold sth. back,"na. 阻止；踌躇；隐瞒；抑制
"
see to,"负责, 注意"
serve its purpose,达到目的
lecture sb. on sth.,作有关…的讲座
lecture sb. about sth.,"向…就(某题目)作报告, 办讲座"
play a part in sth.,"在…中扮演角色,在…中起作用"
play a role in sth.,在...起作用
lay off,"na. 辞退；停止；暂停
"
to the contrary,相反地
take turns,"轮流, 依次"
to sb's amazement,使(某人)感到诧异的是...
legend,"n. 传说, 传奇文学, 图例
"
perfectionist,"n. 至善论者, 过分挑剔者, 追求尽善尽美者, 圆满论者"
definitely,"adv. 明确无疑地, 清楚地"
innate,"a. 先天的, 天生的
"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
spine,"n. 背骨, 脊柱, 尖刺
"
thankful,"a. 感谢的, 感激的, 欣慰的"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
whereas,"conj. 然而, 鉴于
"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
mood,"n. 心情, 气氛, 生气, 基调
"
protective,"a. 给予保护的, 保护的
"
stroller,"n. 散步者, 流浪者"
distraction,"n. 娱乐, 分心的事物, 分心
"
sibling,"n. 兄弟, 同胞
"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
think back, 回想
over and over,"反复, 再三"
again,"adv. 再一次, 又, 到原处"
think of sb. as sth.,把...看作
think of sth. as sth.,把...看作
get oneself together,〈口〉控制住自己的感情
be born with a silver spoon in your mouth,无
go without,没有也行
when it comes to sth.,当提到…
when it comes to doing sth.,无
come sb.'s way,无
take a risk,"冒险
"
on the one hand ...,在一方面
on the other hand,另一方面
store sth. up,"na. 贮藏；记住
"
get sth. off your chest,无
for sure,确实
come along,v. 出现；一起来；陪伴；进步
to begin with,首先
in play,"开玩笑地, 在比赛中"
start off,"na. 动身
"
to be honest,"老实说,说实在的"
what with,"由于, 因为"
laugh sb.'s head off,无
shout sb.'s head off,无
scream sb.'s head off,无
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
campfire,"n. 营火, 营火会"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
drama,"n. 戏剧, 戏剧艺术"
environmental,"a. 周围的, 环境的
"
awareness,"n. 意识, 认识
"
circus,"n. 马戏团, 马戏, 竞技场"
self-confidence,自信
motivation,"n. 动机, 刺激, 推动
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
entertaining,"a. 使人愉快的, 有趣的"
childcare,n. 儿童照管；儿童保育
distract,"vt. 转移, 分心, 使发狂"
canoeing,"n. 划独木舟, 玩独木舟"
extrovert,"n. 外向性格的人
"
opportunity,"n. 机会, 时机"
solution,"n. 解决, 解答, 溶液
"
terrorist,"n. 恐怖分子
"
exaggerate,"v. 夸大, 夸张"
historical,"a. 历史的, 史实的, 历史上的
"
memorable,"a. 值得纪念的, 难忘的"
newsworthy,a. 有报导价值的
horror,"n. 惊骇, 恐怖, 惨状
"
sensational,"a. 使人感动的, 非常好的"
reaction,"n. 反应, 反作用, 反动
"
instinct,"n. 本能, 直觉
a. 充满着的"
confirmation,"n. 证实, 证明, 批准, 确认
"
startled,v. 震惊（startle的过去分词）
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
poverty,"n. 贫穷, 贫困, 缺乏
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
drama,"n. 戏剧, 戏剧艺术"
technician,"n. 技师
"
momentous,"a. 重大的, 重要的"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
element,"n. 元件, 元素, 要素
"
newsworthiness,有新闻价值
immediacy,"n. 直接, 目前, 迫切需要的事物"
generally,"adv. 通常, 逐渐地, 普遍地"
trainee,"n. 实习生, 新兵, 受培训者
"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
similarly,"adv. 相像地, 类似于"
definition,"n. 定义, 精确度, 清晰度
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
necessarily,"adv. 必然地, 必须地, 必要地"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
guidelines,n. 指导方针
covertly,adv. 偷偷摸摸地；秘密地
millennium,"n. 千禧年, 一千年"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
proliferation,"n. 增殖, 激增
"
blog,n. 博客；部落格；网络日志
site,"n. 位置, 场所, 地点
vt. 给...择址"
instantly,"adv. 立即地, 即刻地"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
never-ending,"adj. 没底的
"
item,"n. 项目, 条款, 一则, 项
"
increasingly,"adv. 逐渐地, 渐增地"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
make the headlines,作为重要新闻见报；被大肆宣传
hit the headlines,"成为报上的头条新闻,突然出名,轰动一时"
grab the headlines,[网络] 成为重要新闻；成为了新闻头条
lead with sth.,作为头条报道
in contrast,"比较起来, 相反地, 而"
by contrast,"对比起来, 与之相比, 相反地"
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
be caught up in sth.,"被卷入, 牵涉, 涉及"
get caught up in sth.,[网络] 陷入；卷入；沉浸于
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
by definition,根据/按照定义
