absence,"n. 缺席, 缺乏, 没有
"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
arise,"vi. 站立, 出现, 起来"
arousal,"n. 奋发, 激励"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
artificial,"a. 人造的, 假的, 非原地产的
"
artificially,"adv. 人工地, 人为地, 不自然地"
assess,"vt. 估定, 对...征税, 评定
"
assessment,"n. 评估, 估定, 评定的款额
"
assessor,"n. 辅佐人, 顾问, 估税员
"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
assistance,"n. 协助, 援助
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assumption,"n. 假定, 自负, 担任, 假装
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
attribution,"n. 归因
"
attributive,"a. 归属的, 属性的, 定语的
n. 定语"
attributable,a. 可归于...的
auditorium,"n. 听众席, 礼堂
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
available,"a. 可利用的, 可获得的, 有效的
"
availability,"n. 有效性, 可利用性, 可利用的人
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
battery,"n. 电池, 殴打
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behaviour,"n. 行为, 举止
"
behavioural,a. 行为的
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
bilingual,a. 双语的
bilingualism,n. 使用两种语言
booklet,n. 小册子
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
bored,a. 无聊的；烦人的；无趣的
boring,"a. 烦人的, 无聊的, 无趣的
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
branding,"[法] 刺字刑, 烙印"
branded,a. 名牌商标的；打有烙印的；[英方]有斑纹的（等于brindled）
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
brilliance,"n. 卓越, 光辉
"
brilliantly,"adv. 辉煌地, 光亮地, 灿烂地"
brochure,"n. 小册子, 小册"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
burial,"n. 埋葬, 葬礼
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campaigner,"n. 从军者, 老兵, 竞选者"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
capacity,"n. 容量, 能力, 才能, 资格
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
captivity,"n. 囚禁, 被关
"
cargo,"n. 货物
"
carve,"v. 雕刻, 切开"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
categorise,"vt. 分类, 归类"
category,"n. 种类, 类项
"
categoric,"绝对的
无条件的
明确的"
categorical,"a. 范畴的, 绝对的, 明确的"
categorically,"adv. 无条件, 绝对, 明白, 断言, 明显, 明确, 范畴"
categorisation,n. 加以类别
cater,"v. 提供饮食及服务, 投合, 迎合"
catering,n. 给养；承办酒席；[医]提供饮食及服务
caterer,"n. 备办食物者, 备办宴席者"
celebration,"n. 庆祝, 庆典"
celebrated,"a. 驰名的, 有名的"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
circumstance,"n. 环境, 状况, 事件"
circus,"n. 马戏团, 马戏, 竞技场"
cite,"vt. 引用, 引证, 表彰
"
citation,"n. 引用, 引证, 引用文
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civilized,"a. 文明的, 有礼的"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civilization,"n. 文明, 教化
"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
coconut,"n. 椰子
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
colleague,"n. 同事, 同僚"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
columnist,n. 专栏作家
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commissioner,"n. 委员, 理事, 行政长官
"
commodity,"n. 农产品, 商品, 有用的物品
"
communal,"a. 公有的, 公社的
"
community,"n. 社区, 公众, 共有, 共同体
"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
complicated,"a. 复杂的
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
composition,"n. 作文, 创作, 组成
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composed,"a. 镇静的, 沉着的"
composer,"n. 作曲家, 作家, 调停者"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprise,"vt. 包含, 构成"
compulsory,"a. 被强制的, 强迫的, 义务的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentrated,"a. 集中的, 浓缩的
"
concentration,"n. 集中, 专心
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
confusion,"n. 混乱, 混淆, 无秩序
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
confused,"a. 困惑的, 混乱的"
confusing,a. 令人困惑的；混淆的；混乱的
congestion,"n. 拥挤, 充血
"
congested,"a. 拥挤的, 堵塞的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constantly,"adv. 不变地, 不断地, 时常地"
constancy,"n. 坚定不移, 持久不变"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consultation,"n. 请教, 咨询, 磋商会
"
consultative,"a. 商议的, 协议的, 咨询的
"
consultant,"n. 顾问, 征询意见者
"
contaminated,a. 受污染的；弄脏的
contaminant,"n. 污染物, 沾染物
"
contamination,"n. 污染, 污物
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
conservatism,"n. 保守, 守旧性, 保守主义, "
conservationist,n. 自然资源保护论者
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
continuous,"a. 连续的, 继续的, 连续不断的
"
continual,"a. 持续不断的, 继续的
"
continuously,"adv. 不断地, 连续地
"
continually,"adv. 不断地, 频繁地"
continuity,"n. 连续性
"
continuum,"n. 连续统一体, 连续统, 闭联集
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contraction,"n. 收缩, 缩写式, 害病
"
contractor,"n. 立契约的人, 承包商
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contrasting,"v. （靠近或作比较时）显出明显的差异, 形成对比( contrast的现在分词 ); 对比, 对照"
contribution,"n. 捐助, 捐助之物, 贡献
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
convey,"vt. 传达, 运输, 转让
"
conveyance,"n. 运输, 运输工具, 财产转让
"
conveyor,"n. 搬运者, 传达者, 转让财产者, 输送机, 输送设备
"
convince,"vt. 说服, 使相信
"
convinced,"a. 确信的, 深信的"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
corporate,"a. 社团的, 合伙的, 公司的
"
corporation,"n. 公司, 合作, 法人团体
"
corporate,"a. 社团的, 合伙的, 公司的
"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
corridor,"n. 走廊, 回廊, 人口密集地带"
council,"n. 会议, 委员会
"
councillor,"n. 地方议会成员, 议会委员, 顾问, 评议员, 参赞
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
countless,"a. 数不尽的, 无数的"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
creature,"n. 人, 动物, 创造物, 生物"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curable,"a. 可医治的, 医得好的
"
curriculum,"n. 课程
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
debatable,"a. 可争论的, 成问题的, 未决定的"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
decorative,a. 装饰性的
decorator,"n. 装饰家, 裱糊工, 室内外墙壁油漆工, 制景人员"
deduce,"vt. 推论, 演绎出
"
deductive,"a. 推论的, 演绎的
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
degradation,"n. 降格, 堕落, 退化
"
degrade,"v. (使)降级, (使)退化"
degrading,"a. 丧失体面的, 降低身份的, 有辱人格的
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
departure,"n. 离开, 出发, 违背, 偏离
"
depict,"vt. 描述, 描写"
depiction,"n. 描写, 叙述"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
deposition,"n. 免职, 作证, 沉淀
"
deprive,"vt. 剥夺, 使丧失
"
deprived,"a. 穷困的, 丧失了受良好教育权利的, 贫穷的"
deprival,"n. 剥夺
"
depth,"n. 深度, 深处, 深奥
"
derive,"vt. 得自
vi. 起源"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
desirable,"a. 令人想望的, 可取的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
destination,"n. 目的地, 目标, 目的
"
detrimental,a. 有害的
detriment,"n. 损害, 损害物
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
digitize,"vt. 使成为数字, 使计数化, 使数字化
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dimensional,"a. ...维的
"
diminish,"v. (使)减少, (使)变小"
diploma,"n. 文凭, 毕业证书
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
disappointment,n. 失望
disappointed,a. 失望的
disaster,"n. 灾祸, 不幸, 彻底失败"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disciplinary,"a. 训练的, 纪律的, 训诫的
"
dissertation,n. 论文
distinct,"a. 清楚的, 显著的, 不同的"
distinctive,"a. 有特色的, 出众的"
distinctiveness, 特殊[独特]性
distinctly,"adv. 显然地, 明显地, 清楚地"
distinguish,"v. 区别, 辨别"
distinguished,"a. 卓著的, 著名的"
distract,"vt. 转移, 分心, 使发狂"
distraction,"n. 娱乐, 分心的事物, 分心
"
distracted,a. 心烦意乱的
distractor,n. 错误选择；诱导答案
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
diversify,"vt. 使多样化, 使变化"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
documentary,"n. 记录片
a. 文件的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
documentation,"n. (总称)文件
"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
dramatic,"a. 戏剧性的, 生动的"
dramatics,"n. 演剧活动, 舞台技术, 演剧技术, 戏剧艺术研究, 戏剧性行径"
dramatization,"n. 编剧, 改编成戏剧
"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
drawback,"n. 缺点, 退税
"
drought,"n. 干旱, 缺乏"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
duly,"adv. 恰当地, 充分地, 适当地, 及时地"
dweller,n. 居民
dwell,"vi. 居住, 居住(于), 存在(于)"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynamism,"n. 物力论, 力本说
"
dynamics,"n. 动力学
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
echoic,a. 拟声的
ecology,"n. 生态学, 社会生态学
"
ecological,"a. 生态学的, 主张生态保护的
"
ecologist,n. 生态学者
ecologically,adv. 从生态学的观点看
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
economics,"n. 经济学
"
economize,"v. 节约, 节省, 有效地利用"
economist,"n. 经济学者, 经济家
"
ecosystem,"n. 生态系统
"
efficient,"a. 有效率的, 能干的"
efficiently,"adv. 生效, 能胜任, 有能力, 效率高, 有效"
efficiency,"n. 效率, 效能, 功效
"
electronic,"a. 电子的
"
electronics,"n. 电子学
"
electronically,adv. 电子地
element,"n. 元件, 元素, 要素
"
elementary,"a. 初步的, 基本的
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elimination,"n. 除去, 消除, 消灭
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
emotion,"n. 情绪, 激动, 强烈的情感
"
emotional,"a. 情绪的, 情感的
"
emotionally,adv. 在情绪上
emotive,"a. 使感动的, 动感情的, 感情的
"
emphasise,"vt. 强调, 重读, 加强...的语气, 着重"
empire,"n. 帝国, 帝权"
encode,"vt. 把(电文、情报等)译成密码
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
endanger,"vt. 危及
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
engaged,"a. 忙碌的, 使用中的"
enhance,"vt. 提高, 加强, 增加"
enhancement,"n. 提高, 美化, 增进, 增强, 增加
"
enhancer,[化] 增强子
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
entertaining,"a. 使人愉快的, 有趣的"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
entitlement,"n. 权利
"
equip,"vt. 装备, 配备
"
equipment,"n. 装备, 设备, 才能
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
equivalence,"n. 同等, 等价, 等值
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
essentially,"adv. 本质上, 本来"
establishment,"n. 确立, 制定, 设施
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
evaluate,"vt. 评估, 评价, 赋值"
evaluation,"n. 评估, 估价, 求值
"
evaluative,a. 可估价的
eventually,"adv. 最后, 终于"
eventual,"a. 最后的, 终于的"
eventuality,"n. 可能发生的事, 可能性"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exception,"n. 例外, 除外, 异议
"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
exceptional,"a. 例外的, 异常的, 特别的"
exclude,"vt. 除外, 排除, 排斥
"
exclusion,"n. 排除, 除外, 逐出
"
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
execution,"n. 实行, 完成, 执行, 死刑
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
exhausted,a. 耗尽的；疲惫的
exhaustible,"a. 可用完的, 会枯竭的"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exhibition,"n. 表现, 展览会, 展览品
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
expansively,"adv. 可扩张地, 辽阔地"
expedition,"n. 远征, 探险队, 迅速"
exploitation,"n. 开发, 开采, 剥削
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitative,"a. 开发的, 剥削的, (糟蹋地)利用的"
explore,"v. 探险, 探测, 探究"
explorer,"n. 探险家, 探测者, 勘探器
"
exploration,"n. 探险, 踏勘, 探测
"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
externality,"n. 外形, 外在性"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fiction,"n. 小说, 虚构故事
"
fictitious,"a. 假想的, 编造的, 虚伪的
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
