come to life,苏醒
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
disposition,"n. 性情, 处置, 处理, 布置
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
marshalling,"a. 把货车等编级的
"
sloth,"n. 怠惰, 懒惰"
affectation,"n. 假装, 做作, 矫情
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
confute,"vt. 驳倒, 驳斥
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
diligence,n. 勤奋
deputy,n. 副手，代理人
distill,"vt. 蒸馏
vi. 滴下"
flashy,"a. 闪光的, 一瞬间的, 浮华的"
virus,"n. 病毒, 滤过性病毒, 毒害
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
infect,"vt. 传染, 感染
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
set foot on,踏上
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
lead to,"导致, 通向"
Christianity,"n. 基督教, 基督教精神"
needless to say,"不用说, 当然, 不出所料"
resent,"vt. 愤恨, 憎恶, 怨恨"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
collaboration,"n. 合作, 勾结
"
starvation,"n. 饥饿, 饿死
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
invader,"n. 侵略者
"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
fearless,"a. 大胆的, 勇敢的, 无畏的"
livestock,"n. 家畜
"
make peace,讲和
make peace with sb.,"v. 和…和好
"
in turn,"na. 挨次
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
primarily,"adv. 主要地, 首先地"
immigrant,"n. 移民
a. 移入的, 移民的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
await,"vt. 等候
vi. 等待着"
consist of,由...组成
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
manufacturer,"n. 制造业者, 厂商
"
atmosphere,"n. 大气, 空气, 气氛
"
irrigation,"n. 灌溉, 冲洗
"
in particular,特别
sufficient,"a. 充分的, 足够的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
ailing,"a. 生病的
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
transcontinental,"a. 横贯大陆的, 大陆那边的"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
untapped,"a. 塞子未开的, 未利用的"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
cultivate,"vt. 培养, 耕作"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
virtually,adv. 事实上
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
enact,"vt. 制定法律, 扮演, 颁布
"
exclusion,"n. 排除, 除外, 逐出
"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
barrier,"n. 障碍, 栅栏
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
acquaint,"vt. 使认识, 介绍"
execution,"n. 实行, 完成, 执行, 死刑
"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
bayonet,n. 刺刀
stockade,"n. 栅栏, 围起的地方
vt. 用栅栏围住"
drizzle,"n. 细雨
v. 下毛毛雨"
nugget,"n. 金块, 贵金属块, 小块
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
brigand,"n. 土匪, 强盗
"
enormity,"n. 暴行, 极恶, 巨大
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
greed,"n. 贪欲, 贪婪"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
of all time," 一直, 始终；有史以来"
biographer,n. 传记作者
lexicographer,n. 辞典编纂者
compile,"vt. 编译, 编辑, 编纂, 收集
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
quotation,"n. 引用语, 语录, 牌价, 报价
"
playwright,n. 剧作家
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
publication,"n. 出版物, 出版, 公布
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
landau,"n. 双排座四轮马车, 双排座敞篷轿车"
coachman,n. 马车夫
clip-clop,"n. 嘚嘚声
"
poplar,"n. 杨树, 杨木
"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
mansion,"n. 大厦, 宅邸"
solemn,"a. 严肃的, 郑重的, 庄严的"
immense,"a. 极广大的, 无边的, 非常好的"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
make sb.'s acquaintance,无
momentary,"a. 瞬间的, 刹那间的"
mutual,"a. 相互的, 共有的
"
embarrassment,"n. 困难, 阻碍, 困窘
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
muffled,a. 听不清的；蒙住的
clank,"n. 叮当声
vi. 发叮当声, 发铿锵声
vt. 使铿然作响"
asylum,"n. 庇护, 收容所
"
criminally,"[法] 刑法上, 犯罪上"
insane,"a. 患精神病的, 极愚蠢的
"
arguable,"a. 可辩论的, 可论证的
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
see the light,"公开, 被揭露, 领悟, 接受(某一看法或真相)"
see the light of day,"出世, 问世, 皈依, 大彻大悟"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
actuate,"vt. 开动, 驱使, 激励"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
accessibility,"n. 易接近, 可进入
"
electronic,"a. 电子的
"
computerise,vt. （英）用计算机处理；给…装备计算机（等于computerize）
complexity,"n. 复杂, 复杂性, 复杂的事物"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
apparatus,"n. 装置, 器具, 器官
"
encyclopaedic,"a. 百科全书的, 包含各种学科的, 广博的"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
multimedia,"n. 多媒体
"
audio,"a. 音频的, 声音的
"
thesaurus,"n. 专类辞典, 宝库, 知识宝库, 叙词表, 主题词表
"
synonym,n. 同义词
organically,"adv. 有机性地, 器官上地, 有组织地"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
considerable,"a. 相当的, 可观的, 重要的"
bulky,"a. 庞大的
"
voluminous,"a. 卷数多的, 大部头的, 著书多的, 长篇的, 庞大的, 很多的, 盘绕的"
ample,"a. 大量的, 充足的, 丰富的"
massive,"a. 大而重的, 宽大的, 宏伟的
"
alphabetical,"a. 依字母顺序的, 字母的"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
buzzword,n. 流行词
broadband,[计] 宽带
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
linguistic,"a. 语言的, 语言学的
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
