comedy,"n. 喜剧, 有趣的事情"
toilet paper,"卫生纸, 草纸"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
suffering,"n. 苦难, 受苦"
gymnast,n. 体操运动员
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
in good spirits," 精神好, 高兴, 兴致好"
appreciation,"n. 感激, 赏识, 鉴别
"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
accomplish,"vt. 完成, 达到, 实现, 使完美"
thankful,"a. 感谢的, 感激的, 欣慰的"
adapt,"vt. 使适应, 改编
vi. 适应"
broadcasting,"n. 广播
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
unbearable,"a. 无法忍受的, 承受不住的"
go after,"追逐, 追求"
alcohol,"n. 酒精, 酒
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
depth,"n. 深度, 深处, 深奥
"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
ski,"n. 滑雪橇
vi. 滑雪"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
instructor,"n. 教员, 讲师
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
downhill,"a. 下坡的
adv. 下坡, 向下"
procedure,"n. 程序, 过程, 手续
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
head for,"出发, 动身, 前往"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
talent,"n. 天才, 才能, 有才干的人, 天资"
allocate,"vt. 分派, 分配
"
adequate,"a. 适当的, 足够的
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
at that point, 就在那时
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
hardship,"n. 艰难, 辛苦, 苦难
"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
predict,"v. 预知, 预言, 预报"
workday,"n. 工作日, (一天的)工作时数
"
part-time,n. 兼任，部分时间
handy,"a. 便利的, 敏捷的, 容易取得的
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
motivation,"n. 动机, 刺激, 推动
"
Thailand,n. 泰国
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
the Middle East,"n. 中东（包括亚洲西南部和非洲东北部）
"
Arab,[地名] 阿拉伯 ( 苏丹 )
the Netherlands,n. 荷兰
Netherlands,n. 荷兰
Brunei,n. 文莱
end-of-term, 期末
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
Korea,"n. 朝鲜, 韩国"
rooster,"n. 公鸡, 栖息的鸟
"
ensure,"vt. 确定, 保证, 担保, 保护
"
congratulate,"vt. 祝贺, 庆贺"
reception,"n. 接待, 接受, 招待会
"
bridegroom,n. 新郎
bride,n. 新娘
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
prohibit,"vt. 禁止, 阻止
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
accustomed,"a. 惯常的, 习惯了的"
Brit,"n. 小海生动物, 小鲱鱼"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
bonfire,"n. 大篝火, 营火"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
celebration,"n. 庆祝, 庆典"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
mustard,"n. 芥末, 芥菜, 强烈的兴趣
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
expectation,"n. 期待, 指望, 展望
"
emperor,"n. 皇帝, 君主"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
show somebody around, 带领…参观
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
religion,"n. 宗教, 信仰
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
greeting,"n. 祝贺, 问候"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
business card,n. 名片
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
Inuit,a. 因纽特人的
Nunavut,n. 努勒维特（位于加拿大）
sled,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
deer,n. 鹿
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
bravery,n. 勇敢
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
carve,"v. 雕刻, 切开"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
Aborigine,从起初
Kakado,无
govern,"v. 统治, 支配, 管理"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
boomerang,"n. 回飞镖, 飞去归来器"
mysterious,"a. 神秘的, 难解的, 不可思议的"
Maori,"n. 毛利人, 毛利语
a. 毛利人的, 毛利语的"
Polynesia,n. 波利尼西亚
Rotura,无
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
tribe,"n. 宗族, 部落, 一群人
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
Plains Indian,[网络] 平原印第安人；大平原印第安人；平原印地安
have power over,对...有控制权
peace pipe,n. （北美印第安人用来表示和睦的）和睦烟斗
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
arrow,"n. 箭, 箭状物, 箭头记号"
retell,"vt. 再讲, 重复, 重说"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
running water,自来水
refer to,"v. 查阅；提到
"
ambassador,"n. 大使
"
description,"n. 描述, 说明, 种类
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
victim,"n. 受害人, 牺牲者, 牺牲品
"
addition,"n. 加法, 增加的人(或物)
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
draw someone's attention to,无
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
acquire,"vt. 获得, 学到
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
under the umbrella of,在...的保护下
urgent,"a. 紧急的, 急迫的, 催逼的
"
starvation,"n. 饥饿, 饿死
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
if only,只要
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
mountainous,"a. 多山的, 如山的, 巨大的"
poverty,"n. 贫穷, 贫困, 缺乏
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
heating,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
container,"n. 容器, 集装箱
"
break down,"v. 分解；抛锚；分析；划分
"
troublesome,"a. 麻烦的, 令人讨厌的"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
chaos,"n. 大混乱, 混沌
"
colleague,"n. 同事, 同僚"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
get hold of,"抓住, 得到"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
bacteria,"pl. 细菌
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
remind,"vt. 提醒, 使想起"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
barrier,"n. 障碍, 栅栏
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
think back to,回想，回忆；重新思考(往事)
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
make a difference,"有区别,有很大关系"
