appropriate,"a. 适当的
"
warranty,"n. 正当理由, 授权, 担保, 保证, 根据
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
administration,"n. 行政, 管理, 政府机关
"
maladministration,"n. 管理不善, 弊政
"
municipal,"a. 市政的, 自治区的, 内政的
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
mobilise,"vi.vt. 动员, 松动, 使活动, 调动, 发动"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
demobilize,"vt. 使复员, 使退伍, 遣散"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
evoke,"vt. 唤起, 引起, 召(魂)
"
demonstrate,"vt. 示范, 证明
vi. 示威"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustrious,"a. 著名的, 辉煌的, 明亮的"
lighten,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出
vi. 发亮, 打闪, 变轻"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
thunderclap,"n. 雷声, 霹雳, 晴天霹雳"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
defrost,"vt. 除霜
vi. 解冻"
monument,"n. 纪念碑, 纪念物, 石碑"
enormous,"a. 巨大的, 庞大的"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multitude,"n. 多数, 群众"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
agony,"n. 极大的痛苦, 挣扎
"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grievance,"n. 委屈, 冤情, 苦况
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimise,"vt. 使最优化, 使尽可能有效"
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
economic,"a. 经济上的, 实用的, 节省的
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
paralyze,"vt. 使瘫痪, 使麻痹
"
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
hypercritical,"a. 批评苛刻的, 吹毛求疵的"
critique,"n. 评论文章, 评论"
hypocrisy,"n. 伪善
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
stressful,"a. 着重, 强调, 重读, 使受应力"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
strained,"a. 紧张的, 滤过的, 矫饰的
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
coward,"n. 懦弱的人, 胆小的人"
alcohol,"n. 酒精, 酒
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addictive,a. 上瘾的
restraint,"n. 抑制, 克制, 束缚
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
forbid,"vt. 禁止, 不准, 妨碍
"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
fantasy,"n. 幻想, 想象的产物
"
fantasise,"v. 梦想, 幻想"
fantasize,"vt.vi. 想象, 出现幻想, 产生幻想, 使幻想化, 幻想"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
thermodynamics,"n. 热力学
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
generate,"vt. 产生, 发生, 导致
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
generative,"a. 生殖的, 生产的, 有生殖力的
"
generic,"a. 属类的, 一般的
"
syntax,"n. 句法, 语法, 句子构造
"
synonym,n. 同义词
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
unassuming,"a. 谦逊的, 不装腔作势的"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
subjective,"a. 主观的, 个人的
"
subjection,"n. 征服, 服从, 隶属
"
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonious,"a. 讲究仪式的, 隆重的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
pesticide,"n. 杀虫剂
"
orchestra,"n. 管弦乐队, 乐队演奏处"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
reconciliation,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resigned,"a. 服从的, 听任的, 已辞职的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressionable,"a. 易感的, 敏感的, 可塑的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
unparalleled,"a. 无比的, 无双的, 空前的"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scholastic,"a. 学校的, 学校教育的, 学者的, 学究的
n. 经院哲学家, 学究, 墨守成规者, 学生"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
procedure,"n. 程序, 过程, 手续
"
literacy,"n. 读写能力, 识字, 精通文学"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
voluminous,"a. 卷数多的, 大部头的, 著书多的, 长篇的, 庞大的, 很多的, 盘绕的"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
deliverance,"n. 解脱, 解救, 释放, 判决
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transcend,"vt. 超越, 胜过"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
nucleus,"n. 核心, 核子, 原子核, 起点
"
thermonuclear,"a. 热核的, 热核武器的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
intrusive,"a. 打扰的, 插入的
"
detach,"vt. 使分离, 分遣
"
detachable,a. 可分离的
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
supplementary,"a. 补足的, 补充的, 追加的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complementary,"a. 补充的, 补足的
"
tyranny,"n. 专制, 暴政
"
tyrannical,"a. 暴虐的, 暴君的, 残暴的"
tyrannize,"vi. 施行暴政, 实行专制统治, 欺压"
impede,"vt. 妨碍, 阻碍, 阻止"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
neutralise,"vt. 使中立化, 使成为无效
vt.vi. 抵销, (使)中和"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
feminist,n. 男女平等主义者
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
self-possessed,adj. 有自制力的；沉着的
capacity,"n. 容量, 能力, 才能, 资格
"
incapacitate,"vt. 使无能力, 使无行为能力
"
aware,"a. 知道的, 有觉悟的"
unawares,"adv. 出其不意地, 没想到, 不料, 不知不觉地"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualifier,"n. 取得资格的人, 限定语
"
legal,"a. 法律的, 法定的, 合法的
"
legalise,"vt. 使合法化, 使成为法定, 法律上认可"
legalize,"vt. 法律上认为正当, 使合法化
"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
jeopardise,"vt. 使受危险, 危及, 危害
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimize,vt. 使…合法；立为嫡嗣
notify,"vt. 通知, 通告, 报告
"
notification,"n. 通知, 通告, 告示
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
available,"a. 可利用的, 可获得的, 有效的
"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
futile,"a. 无用的, 琐细的, 不重要的"
futility,"n. 无用, 无益, 无价值"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
novelty,"n. 新奇, 新鲜, 新奇的事物"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
constitute,"vt. 构成, 组成, 任命
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
nutrition,"n. 营养, 营养学
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
preference,"n. 偏爱, 优先, 喜爱物
"
preferential,"a. 优先的, (关税等)优惠的
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
zeal,"n. 热心, 热衷, 热诚"
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
idolise,"vt.vi. 把...当偶像崇拜, 崇拜偶像, 过度崇拜, 偶像化"
idolize,"vt. 把...当偶像崇拜, 极端崇拜, 醉心于
vi. 崇拜偶像"
mystery,"n. 秘密, 神秘, 奥秘"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
calculate,"v. 计算, 预测, 计划, 打算"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
estimable,"a. 可尊敬的, 可估计的"
inestimable,"a. 无价的, 无法估计的"
appraise,"vt. 评价, 估价
"
appraisal,"n. 评价, 估价
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
admissible,"a. 可进入的, 可容许的"
permission,"n. 许可, 允许
"
permissible,"a. 可允许的, 可容许程度的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
brevity,"n. 短暂, 简短"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
doctrine,"n. 教条, 学说
"
indoctrinate,"vt. 教训, 教导, 灌输"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
intermittent,"a. 间歇的, 断断续续的
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
incredible,a. 难以置信的
incredulous,"a. 怀疑的, 不轻信的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
extremity,"n. 极端, 极点, 困境, 绝境
"
extremities,n. 端点( extremity的名词复数 ); 尽头; 手和足; 极窘迫的境地
deduct,"vt. 扣除, 减去
"
deductible,"a. 可扣除的
"
discern,"v. 辨别, 看清楚, 了解"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
draught,"n. 气流, 草稿, 汇票, 通风, 拉, 牵引
vt. 起草, 征兵, 选派"
draughty,a. 通风的
drafty,"a. 通风良好的, 有穿堂风的"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
eccentricity,"n. 古怪, 古怪行为, 怪癖
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
ego,"n. 自我
"
egotism,"n. 自我中心癖, 自负
"
egocentric,"a. 自我中心的, 利己主义的
n. 利己主义者"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
election,"n. 选举, 当选, 选择权
"
element,"n. 元件, 元素, 要素
"
empirical,"a. 完全跟据经验的, 经验主义的
"
erase,"vt. 抹去, 擦掉
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
expiry,"n. 终结, 满期, 呼气, 断气
"
expiration,"n. 终止, 满期, 呼出, 呼气
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
federal,"a. 联邦的, 联合的, 同盟的
"
offhand,"a. 即时的, 即席的, 无准备的, 随便的, 简慢的, 不友好的
adv. 即时地, 即席地, 随便地"
handy,"a. 便利的, 敏捷的, 容易取得的
"
handyman,"n. 杂务工, 手巧的人, 水手"
versatile,"a. 多才多艺的, 万用的, 万向的"
versatility,"n. 多用途, 多才多艺, 易变"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
glorious,a. 光荣的
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intricacy,"n. 纷乱, 复杂, 错综"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
item,"n. 项目, 条款, 一则, 项
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
paramilitary,a. 辅助军事的
militant,a. 好战的
victim,"n. 受害人, 牺牲者, 牺牲品
"
victimize,"vt. 使牺牲, 使受害
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
patron,"n. 赞助人, 顾客, 保护人
"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
patronise,"vt. 庇护, 资助, 赞助, 保护, 光顾, 惠顾, 对...以恩人自居"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
perilous,"a. 危险的, 濒临毁灭的"
imperil,"vt. 使处于危险, 危害"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prospective,"a. 预期的, 将来的
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provisional,"a. 暂时的, 暂定的, 临时的
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
refute,"vt. 反驳, 驳斥；驳倒"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
senator,"n. 参议员, (某些大学的)理事
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shrinkage,"n. 收缩, 收缩量, 减低
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
tribute,"n. 贡物, 礼物, 颂辞"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
retribution,"n. 报应, 惩罚, 报酬
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
unscrew,"v. 旋开, 旋松"
fabricate,"vt. 制造, 建造, 装配, 伪造"
prefabricate,"vt. 预先制造, 预先准备
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
vocalization,"n. 发声, 元音化
"
assert,"vt. 主张, 坚称, 断言
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
dislocate,"vt. 脱臼, 弄乱"
moisture,"n. 湿气, 水分, 降雨
"
moisturise,"vt. 给…增加水分, 使湿润"
moisturize,"vi. 增加湿气, 增加水分
vt. 使增加水分"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
dispute,"n. 争论
v. 争论"
indisputable,a. 无争论之余地的
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
dispensable,"a. 不是必要的, 可有可无的"
necessity,"n. 需要, 必需品, 必然
"
necessitate,"vt. 迫使, 使成为必需, 需要"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
polarity,"n. 极性, 截然相反
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
disjointed,"a. 关节脱位的, 脱臼的, 脱节的, 没有条理的, 次序混乱的, 杂乱的, 支离的
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flawless,"a. 无瑕疵的, 无缺点的
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
affirm,"v. 断言, 确认"
reaffirm,"vt. 重申, 再确认"
dignity,"n. 尊严, 高贵
"
dignitary,"n. 高贵的人, 高官, 高僧, 要人"
