greenhouse effect,温室效应
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
changeable,a. 可改变的
thunderstorm,n. 雷暴雨
rainfall,"n. 降雨, 降雨量
"
irrigation,"n. 灌溉, 冲洗
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
result in,"导致
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
catastrophe,"n. 大灾难, 大祸
"
separation,"n. 分离, 分居, 缺口, 退职
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
earn one's living,"谋生, 维持生活"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
clay,"n. 泥土, 肉体, 黏土
"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
mountainous,"a. 多山的, 如山的, 巨大的"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
plug one's ears,无
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
industrialisation,n. 工业化
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
soundproof,a. 隔音的
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
decibel,"n. 分贝
"
sum up,"na. 〈口〉概括；总结
"
as a matter of fact,事实上
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
allocate,"vt. 分派, 分配
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
fragile,"a. 易碎的, 脆的
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
break away from,"摆脱,脱离"
sharpener,"n. 研磨者, 卷笔刀, 研磨工具"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
tusk,"n. 长牙, 獠牙, 尖物
vt. 以长牙刺戳, 以长牙掘"
carve,"v. 雕刻, 切开"
calculate,"v. 计算, 预测, 计划, 打算"
cube,"n. 立方体, 立方
"
cubic,"a. 立方体的, 立方的
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
hand over,交出；移交
recipe,"n. 食谱, 处方, 秘诀
"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
immigration,"n. 移民, 移居
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
racial,"a. 人种的, 种族的
"
community,"n. 社区, 公众, 共有, 共同体
"
drummer,"n. 鼓手, 旅行推销员
"
bid ... goodbye,无
furnished,"a. 家具, 有家具的"
bachelor,"n. 单身汉, 学士
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
be exposed to,"[计] 曝光, 曝露"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
council,"n. 会议, 委员会
"
departure,"n. 离开, 出发, 违背, 偏离
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
classify,"vt. 分类, 归类, 分等
"
maid,"n. 少女, 未婚女子, 女仆"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
fortnight,n. 两星期
in a flash,"一刹那间, 瞬间, 即刻"
adolescence,"n. 青春期
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
statesman,n. 政治家
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
bungalow,n. 平房
smog,"n. 烟雾
"
stand up for,"支持
"
rugby,"n. 橄榄球, 橄榄球赛"
talk sth. over with sb., 洽商；相商；洽谈
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
bakery,n. 面包店
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
from then on,从那时起
give in,"na. 让步；屈服；投降；上交
"
send for,na. 派人去叫
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
call in,"na. 招；叫进；引入；调入
"
appoint,"vt. 任命, 指定, 下令
"
union,"n. 联盟, 联合, 结合, 工会
"
have a gift for,对...有天赋
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
nutrition,"n. 营养, 营养学
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
keep off,"让开, 不接近"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
criticise,"v. 批评, 吹毛求疵, 非难"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
sarcastic,"a. 讽刺的, 讥讽的"
hold out,"na. 伸出；提出；维持；制止
"
by and by,不久以后
call on,"号召, 呼吁, 约请, 访问"
look down on,"轻视, 看不起"
keep one's word,守信
come about,"发生, 改变方向"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
oilfield,n. 油田
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
ending,"n. 终止, 终了, 收场
"
in surprise,惊异地
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
frontier,"n. 边界, 边境
"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
distribute,"vt. 分配, 散布, 分发
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
in peace,"平静地,安静地,和睦地"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
surgeon,"n. 外科医生, 军医, 船医
"
bandage,"n. 绷带
"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
take sb. in one's arms,无
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
acquaintance,"n. 认识, 相识者"
westwards,adv. 向西
handful,"n. 少数, 一把, 棘手事"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
greed,"n. 贪欲, 贪婪"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
the more ... the more ...,越…越…
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
intend,"vt. 计划, 打算, 意思是
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
thermos,n. 热水瓶
expense,"n. 费用, 代价, 开支, 损失
"
join up,"参军, 联合起来"
daisy,"n. 雏菊, 一流人物
a. 第一流的"
pushing up daisies,[网络] 入土为安了没
Kaiser,n. 皇帝
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
rope off," 用绳子隔开, 圈起（某地域或牲畜）"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
underpants,"n. 衬裤, 短衬裤"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
communism,n. 共产主义
socialism,"n. 社会主义, 社会主义运动"
communist,"n. 共产主义者, 共产党员
"
socialist,"n. 社会主义者, 社会党党员
"
liberation,"n. 释放, 解放
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
bring sth. on sb.,"na. “bring forward”的变体
"
look into,"窥视, 浏览, 观察
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
sort out,"na. 清理
"
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
homelessness,n. 无家可归
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
graph,"n. 曲线图, 图表, 图形
"
life expectancy,
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
abundant,"a. 丰富的, 充分的, 大量的"
consumer,"n. 消费者
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
currency,"n. 货币, 通货, 流通, 通用
"
signature,"n. 签字, 识别标志, 调号
"
taxpayer,"n. 纳税人
"
govern,"v. 统治, 支配, 管理"
accumulate,"v. 积聚, 堆积"
ownership,"n. 所有权, 物主身份
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
come into being,"形成, 产生"
adjustment,"n. 调整, 调节, 校正
"
diverse,"a. 不同的, 变化多的"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
mutton,n. 羊肉
wind sb. up,"na. 解散(公司等)；终止；卷紧；绕紧
"
brunch,n. 早午餐
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
fingernail,n. 手指甲
hydrogen,"n. 氢
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
delete,"vt. 删除
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
Utopia,"n. 乌托邦, 理想国"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
show off,"炫耀, 卖弄, 使显眼"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
merciful,"a. 仁慈的, 慈悲的"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
collision,"n. 碰撞, 冲突, 抵触
"
knock into sb.,撞上
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
grocer,n. 食品商
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
ministry,"n. 部, 内阁, 服务
"
poster,"n. 海报, 招贴, 驿马"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
edition,"n. 版本, 版, 翻版"
alley,"n. 小路, 巷"
rectangular,"a. 成直角的
"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
turning point,"转折点
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
preservation,"n. 保存, 保藏, 保护
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
container,"n. 容器, 集装箱
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
spoonful,"n. 一匙
"
robbery,"n. 抢掠, 抢夺
"
break into,"破门而入, 侵占
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
shoplifting,"n. 入店行窃
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
on principle,根据原则
abolish,"vt. 废止, 革除, 消灭
"
sentence sb. to death,[网络] 判死刑；被判死刑；判处…死刑
moreover,"adv. 而且, 此外"
furthermore,"adv. 此外, 而且"
consequently,adv. 所以
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
seaweed,"n. 海草, 海藻
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
seagull,n. 鸥
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
Buddhism,n. 佛教
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
semicircle,n. 半圆形
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
