abscissa,"n. 横坐标
"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
geometric mean,
geometric progression,
hexagon,"n. 六角形, 六边形
"
hypotenuse,n. (直角三角形之)斜边
improper fraction,"n. 假分式, 假分数"
increment,"n. 增加, 增值, 盈余
"
indices,"pl. 索引, 指针, 指数, 指标"
integer,"n. 完整的事物, 整体, 整数
"
invariant,"a. 无变化的, 不变的
n. 不变量"
isosceles,a. 等腰的
isosceles triangle, 等腰三角形
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
length,"n. 长度, 长, 期间, 一段
"
mathematics,"n. 数学
"
matrix,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵
"
median,"a. 中央的, 中间的, 正中的
n. 正中动脉, 中位数, 中线"
median of a triangle,三角形中线
midpoint,"n. 中点, 一半"
millimeter,"n. 毫米
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multiply,"v. 繁殖, 乘, 增加
"
natural number,[计] 自然数
negative number,
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
number lines,[网络] 数轴；数线
numerator,"n. 分子, 计算者, 计算的东西"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
obtuse angle,[医] 钝角
octagon,"n. 八边形, 八角形"
odd number,[计] 奇数
ordinate,"n. 纵线, 纵座标
"
parallel lines,平行线
parallelogram,"n. 平行四边形
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
pentagon,"n. 五角形, 五边形
"
perimeter,"n. 周长, 周界, 边缘
"
permutation,"n. 交换, 更动, 排列
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
polygon,"n. 多角形, 多边形
"
positive number,[计] 正数
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
prime factor, 素因数，素因子
prime number,"[计] 素数, 质数"
product,"n. 产品, 结果, 乘积
"
proper fraction,[计] 真分数
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
quadrant,"n. 四分之一圆, 象限, 象限仪
"
quadratic,"a. 二次的
n. 二次方程式"
quadrilateral,"a. 四边形的
"
quadruple,"a. 四倍的, 四重的, 四部分组成的
n. 四倍
vt. 使成四倍
vi. 成为四倍"
quotient,"n. 商, 份额
"
radial,"a. 光线的, 光线状的, 放射状的, 半径的, 径向的
n. 光线, 射线"
radius,"n. 半径, 范围, 辐射光线
"
ratio,"n. 比, 比率
"
rectangle,"n. 长方形, 矩形
"
rectangular prism,直角棱镜
regular polygon, 正多边形
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
rhombus,"n. 菱形, 菱形六面体"
right angle,"直角
"
right triangle,"n. 直角三角形, 勾股形"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
scalene triangle, 不等边三角形
semicircular,"a. 半圆的
"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
square root, 平方根
straight angle,平角
subset,"n. 子集
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
surface area,[机] 表面面积
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
theorem,"n. 定理, 原理
"
times,"n. 时代, 境遇, 时报"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
trapezium,"n. 不规则四边形, 梯形
"
triangle,"n. 三角形, 三个一组, 三角关系
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
variance,"n. 不一致, 变化, 变异, 分歧, 不和
"
vector,"n. 矢量, 传病媒介
vt. (用无线电)导引, 给...导航
"
vertex,"n. 顶点, 最高点, 头顶, 天顶
"
vertex angle,[机] 顶角
vertical,"a. 垂直的, 直立的
"
vertical angle,[机] 直角
whole number,整数
width,"n. 宽度, 宽广, 广博
"
accountant,"n. 会计人员, 会计师
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
antitrust law,"un. 反托拉斯法
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
borrowing,"[经] 借款, 贷款"
brokerage,"n. 经纪人, 回扣, 佣金, 中间人业务
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
capitalistic,"a. 资本主义的, 资本家的"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
compound interest,
consortium,"n. 协会, 合伙, (国际性)财团
"
coupon,"n. 息票, 赠券
"
currency,"n. 货币, 通货, 流通, 通用
"
deficit,"n. 赤字, 不足额
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economy,"n. 经济, 理财, 节约
"
financial crash,无
fiscal,"a. 财政的, 国库的
"
free market,"自由市场
"
GNP,[=gas(chemical agent)nonpersistent]非持久性毒气
import relief,进口补助
inflation,"n. 胀大, 夸张, 通货膨胀
"
interest rate,"利率
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
investment,"n. 投资
"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
keynesian,"a. 凯因斯主义的
n. 凯因斯主义的追随者, 凯因斯主义的鼓吹者"
laissez-faire capitalism,自由资本主义
list price,"[经] 目录价格, 价目单定价"
managerial,"a. 管理的
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
mark up,"把...标出, 标高价格
"
mark down,"记下, 标低价格
"
mercantilist,"n. 重商主义者
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
monetary,"a. 货币的, 金钱的
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
outlet,"n. 出口, 发泄方法, 市场
"
output,"n. 输出, 产品, 产量
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
per capita,"每人, 按人口, 按人口计算
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
privatize,vt.vi. 私有化
proceeds,"pl. 收益
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
productivity,"n. 生产力
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
purchasing price,[经] 买价
quota,"n. 配额, 限额
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
rating,"n. 等级, 额定功率, 责骂
"
real estate,"不动产
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
recession,"n. 后退, 凹处, 衰退, 归还
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
sale price,"廉价
"
simple interest,[经] 单利
sluggish economy,萧条的经济
statistic,"n. 统计量
a. 统计的, 统计学的"
stipend,"n. 薪金, 定期生活津贴
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
subcontract,"n. 转包合同, 分包合同
v. 转包"
subsidize,"vt. 补助, 资助, 贿赂
"
subsidy,"n. 补助金, 津贴
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
turnaround,"n. 转向, 回车道, 转变
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
unemployment,"n. 失业, 失业人数
"
property,"n. 财产, 所有权, 性质, 属性
"
proxy,"n. 代理, 代理人, 委托书
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
takeover,"n. 接管, 接收
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
adrenal,"a. 肾上的, 肾上腺的
n. 肾上腺"
ambulance,"n. 救护车
"
amphetamine,"n. 苯丙胺, 安非他明
"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
antipsychotic,a. 安定药
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
cancerous,"a. 癌的, 似癌的, 生癌的
"
clinical,"a. 临床的, 门诊部的
"
coronary angiography, 冠状动脉血管造影术
diagnose,v. 诊断
dope,"n. 吸毒者, 笨蛋, 麻醉药物, 粘稠物
vt. 麻痹, 上涂料, 预测出
vi. 吸毒"
dosage,"n. 剂量, 用量, 配药
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
disfunction,"n. [医] 机能不良, 功能紊乱, 官能障碍"
erythromycin,"n. 红霉素
"
hypertherm,n. [医]人工发热(治疗)机
immunology,"n. 免疫学
"
infectious,"a. 有传染性的, 易传染的
"
infirmary,"n. 医院, 养老院
"
influenza,"n. 流行性感冒
"
inherited,a. 遗传的；继承权的；通过继承得到的
inhibitor,"n. 禁止者, 抑制人, 抑制物, 抑制因素, 抑制剂, 阻化剂
"
inoculate,"vt. 接种, 嫁接
"
inpatient,n. 住院病人
insomnia,"n. 失眠症
"
insulin,"n. 胰岛素
"
intestine,"a. 内部的, 国内的
n. 肠"
irritant,"a. 刺激的, 刺激性的
n. 刺激物, 刺激剂"
kidney,"n. 肾, 个性
"
liver,"n. 肝脏, 生活者, 居民
"
malady,"n. 病, 疾病, 弊病
"
malaria,"n. 疟疾, 瘴气
"
manic,"a. 躁狂的
n. 躁狂者"
marijuana,"n. 大麻
"
marrow,"n. 髓, 骨髓, 精华, 活力, 配偶
"
measles,"n. 麻疹, 风疹, 家畜囊尾蚴病, 米珠
"
medication,"n. 药物治疗, 药物处理, 医药
"
migraine,"n. 严重的周期性偏头痛
"
morphine,"n. 吗啡
"
morphogenetic,"[医] 形态形成的, 形态发生的"
narcotic,"n. 麻醉药, 镇静剂
a. 麻醉的, 催眠的"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
"
nicotine,"n. 烟碱, 尼古丁
"
off-the-shelf,复活
opiate,"n. 鸦片制剂, 镇静剂
a. 含鸦片的, 催眠的
vt. 使麻醉, 使缓和"
outpatient,"n. 门诊病人
"
panacea,"n. 万能药, 灵丹妙药
"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
pediatric,"a. 小儿科的
"
penicillin,"n. 盘尼西林, 青霉素
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
pharmacy,"n. 药房, 配药学, 制药业
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
plaque,"n. 匾, 饰板, 名牌, 勋章, 胸襟饰物, 血小板"
pneumonia,"n. 肺炎
"
prescription,"n. 处方, 命令, 指定
"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
psychiatric,"a. 精神病学的, 医精神病的
"
psychoactive,"a. 对神经起显著作用的, 对神经起特殊作用的"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychosis,"n. 精神病, 精神不正常
"
psychotherapy,"n. 精神疗法, 心理疗法
"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
respiratory,"a. 呼吸的
"
respire,v. 呼吸
sanitary,"a. 卫生的
n. 公共厕所"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
smallpox,"n. 天花
"
spleen,"n. 脾脏, 坏脾气, 怨恨
"
surgeon,"n. 外科医生, 军医, 船医
"
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
tardive,a. 迟缓的
thyroid,"a. 甲状腺的, 甲状的, 甲状软骨的
n. 甲状腺, 甲状软骨, 甲状腺剂"
tranquilizer,"[医] 安定药, 镇定药"
tuberculosis,"n. 肺结核
"
typhoid,"a. 伤寒的
n. 伤寒"
ulcer,"n. 溃疡, 腐烂物
"
vaccinate,v. 预防接种
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
varicose,"a. 肿胀的, 静脉曲张的"
vascular,"a. 血管的, 维管的
"
venous,"a. 静脉的, 在静脉中的, 有脉的
"
vitamin,"n. 维生素
"
viral,"a. 病毒的, 病毒引起的
"
virulent,"a. 剧毒的, 致命的, 刻毒的, 恶毒的, 恶性的, 有病毒的, 过强的
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
womb,"n. 子宫, 发源地
"
yellow fever,"黄热病
"
aluminium,"n. 铝
a. 铝的"
amalgam,"n. 汞合金, 汞齐
"
arsenic,"n. 砷, 砒霜
"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
bronze,"n. 青铜, 铜像
a. 青铜色的"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
caffeine,"n. 咖啡因, 咖啡碱
"
calcium,"n. 钙
"
carbohydrate,"n. 碳水化合物, 糖类
"
carbon,"n. 碳, 副本, 复写纸
"
carotene,"n. 胡萝卜素
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
cholesterol,"n. 胆固醇
"
cocaine,"n. 可卡因, 古柯碱
"
cocoa,"n. 可可粉, 可可茶, 可可色
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
dioxide,"n. 二氧化物
"
dispersant,[计] 分散剂
ethylene,"n. 乙烯
"
formaldehyde,"n. 甲醛
"
glycerol,"n. 甘油, 丙三醇
"
graphite,"n. 石墨
"
helium,"n. 氦
"
hemoglobin,"n. 血色素
"
herpesvirus,[医] 疱疹病毒
hormone,"n. 荷尔蒙
"
hydrocarbon,"n. 碳氢化合物
"
hydrogen,"n. 氢
"
insecticide,"n. 杀虫剂
"
metabolize,"vt. 使物质交替, 使新陈代谢, 使变形
"
methane,"n. 甲烷, 沼气
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
molecule,"n. 分子, 些微
"
nitrogen,"n. 氮
"
nucleotide,"n. 核苷酸
"
ocher,"n. 黄土, 赭土"
oligosaccharide,"n. [生化]低聚糖,寡糖"
ore,"n. 矿石
"
oxide,"n. 氧化物
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
particulates,"n. 微粒, 粒子( particulate的复数形式 )"
pesticide,"n. 杀虫剂
"
petroleum,"n. 石油
"
phosphate,"n. 磷酸盐, 磷酸酯
"
pigment,"n. 色素, 色质, 颜料
"
plutonium,"n. 钚
"
pollutant,"n. 污染物质
"
polymorph,"n. 多态动物(或植物), 多形体
"
potassium,"n. 钾
"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
protein,"n. 蛋白质
a. 蛋白质的"
pseudomer,"赝异构体, 假异构体"
radon,"n. 氡
"
ribosome,"n. 核糖体
"
sodium,"n. 钠
"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
uranium,"n. 铀
"
cinder,"n. 煤渣, 灰烬
"
char,"n. 家庭杂务, 炭
vi. 打杂, 烧焦"
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
anole,n. 变色龙
anopheles,"按蚊,疟蚊"
antenna,"n. 天线, 触须, 触角
"
ape,"n. 无尾猿
"
avian,"a. 鸟类的
n. 鸟"
bipedalism,n. 用两足运动
carnivore,"n. 食肉动物
"
caterpillar,"n. 毛虫
"
chameleon,"n. 美洲变色蜥蜴, 善变的人
"
condor,"n. 神鹰
"
dinosaur,n. 恐龙
fauna,"n. 动物群
"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
hamster,"n. 仓鼠
"
herbivore,n. 草食动物
herring,"n. 青鱼, 鲱"
hippo,"n. 河马
"
invertebrate,"a. 无脊椎的, 无骨气的
n. 无脊椎动物, 无骨气的人"
lactation,"n. 分泌乳汁, 授乳, 哺乳
"
larva,"n. 幼虫
"
leaven,"n. 酵母, 促使渐变的因素
vt. 使发酵, 渐变"
lepidopter,n. [动] 鳞翅类昆虫
livestock,"n. 家畜
"
lobster,n. 龙虾
mammal,"n. 哺乳动物
"
microbe,"n. 微生物, 细菌
"
mosquito,"n. 蚊子
"
moth,"n. 蛾害, 蛾, 乌头叶菜豆
"
neuron,"n. 神经原, 轴索, 神经细胞
"
parasite,"n. 寄生生物, 寄生虫, 食客
"
pelvis,"n. 骨盆
"
plankton,"n. (总称)浮游生物
"
plasma,"n. 血浆, 淋巴液, 原生质, 等离子体
"
poultry,n. 家禽
predator,"n. 食肉动物, 掠夺者
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
primate,"n. 大主教, 灵长目动物
"
pupation,[医] 蛹化
quadrupedal,a. 有四足的
raccoon,"n. 浣熊, 浣熊毛皮"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
rhinoceros,n. 犀牛
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
saliva,"n. 唾液, 唾沫, 涎
"
scavenger,"n. (英)清道夫, 清扫工, 拾垃圾的人, 清除剂, 净化剂, 食腐动物, 黄色作家
"
silkworm,n. 蚕
skull,"n. 头盖骨, 头脑, 好学生
"
specimen,"n. 样品, 标本, 试料
"
spine,"n. 背骨, 脊柱, 尖刺
"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
tadpole,n. 蝌蚪
vegetarian,"n. 素食者, 食草动物
a. 素食的"
vertebrate,"n. 脊椎动物
a. 有椎骨的, 有脊椎的"
vessel,"n. 船, 容器, 脉管
"
wasp,"n. 黄蜂, 胡蜂, 易怒的人, 刻毒的人
"
weevil,"n. 象甲
"
woodpecker,n. 啄木鸟
yeast,"n. 酵母
"
anthropology,"n. 人类学
"
orthogenetic,直向演化的（orthogenesis的变体）
overlord,"n. 大君主, 最高君主, 霸主
"
paleolithic,a. 旧石器时代的
posterity,"n. 子孙, 后裔
"
prehistoric,"a. 历史以前的, 史前的"
sacralization,"[医] [第五腰椎]骶骨融合, 骶骨化"
sexist,n. 性别歧视者
throne,"n. 王座, 君主"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
hominid,n. 人科的动物
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
amplitude,"n. 广阔, 充足, 幅度
"
ballistic,"a. 弹道的
"
blind spot,"盲点
"
conductive,"a. 传导性的, 有传导力的, 传导的
"
deform,"vt. 使残缺, 使变形
vi. 变形"
density,"n. 密度
"
dynamics,"n. 动力学
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
electrical,"a. 电的, 有关电的
"
electric,"a. 电的, 导电的, 电动的
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electromagnet,"n. 电磁石
"
electron,"n. 电子
"
electronic,"a. 电子的
"
elliptical,"a. 椭圆的
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
gel,"n. 胶化体, 凝胶
vi. 胶化, 成凝胶状
"
globular,"a. 球状的, 小球状的, 由小球形成的
"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
gravitation,"n. 引力, 重力, 沉下
"
gravitational,a. 重力的
gravity,"n. 地心引力, 重力
"
inelasticity,"n. 无弹力, 生硬, 不适应性
"
inertia,"n. 惯性, 惰性, 迟钝
"
infrared,"a. 红外线的
n. 红外线"
ion,"n. 离子
"
isotope,"n. 同位素
"
laser,"n. 激光
"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
mechanics,"n. 机械学, 结构, 力学
"
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
nucleus,"n. 核心, 核子, 原子核, 起点
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
parallax,"n. 视差(量)
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
photon,"n. 光子, 光量子, 光度
"
prism,"n. 棱镜, 棱柱
"
proton,"n. 质子
"
pulsation,"n. 悸动, 震动
"
quanta,"pl. 量, 量子
"
radioactive,"a. 放射性的, 有放射能的
"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
refraction,"n. 折光, 折射
"
semiconductor,"n. 半导体
"
speed velocity, 临界速度
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
transistor,"n. 晶体管
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
velocity,"n. 速度, 迅速
"
rubbery,"a. 橡胶似的, 有弹力的"
agrarian,"a. 土地的, 耕地的
"
arable,"a. 适于耕种的, 可耕的"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cultivate,"vt. 培养, 耕作"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
graft,"n. 嫁接, 贪污
v. 嫁接, 移植, 贪污"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
algae,"pl. 藻类, 海藻
"
cashew,"n. 腰果树, 腰果
"
coriander,"n. 芫荽
"
escarole,n. 做沙拉的一种蔬菜
flora,"n. 植物群
"
foliage,"n. 树叶, 植物"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
hemp,"n. 大麻烟卷, 大麻, 麻类植物
"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
intracellular,"a. 胞内的, 细胞内的
"
laurel,"n. 月桂树, 荣誉
vt. 使戴桂冠, 授予荣誉"
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
membrane,"n. 薄膜, 膜, 羊皮纸
"
mitochondria,"线粒体
"
organelle,"n. 细胞器
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
