next to,几乎
hero,"n. 英雄, 超越常人者, 男主角"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
this way,"如此,这般,以这种方法;这边走,这边"
medal,"n. 奖牌, 勋章
vt. 授勋予"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
turn on,"na. 转向；对…进行突击
"
turn off,"v. 关掉
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
put up,"adj. 预先商定的
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
take down,"na. 扯下；卷起；记下；卸下
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
pleased,"a. 高兴的, 喜欢的, 满足的"
Best wishes,[网络] 最美好的祝愿；最好的祝福；最良好的祝愿
ant,n. 蚂蚁
webpage,n. 网页
look up,"v. 查找；查阅；探望；看望
"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
week,"n. 星期, 周"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
funnily enough,说来真怪（等于oddly enough ）；说来有趣
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
evening,"n. 傍晚, 晚间, 末期"
also,"adv. 也, 并且, 同样地"
insect,"n. 昆虫, 卑鄙的人
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
website,n. 网站（全球资讯网的主机站）
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
arrive,"vi. 到达, 抵达"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
go for a walk,散步
telephone call,[电] 电话呼叫
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
email,n. 电子信函
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
by bus,乘公共汽车
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
clothes,n. 衣服
a pair of,"一对..., 一付..."
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
bank manager,n. 银行经理
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
soon,"adv. 不久, 早, 快, 宁可"
example,"n. 例子, 样本, 实例
"
a waste of time, 浪费时间
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
nearly,"adv. 几乎, 密切地"
get up,"na. 起床；起身；站起来；叫…起床
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
twice,"adv. 两次, 两倍"
Goodness!,"n. 仁慈, 善良"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
grandmother,"n. 祖母, 女祖先"
seaside,"a. 海边的, 海滨的
n. 海滨"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
fortnight,n. 两星期
grandparent,n. 祖父母
take it easy,"从容, 不紧张"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
carbohydrate,"n. 碳水化合物, 糖类
"
alcohol,"n. 酒精, 酒
"
along,"adv. 平行地, 向前
prep. 沿着"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
running,"n. 赛跑, 流出, 运转
a. 流动的, 跑着的, 连续的"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
because,conj. 因为
right now,就在此时
have a swim, 游泳
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
have a bath, 沐浴
bath,"n. 沐浴, 浴室
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
do your own thing,[网络] 做你自己的事；自己的事情自己搞定；做你自己的事情
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
stadium,"n. 露天大型运动场
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
bored,a. 无聊的；烦人的；无趣的
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
athletics,n. 体育运动
championship,"n. 冠军身份, 冠军称号, 捍卫"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
the doctor's,"医生的
医院"
post office,"邮局
"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
the dentist's,[网络] 牙诊所；牙医诊所
bookshop,n. 书店
the butcher's,[网络] 肉店；肉铺
the chemist's,无
haircut,"n. 理发, (男子的)发式"
the barber's,无
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
the hairdresser's,[网络] 理发店；美容院；女理发店
fashion model, 时装模特儿；服装模特
all over the world,全世界
hotel,"n. 旅馆, 客栈"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
seem,"vi. 象是, 似乎"
glamorous,"a. 富有魅力的, 迷人的"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
central,"a. 中央的, 重要的
"
become,"vi. 变成, 变得
vt. 适合"
decision,"n. 决定, 决心, 决断
"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
"
conference,"n. 会议
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
set up,"na. 建立；创立；发起；开办
"
sir,"n. 先生, 阁下"
straight away, 立即; 马上
last week,上星期
the week before last,"na. “the day before yesterday/the week before last etc.”的变体
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
yesterday,"n. 昨天
adv. 昨天"
the day before yesterday,前天
the day after tomorrow,后天
traffic jam,"塞车, 交通阻塞"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
meeting,"n. 会议, 会面
"
hospital,"n. 医院
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
design classic,无
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
passenger,"n. 乘客, 旅客
"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
a hard time,无
road,"n. 路, 道路, 公路, 途径, 方法
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
ago,adv. 以前
designer,"n. 设计者, 谋划者, 制图者
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
railway station,火车站
at midnight,在午夜
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
winner,"n. 胜利者, 优胜者
"
distance race, [体]远距离竞速项目
among,prep. 在...之中
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
race track,"n. 赛马场,跑道"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
North West,"un. 西北
"
homeland,"n. 本国, 故国"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
metre,"n. 公尺, 格律, 韵律
"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
sea level,海平面
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
athlete,"n. 运动员, 运动选手
"
heart rate,[医] 心搏率
unusually,"adv. 不寻常地, 异乎寻常地, (非正式)非常"
million,"n. 百万, 无数
num. 百万"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
a few,"几个, 少数, 一些"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
sheep,"n. 羊, 胆小者"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
block of flats,公寓楼
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
heaven,"n. 天堂, 上帝, 天空"
did,do的过去式
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
everyone,"pron. 每个人, 人人
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
cocoa,"n. 可可粉, 可可茶, 可可色
"
non-cocoa,[网络] 无可可粉的
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
the grocer's,无
not any ... at all,无
none at all,[网络] 一点感觉都没；一点也没有；完全没影响
chicken,"n. 小鸡, 鸡肉"
beef steak,牛排
envelope,"n. 信封, 封套, 封袋
"
writing paper,"书写纸, 信纸
"
baker,"n. 面包师
"
greengrocer,"n. 蔬菜水果商, 菜贩"
stationer,"n. 文具商, 书商"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
mystery,"n. 秘密, 神秘, 奥秘"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
baby,"n. 婴孩
"
deputy,n. 副手，代理人
have a baby,"na. 生孩子
"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
happen,"vi. 发生, 发生, 恰巧"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
attitude,"n. 态度, 看法, 姿势
"
civilised,a. 文明的
agree with,"同意…,与…意见一致;适应…"
efficient,"a. 有效率的, 能干的"
How long ...?, 多久; 多长
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
instead,"adv. 作为替代, 反而"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
a day out,外出的一天；(特指)(仆人的)休息日
holiday,"n. 假日, 假期, 节日
vi. 度假"
