population explosion,[经] 人口爆炸
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
creative,"a. 有创造力的, 创作的, 产生的"
graceful,a. 优美的
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
dependable,"a. 可信任的, 可靠的, 可信赖的"
disciplined,a. 遵守纪律的；受过训练的
intelligent,"a. 聪明的, 智能的, 了解的"
logical,"a. 合乎逻辑的, 合理的
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
reliable,"a. 可靠的, 可信赖的
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
efficient,"a. 有效率的, 能干的"
expressivity,"n. 善于表达, 基因的表现度, 表达性
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
sweet-tempered,a. 性情和蔼的
tireless,"a. 不疲倦的, 不厌倦的, 不屈不挠的"
capable,"a. 有能力的, 能的, 能干的"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
eminent,"a. 显赫的, 杰出的, 有名的"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
influential,"a. 有影响的, 有势力的"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
simple and candid,无
take the road to one's doom,无
irresponsible,a. 不负责任的；不可靠的
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
a sense of inferiority,无
admonish,"vt. 警告, 劝告, 训诫, 告诫"
respect the old and care the young,无
confidante,n. 知己的女友
mentor,"n. 指导者, 良师益友"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
bosom friend,"知己, 契友"
support the elderly,无
elder abuse, [医]老人虐待
mutual understanding,[法] 互相谅解
a lasting love,无
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
cold-shoulder,冷淡
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
shift the blame onto others,无
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
disappointed,a. 失望的
envious,"a. 嫉妒的, 羡慕的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
grieved,a. 伤心的
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
nourish one's parents in his old age,无
complicated interpersonal relationship,无
stand on one's own,无
independent and competitive,无
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
pen pal,笔友
family virtues,无
maltreat,"vt. 虐待, 滥用
"
show filial obedience,无
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
generation gap,n. 代沟
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affectionate,"a. 深情的, 充满情爱的"
antipathy,"n. 厌恶, 反感
"
attached to parents,无
despise,vt. 轻视
distracted,a. 心烦意乱的
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
favorable impression,无
impatient,"a. 不耐烦的, 着急的, 急切的"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
zeal,"n. 热心, 热衷, 热诚"
lonely and helpless,无
live off one's parents,无
reunification with one's family and relatives,无
a nose of wax,"耳朵软的人, 容易塑捏的东西"
poaching,"[经] 猎取, 盗取"
rare breed,凤毛麟角；稀有品种
recycle bin, 回收站
low-carbon economy,[网络] 低碳经济；低碳经济体；经济社会
greenhouse gas emissions,[网络] 温室气体排放；温室气体排放量；温室气体的排放
afforested areas,无
conserve natural habitats,无
destruction of forests,无
farmland erosion,无
farmland losses,无
conservation of water and soil,[法] 水土保持
desertification,"n. （土壤）荒漠化, 沙漠化"
disruption of ecological balance,无
endangered wildlife, 濒危野生动物
environment-friendly agriculture,无
greenhouse effect,温室效应
motor vehicle exhaust,无
shortage of fresh water, 淡水短缺；淡水资源短缺
white pollution,[网络] 白色污染；噪音污染；净化
sea water desalinization,海水淡化
hazy weather,雾蒙蒙的天气
ozone layer,[电] 臭氧层
climate warning,无
drinking water,n. 饮用水; 饮水
conservation,"n. 保护, 保存
"
marine life,[法] 海洋生物
places of interest, 名胜古迹
scenic spots, 景点
souvenir,n. 纪念品
tourism wave,无
traveling schedule,无
Terra Cotta Warriors,[网络] 兵马俑；陕西秦始皇陵兵马俑；秦始皇兵马俑
natural reserve,自然保护区
guide book,"入门书,指南;指导书,参考手册"
low-carbon, 低碳的
destruction of natural habitats,无
emission rights,无
plastic bag ban,无
greenhouse gases,"na. 温室(效应)气体
"
clean energy,(不污染大气的)洁净能源(指电和原子能等)
air pollution concentration,大气污染浓度
organic pollutants,[网络] 有机污染物；有机物污染
rate of deforestation,无
water and soil erosion,水土流失
curb environmental pollution,无
develop renewable resources,无
biodiversity,n. 生物多样性
environmental degradation,环境退化
environment-friendly products,无
industrial solid wastes,无
non-renewable resources,[网络] 不可再生资源；非再生资源；不可更新资源
garbage classification,无
waste separation,无
disposable chopsticks,n. 一次性筷子
forest coverage,森林覆盖率
acid rain,酸雨
climate change, 气候变化
global warming,n. 全球变暖
drought,"n. 干旱, 缺乏"
environmental awareness,环境保护意识
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
road sign, 交通标志; 路标
sight-seeing,"n. 观光, 游览
a. 观光的, 游览的"
summer resort,避暑胜地
waterfall,n. 瀑布
tourist attraction,"游览胜地
"
the Forbidden City, 紫禁城
natural scenery,天然景色
carbon dioxide,"二氧化碳
"
Low-Carbon Economy,[网络] 低碳经济；低碳经济体；经济社会
LCE,abbr. 发射控制设备（Launch Control Equipment）
Low-Carbon Life, 低碳生活
ecosystem,"n. 生态系统
"
environmental impact,环境冲击
environmental policy,环境政策[方针]
Low-Carbon Tour,无
industrial fumes,无
environmental indicators,无
pull yourself together,[网络] 振作起来；打起精神来；加把劲吧
acquire,"vt. 获得, 学到
"
appreciation,"n. 感激, 赏识, 鉴别
"
dignity,"n. 尊严, 高贵
"
self-respect, [体]自尊
self-esteem, 自尊
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
innocence,"n. 无罪, 无知, 天真无邪
"
reputation,"n. 名誉, 名声, 声望
"
fame,"n. 名望, 名声, 传说"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
integrity,"n. 正直, 廉正, 完整
"
honesty,"n. 诚实, 公正, 正直"
morality,"n. 道德, 教训, 品行
"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
adoration,"n. 崇拜, 爱慕"
ambition,"n. 野心, 志向"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
accomplish,"vt. 完成, 达到, 实现, 使完美"
surmount,"vt. 战胜, 超越, 克服"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
arrogant,"a. 自大的, 傲慢的"
honesty,"n. 诚实, 公正, 正直"
sincerity,"n. 诚实, 真实, 诚心诚意"
cordiality,"n. 热诚, 真挚"
friendliness,"n. 友谊, 亲切, 亲密"
amity,"n. 友好, 亲善关系"
diligence,n. 勤奋
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
hard work, 繁重的工作; 劳苦; 苦工; 苦功
cooperation,"n. 合作, 协力, 配合
"
collaboration,"n. 合作, 勾结
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
compassion,"n. 同情, 怜悯"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
keep your chin up, 不要气馁！; 别灰心！; 不要放弃！
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
creativity,"n. 创造力, 创造性"
courtesy,"n. 礼貌, 谦恭, 好意
"
manner,"n. 样子, 礼貌, 风格
"
politeness,"n. 有礼, 优雅"
humility,"n. 谦逊, 谦虚, 谦卑"
prestige,"n. 声望, 威望, 威信
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
beneficence,"n. 慈善, 善行, 赠物
"
goodness,"n. 仁慈, 善良"
kindness,"n. 仁慈, 亲切, 和蔼"
conscience,"n. 良心
"
values,"n. 对价值的看法, 准则, 标准, 价值观念"
aspiration,"n. 热望, 志向, 渴望
"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
generosity,"n. 慷慨, 宽大"
prudence,"n. 审慎, 慎重, 精明, 节俭"
carefulness,"n. 小心, 仔细, 慎重"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
setback,"n. 挫折, 退步, 逆流"
reverse the trend,无
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
faith,"n. 信心, 信任, 忠实, 保证
"
hospitality,"n. 款待, 亲切, 殷勤"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
credibility,"n. 可信用, 确实性, 可靠
"
courage,"n. 勇气, 胆量"
bravery,n. 勇敢
solidarity,"n. 团结, 团结一致, 共同一致
"
unity,"n. 一致, 联合, 单一(性), 个体
"
information era, 信息时代
information age, 信息化时代
log out,[计] 注销
surf online,无
surf the net, 网上漫游
MicroBlog, 微博
Internet addiction,网络成瘾
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
server,"n. 服伺者, 上菜用具, 发球员
n. 服务器
"
cyberword,无
online games,[网络] 网络游戏；线上游戏；在线游戏
cybercrime,n. 网络犯罪
online shop,网上商城
video blog,"n. 视频博客
"
cyberspace,"[计] 空间, 网控空间"
virtual memory,"虚拟内存
"
Cyber City,[网络] 赛博城市；网路城市；虚拟城市
go off-line,无
on-line shopping,线上购物
digital communication, 数字通信系统
data processing,（资料）处理
online trading platform, 网上交易平台
public figure,n. 社会名人; 人士
keep up with the change,无
keep sb. informed about,无
invade one's privacy,无
net friend, 网友
download,"[计] 卸载, 下栽"
infected computers,无
Internet real-name system,无
number of hits,无
domain name,"域名,(它将INTERNET上的IP地址,用文字表示。假设IP地址是一个人的身份证号码,那么,域名就是一个人的名字[但该名字唯一])"
blogger,n. 写博客的人；博客使用者
webmaster,n. 网络管理员
front-line sciences,无
cyber language,[网络] 网络语言；网络交际语
technological advancement,科技进步
artificial intelligence,[计] 人工智能
e-business, [通信]电子商业
Internet-based education,无
cyber economy,[网络] 网络经济；网路经济；网络绮济
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
prevalent,"a. 普遍的, 流行的"
information explosion,"信息[情报,知识]爆炸"
dedicated line,[计] 专线
Internet worm,[计] 蠕虫病毒
Internet virus,无
antivirus,"n. 抗病毒素
"
business background, [法]企业背景
interview etiquette,无
comprehensive abilities, 综合能力
second job, 第二职业
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
adapt to,适应…;适合…
appointed,"[法] 派任的, 任命的, 指定的"
analyze,"vt. 分析, 细察, 分解
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
labor fair,无
public reserved fund,无
rate of unemployment,[经] 失业率
personal specialty,无
position title,职务称呼
job title, 职别
job attitude,无
responsibility,"n. 责任, 职责, 负担, 可靠性
"
achievement,"n. 完成, 成就, 功业"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
accomplish,"vt. 完成, 达到, 实现, 使完美"
adept in,能手，老手；熟练的，拿手的；擅长于，精于，善于
authorized,"a. 经认可的, 经授权的
"
break the record,打破纪录
breakthrough,"n. 突破
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
trained personnel, 专门人才
talent,"n. 天才, 才能, 有才干的人, 天资"
public institution,[法] 公共机构
human resources," 人力资源, 人文资源, 劳力资源"
overtime pay,[经] 加班费
cash award,无
pay rise,[网络] 加薪；涨工资；增加工资
deserved reward,无
cut the costs,无
save the costs,无
create an advertising campaign,无
extraverted,"a. 外向的（等于extroverted）
v. 使思想外倾（extravert的过去式）"
lively and cheerful,无
study abroad,[网络] 留学；出国留学；国外学习
part-time job,"un. 零星工作
"
rational thinking,理性思维
achieve one's ideal,无
believe in oneself,无
be self-important,无
talent market,无
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
medical treatment,[医] 麦克匪特斯氏疗法(缚橡皮绷带治疗静脉曲张性溃疡)
underestimate one's own capabilities,无
laid-off workers,[网络] 下岗工人；下岗职工
reemployment service center,无
general manager,"总经理
"
office worker,上班族
new staff,[网络] 新员工；新进员工；新教职员
working model,[机] 工作模型
excellent League member,无
paid vacation,带薪休假
the clients,无
according to Labour Law,无
serve the company wholeheartedly,无
contact the clients,无
introverted,"a. 内向型性格的, 内倾的"
liberal arts,文科
sciences degree,无
perceptual thinking,无
personal fascination,无
look forward to the future, 展望未来
modesty,"n. 谦逊, 质朴, 羞怯"
talent flow, 人才流动
take up an occupation,从事职业
bonus,"n. 奖金, 红利
"
industrial accident,
occupational disease,[经] 职业病
the jobless,na. 失业者
pre-employment and on-the-job training,无
skilled worker,
sophisticated operators,无
advanced worker,先进工作者
excellent Party member,无
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
chart,"n. 图表, 海图
vt. 制成图表
"
diagram,n. 图表；图解
line graph,[经] 线状图表
pie chart,n. 圆形分格统计图表
percentage,"n. 百分比, 比率, 部分, 可能性
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
go up,"上升, 兴建"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
level up,"通过提高来拉平
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
remain,"vi. 保持, 逗留, 剩余
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
be the same as, 同
similar to, 跟。。。类似得，与。。。同样的; 如同
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
graph,"n. 曲线图, 图表, 图形
"
bar graph,
column graph, [计]列图，柱形图
figures,"n. 图形, 图表；价格, 金额, 数字；规定动作；人物（figure的复数）"
statistics,"n. 统计学, 统计资料
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
decrease,"n. 减少, 减少量
v. 减少"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
level down,"拉平,降低"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluctuation,"n. 变动, 波动, 动摇
"
rise and fall,[经] (价格)涨落
up and down,"上下地, 到处"
by contrast,"对比起来, 与之相比, 相反地"
compared with,与…相比
likewise,"adv. 同样地, 也"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
rock bottom,"最低点
"
tendency,"n. 趋向, 倾向
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
mount to,[网络] 达到顶峰
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
significant changes,无
during the same period,无
unequally,adv. 不相等地；不公平地；不均匀地
in contrast,"比较起来, 相反地, 而"
on the contrary,"正相反
"
the highest,无
the top,"un. 头部
"
the summit,无
the peak,[网络] 山顶；太平山顶；最高点
the most,[俚语]最好；绝妙
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
prediction,"n. 预言, 预报
"
consist of,由...组成
be made up of,由...所组成
be composed of,由...组成
dramatic,"a. 戏剧性的, 生动的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
