maple,"n. 枫, 枫木, 淡棕色
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
retired,"a. 隐退的, 退休的, 退役的
"
exist,"vi. 存在, 生存, 发生"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
citizen,"n. 市民, 公民
"
nationality,"n. 国籍, 国家, 民族性
"
audience,"n. 听众, 观众, 读者
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
surfing,n. 冲浪运动
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
basis,"n. 基础, 主要成分
"
equipment,"n. 装备, 设备, 才能
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
to one's heart's content,尽兴地
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
defend,"vt. 防护, 辩护, 防卫
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
death,"n. 死亡
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
chart,"n. 图表, 海图
vt. 制成图表
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
adjustable,"a. 可调节的
"
available,"a. 可利用的, 可获得的, 有效的
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
response,"n. 反应, 回答, 响应
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
data,"pl. 资料, 数据
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
asthma,"n. 哮喘
"
lung,"n. 肺, 肺脏, 空地
"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
network,"n. 网络, 广播网, 网状物
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
disappear,"vi. 消失, 不见"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
die out,"熄灭, 平息, 消失"
sweaty,"a. 出汗的, 吃力的"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
am,"be的单数第一人称
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
opera,n. 歌剧
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
aspect,"n. 外观, 方面, 面貌, 方向
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
version,"n. 一种描述, 版本, 译文
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
exaggerated,"a. 夸大的, 夸张的, 言过其实的"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
technique,"n. 技巧, 技术, 方法
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
universe,"n. 宇宙, 星系, (思想等)范围"
backflip,"n. 后翻式；后滚翻；倒翻筋斗
vi. 后空翻；表演后空翻"
incredible,a. 难以置信的
dazzling,"a. 眼花缭乱的, 耀眼的"
energetic,"a. 精力充沛的, 积极的"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
on the edge of one's seat,[网络] 焦急地等待着；迫不及待；迫不及待的
emotion,"n. 情绪, 激动, 强烈的情感
"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
poetry,"n. 诗, 韵文, 诗歌艺术"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
tick all the right boxes,无
applaud,"v. 拍手喝彩, 称赞, 赞同"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
extremely,"adv. 极端地, 非常地"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
ballet,n. 芭蕾舞
absorbed,"a. 全神贯注的, 一心一意的
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
comedy,"n. 喜剧, 有趣的事情"
documentary,"n. 记录片
a. 文件的"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
put on,"na. 假话
"
appealing,"a. 有感染力的, 动人的, 恳求的"
definitely,"adv. 明确无疑地, 清楚地"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
arrangement,"n. 排列, 整齐, 安排
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
cinematic,"a. 电影的, 影片的"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
storytelling,"n. 说故事, 说谎话"
wonderland,"n. 奇境, 仙境, 非常奇妙的地方"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
disappointed,a. 失望的
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
live up to,"实践, 做到"
extent,"n. 范围, 程度, 区域
"
to some extent,在某种程度上
in one's own right,凭本身的头衔
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
fictional,"a. 虚构的, 编造的, 小说式的
"
awkward,"a. 笨拙的, 棘手的"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
absence,"n. 缺席, 缺乏, 没有
"
destination,"n. 目的地, 目标, 目的
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
indigenous,"a. 本土的, 国产的, 固有的
"
kangaroo,"n. 袋鼠
"
crocodile,n. 鳄鱼
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
profession,"n. 职业, 表白, 声明
"
previous,"a. 早先的, 前面的, 过急的
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
dramatic,"a. 戏剧性的, 生动的"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
volcano,n. 火山
embassy,"n. 大使馆, 大使馆全体人员
"
visa,"n. 签证
vt. 签发"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
luggage,"n. 行李, 皮箱"
currency,"n. 货币, 通货, 流通, 通用
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
credit card,
souvenir,n. 纪念品
cash,"n. 现金
vt. 兑现"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
café,无
soccer,n. 英式足球
continent,"n. 大陆, 洲
a. 自制的"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
deer,n. 鹿
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
poutine," 肉汁乳酪薯条（以软乳酪覆盖, 浇肉汁等食用）"
gravy,"n. 肉汁, 外快"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
due to,"由于, 应归于"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
fortunately,"adv. 幸运地, 幸亏"
extinction,"n. 消失, 消灭, 废止
"
attitude,"n. 态度, 看法, 姿势
"
devote,"vt. 投入于, 献身"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
hunting,"n. 狩猎, 猎狐, 探求
"
presentation,"n. 赠与, 描述, 介绍
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
damage,"n. 损害, 伤害
v. 损害"
drought,"n. 干旱, 缺乏"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
bulb,"n. 球茎, 电灯泡
"
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
carbon,"n. 碳, 副本, 复写纸
"
greenhouse,n. 温室
reusable,"a. 可以再度使用的
"
brochure,"n. 小册子, 小册"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
solar,"a. 太阳的, 日光的, 源自太阳的
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
smog,"n. 烟雾
"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
infection,"n. 传染, 影响, 传染病
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
permission,"n. 许可, 允许
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
majority,"n. 多数, 大半
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
amount,"n. 总数, 总额
vi. 总计, 等同"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
stand-by,"支持, 遵守, 袖手旁观, 准备行动
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
appliance,"n. 器械, 用具, 应用
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
take ... into account,"na. 考虑
"
litre,"n. 升, 公升
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
