time-out,n. [体]暂停比赛时间; [计]超时
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
activity,"n. 活动, 行动, 活跃, 活力
"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
unique,"a. 独一无二的, 独特的, 稀罕的"
categorize,"vt. 分类, 归类"
everyday,"a. 每天的, 日常的, 平常的"
immediate,"a. 立即的, 直接的, 接近的
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
consequence,"n. 结果, 重要性
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
attention,"n. 注意, 注意力
"
immediately,"adv. 直接地, 立刻, 立即"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
mid-term,[法] 中期
long-term, 长期的
lab,"n. 实验室, 研究室
"
part-time,n. 兼任，部分时间
crucial,"a. 决定性的, 重要的, 严厉的
"
reevaluate,"v. 再评估, 再评价"
revisit,"vt. 再访, 重游, 重临
n. 再访问"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
"ready, set, go",[网络] 准备出发；就定位，预备，开始；准备好就开始吧
put off,"na. 延期；辩解
"
be set in stone, 一成不变的，不可更改的
take a back seat to,占次要地位，居…之后，屈居人下
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
right away,立刻
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
check off,"na. 查讫；记上查讫记号
"
based on,[计] 基准样式
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
make sense,有意义
messy,"a. 散乱的, 污秽的, 麻烦的"
constantly,"adv. 不变地, 不断地, 时常地"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
bold,"a. 大胆的
n. 粗体
"
require,"vt. 需要, 命令, 要求
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
excellent,"a. 优良的, 杰出的, 出色的"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
death,"n. 死亡
"
withdrawn,withdraw的过去分词
ashamed,"a. 惭愧的, 羞耻的"
Christmas,[网络] 圣诞；基督的弥撒
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
clumsily,"adv. 笨拙, 粗陋, 不漂亮"
grocery,"n. 食品杂货店, 食品杂货业"
rhinestone,n. 莱茵石
bracelet,"n. 手镯
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
laughter,"n. 笑, 笑声
"
exclaim,"v. 大叫, 呼喊, 大声叫"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
wrist,"n. 手腕, 腕关节
"
mom,n. 妈妈
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
bachelor,"n. 单身汉, 学士
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
Dr.,"abbr. （书写形式）医生；（用于街道名）路
n. 【摄】动态范围
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
in front of,在...前面
take delight in,乐于
take steps,[经] 采取措施
by now,到目前为止
be ashamed of oneself,为自己感到害臊
take pains,"尽力, 耐心"
take pains to do sth., 费劲苦心做某事
pay attention to,注意
come alive,"活跃, 看上去象真的"
go by,"走过, 依照, 顺便走访"
at times,"有时, 不时"
a couple of,"一对..., 三两个..."
believe in,"信仰, 信任"
make a difference,"有区别,有很大关系"
ranch,"n. 大牧场
v. 经营牧场"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
itinerant,"a. 巡回的
n. 巡回者"
trainer,"n. 训练员, 驯马师
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
continually,"adv. 不断地, 频繁地"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
diagram,n. 图表；图解
acre,n. 英亩
location,"n. 位置, 场所, 特定区域
"
unrealistic,"a. 不切实际的, 幻想的"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
reconsider,"v. 再考虑, 重新考虑"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
fireplace,n. 壁炉
stealer,"n. 偷取者, 偷干者, 僭据者
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
fortunately,"adv. 幸运地, 幸亏"
gumption,"n. 通情达理, 精明能干, 进取精神, 勇气, 主动性, 常识
"
put on,"na. 假话
"
go back to,回去
grow up,"成熟, 成年, 发展, 逐渐形成"
in detail,详细地
put one's heart into,一心扑在…上，对…全力以赴
a great deal of,很多的
hand in,"na. 交进
"
hand in to sb.,扶…进去;扶…上(车)
no way,"无论如何也不,决不"
there is no way,[网络] 这不可能；没有可能；毫无办法
make up one's mind,"下决心, 接受, 承认"
make up one's own mind,无
turn in,"v. 向里弯曲
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
camp out,野营
something of a,"有…的味道,有点像…"
give up on, 不再相信，不再信任
no matter what, 无论如何，不管怎样
customer,"n. 消费者
"
customer-care,[网络] 客户关怀；客户服务；顾客关怀
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
complaint,"n. 诉苦, 抱怨, 控诉
"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
crazy,"a. 发狂的, 狂热的"
tradition,"n. 传说, 传统, 交付
"
ice cream,"冰淇淋
"
dessert,n. 餐后甜点
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
whenever,"conj. 每当
adv. 不论何时, 每逢"
understandably,"adv. 可懂, 可了解, 可理解"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
latter,"a. 后者的, 较后的, 近来的"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
obviously,"adv. 显而易见地, 明显地"
well-educated,"adj. 受过良好教育的
"
chocolate,"n. 巧克力
a. 巧克力制的"
strawberry,n. 草莓
allergic,"a. 对...过敏的, 极反感的
"
jot,"n. 少量, 稍许
vt. 略记, 摘要记载下来"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
data,"pl. 资料, 数据
"
forth,"adv. 往前, 以后, 向外"
etc.,[网络] 电子检验中心
flavor,"n. 滋味, 调味品
vt. 加味于"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
considerably,"adv. 非常地, 很, 颇"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
vapour,"n. 汽, 蒸气
vi. 蒸发, 吹牛
vt. 使蒸发, 使汽化"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
sufficiently,"adv. 足够, 充分"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
solution,"n. 解决, 解答, 溶液
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
vote on,"投票决定某事,表决某事"
sure enough,"果然, 果真"
take notes,作笔记
jot down,"v. 草草记下
"
back and forth,来回地
come up with,"赶上, 提出"
cool down,"变凉, 平静下来
"
eve,"n. 前夕, 前夜"
bestseller,n. 畅销书
positive,"a. 肯定的, 积极的, 有把握的
"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
deserve,"vt. 该得到, 值得
vi. 应得报答"
ministry,"n. 部, 内阁, 服务
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
confidence,"n. 信心
"
sermon,"n. 说教, 启示, 布道"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
remind,"vt. 提醒, 使想起"
lousy,"a. 污秽的, 恶心的, 生虱的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
thinker,"n. 思想者, 思想家"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
frequently,"adv. 频繁, 经常地"
presentation,"n. 赠与, 描述, 介绍
"
evident,"a. 显然的, 明显的"
downtrodden,"a. 被蹂躏的, 受压制的"
naturally,"adv. 自然地, 以自然力, 天生地"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
reside,"vi. 住, 居留, 属于
"
determine,"v. 决定, 决心"
cemetery,"n. 墓地, 公墓
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
jeopardy,"n. 危难, 危险
"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
pray,"v. 祈祷, 恳求, 请"
Lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
nothing but,只
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
in fact,"事实上
"
rather than,与其...不如...
as quickly as possible,adv. 尽快地
set off,"na. 分；分割；划开；区划
"
be fed up with,"饱受,厌烦"
get rid of,"摆脱, 除去"
turn a deaf ear to,置若罔闻
as far as I could determine,无
in perspective,"正确地, 显示在脑海中, 符合透视法地"
in jeopardy,处于危险中
on the way out,即将灭亡
get on one's knees,跪下；屈膝(乞求、恳求、祈祷等)
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
extremely,"adv. 极端地, 非常地"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
glucose,"n. 葡萄糖
"
cell,"n. 单元, 细胞, 电池
"
digestion,"n. 消化力, 领悟
"
pancreas,"n. 胰腺
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
insulin,"n. 胰岛素
"
properly,"adv. 适当地, 相当地"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
symptom,"n. 症状, 征候, 征兆
"
drastic,"a. 激烈的
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
untreated,[化] 未经处理的
disastrous,"a. 损失惨重的, 悲伤的"
damage,"n. 损害, 伤害
v. 损害"
kidney,"n. 肾, 个性
"
vessel,"n. 船, 容器, 脉管
"
treatable,"a. 好对付的, 能处理的, 能治疗的"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
inject,"vt. 注射, 注入, 使入轨
"
blood-sugar,[医] 血糖
hormone,"n. 荷尔蒙
"
addition,"n. 加法, 增加的人(或物)
"
carbohydrate-rich,无
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
rely,"vi. 信赖, 依赖, 信任"
diagnose,v. 诊断
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
awareness,"n. 意识, 认识
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
shape up,"成形, 形成, 顺利发展"
quite a," <尤美, 常褒>不寻常的"
be about to do sth., 即将做某事
not feel oneself,无
at first,起先
be to blame,该受责备
break down,"v. 分解；抛锚；分析；划分
"
keep sth. under control, 压；把持；律
in addition,另外
such as,"例如..., 像这种的"
rely on,"依赖, 依靠"
come a long way,"远道而来;取得进展,明显好转"
slow down,(使)慢下来
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
golf,"n. 高尔夫球
vi. 打高尔夫球"
tennis,n. 网球
volleyball,n. 排球
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
construction,"n. 建筑, 构造, 建筑物
"
engaged,"a. 忙碌的, 使用中的"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
fiancéé,无
passenger,"n. 乘客, 旅客
"
passenger seat, 旅客席
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
belt,"n. 带子, 地带
"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
abutment,"n. 邻接, 接界, 桥台
"
eject,"vt. 逐放, 放逐, 喷射
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
ambulance,"n. 救护车
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
quadriplegic,"n. 四肢瘫痪者
a. 四肢瘫痪的"
triceps,"n. 三头肌
"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
athletic,a. 运动的
competitive,"a. 竞争的
"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
bedside,"n. 床边
a. 床边的, 临床的"
darken,"vt. 弄暗, 使模糊
vi. 暗下来, 颜色变深"
professional,"n. 专业人才
a. 专业的, 职业的"
miracle,"n. 奇迹, 奇事"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
association,"n. 协会
"
audience,"n. 听众, 观众, 读者
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
entrepreneur,"n. 企业家, 主办人
"
administration,"n. 行政, 管理, 政府机关
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
comeback,"n. 复原, 复辟, 复位, 尖刻的对答, 抱怨的原因
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
fateful,"a. 宿命的, 重大的, 决定性的"
scuba-dive,n. 水肺潜水
parasail,"n. 帆伞,滑翔伞"
ski,"n. 滑雪橇
vi. 滑雪"
wheelchair,n. 轮椅
marathon,"n. 马拉松, 耐力的考验"
circumstance,"n. 环境, 状况, 事件"
head for,"出发, 动身, 前往"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
at the wheel,"驾驶,掌舵;指挥,控制"
come to a stop,停止
come true,"实现, 成为事实"
take care of,"照顾
"
as far as I know,就我所知
of record,有案可查的
let go of," 释放, 放开"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
salmon,"n. 鲑鱼, 大麻哈鱼
"
first-aid,"急救
"
karate,n. 空手道
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
wading pool,浅水池
neighboring,"a. 附近的, 邻近的, 邻接的"
neighbouring,"a. 邻近的, 接壤的, 附近的
"
apartment,"n. 房间, 公寓"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
rescue breathing,人工呼吸
vomit,"vt. 吐出, 呕吐
vi. 呕吐
n. 呕吐, 呕吐物, 催吐剂"
paramedic,"n. 伞兵军医, 伞降急救人员"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
appropriate,"a. 适当的
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
harmful,"a. 有害的, 伤害的"
ingest,"vt. 摄取, 咽下, 吸取"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
preparation,"n. 准备, 预备, 预习
"
well-stocked,[经] 存货丰富的
kit,"n. 装备, 工具箱, 成套工具
"
warning,"n. 警告, 预告, 预兆, 通知
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
community,"n. 社区, 公众, 共有, 共同体
"
situation,"n. 情形, 境遇, 位置
"
extensive,"a. 广的, 广泛的, 多方面的
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
mishap,"n. 不幸之事, 灾祸, 恶运"
illness,"n. 疾病, 恶意
"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
ER,"int. 嗯
abbr. 【化】元素铒的符号(=emergency room)急救室
"
indigestion,"n. 消化不良
"
sudden,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
routinely,"adv. 日常, 乏味, 常规, 例行"
heartburn,"n. 胃灼热, 心痛, 妒忌
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
