abandon oneself to,沉溺于
book in,"v. 预定旅馆房间
"
border on,接壤
bounce back, 受挫折后恢复原状; 回声; 卷土重来
box in,"na. =box up.；【赛马】阻拦(他马)
"
branch out,"长出枝条, 扩展范围"
break away,"突然离开, 脱离, 放弃"
break down,"v. 分解；抛锚；分析；划分
"
break even,"并列起跑, 得失相当
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"破门而入, 侵占
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's heart,(使某人)伤心，(使某人)悲痛欲绝；(使某人)伤心而死
break the ice,打破沉默
break through,"突围, 突破
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
brim over with,满溢
bring about,"na. 造成；带来；【航】(使船)回转
"
bring around,na. 说服；〈口〉使恢复知觉
bring round,na. 说服；〈口〉使恢复知觉
bring back,"na. 送回；使恢复；使回忆起
"
bring down,na. 降低；击落；削减；使落下
bring forth,使产生
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring ... home to,"v. 证明
"
bring into play,"na. (充分)利用；使活动
"
bring off,"na. 办完；(从失事船只上)救出
"
bring on,"na. “bring forward”的变体
"
bring out,"na. 公布；说出；出版；上演
"
bring the house down,博得满堂喝彩
bring through,救活
bring to ...,"na. 使恢复知觉；【航】使停船
"
bring to justice,[网络] 使归案受审；绳之以法；移送法办
bring to life,"na. 使苏醒
"
bring to light,"na. 暴露；揭露
"
bring up,"na. 抚养；教导；教育；在…长大
"
bring up the rear,殿后
bring into effect,"实现, 实施"
carry into effect,"实行, 实现
"
put into effect,"使生效, 执行...
"
bring into operation,[化] 投入运转
put into operation,"使生效
"
bristle with,充满
brush aside,"扫除, 漠视"
brush off,"na. 刷去；打发走；摒弃；逃掉
"
brush up,"刷干净, 复习, 提高
"
buck up,"na. 振作精神；鼓励；打起精神来!
"
budget for,为…作预算
build in,"na. 加入；埋入；围以(房屋,围墙等)
"
build into, 使成为…的一部分
build up,"树立, 增进, 增大, 堵塞
"
bump into,偶然遇见
bundle up,"na. 同“bundle”
"
burn down,"烧成平地, 火力减弱
"
burn out,"烧坏, 烧掉, 烧尽
"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
burst out,"闯出来, 大声喊, 突发"
buy into,出钱入(某组织或企业)
buy off,na. (用贿赂)收买；用钱疏通
buy out,na. 出钱使某人出让地位
buy up,"na. 囤积；整批收购；购进(其他公司)
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"na. 招；叫进；引入；调入
"
call in question,[经] 提出异议
call into question,[网络] 质疑；使……受到质疑；怀疑
call it a day,"收工, 当天的工作干完了."
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
call out,"召唤...行动, 唤起, 大声叫唤"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"平静下来, 镇定下来"
campaign for,竞选…
can not help, 不得不
could not help,"v. 不得不
"
care for,"喜欢, 照顾, 为...操心, 尊重"
carry forward,"na. 推进；发扬；结转；使进行
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
carry over,"na. 贮存(货物等)供下季供应；将(账目等)结转(次页)
"
carry through,"na. 完成(计划等)；坚持到底
"
carry weight,"重要, 有影响"
carve out,开辟
carve up,"na. 切成几份
"
cash down,"即其付款
"
cash in on,"靠...赚钱, 乘机利用
"
cast about,"搜索, 想方设法"
cast about for,四处寻找，设法找到；设法；筹划
cast around, 寻找
cast around for,＝ cast about (for)
cast aside,"na. 抛弃
"
cast off,丢弃
cast out,驱逐
cast lots,抽签
draw lots,抽签
catch fire, 着火着火; 失火; 发火; 走水
catch at,"试图抓住, 死命抓住"
catch on,"变得流行, 理解, 明白"
catch one's breath,"喘息, 屏息"
catch out,"na. 接住球使击球员退出；看破
"
catch sight of,瞥见
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,赶上
catch hold of,抓住
get hold of,"抓住, 得到"
take hold of,握住
chance on,偶然发现
chance upon, 偶然发现[遇到]; 碰见
change one's mind,"改变主意
"
change over," （使）改变, （使）变换; 调换; 掉期"
charge sb. with sth.,"na. 托付；使负…的罪名；使受…的责备
"
cheat on, 对…不忠实; 作弊
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
choke up,"塞住, 噎住, 阻塞"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear up,"na. 整顿；说明；(天气)转晴
"
close down,"关闭, 歇业, 停止播音"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
come into effect,"开始生效
"
go into effect,"生效,开始实施"
come about,"发生, 改变方向"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come apart,"分开, 分裂"
come around,"来, 前来, 过访, 顺便来访, 笼络, 诱骗"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come between,"在...中间, 离间"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down to,"流传下来;压缩为,归结为,简化为"
come in,"进来, 到达, 流行起来, 当选, 到手
"
come in for,"遭到, 受到"
come into,"得到, 继承
"
come into being,"形成, 产生"
come into one's own,"得到自己该得的东西, 盛行起来
"
come into play,开始活动
come off,"发生, 举行, 表现, 结果"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to,"谈到, 被...继承, 苏醒, 停止"
come to blows,开始互殴
come to life,苏醒
come to no harm, 没受伤，没有受到损害
come to one's senses,"苏醒过来, 醒悟"
come to terms,"达成协议, 妥协, 让步
"
come true,"实现, 成为事实"
come under,"归入, 遭受"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
come up against,突然碰到
come up for,"na. 到…时候了
"
come up to,"达到, 等于"
come up with,"赶上, 提出"
come to a close,结束
draw to a close,渐近结束
come into operation,[法] 开始实施
go into operation,"生效, 开始工作"
commit a crime,犯罪
confide in,信任
cook up,"v. 伪造
"
cool down,"变凉, 平静下来
"
cool off,"变凉, 平静下来"
cope with,"与...竞争, 应付, 处理"
count down,"倒读数, 用倒数方式计算
"
count in,"na. 算入
"
count on,"依靠, 指望"
count upon,仰赖
count out,"na. 一面数一面取出；一面数一面分开；除开
"
count up,"把...加起来, 共计"
cover for,代替
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
cry out,大声呼喊
cry out for,哭嚷着要求得到；恳求；迫切需要；因…而哭
curl up,卷起
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
dash off,na. 飞出；急忙离开；一气写成
date back, 回溯至
date from, 始于
dawn on,被理解
deal in,"na. 买卖(货物)；办理；经营
"
deal with,"安排, 处理, 涉及, 做生意"
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
die away,"熄灭, 平息, 消失"
die down,"枯萎, 凋谢"
die of,"死于…,因…而死"
die out,"熄灭, 平息, 消失"
dig in,"na. 挖进；戳进；苦学；坚持主张
"
dig out,na. 挖出；查出(事实)；〈美口〉慌慌忙忙走开
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
dip into,"浏览, 稍加研究"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
do away with,"废除, 弄死"
do for,"na. 帮助；适合做；除掉；毁掉
"
do justice to,"公平对待, 适当处理"
do one's best,尽全力
try one's best,尽力
do one's bit,尽自己的一份力量
do one's share,无
do one's utmost,竭力
do sb. good,"v. 有益
"
do the honors," 尽地主之谊, 招待宾客"
do with,"与...相处, 忍受, 对付"
do without,没有...也可以
double up,"把...对折, 弯曲, 同宿一室"
doze off,不知不觉地睡着了
drag on,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
drag out,"na. “drag on”的变体
"
draw in,"收缩, 引诱, 接近黄昏, 紧缩开支"
draw into,"v. 诱使参加
"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
draw out,"na. 抽出；拔出；掏出；提出
"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive at,意指
drive away," 驱车离开; 把…驱开, 赶走; 祛"
drop by,随便访问
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
"
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
ease off,"放松, 缓和, 减轻"
ease up,"放慢, 缓和, 减轻"
end in,以...为结果
end up,"竖着, 结束, 死"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
"
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
face up to,勇敢地面对
fall apart,"崩溃, 土崩瓦解"
fall away,"消瘦, 背离, 离开, 消失, 倾斜"
fall behind,"落在后面, 拖欠"
fall for," 上当, 听信; 爱上"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall on,"落在…之上;攻击,袭击"
fall upon," 开始行动, 进攻"
fall out,"脱落, 离队, 争吵, 结果是
"
fall prey to,[网络] 成为……的牺牲品；深受…之害；受害
fall short of,"没有达到标准, 不够, 不足"
fall through,"失败, 失约"
fall to,"着手干, 开始进食"
fight back,"抵抗, 回击"
fight off,"击退, 排斥, 避免"
figure out,"合计为, 计算出, 明白"
fill in,"na. 填充；填写；同“fill”
"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fill up,"na. 同“fill”
"
find fault with,"挑剔,指责,对…吹毛求疵"
find out,"na. 查出；发现；看清…的面目；识破
"
finish up,"结束, 完成, 用光"
fish for,摸索寻找
fit in with,"适合, 适应, 与...一致"
fit into,适合
fix on,"确定, 决定"
flick through,"浏览,翻阅"
follow through,坚持到底
follow up,"v. 把…探究到底；回答
"
fool about,"闲荡, 玩弄"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
foul up,"弄脏, 污染, 搞糟"
gain ground,"前进, 发展, 普及"
gain on,"逼近, 超过, 侵蚀"
gear up,"使换快档, 促进, 增加"
get about,"走动, 旅行, 传开, 积极参加社会活动"
get ahead,"领先, 走在前面, 进步, 获得成功"
get along,"生活, 融洽相处"
get around,"病后能够走动, (非正式)旅行, 传开来"
get round,"避免, 说服, 走动, 传开来"
get at, 得到; 找到; 责备; 暗示
get away,"离开, 逃脱, 起跑, 出发"
get back to,"回到…,继续…"
get by,"通过, 混过"
get down to business,"开始做正经事,言归正传"
get even with,偿还债务；向(某人)报仇；报复(某人)
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get nowhere,无进展
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get off the ground,"开始, 取得进展"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get on sb.'s nerves,无
get on with, 继续（干某事）; 和…友好相处
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
get through,"做完, 通过, 度过"
get together,"聚集, 收集, 积累"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to,产生
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give over to,"v. 把…留作；专用为鳡
"
give rise to,"引起, 使发生"
give up,"na. 放弃；断绝；投降；自首
"
give way,"撤退, 让路, 退让, 屈服, 倒塌, 跌价, 垮掉
"
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go ahead,前进
go along,"前进, 进行"
go along with,"陪...一起去, 赞同, 附和"
go around,"漫步,闲逛,绕圈子"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go at,[网络] 职业倾向标准测试考卷
go away,走开
go back on,"违约, 背弃"
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go for,"去找, 努力获取, 被认为, 主张, 拥护"
go in for,"参加, 追求, 从事, 赞成"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go into details,详细叙述，详述，详细说明，逐一说明，深谈
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go out of business,歇业
go out of one's way,"特地, 不怕麻烦, 故意"
go over,"转变, 仔细检查, 润色, 复习"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go to court,"起诉, 见君主
"
go to extremes,走极端
go to pieces,"瓦解, 身体垮掉"
go under,"死, 失败, 屈服, 破产"
go up,"上升, 兴建"
go wild,"兴奋,高兴,发疯"
go with,"伴随, 与...相配"
go without,没有也行
go without saying,理所当然
go wrong,"走错路, 出毛病, 失败"
grind on, 坚定地、无情地向前移动
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
grow into,"长成,发展成为"
grow out,"长出来,向外增大,膨胀"
grow out of,"长得与...不相称, 因长大而丢弃"
grow up,"成熟, 成年, 发展, 逐渐形成"
guard against,"预防,使提防"
hack into, 侵入（别人的电脑系统）
had rather,"宁愿,宁肯…"
had ... rather than,"与其...不如..., 宁愿...不愿..."
would rather,"倒愿意…,宁愿…"
would ... rather than,"宁愿,与其…不如…"
hail from,来自
hammer away at,不断地做
hammer out,"na. 苦心想出；推敲出；敲出(音调等)；锤薄
"
hand back,"v. 归还
"
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand on,"把...传下去, 传递下去, 发放"
hand out,"na. 分；拿出来；施舍
"
hand over,交出；移交
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
hang on,"v. 坚守；守住；坚持；支撑着
"
hang on to,紧紧握住
hang together,"结合在一起, 符合"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
have a bearing on,对…有影响;与…有关
have an effect on,(对…)有影响〔产生效果〕
have in mind,"na. 记住；铭记不忘；注意
"
hinge on,"靠...转动, 以...为转移"
hinge upon,vi. 随……而定
hit back,"反击,击退"
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold fast to,紧紧抓住; 坚持(某种思想或原则等)
hold forth,"滔滔地说, 提供"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on,"继续, 不挂断, 停止"
hold one's breath,屏息
hold one's own,坚持住
hold out,"na. 伸出；提出；维持；制止
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold together,"na. (使)团结在一起
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold with,"赞同, 容忍"
hook up,以钩钩住
hung up, 念念不忘的; 过于担心的; 过分介意的
hush up,"na. 掩盖
"
improve on,改进
improve upon,vt. 改进
inquire after,问候
inquire into,调查...
join hands,"会战,合作,联合行动"
join in,"参加, 加入"
join up,"参军, 联合起来"
join up with,汇合
jump the queue,"插队, 获得优惠待遇"
jump a queue,无
keep a secret,保守秘密
keep abreast of,保持与...并列
keep an eye on,"照看, 密切注视"
keep at,"na. 纠缠；坚持地做
"
keep at a distance,"un. 保持一定距离
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep in touch,保持联络
keep off,"让开, 不接近"
keep on,na. 继续；穿
keep one's fingers crossed,希望走好运〔成功〕
keep pace with,"并驾齐驱, 齐头并进"
keep to,"v. 坚持；固守
"
keep track of,了解
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
key in,"un. 插上；键入
"
kick in, 向里踢进去; 踢坏; <非正>缴付
kick off,"踢脱, 中线开球"
kick out,"na. 踢出；解雇；踢足球出界
"
kick up,"踢起
"
kill two birds with one stone,一箭双雕;一石二鸟
knock about,n. 武打戏的表演
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock out,"na. 敲出；敲空；使屈服；使无用
"
knock over,"na. 弄倒；屈服；死；逮捕
"
lack of, 缺乏
lash out at,"痛打,狠揍;痛斥,攻击"
laugh at,"嘲笑, 漠视, 因...发笑"
laugh off,"v. 对…一笑置之
"
launch into,"开始,着手,投入;大谈特谈,侈谈,大发"
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay claim to,"要求, 坚持对...的所有权, 自以为"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay on,"na. 发(命令)；挥鞭等；涂(颜料等)；加给
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay over,"覆盖, 胜过, 使延期"
lay up,"贮存, 搁置, 卧床
"
lead up to,"带到, 导致, 作为...的准备"
lean on,靠着
leave alone, 置于不顾
leave behind,"na. 遗留；留下；追过；留在后头
"
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
lend sb. a hand,"na. 帮忙；参加；帮助
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let go of," 释放, 放开"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,[网络] 阿尔都塞思想的全部整体
let slip,"na. 落下；不当心泄漏；【数】画(垂线等)
"
let up,"减小, 停止"
level off,"平整, 变平, 稳定"
level out,"把...弄平, 整平, 持平, 达到平衡, 稳定, (飞机)水平飞行"
lie behind,位于…之后; 留在…的后头; 是…的原因; 存在于过去; 已成为往事
lie down,躺下
lie in,"在于..., 分娩, 睡懒觉"
light on,"飞临,栖息于;偶然碰见,无意中发现"
light up,"开始吸烟, 发亮, 露喜色
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
live a lie,做人虚伪
live off,"以...为食料, 靠...生活"
live on,"继续生活, 以...为主食, 靠...生活"
live out,"活过(某一段时间), 住在外面"
live through,"度过, 经受过"
live up to,"实践, 做到"
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
lock in,"na. 关起来；锁在里面
"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,[计] 注册
log out,[计] 注销
look ahead,"向前看, 着眼未来"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look round,"环顾, 观光, (事先)进行全面考虑"
look at,"看, 考虑, 着眼于"
look back,"回顾, 三心二意
"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look in,"看望
"
look into,"窥视, 浏览, 观察
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"观看, 旁观, 看待"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
"
look sth. up,"v. 查找；查阅；探望；看望
"
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look to,"照看, 注意, 指望"
look up,"v. 查找；查阅；探望；看望
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
look upon," 看作, 显得不错; 看待"
lose heart,丧失勇气
lose one's temper,发脾气
lose oneself in,"在…中迷路了;对…入迷,专注于…"
lose sight of,"不再看见, 忽略, 忘记"
lose track of,失去线索
make a difference,"有区别,有很大关系"
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a fuss of,"使倍受注目,对…过分体贴"
make a fuss over,过分关心(或体贴)
make a point of,"强调,重视,特意…,认为有必要…,坚持要…,决心做…"
make a thing of,"认为…不得了,对…小题大作"
make a thing out of,对 ... 小题大做
make allowances for,"[法] 体谅, 顾及"
make believe,"假装
"
make for,"走向, 有利于, 倾向于"
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make into,"na. 制成；使转变为
"
make it,"及时抵达, 做成"
make no bones about,"对...毫不犹豫
"
make of ...,"na. “make certain”的变体
"
make off,离开
make one's way,"前进, 行进, 成功, 发迹"
make out,"na. 理解；发现；起草；证明
"
make peace,讲和
make sense,有意义
make sure,确定
make the best of,充分利用
make the most of,尽量利用
make up,"na. 弥补；起草；定；签订
"
make up for,"补偿,弥补"
make up one's mind,"下决心, 接受, 承认"
make use of,使用
make way,"na. 进步
"
map out,"na. 规划
"
mark down,"记下, 标低价格
"
mark off,划分出
mark up,"把...标出, 标高价格
"
mean business,当真
measure up,合格
meet with,"偶遇, 遭受"
mend one's ways,"改过
"
mess about,"na. 磨洋工；闲荡
"
mess around,"na. 浪费时间；混(日子)；乱管闲事
"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
"
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
miss out,"省掉, 遗漏, 漏述"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mop up,na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃
move around, 走来走去
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move in on,"潜近..., 企图夺取(某物), 企图从(某人)处夺取东西"
move on,继续前进
move up,"向前移动, 上升
"
mow down,"v. 杀死；扫杀
"
nail down,"v. 钉牢；约束
"
nose about,"打听,探听,刺探"
nose around,=nose about
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,对...施手术
own up,坦白
pack away,"na. 解雇；慌慌张张走掉
"
pack in,"na. 停止
"
pack off,"na. “pack away”的变体
"
pack up,"打包, 整理, 收工, 结束"
part company with,与…断绝关系; 跟…离别; 跟…意见不合
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass off as,"冒充成;诈称为;把…假装成…：

He passed himself off as a wealthy man.
他把自己装成一个有钱的人。"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass over,"忽略, 省略, 不加考虑, 转交"
pass up,"na. 绝交；放过；不理；上
"
pay attention to,注意
pay back,"na. 偿还；报答；向…报复；付还
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay out,"na. 还(债)；放出(绳子)；痛加责罚；〈美〉赚到钱
"
pay up,"全部付清, 按时付款, (在勒索下)出钱
"
peel off,"飞机离队俯冲目标, 飞机离队降落"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
pick at,"扯拉, 抓弄, 少量地吃, 对...唠叨指责"
pick on,"作弄, 惹恼, 找...的岔子, 选中, 总是挑剔
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick to pieces,"na. 拆开；扯碎；〈比喻〉刻薄批评
"
pull to pieces,"na. 扯碎；批评得一文不值
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"堆积, 积累, 搁浅, 撞毁"
pin down,na. 强迫(人)承认
pitch in,"投入, 动手干, 作出贡献"
plan on,打算
play a part in,"在…中扮演角色,在…中起作用"
play at,"参加(体育活动、比赛等), 假装, 戏弄, 敷衍"
play back,"na. 回到三柱门方面
"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
"
play off,"使出丑, 延长比赛以破平局, 使相斗, (用欺骗手段)使...脱手"
play off against,完成同其他优胜者的平分比赛; (使)相互争斗以坐收渔利
play on,"继续比赛, 利用"
