afternoon,"n. 午后, 下午"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
trainer,"n. 训练员, 驯马师
"
T-shirt,"短袖运动衫,短袖汗衫"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
angry,"a. 生气的, 愤怒的"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
big,"a. 大的, 重要的
adv. 大量地"
but,"prep. 除了
conj. 但是
adv. 仅仅"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cycle helmet,[网络] 骑行头盔
eleven,"num. 十一, 十一个"
eighteen,"num. 十八, 十八个"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
fifteen,"num. 十五, 十五个"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
fourteen,"num. 十四, 十四个"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
nineteen,"num. 十九, 十九个"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
sad,"a. 忧愁的, 悲哀的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
seventeen,"num. 十七, 十七个"
she,pron. 她
Sit down.,"坐下, 占据, 参加静坐罢工(或示威)"
sixteen,"num. 十六, 十六个"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
sorry,"a. 难过的, 悲哀的, 遗憾的"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
Stand up.,"na. 站起来；持久；露头角；〔美俚〕背约
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
stupid,"a. 愚蠢的, 麻木的"
thirteen,"num. 十三, 十三个"
tired,"a. 疲累的, 疲乏的, 厌倦的"
twelve,"num. 十二, 十二个"
twenty,"num. 二十, 二十个"
we,pron. 我们
bad,"a. 坏的
n. 坏
adv. 坏地"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
breakfast,n. 早餐
bus,"n. 公共汽车
"
cola,"结肠, 冒号, 科朗
"
cornflakes,n. 玉米片
for,"prep. 为, 因为, 至于
conj. 因为
"
friend,"n. 朋友, 支持者, 赞助者
"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
noodles,"n. 面条, 挂面（noodle的复数形式）"
popcorn,n. 爆米花
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
tummy,"n. 胃, 肚子"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
congratulations,"n. 祝贺词, 祝贺语"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
everybody,"pron. 每个人, 人人"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
hair,"n. 头发, 毛发, 些微
"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
Mr,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mrs,n. 先生
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
they,"pron. 他们, 它们"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
Turkey,"n. 火鸡, 无用的家伙, 土耳其"
alarm clock,闹钟
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
car,"n. 汽车, 客车
"
cheese,"n. 乳酪
"
chips,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
clown,"n. 小丑, 乡下人"
for,"prep. 为, 因为, 至于
conj. 因为
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
grass,"n. 草, 草原, 牧场
"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
July,n. 七月
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
postman,"n. 邮递员
"
ranger,"n. 王室守林人, 骑警, 漫游者"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
spaghetti,n. 意大利面条
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
turn off,"v. 关掉
"
