acrobatics,"n. 杂技, 杂技表演"
fitted clothes,无
ill-fitted clothes,无
sleeved garments,无
sleeveless garments,无
made-to-order clothes,无
machine-made clothes,无
handmade clothes,无
holiday attire,无
single-coloured clothes,无
dress style,穿衣风格
latest fashion,"un. 最时新花样
"
fashionable clothes,无
shoulder pad, 轴肩衰减器
collar button,[美国英语]领扣
V-neck,"n. V 形领口
"
U-neck,无
Peter Pan collar,[网络] 小圆领；学院风彼得潘小圆领；彼得潘领
Peter pan,"天真而不懂事的成年人,大孩子,老顽童"
boat neck, 一字领
patent-leather shoes,黑漆皮鞋
sports shoes, 运动鞋
canvas shoes,帆布鞋
tennis shoes,网球鞋，跑鞋
step-in,"走进, 干涉, 作短时间的非正式访问"
flat heels,无
high heels,n. 高跟鞋
dancing club,无
express emotions,无
share same interest,无
take some dishes,无
have a picnic,"吃野餐,去野餐"
go camping,去野营
join clubs,无
baseball clubs,[网络] 俱乐部
basketball clubs,无
badminton clubs,无
painting clubs,无
join relaxation clubs,无
sports clubs,无
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
jewelry,"n. 珠宝, 珠宝类"
have patience, 耐烦
car model,[网络] 车模；车型；汽车模型
butterfly specimens,无
background knowledge, 背景光补偿；背理测验；背景知识
sense of achievement, 成就感
ancient coins, 古钱
perfume bottles,无
stuffed animals,[网络] 填充动物玩具；填充玩具；毛绒玩具
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
energy,"n. 精力, 精神, 活力, 能量
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
mystery,"n. 秘密, 神秘, 奥秘"
yellow,"n. 黄色
a. 黄色的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
routines,"n. 日常生活；日常活动；常规, 惯例（routine的复数）"
cultural differences,文化差异
local language,[网络] 本地语言；当地语言；乡土语言
cultural shock,文化冲击
ballet,n. 芭蕾舞
body shaking,身振摇
sway the body,无
have a good figure,无
special training,专业训练;特殊训练
arm movement, [体]收臂动作
dance of Xinjiang,无
Song-and-Dance Duet,无
pole dance,[网络] 钢管舞；美女们的钢管舞；钢管艳舞
fan dancing,无
waist drum dance,无
dance in Tang Dynasty,无
hip-hop,n. 希普霍普
graceful dance,无
modern dance, 现代舞
folk dance,民间舞蹈
ballroom dance," 交际舞, 交谊舞"
solo dance, 独舞；单人舞
yangko dance,无
rumba,"n. 伦巴舞
vi. 跳伦巴舞"
samba,"n. 桑巴舞
vi. 跳桑巴舞"
tango,"n. 探戈舞, 探戈舞曲
vi. 跳探戈舞"
foxtrot,"n. 狐步舞
vi. 跳狐步舞"
cha-cha,[地名] 贾贾 ( 埃塞 )
disco,"n. 夜总会, 迪斯科, 的士高"
hula,"n. 呼拉圈舞, 草裙舞"
yangko troupe,无
fancy ball,化装舞会
costume ball,n. 化妆舞会
masque,"n. 假面剧, 假面剧剧本, 化装舞会"
charity dance,n. 慈善舞会
cheek dance,无
tap dance,踢蹋舞
grass skirt, （太平洋岛屿上的跳舞者穿的）草裙
belly dance,n. 肚皮舞
drum dance,腰鼓舞
night club,n. 夜总会
dance coupon,无
dancing partner, 舞伴
board of directors,"[经] 董事会, 理事会"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
director-general," 局长, 处长"
special assistant of the enterprise,无
administrative deputy president,无
financial deputy president,无
the communication responsibility of the marketing center,无
demand information of customers,无
information of new products,无
situation of compatible products,无
variety plan,无
information of the market environment,无
developing situation of the industry,无
subdivision of the market,无
market positioning,"un. 市场位置
"
large section of marketing,无
trademark plan,无
requirements planning,需求计划；需求分析
purchasing habits of customers,无
purchasing power of customers,无
satisfaction information of customers,无
information of ordering goods,无
customers' complaints,无
training request for the marketing employee,无
training request for the distributor,无
workers' educational level analysis,无
research and invention center,无
finalize the design,无
marketing center,[网络] 营销中心；行销中心；营销战略中心
production center,[经] 生产中心
supply department,[经] 供应部门
financial department,财务处
business department,[经] 营业部
design division,"un. 设计室
"
market department,无
advertisement media,无
advertisement division,无
quality department, 质量部
warehousing and transportation department,无
relevant branch factory,无
enterprise planning department,无
human resources department, 人力资源部
supervision committee,[网络] 监察委；监察部；监事会
administrative department, [法]行政部门
audit department,进款检查处
dishwasher,"n. 洗碗机, 洗碗工"
fridge,n. 电冰箱
portable,"a. 可携带的, 可搬运的, 可移动的
"
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
squeezer,"n. 压榨者, 剥夺者, 敲诈者, 压榨机, 轧水机, (美)(非正式)小气鬼, 吝啬者
"
corkscrew,"n. 拔塞钻
a. 螺旋形的
vt. 硬拉出, 探听
vi. 曲折行进"
washing machine,"洗衣机
"
electric appliance,"电器,耗电器具"
wash clothes, 洗衣服；洗衣
save trouble,省事
vacuum cleaners,"na. 吸尘器
"
hoover,"n. 胡佛电动吸尘器
vi. 用真空吸尘器打扫"
mobile phone, 移动电话
digital camera,n. 数码相机
intelligent robot,
do chores, 处理家务
computer technology,[经] 电脑技术
digital video camera,数字视频摄录机，数位[数码]影像摄录机
extractor fan," 抽风风扇, 抽风扇"
smoke exhaust,烟
juice extractor,[医] 液汁提取器
food mixer,食品搅拌器
can opener,n. 开罐器
electric mixer, 电动搅拌机
easy to operate,[化] 易操作的
plug in,"v. 插入；插插头；插上
"
worktop,"n. 桌面, 台面"
kettle,"n. 茶壶, 罐
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
thermometer,"n. 温度计, 体温计
"
television,"n. 电视
"
TV receiver,电视接收器
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
power cord,[电] 功率绳
freezer,"n. 冰库, 冰箱, 冷冻库"
walkman,n. 随身听（商标名称）
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
loudspeaker,"n. 扩音器, 喇叭
"
headphone,"n. 戴在头上的收话器, 耳机
"
earphone,"n. 耳机, 听筒
"
battery,"n. 电池, 殴打
"
