China,"n. 中国, 瓷器
a. 中国的"
tomato,"n. 番茄, 西红柿"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
pizza,n. 比萨饼
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
something,"pron. 某事, 某物"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
pear,"n. 梨子, 梨树, 梨木
"
fruit,"n. 水果, 果类, 结果
"
banana,n. 香蕉
ouch,"interj. 哎唷(表剧痛)
n. 扣环, 胸针, 珠宝饰物"
weekend,"n. 周末, 周末休假"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
grandparent,n. 祖父母
sometimes,"adv. 有时, 时常, 往往"
museum,n. 博物馆
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
go shopping,去买东西
cinema,"n. 电影院, 电影"
go fishing,去钓鱼
usually,"adv. 通常, 大抵"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
take pictures,照相
violin,n. 小提琴
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
bus,"n. 公共汽车
"
car,"n. 汽车, 客车
"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
all right,"好, 顺利, 良好的, 正确的"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
Excuse me.,对不起
this way,"如此,这般,以这种方法;这边走,这边"
forty,"num. 四十, 四十个"
how much,"多少, 什么价钱, 到什么程度"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
trousers,"pl. 裤子, 长裤"
fifty,"num. 五十, 五十个"
June,n. 六月
vacation,"n. 假期, 休假
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
Mount Taishan,无
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
July,n. 七月
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
kung fu,n. 中国功夫
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
bike,"n. 自行车, 脚踏车"
learn,vt. 学习；认识到；得知
sunrise,"n. 日出, 黎明, 拂晓"
August,"n. 八月
a. 威严的, 令人敬畏的"
sea,"n. 海, 海洋, 海浪, 大量
"
boy,"n. 男孩
"
girl,"n. 女孩, 少女, 女佣"
have a good time,过得快乐
