grid,"n. 格子, 栅格
"
sustainability,"n. 持续性, 能维持性, 永续性"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
load up,[化] 升负荷; 加负荷
make a sale,销售
somewhat,"n. 某物, 几分
adv. 多少, 几分"
motorized,"a. 摩托化的, 机动化的"
transportation,"n. 运输, 输送, 交通车辆
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
intermittent,"a. 间歇的, 断断续续的
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
in total,"总共, 总计
"
assign,"vt. 分配, 指派, 赋值
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
ferry,"n. 渡船, 渡口
"
carpool,v. 合伙使用汽车
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
treachery,"n. 背叛, 变节
"
albeit,"conj. 尽管, 虽然"
debris,"n. 碎片, 残骸
"
obstacle,"n. 障碍, 妨害物, 阻碍"
barrel,"n. 桶
vt. 装入桶内"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
trail-a-bike,无
contraption,"n. 奇妙的装置, 稀奇古怪的玩意儿, 新发明的玩意儿, 外形奇怪的机器/装置"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
load down,[化] 降负荷
arduous,"a. 费力的, 努力的, 险峻的"
stressful,"a. 着重, 强调, 重读, 使受应力"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
break-in,"na. 闯入；插嘴；驯(马)；训练(人)
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
for instance,"例如
"
with regard to,关于
drawback,"n. 缺点, 退税
"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
fuel-efficient,adj. 燃料消耗低的; 省油的
automobile,"n. 汽车
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
intend,"vt. 计划, 打算, 意思是
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
dependence,"n. 依赖, 依存, 信赖
"
additional,"a. 附加的, 另外的, 额外的
"
option,"n. 选择权, 挑选, 选项
"
heater,"n. 加热器, 灯丝, 加热工
"
year round,全年的
all year round,一年到头，终年；全年地，整年地
device,"n. 装置, 设计, 策略, 发明物, 设备
"
leapfrog,"n. 跳背游戏, 竞相提高
vi. 跳背, 交替前进
vt. 跃过"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
install,"vt. 安装, 安置, 使就职
"
recoup,"vt. 偿还, 赔偿, 补偿, 扣除
vi. 补偿损失"
wildfire,"n. (古时战争时所用的)燃料剂, 磷火, 鬼火, 野火"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
switch to,"切换到
"
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
confusing,a. 令人困惑的；混淆的；混乱的
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
pick up on,"na. 同…熟悉起来
"
tankless,a. 即热式的。这里的胆指贮水或其他液体的容器; 比如热水瓶胆、某些电热水器的贮水胆等; 无胆即不需要预先贮存; 随时可以直接供应。
lie in,"在于..., 分娩, 睡懒觉"
compare ... to, 把…比作， 喻为; 与…相比
comparable,"a. 可比较的, 比得上的"
typically,adv. 代表性地；作为特色地
basement,"n. 地下室, 墙脚
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
immensely,"adv. 无限地, 广大地, 庞大地"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
bring oneself to do sth.,无
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
retired,"a. 隐退的, 退休的, 退役的
"
correspondence,"n. 相符, 通信, 信件
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
dominate,"v. 支配, 占优势"
of late,最近
continually,"adv. 不断地, 频繁地"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
long for,渴望
by the day,按日
realization,"n. 实现, 领悟, 实得
"
growth,"n. 生长, 栽培, 增长
"
invasion,"n. 侵犯, 侵入, 侵害
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
someday,adv. 有一天
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
bow to,"屈服于,屈从于,服从"
quarterback,"n. 四分卫
vi. 担任四分卫"
unflinchingly,"adv. 不畏缩地, 不妥协地"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
sympathize with,"同意, 怜悯"
count up,"把...加起来, 共计"
undergo,"vt. 遭受, 经历, 忍受
"
underwent,undergo的过去式
undergone,undergo的过去分词
hardship,"n. 艰难, 辛苦, 苦难
"
compensate,"v. 偿还, 补偿, 付报酬"
compensate for,赔偿
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
separation,"n. 分离, 分居, 缺口, 退职
"
constantly,"adv. 不变地, 不断地, 时常地"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
impressive,"a. 给人深刻印象的, 威严的"
bet,"n. 打赌, 赌注
v. 打赌"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
enjoyment,"n. 享乐, 快乐, 享受
"
react,"vi. 起反应, 起作用, 反攻
"
react to,作出反应
lonesome,a. 寂寞的
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
gaze upon,"看到,望见"
sentimental,"a. 感伤的, 感情用事的"
fill ... with,"v. 充满
"
inescapable,"a. 逃不掉的, 不可避免的"
vanish,"vi. 消失, 不见, 成为零"
foreman,"n. 领班, 工头, 陪审长
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
windshield,"n. 挡风玻璃
"
hospitalize,"vt. 送...进医院治疗
"
cerebral,"a. 脑的, 大脑的
"
concussion,"n. 剧烈摇动, 震荡
"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
evidence,"n. 根据, 证据, 迹象
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
amnesia,"n. 健忘症, 记忆缺失
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
alcoholism,"n. 酗酒, 酒精中毒
"
injury,"n. 伤害, 侮辱
"
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；【戏】使舞台转暗
"
wring,"n. 扭绞, 拧, 挤
vt. 拧, 绞, 扭, 勒索, 折磨, 使痛苦
vi. 蠕动, 扭动, 绞, 扭, 感到痛苦"
armchair,n. 扶手椅
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
razor,"n. 剃刀
vt. 剃"
broker,"n. 掮客, 经纪人
"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
elate,"vt. 使兴高采烈, 使得意"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
legend,"n. 传说, 传奇文学, 图例
"
poetry,"n. 诗, 韵文, 诗歌艺术"
discourage,"vt. 使气馁, 阻碍"
convince,"vt. 说服, 使相信
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
oath,"n. 誓约, 誓言, 咒骂
"
fraternity,"n. 友爱, 互助会, 大学生联谊会"
occasionally,"adv. 有时候, 偶而"
occasional,"a. 偶然的, 临时的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
abruptly,"adv. 突然地, 唐突地"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
bookish,"a. 好读书的, 书呆子的"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
confess,"v. 承认, 坦白, 忏悔, 供认"
reunion,"n. 团圆, 重聚
"
bittersweet,"a. 又苦又甜的, 苦乐参半的
"
betroth,"vt. 订婚, 许配
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
mourn,"v. 哀悼, 忧伤, 服丧"
underneath,"adv. 在下面
prep. 在...的下面"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
no matter how,不管如何
no matter what, 无论如何，不管怎样
no matter whether, 也罢
refer to,"v. 查阅；提到
"
mystery,"n. 秘密, 神秘, 奥秘"
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
slip away,不告而别
insight,"n. 察看, 洞察力, 见识
"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
cannot help but,"adv. 不得不
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
likewise,"adv. 同样地, 也"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
"
etc.,[网络] 电子检验中心
breakup,"n. 分裂, 崩溃, 解散, 解体
"
mutual,"a. 相互的, 共有的
"
closure,"n. 关闭
vt. 使终止"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
due to,"由于, 应归于"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
end up with,〈非正〉以…结束
much as," 虽然, 尽管"
as much as,"尽...那样多, 差不多"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
unintentionally,"adv. 非故意地, 非存心地; 无意之中"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
apply to,[计] 应用于
cease,"n. 停止
v. 停止, 终了"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
when it comes to,当提到…
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
moreover,"adv. 而且, 此外"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bounce back, 受挫折后恢复原状; 回声; 卷土重来
injure,"vt. 伤害, 损害, 使受冤屈
"
repeatedly,"adv. 重复地, 再三地"
trample,"n. 践踏(声), 蹂躏
v. 践踏, 无视"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
at the outset,"开始,起初"
now that,"既然..., 由于..."
firmly,"adv. 坚固, 坚定, 断然"
passenger,"n. 乘客, 旅客
"
recklessly,"adv. 不注意, 粗心大意, 不在乎, 鲁莽, 不顾后果, 不顾一切, 妄动"
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
testify,"v. 证明, 作证, 声明, 表明"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
outcome,"n. 结果, 出口"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
appropriate,"a. 适当的
"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
typical,"a. 典型的, 象征性的
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
legality,"n. 合法, 正当
"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
regardless of,"不注意, 不关心"
assess,"vt. 估定, 对...征税, 评定
"
stand up for,"支持
"
count on,"依靠, 指望"
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
in times of, 在…的时刻; 在…的时期
fairness,"n. 晴朗, 光明正大, 美丽
"
true to, 忠于
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
feel like," 摸起来像是…, 有…的感觉; 想要…"
feel like sth.," 摸起来像是…, 有…的感觉; 想要…"
feel like doing sth.,想要(做)...
sufficiently,"adv. 足够, 充分"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
controlling,
mind one's own business,别管闲事
genuinely,adv. 真诚地；诚实地
accustomed,"a. 惯常的, 习惯了的"
be accustomed to,习惯于
intervene,"vi. 插入, 调停, 干涉
"
intervene in,"插手,干预,调停"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
behavior,"n. 行为, 举止
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
argument,"n. 争论, 论证, 论据, 自变量
"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
oasis,"n. 绿洲, 舒适的地方
"
oases,n. 绿洲（oasis的复数形式）
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stuck,stick的过去式和过去分词
mire,"n. 泥沼, 泥泞
vt. 使陷于泥泞, 使陷入困境
vi. 掉进泥坑"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
forgiveness,"n. 宽恕, 宽仁之心"
erase,"vt. 抹去, 擦掉
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
engrave,"vt. 刻上, 雕刻, 铭记"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
recourse,"n. 求援, 求助, 追索权
"
pray,"v. 祈祷, 恳求, 请"
pray to,"向(上帝、神或信仰之圣物)祈祷, 祷告"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
barren,"a. 不育的, 贫瘠的
n. 荒地"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
unworthy,"a. 不值得的, 不相称的"
blessing,n. 祝福
be about to,即将
be about to do, 即将做某事
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
deserve,"vt. 该得到, 值得
vi. 应得报答"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
destination,"n. 目的地, 目标, 目的
"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
stretch out,"伸手, 开始大踏步走"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
be flooded with,充斥着…
fluorescent,"n. 荧光
a. 荧光的"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
literature,"n. 文学, 文艺, 著作
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
for instance,"例如
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
mysterious,"a. 神秘的, 难解的, 不可思议的"
alluring,"a. 吸引人的, 诱人的, 迷人的"
yearn,"vi. 渴望, 想念, 怀念, 同情"
comprehend,"vt. 理解, 包括"
be tired of,厌烦
memorize,"vt. 记住, 熟记, 背熟"
interpretation,"n. 解释, 演出, 翻译
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
as a result,结果
analyze,"vt. 分析, 细察, 分解
"
make up for,"补偿,弥补"
preparation,"n. 准备, 预备, 预习
"
be destined to,注定要…;被指定…
reluctant,"a. 不情愿的, 勉强的
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
instinct,"n. 本能, 直觉
a. 充满着的"
stick to,粘住
feel obligated to,[网络] 使负义务；感觉应该
feel obligated to do sth.,无
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
"
plead with sb.,向…恳求
plead with sb. to do sth.,无
turn in,"v. 向里弯曲
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
pop up,突然站起(或跳起)
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
make sense,有意义
financial,"a. 财政的, 金融的
"
on ... grounds,无
on the grounds of, 以…为理由，根据
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
get to grips with,"对付, 处理"
come to grips with,与...搏斗
version,"n. 一种描述, 版本, 译文
"
Australasian,"a. 澳大拉西亚的
n. 澳大拉西亚人"
placement,"n. 放置, 布置, 工作安排, 编班, 定位球
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
daunt,"vt. 威吓, 难倒, 使气馁"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
participation,"n. 参与, 分享
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
commence,"v. (使)开始, 得学位"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
proximity,"n. 接近, 亲近"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
make-up,"na. 弥补；起草；定；签订
"
diverse,"a. 不同的, 变化多的"
make for,"走向, 有利于, 倾向于"
advisable,"a. 适当的, 明智的"
immerse,"vt. 沉浸, 使陷入
"
immerse oneself in,"埋头,专心于…"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
espresso,n. （用汽加压煮出的）浓咖啡
adapt,"vt. 使适应, 改编
vi. 适应"
surroundings,"n. 环境, 周围的事物
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
prospective,"a. 预期的, 将来的
"
add-on," （在计算或目录的末尾额外）加上, 附加"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
workplace,"n. 工作场所, 工厂, 车间"
intern,"n. 实习生, 被拘留者
vi. 作实习医师(教师、实习生)
vt. 拘留, 扣留"
ethic,"n. 道德规范, 伦理"
on a day-to-day basis,"un. 按日计算
"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be bound to do sth.,[网络] 注定；一定会做某事；必然
stand out,"突出, 坚持抵抗"
bureaucracy,"n. 官僚, 官吏
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motivated,"a. 有动机的, 目的明确的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
go up,"上升, 兴建"
application,"n. 应用, 申请, 志愿书, 应用程序
"
institution,"n. 机构, 惯例, 制度
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
self-funded, 自费
self-sponsored,无
demographic,"a. 人口统计的
"
tribe,"n. 宗族, 部落, 一群人
"
