questionnaire,"n. 调查表, 问卷
"
disaster,"n. 灾祸, 不幸, 彻底失败"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
promote,"vt. 促进, 晋升, 创办, 推销
"
injury,"n. 伤害, 侮辱
"
give up,"na. 放弃；断绝；投降；自首
"
come to do something,无
pull through,"(使)渡过难关, (使)恢复健康"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commit suicide,[法] 自杀
get on,"na. 上马；安上；过日子；相投 (with together)
"
relationship,"n. 关系, 关联
"
react,"vi. 起反应, 起作用, 反攻
"
divorce,"n. 离婚
vt. 与...离婚"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
get involved with,被…缠住了
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
confident,"a. 有信心的, 有把握的"
far too,"非常,极其,太"
come off it,"不胡诌, 不胡闹"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
badminton,n. 羽毛球运动
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
dead right,[俚语]完全正确
absolutely,"adv. 完全地, 绝对地, 确确实实地"
medal,"n. 奖牌, 勋章
vt. 授勋予"
You've got a point there.,无
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
scholarship,"n. 学问, 学术成就, 奖学金"
the Mid-Autumn Festival,[网络] 中秋节
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
Halloween,n. 万圣节前夕（10月31日夜）
dragon,"n. 龙, 凶暴的人
"
the Dragon Boat Festival, 端午节（端午节为每年农历五月初五，本来是夏季的一个驱除瘟疫的节日，后来楚国诗人屈原于端午节投江自尽，就变成纪念屈原的节日。端午节的习俗有吃粽子、赛龙舟、挂菖蒲、蒿草、艾叶、薰苍术、白芷，喝雄黄酒等）; 端节
turkey,"n. 火鸡, 无用的家伙, 土耳其"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
traditional,"a. 传统的, 惯例的
"
bean paste,豆酱
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
the Lantern Festival, 元宵节
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
lunar month," 朔望月, 太阴月"
celebration,"n. 庆祝, 庆典"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
destroy,"vt. 破坏, 毁坏, 消灭"
burn down,"烧成平地, 火力减弱
"
decorate,v. 装饰
battery,"n. 电池, 殴打
"
sweet dumpling,无
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
tradition,"n. 传说, 传统, 交付
"
take part in,"参与, 参加
"
sticky,"a. 粘的, 有粘性的, 顽固的"
alcohol,"n. 酒精, 酒
"
hot pot,n. 火锅
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
reception,"n. 接待, 接受, 招待会
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
salary,"n. 薪水
vt. 给...加薪"
apply,"vt. 涂, 应用
vi. 申请, 适用"
apply for,"申请,请求,要求…"
opportunity,"n. 机会, 时机"
teenager,n. 十三岁到十九岁的少年
depend on,"依靠, 依赖"
smartly,"adv. 潇洒地, 火辣辣地, 刺痛地"
on time,"准时
"
bunch,"n. 串, 束
"
congratulation,"n. 祝贺, 恭喜"
bride,n. 新娘
bridegroom,n. 新郎
best man,男傧相
ceremony,"n. 典礼, 仪式, 礼节
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
invitation,"n. 邀请, 请柬, 引诱
"
even if,即使
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
Indonesian,"a. 印尼的
n. 印尼人, 印尼语群"
ought,"aux. 应该, 大概
n. 责任"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
stocking,"n. 长袜
"
seriously,"adv. 严肃地, 认真地, 严重地"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
the North Pole,"n. 北极
"
envelope,"n. 信封, 封套, 封袋
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
put up,"adj. 预先商定的
"
decoration,"n. 装饰, 装饰品"
pudding,n. 布丁
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
carry on,"继续开展, 行为愚蠢(或越轨)
"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
production,"n. 制造, 生产, 产物
"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
as well,也
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
litre,"n. 升, 公升
"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
unfortunately,"adv. 恐怕, 不幸的是"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
Brian,n. 布莱恩（男子名）
Tina,n. 蒂娜（女子名）
Bob,"vt. 剪短, 敲击
vi. 振动, 上下跳动
n. 短发, 悬挂的饰品, 浮子, 摆动, 轻敲, 5便士"
Mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
Ingrid Bergman,英格丽.褒曼（人名）
Debbie,"n. 黛比（女子名, 等于Debby）"
Paul,n. 保罗（男子名）
Mother Teresa,[网络] 德蕾莎修女；德兰修女；特蕾莎修女
Hamlet,"n. 小村, 部落"
Nemo,n. 现场转播节目
Bridget Jones,[网络] 单身日记；琼斯；布莉琪琼斯
Octopus,n. 章鱼
Pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
Jennifer,n. 詹尼弗（女子名）
Sun Yat-sen,[网络] 孙逸仙；孙中山；孙文
Thomas Edison,托马斯·爱迪生（发明了留声机）
Sam Roberts,无
Martin Luther King,[网络] 马丁·路德·金；金恩博士；马丁路德金恩
Gandhi,n. 甘地
Elizabeth Blackwell,[网络] 布莱克威尔；伊丽莎白；女医生布蕾克威尔
Nelson Mandela,[网络] 南非前总统曼德拉；纳尔逊·曼德拉；南非总统曼德拉
Jane Goodall,[网络] 珍古德；古道尔；家珍古德
Venus Williams,n. 维纳斯威廉姆斯（又称大威）美国网球名将。七个大满贯得主; 前世界第一; 2000年悉尼奥运网球女单; 女双冠军。
Serena Williams,n. 塞雷娜威廉姆斯（又称小威）美国网球名将，前世界第一，十一个大满贯得主
Richard,n. 理查德（男子名）
Brandi Bailey,无
Christopher Reeve,[网络] 克里斯托弗·里夫；克里斯多夫李维；克里斯多福李维
Dana,n. 美国德纳（美国汽车公司）
James Dean,詹姆斯·迪恩（好莱坞青春偶像）
Dave,n. 戴夫（男子名）
Mike,[网络] 我不是方维维；九十九里海岸；横须贺
Lisa,n. 丽莎（女子名）
Eva,"EVA
abbr.
extravehicular activity (宇航员的)舱外活动,出舱活动,在飞船外的活动
Eva
"
Alison,n. 艾莉森（女子名）
Kathleen,"n. 凯思琳（女子名, 等于Kathryn）"
Jamie,n. 杰米（男子名）
Katrina,n. 卡特里娜(f.)
Jim,n. 吉姆（人名）
Barbara,n. 芭芭拉（女子名）
Tom,"n. 雄性动物, 雄猫"
Sarah,n. 萨拉(<<圣经>>故事人物)
Birmingham,n. 伯明翰
Inner Mongolia,n. 中国内蒙古
Atlanta,n. 亚特兰大（美国城市）
Georgia,n. 乔治亚州
Washington DC,华盛顿特区华府
New York City,纽约市（美国一座城市）
South Africa,南非
Gombe Streams National Park of Tanzania,无
Tanzania,n. 坦桑尼亚
Indonesia,n. 印尼
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
California,n. 加利福尼亚（美国一个州）
Mexico,n. 墨西哥
San Francisco,旧金山
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
lowdown,"n. 内幕, 真相"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
even if,即使
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
auto shop,[网络] 汽车店；汽车工艺；汽车专用精品店
stupid,"a. 愚蠢的, 麻木的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
Wimbledon,"温布尔登[英国英格兰东南部城市](位于伦敦附近, 是著名的国际网球比赛地)"
the US Open,无
the French Open,无
Real Madrid,n. 皇家马德里
Romeo and Juliet,[网络] 罗密欧与朱丽叶；罗密欧与茱丽叶；殉情记
BMW,[网络] 宝马；宝马汽车；宝马车标的含义
Bavarian Motor Works,无
