opera house,n. 歌剧院
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
assessment,"n. 评估, 估定, 评定的款额
"
fortnight,n. 两星期
sunburnt,"a. 晒黑的, 有晒斑的, 日炙的"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
divorce,"n. 离婚
vt. 与...离婚"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
affair,"n. 事件, 事务, 恋爱事件"
be charged with,"装满, 承担, 被控告
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
on behalf,[网络] 代取件业务；代订；代为
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
Egypt,n. 埃及
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
decoration,"n. 装饰, 装饰品"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
in terms of,"用...的话, 根据, 按照, 在...方面
"
regulation,"n. 规则, 管理, 调整
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
assistance,"n. 协助, 援助
"
fragile,"a. 易碎的, 脆的
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
tulip,n. 郁金香
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
unrest,"n. 不安的状态, 动荡的局面
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
abolish,"vt. 废止, 革除, 消灭
"
liberation,"n. 释放, 解放
"
equality,"n. 平等, 均匀, 相等
"
fraternity,"n. 友爱, 互助会, 大学生联谊会"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
honesty,"n. 诚实, 公正, 正直"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
stripe,"n. 斑纹, 条纹
"
settler,"n. 移民者, 解决者, 结算员
"
colony,"n. 殖民地, 移民队
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
separation,"n. 分离, 分居, 缺口, 退职
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
union,"n. 联盟, 联合, 结合, 工会
"
federal,"a. 联邦的, 联合的, 同盟的
"
Indonesia,n. 印尼
Indonesian,"a. 印尼的
n. 印尼人, 印尼语群"
date back to,"始于,可以追溯到…"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
purity,"n. 纯净, 纯正, 纯粹
"
similarity,"n. 类似, 类似处
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
Scot,"n. 摊派的款项, 税赋
"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
get one's way,"[法] 为所欲为, 遂心所欲"
Irish,"n. 爱尔兰人, 爱尔兰语
a. 爱尔兰的"
split off from,无
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
homeland,"n. 本国, 故国"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
seedless,a. 无核的
observer,"n. 观察者, 遵守者, 观察员
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
dishonest,"a. 不诚实的
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
trustworthy,"a. 可信赖的
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
identification,"n. 识别, 身份证明, 认同
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
ambition,"n. 野心, 志向"
reddish,"a. 微红的, 略带红色的"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
subjective,"a. 主观的, 个人的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
mourning,"n. 哀痛, 居丧, 举哀, 哀悼, 丧服, 戴孝"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
garment,"n. 衣服, 衣装, 外表"
ecology,"n. 生态学, 社会生态学
"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
burglar,"n. 窃贼
"
funeral,"n. 葬礼, 出殡"
Buddhism,n. 佛教
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
Buddhist,"n. 佛教徒
a. 佛教的"
mosque,n. 清真寺
Taoism,n. 道教
biblical,a. 圣经的
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
Bible,n. 圣经
Hebrew,"n. 希伯来人, 希伯来语, 犹太人
a. 希伯来人的, 希伯来语的"
vague,"a. 含糊的, 不清楚的, 茫然的"
by and by,不久以后
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
handwriting,n. 笔迹
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
calf,"n. 小牛, 小牛皮, 腓肠
"
penny,"n. 便士, 一分, 小钱, 点滴
"
hire oneself out,[网络] 租出去；为某人工作；受雇
agricultural,"a. 农业的
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
ripen,"vt. 使成熟
vi. 成熟"
thorough,"a. 十分的, 彻底的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
catch on,"变得流行, 理解, 明白"
necklace,n. 项链
buffalo,"n. 水牛
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
frequently,"adv. 频繁, 经常地"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
count on,"依靠, 指望"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
Turkey,"n. 火鸡, 无用的家伙, 土耳其"
saint,"n. 圣徒, 圣人
a. 神圣的
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
cottage,"n. 小屋, 茅舍"
chimney,"n. 烟囱, 灯罩
"
stocking,"n. 长袜
"
fireplace,n. 壁炉
moustache,"n. 髭, 小胡子, 触须"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
woollen,"n. 毛织品
a. 羊毛制的"
belt,"n. 带子, 地带
"
elf,"n. 小精灵, 矮人, 淘气鬼
"
reindeer,n. 驯鹿
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
eve,"n. 前夕, 前夜"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
Buddha,n. 佛陀
Afghanistan,n. 阿富汗
monk,"n. 修道士, 僧侣, 和尚"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
bureaucratic,"a. 官僚的
"
ministry,"n. 部, 内阁, 服务
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
pray,"v. 祈祷, 恳求, 请"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
pagoda,n. 宝塔
frog,"n. 青蛙
"
croak,"n. 呱呱叫声, 哇哇声
vi. 呱呱地叫, 发牢骚
vt. 用嘶哑的声音说"
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
