tiring,"a. 引起疲劳的, 累人的
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
citizen,"n. 市民, 公民
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
by hand,用手
mathematics,"n. 数学
"
maths,n. 数学
scientist,"n. 科学家
"
radium,"n. 镭
"
laboratory,"n. 实验室, 研究室, 化工厂
"
lab,"n. 实验室, 研究室
"
professor,n. 教授
discovery,"n. 发现, 被发现的事物
"
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
widely,adv. 广泛地
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
agriculture,"n. 农业
"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
happen to,"碰巧,偶然;发生于"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
at present,"现在, 目前"
contribution,"n. 捐助, 捐助之物, 贡献
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
production,"n. 制造, 生产, 产物
"
development,"n. 发展
"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
explore,"v. 探险, 探测, 探究"
outer space,"n. 太空, 外层空间"
brain,"n. 脑
vt. 打碎脑部"
whatever,pron. 无论什么
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
smoothly,"adv. 平滑地, 流畅地, 流利地"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
in general,大多数
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
virus,"n. 病毒, 滤过性病毒, 毒害
"
no longer,不再
properly,"adv. 适当地, 相当地"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
forgetful,"a. 健忘的, 易忘的"
stair,"n. 梯级, 楼梯, 阶梯"
battery,"n. 电池, 殴打
"
customer,"n. 消费者
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
put through,"na. 经受；测试；试验；使…通过
"
satisfied,a. 感到满意的
be satisfied with,对...感到满意
first of all,首先
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
up to standard,"达到标准,符合标准,合格"
completely,"adv. 完全地, 十分地, 圆满地"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
product,"n. 产品, 结果, 乘积
"
Mars,[网络] 马尔斯
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
air tank,[化] 气柜; 气罐; 空气罐
dried food,"un. 脱水食物
"
power pack,[电] 电源组
sleeping bag,睡袋
gravity,"n. 地心引力, 重力
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
crowded,"a. 拥挤的, 塞满的"
polluted,"a. 被污染的, 被玷污的, (美)(非正式)喝得烂醉的"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
over again," 再一次, 重新, 重复"
all over again,"完全重做,从头开始"
passenger,"n. 乘客, 旅客
"
at a speed of,以…的速度
at the speed of,以…的速度
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
oxygen,"n. 氧
"
in the form of,以…形式
tasty,"a. 好吃的, 可口的"
specially,"adv. 特别地, 专门地"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
compare to, 把…比作， 喻为; 与…相比
compare with,"比较…,跟…相比,比得上…"
interplanetary,"a. 行星间的, 太阳系内的"
network,"n. 网络, 广播网, 网状物
"
challenging,"a. 挑战的, 引起争论的"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
aware,"a. 知道的, 有觉悟的"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
agreement,"n. 同意, 合约, 协议
"
distance,"n. 距离, 远方, 遥远
"
possibility,"n. 可能性, 可能的事
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
stranger,"n. 陌生人, 门外汉
"
carry out,"na. 实行；开展；完成
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
disadvantage,"n. 缺点, 不利, 坏处"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
after all,毕竟
goods,"n. 货物
"
electronic,"a. 电子的
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
