eleven,"num. 十一, 十一个"
rainy,"a. 下雨的, 多雨的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
January,n. 一月
February,n. 二月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
China,"n. 中国, 瓷器
a. 中国的"
Australia,"n. 澳洲, 澳大利亚"
always,"adv. 总是, 始终"
