abolish,"vt. 废止, 革除, 消灭
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ratio,"n. 比, 比率
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limitation,"n. 限制, 缺陷, 限额
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
ban,"n. 禁令
vt. 禁止, 取缔"
prohibit,"vt. 禁止, 阻止
"
forbid,"vt. 禁止, 不准, 妨碍
"
hardly,"adv. 刚刚, 几乎不, 勉强是"
scarcely,"adv. 简直不, 一定不, 仅仅"
barely,adv. 几乎不
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
distinguish,"v. 区别, 辨别"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
ambiguous,"a. 不明确的, 模棱两可的
"
vague,"a. 含糊的, 不清楚的, 茫然的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
evident,"a. 显然的, 明显的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
scenery,"n. 风景, 景色, 舞台布景"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
testify,"v. 证明, 作证, 声明, 表明"
certify,"v. 证明, 保证"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
vanish,"vi. 消失, 不见, 成为零"
disappear,"vi. 消失, 不见"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
basis,"n. 基础, 主要成分
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
foundation,"n. 基础, 根据, 建立
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
elementary,"a. 初步的, 基本的
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
salary,"n. 薪水
vt. 给...加薪"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
recollection,"n. 记忆, 回想, 回忆"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
adjoining,"a. 邻接的, 毗连的
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
admittance,"n. 进入, 进入权, 准许进入
"
adapt,"vt. 使适应, 改编
vi. 适应"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
instruct,"vt. 教, 教育, 命令, 通知
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
fate,"n. 命运, 运气
vt. 注定"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
agreeable,"a. 令人愉快的, 同意的
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
amaze,vt. 使吃惊
comprise,"vt. 包含, 构成"
constitute,"vt. 构成, 组成, 任命
"
conceive,"vt. 构思, 认为
vi. 怀孕"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
indignity,"n. 侮辱
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
condemn,"vt. 判刑, 责备, 谴责
"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
confess,"v. 承认, 坦白, 忏悔, 供认"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
practical,"a. 实际的, 现实的, 实用性的
"
practicable,"a. 可实行的, 可做的, 可用的"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
aware,"a. 知道的, 有觉悟的"
predict,"v. 预知, 预言, 预报"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
liability,"n. 责任, 债务, 倾向
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
distinct,"a. 清楚的, 显著的, 不同的"
distinctive,"a. 有特色的, 出众的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
continual,"a. 持续不断的, 继续的
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
dispute,"n. 争论
v. 争论"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
trait,"n. 特征, 特性, 一笔, 少许"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
appliance,"n. 器械, 用具, 应用
"
equipment,"n. 装备, 设备, 才能
"
sophisticated,"a. 复杂的, 久经世故的
"
complicated,"a. 复杂的
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
require,"vt. 需要, 命令, 要求
"
acquire,"vt. 获得, 学到
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
merely,adv. 只
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
alter,v. 改变
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
option,"n. 选择权, 挑选, 选项
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
extent,"n. 范围, 程度, 区域
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
quite,"adv. 相当, 完全, 十分"
rather,"adv. 宁可, 稍微, 相当"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
area,"n. 区域, 面积, 范围, 空地
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
destroy,"vt. 破坏, 毁坏, 消灭"
protect,"vt. 防卫, 保护, 警戒
"
defend,"vt. 防护, 辩护, 防卫
"
cruel,"a. 残酷的, 令人极痛苦的
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
avert,"vt. 转开, 避免, 防止"
avoid,"vt. 避免, 防止, 撤消
"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
rob,"v. 抢夺, 抢掠, 剥夺"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
error,"n. 错误, 过失, 失误, 误差
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
disaster,"n. 灾祸, 不幸, 彻底失败"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
compulsive,"a. 强制的, 强迫的
"
notify,"vt. 通知, 通告, 报告
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
historical,"a. 历史的, 史实的, 历史上的
"
historic,"a. 历史上著名的, 有历史性的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
climate,"n. 气候, 社会趋势, 气候区
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
appoint,"vt. 任命, 指定, 下令
"
nominate,"vt. 提名, 任命, 命名
"
infectious,"a. 有传染性的, 易传染的
"
contagious,"a. 触染性的, 会蔓延的
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
arise,"vi. 站立, 出现, 起来"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
diminish,"v. (使)减少, (使)变小"
decrease,"n. 减少, 减少量
v. 减少"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
disease,"n. 疾病, 弊病
"
illness,"n. 疾病, 恶意
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
appropriate,"a. 适当的
"
suitable,"a. 适当的, 相配的
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
convention,"n. 大会, 协定, 惯例, 约定
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
corporation,"n. 公司, 合作, 法人团体
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
boundary,"n. 边界, 分界线
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
frontier,"n. 边界, 边境
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
assent,"n. 赞成
vi. 同意"
comply,"vi. 顺从, 依从
"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
immense,"a. 极广大的, 无边的, 非常好的"
huge,"a. 极大的, 巨大的, 无限的"
massive,"a. 大而重的, 宽大的, 宏伟的
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
