glad,"a. 高兴的, 喜欢的, 情愿的"
but,"prep. 除了
conj. 但是
adv. 仅仅"
too,"adv. 也, 非常, 太"
big,"a. 大的, 重要的
adv. 大量地"
shorts,"n. 短裤, (美)男人的短衬裤
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
trousers,"pl. 裤子, 长裤"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
shirt,"n. 衬衫, 内衣, 汗衫"
and,"conj. 和, 与
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
OK,[网络] 确定；好；击
o'clock,"n. ...点钟, 钟头"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
day,"n. 天, 日子, 白天, 工作日
"
how many, 几何；几；多少；几多
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
twenty,"num. 二十, 二十个"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
banana,n. 香蕉
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
classroom,n. 教室
apple,"n. 苹果, 家伙
"
pear,"n. 梨子, 梨树, 梨木
"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
rainy,"a. 下雨的, 多雨的"
ice cream,"冰淇淋
"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
farmer,"n. 农夫, 农场主
"
postman,"n. 邮递员
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
teacher,"n. 教师, 老师, 导师"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
fireman,"n. 救火队员, 消防队员
"
policeman,"n. 警察
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
policewoman,"n. 女警察
"
go to,"[计] 转到, 定位"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
bus,"n. 公共汽车
"
them,"pron. 他们, 她们, 它们"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
bike,"n. 自行车, 脚踏车"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
car,"n. 汽车, 客车
"
